Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
fabio depaoli,Hellas Verona,1997,31,24,2173,2,2,7,0,28,66,76,2022-2023,serie-a
fabio depaoli,Sampdoria,1997,3,1,136,0,0,1,0,2,10,6,2022-2023,serie-a
kastriot dermaku,Lecce,1992,1,0,34,0,0,0,0,0,0,0,2022-2023,serie-a
cyriel dessers,Cremonese,1994,26,19,1587,6,1,3,0,21,27,110,2022-2023,serie-a
sergino dest,Milan,2000,8,2,329,0,0,0,0,11,14,12,2022-2023,serie-a
mattia destro,Empoli,1991,17,6,572,1,0,3,0,4,4,20,2022-2023,serie-a
gerard deulofeu,Udinese,1994,16,15,1211,2,6,1,0,72,82,118,2022-2023,serie-a
samuel di carmine,Cremonese,1988,2,0,28,0,0,0,0,1,1,2,2022-2023,serie-a
federico di francesco,Lecce,1994,36,23,2031,2,2,5,0,50,60,177,2022-2023,serie-a
michele di gregorio,Monza,1997,37,37,3330,0,1,0,0,0,0,0,2022-2023,serie-a
giovanni di lorenzo,Napoli,1993,37,36,3257,3,4,2,0,73,256,182,2022-2023,serie-a
angel di maria,Juventus,1988,26,15,1363,4,4,1,1,56,96,95,2022-2023,serie-a
boulaye dia,Salernitana,1996,33,27,2518,16,6,4,0,48,50,140,2022-2023,serie-a
brahim diaz,Milan,1999,33,27,1925,6,7,3,0,80,121,116,2022-2023,serie-a
federico dimarco,Inter,1997,33,26,2069,4,3,0,0,45,88,189,2022-2023,serie-a
koffi djidji,Torino,1992,34,26,2424,1,0,3,0,11,83,13,2022-2023,serie-a
berat djimsiti,Atalanta,1993,24,20,1797,0,1,3,0,7,45,9,2022-2023,serie-a
dodo,Fiorentina,1998,33,28,2331,1,3,5,1,72,141,104,2022-2023,serie-a
josh doig,Hellas Verona,2002,22,15,1354,2,3,1,0,41,27,61,2022-2023,serie-a
nicolas dominguez,Bologna,1998,31,26,2300,3,2,10,0,39,147,84,2022-2023,serie-a
giulio donati,Monza,1990,8,4,422,1,0,4,2,4,21,8,2022-2023,serie-a
bartomiej dragowski,Spezia,1997,34,34,2946,0,1,1,0,0,0,0,2022-2023,serie-a
ondrej duda,Hellas Verona,1994,15,11,1061,0,0,4,0,15,44,22,2022-2023,serie-a
denzel dumfries,Inter,1996,34,25,2218,1,4,4,0,62,59,172,2022-2023,serie-a
alfred duncan,Fiorentina,1993,25,13,1103,1,0,3,0,18,70,30,2022-2023,serie-a
paulo dybala,Roma,1993,25,21,1739,12,6,5,0,56,75,109,2022-2023,serie-a
edin dzeko,Inter,1986,33,18,1732,9,3,3,0,32,67,150,2022-2023,serie-a
festy ebosele,Udinese,2002,17,4,411,0,1,4,0,27,17,22,2022-2023,serie-a
enzo ebosse,Udinese,1999,20,9,930,0,0,3,0,11,51,20,2022-2023,serie-a
tyronne ebuehi,Empoli,1995,26,22,1923,2,4,0,0,31,41,42,2022-2023,serie-a
ederson,Atalanta,1999,35,25,2215,1,1,4,0,37,93,62,2022-2023,serie-a
kingsley ehizibue,Udinese,1995,27,16,1535,2,0,7,0,29,40,69,2022-2023,serie-a
albin ekdal,Spezia,1989,31,18,1734,0,2,6,1,15,80,35,2022-2023,serie-a
emmanuel ekong,Empoli,2002,2,0,20,0,0,0,0,1,0,1,2022-2023,serie-a
mikael ellertsson,Spezia,2002,11,1,171,0,0,3,0,3,3,4,2022-2023,serie-a
elif elmas,Napoli,1999,36,14,1627,6,3,5,0,42,73,103,2022-2023,serie-a
martin erlic,Sassuolo,1998,28,26,2330,0,0,2,0,7,65,1,2022-2023,serie-a
gonzalo escalante,Cremonese,1993,9,7,555,0,1,0,1,3,30,8,2022-2023,serie-a
salvatore esposito,Spezia,2000,15,10,971,1,0,5,1,4,51,11,2022-2023,serie-a
nicolo fagioli,Juventus,2001,26,17,1520,3,3,3,0,27,56,56,2022-2023,serie-a
wladimiro falcone,Lecce,1995,38,38,3420,0,0,2,0,0,0,0,2022-2023,serie-a
davide faraoni,Hellas Verona,1991,23,19,1485,2,3,7,0,11,54,33,2022-2023,serie-a
federico fazio,Salernitana,1987,14,12,1074,1,0,2,1,13,40,4,2022-2023,serie-a
jacopo fazzini,Empoli,2003,21,8,825,0,0,4,0,11,21,40,2022-2023,serie-a
lewis ferguson,Bologna,1999,32,27,2314,7,0,4,0,31,88,114,2022-2023,serie-a
alex ferrari,Sampdoria,1994,12,10,868,0,0,3,0,7,25,3,2022-2023,serie-a
