Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
moritz nicolas,Gladbach,1997.0,19,19,1639,0,0,0,0,0,0,0,2024-2025,bundesliga
julian niehues,Heidenheim,2001.0,8,0,154,0,0,1,0,0,6,3,2024-2025,bundesliga
justin njinmah,Werder Bremen,2000.0,26,10,952,3,2,1,0,33,23,103,2024-2025,bundesliga
niels nkounkou,Eint Frankfurt,2000.0,12,4,382,0,0,1,0,17,15,21,2024-2025,bundesliga
felix nmecha,Dortmund,2000.0,26,19,1509,4,1,3,0,21,85,27,2024-2025,bundesliga
lukas nmecha,Wolfsburg,1998.0,19,3,467,3,0,1,0,8,6,32,2024-2025,bundesliga
arnaud nordin,Mainz 05,1998.0,6,0,80,0,0,0,0,3,1,15,2024-2025,bundesliga
alexander nubel,Stuttgart,1996.0,34,34,3060,0,1,0,0,0,0,0,2024-2025,bundesliga
antonio nusa,RB Leipzig,2005.0,25,16,1558,3,3,0,0,57,52,123,2024-2025,bundesliga
david odogu,Wolfsburg,2006.0,3,2,195,0,0,0,0,1,8,0,2024-2025,bundesliga
tim oermann,Bochum,2003.0,29,26,2213,0,2,0,0,15,61,16,2024-2025,bundesliga
ifechukwu ogbus,Freiburg,2005.0,2,0,19,0,0,0,0,0,0,0,2024-2025,bundesliga
finn ole becker,Hoffenheim,2000.0,13,7,670,0,1,1,0,3,45,7,2024-2025,bundesliga
michael olise,Bayern Munich,2001.0,34,28,2334,12,15,3,0,119,184,381,2024-2025,bundesliga
jonas omlin,Gladbach,1994.0,12,11,978,0,0,0,1,0,0,0,2024-2025,bundesliga
karim onisiwo,Mainz 05,1992.0,6,1,110,0,0,0,0,1,0,8,2024-2025,bundesliga
frank onyeka,Augsburg,1998.0,31,30,2586,0,1,8,0,46,106,71,2024-2025,bundesliga
lois openda,RB Leipzig,2000.0,33,28,2453,9,5,5,1,58,47,229,2024-2025,bundesliga
gift orban,Hoffenheim,2002.0,13,7,687,4,0,2,0,8,7,35,2024-2025,bundesliga
willi orban,RB Leipzig,1992.0,25,25,2222,5,0,4,2,15,106,8,2024-2025,bundesliga
ivan ordets,Bochum,1992.0,22,21,1861,0,0,6,0,2,48,4,2024-2025,bundesliga
patrick osterhage,Freiburg,2000.0,30,27,2267,1,0,6,1,26,73,50,2024-2025,bundesliga
assan ouedraogo,RB Leipzig,2006.0,3,0,50,0,0,0,0,2,1,2,2024-2025,bundesliga
salih ozcan,Wolfsburg,1998.0,11,3,353,0,0,0,0,6,22,5,2024-2025,bundesliga
salih ozcan,Dortmund,1998.0,11,3,391,0,0,0,0,4,31,4,2024-2025,bundesliga
exequiel palacios,Leverkusen,1998.0,24,11,1155,1,6,2,0,15,97,40,2024-2025,bundesliga
joao palhinha,Bayern Munich,1995.0,17,6,673,0,0,2,1,3,32,7,2024-2025,bundesliga
mats pannewig,Bochum,2004.0,14,2,267,0,0,1,0,3,10,16,2024-2025,bundesliga
kevin paredes,Wolfsburg,2003.0,2,2,123,0,1,1,0,1,7,12,2024-2025,bundesliga
felix passlack,Bochum,1998.0,31,30,2334,1,6,4,0,43,65,118,2024-2025,bundesliga
aleksandar pavlovic,Bayern Munich,2004.0,21,18,1451,1,0,2,0,15,128,33,2024-2025,bundesliga
mads pedersen,Augsburg,1996.0,7,2,235,0,0,0,0,1,11,10,2024-2025,bundesliga
jordan pefok,Union Berlin,1996.0,18,10,908,0,1,2,0,3,12,40,2024-2025,bundesliga
daniel peretz,Bayern Munich,2000.0,3,3,270,0,0,1,0,0,1,0,2024-2025,bundesliga
noah pesch,Gladbach,2005.0,1,0,6,0,0,0,0,0,1,1,2024-2025,bundesliga
luca philipp,Hoffenheim,2000.0,6,6,540,0,0,0,0,0,0,0,2024-2025,bundesliga
maximilian philipp,Freiburg,1994.0,2,0,17,0,0,0,0,0,0,0,2024-2025,bundesliga
benedikt pichler,Holstein Kiel,1997.0,18,7,785,1,2,1,0,18,19,58,2024-2025,bundesliga
amos pieper,Werder Bremen,1998.0,23,16,1498,0,0,3,0,11,62,3,2024-2025,bundesliga
marvin pieringer,Heidenheim,1999.0,31,26,2206,7,4,7,0,23,59,115,2024-2025,bundesliga
alassane plea,Gladbach,1993.0,30,24,1902,11,4,3,0,51,116,141,2024-2025,bundesliga
finn porath,Holstein Kiel,1997.0,31,20,1970,2,3,3,0,42,58,69,2024-2025,bundesliga
yussuf poulsen,RB Leipzig,1994.0,22,2,378,2,0,1,0,2,12,30,2024-2025,bundesliga
alexander prass,Hoffenheim,2001.0,23,19,1566,0,1,1,0,28,63,66,2024-2025,bundesliga
david preu,Union Berlin,2004.0,5,1,121,0,0,1,0,1,3,9,2024-2025,bundesliga
grischa promel,Hoffenheim,1995.0,2,2,174,0,0,0,0,2,5,3,2024-2025,bundesliga
ivan prtajin,Union Berlin,1996.0,5,2,161,0,0,0,0,1,1,17,2024-2025,bundesliga
tymoteusz puchacz,Holstein Kiel,1999.0,10,5,396,0,1,0,0,13,8,30,2024-2025,bundesliga
leopold querfeld,Union Berlin,2003.0,27,17,1747,2,2,8,0,3,49,5,2024-2025,bundesliga
grant ranos,Gladbach,2003.0,2,0,20,0,0,1,0,1,1,2,2024-2025,bundesliga
david raum,RB Leipzig,1998.0,22,21,1783,1,5,5,0,36,71,127,2024-2025,bundesliga
