nombre,club_actual,temporada,liga,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,goles_esperados,asistencias_esperadas,goles_esperados_noPen,key_passes,xGChain,xGBuildup,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,altura,valor,xG_xA_por_90,eficiencia_gol,asistencias_esperadas_por_90
michael svoboda,serie-a,2024-2025,serie-a,DF,1998,16,15,1314.0,1.0,0.0,1,0,13,43,5,0.20009919,0.9600301,0.20009919,5,3.791474578902125,3.685541717335582,19,6,1,42.1,26,14,19,11,8,,,0.08,4.997521601372729,0.07
michael svoboda,serie-a,2024-2025,serie-a,DF,1998,16,15,1314.0,1.0,0.0,1,0,13,43,5,0.20009919,0.9600301,0.20009919,5,3.791474578902125,3.685541717335582,19,6,1,42.1,26,14,19,11,8,,,0.08,4.997521601372729,0.07
michele di gregorio,serie-a,2022-2023,serie-a,GK,1997,37,37,3330.0,0.0,1.0,0,0,0,0,0,0.0,0.19933401,0.0,1,3.494345225393772,3.295011229813099,0,0,0,0.0,0,0,1,0,1,,,0.01,,0.01
michele di gregorio,serie-a,2023-2024,serie-a,GK,1997,33,33,2872.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0,5.725842714309692,5.725842714309692,1,0,0,25.0,1,0,1,0,1,,,0.0,,0.0
mikael ellertsson,serie-a,2022-2023,serie-a,"MF,DF",2002,11,1,171.0,0.0,0.0,3,0,3,3,4,0.106972,0.0213239,0.106972,1,0.3444938063621521,0.2161980047821998,1,3,0,0.0,4,2,2,1,1,,,0.07,0.0,0.01
mikael ellertsson,serie-a,2024-2025,serie-a,"DF,MF",2002,36,29,2470.0,2.0,2.0,2,0,33,36,92,1.382083,2.1617317,1.382083,20,5.425039594992995,2.492546943947673,37,14,7,54.1,58,26,42,5,37,,,0.13,1.4470910325586546,0.08
mikael ellertsson,serie-a,2024-2025,serie-a,"DF,MF",2002,36,29,2470.0,2.0,2.0,2,0,33,36,92,1.382083,2.1617317,1.382083,20,5.425039594992995,2.492546943947673,37,14,7,54.1,58,26,42,5,37,,,0.13,1.4470910325586546,0.08
mike maignan,serie-a,2024-2025,serie-a,GK,1995,37,37,3294.0,0.0,0.0,1,0,0,4,0,0.0,0.52410704,0.0,5,8.307053437456489,7.820246497169137,0,0,0,0.0,0,0,1,0,1,,,0.01,,0.01
mike maignan,serie-a,2024-2025,serie-a,GK,1995,37,37,3294.0,0.0,0.0,1,0,0,4,0,0.0,0.52410704,0.0,5,8.307053437456489,7.820246497169137,0,0,0,0.0,0,0,1,0,1,,,0.01,,0.01
mikey moore,premier-league,2023-2024,premier-league,MF,2007,2,0,4.0,0.0,0.0,0,0,2,1,2,0.0,0.0,0.0,0,0.0,0.0,0,0,0,,0,0,0,0,0,1.8,,0.0,,0.0
