Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
endrick,Real Madrid,7,41,80,23,11,36.4,308,5,10,10,3,2024-2025,laliga
alfonso espino,Rayo Vallecano,217,288,139,10,14,35.7,675,13,4,10,9,2024-2025,laliga
dario essugo,Las Palmas,362,732,148,10,18,66.7,1382,21,2,35,21,2024-2025,laliga
etienne etoo,Rayo Vallecano,1,5,7,2,2,0.0,0,0,0,2,0,2024-2025,laliga
karl etta,Villarreal,1,2,6,1,0,,0,0,0,4,0,2024-2025,laliga
edu exposito,Espanyol,105,308,230,26,28,53.6,954,20,4,29,18,2024-2025,laliga
abde ezzalzouli,Betis,120,407,585,151,103,44.7,3025,75,58,64,50,2024-2025,laliga
ansu fati,Barcelona,8,59,105,22,11,45.5,234,7,4,10,4,2024-2025,laliga
nabil fekir,Betis,3,52,53,6,5,0.0,259,4,2,4,6,2024-2025,laliga
kiko femenia,Villarreal,630,812,280,9,24,70.8,2602,30,0,22,10,2024-2025,laliga
aitor fernandez,Osasuna,50,0,0,0,0,,105,0,0,0,0,2024-2025,laliga
alvaro fernandez,Sevilla,347,2,0,0,0,,400,0,0,0,0,2024-2025,laliga
pelayo fernandez,Rayo Vallecano,26,14,0,0,0,,38,0,0,0,1,2024-2025,laliga
roberto fernandez,Espanyol,70,222,151,37,27,40.7,283,10,3,55,16,2024-2025,laliga
valery fernandez,Mallorca,22,69,44,8,6,16.7,126,3,1,5,3,2024-2025,laliga
andre ferreira,Valladolid,215,1,0,0,0,,280,0,0,0,0,2024-2025,laliga
mateo flores,Betis,27,47,11,1,0,,55,0,0,3,3,2024-2025,laliga
pablo fornals,Betis,171,684,428,36,28,28.6,1523,34,7,24,16,2024-2025,laliga
hector fort,Barcelona,111,300,166,17,9,22.2,679,15,2,4,4,2024-2025,laliga
dimitri foulquier,Valencia,451,770,319,26,33,24.2,2372,33,7,30,16,2024-2025,laliga
juan foyth,Villarreal,631,460,111,21,9,44.4,2328,14,0,11,2,2024-2025,laliga
fran,Real Madrid,22,0,0,0,0,,23,0,0,0,0,2024-2025,laliga
alejandro frances,Girona,343,503,130,7,14,50.0,1469,9,1,8,1,2024-2025,laliga
enric franquesa,Leganés,89,157,68,6,21,42.9,337,10,2,21,2,2024-2025,laliga
jorge de frutos,Rayo Vallecano,165,328,544,107,104,30.8,2074,50,28,81,38,2024-2025,laliga
dario fuentes,Sevilla,0,0,2,0,0,,0,0,0,0,0,2024-2025,laliga
manuel fuster,Las Palmas,93,364,288,23,17,29.4,1016,15,3,20,16,2024-2025,laliga
