Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
tim drexler,Hoffenheim,197,208,13,4,5,20.0,603,2,0,4,1,2023-2024,bundesliga
marvin ducksch,Werder Bremen,81,531,559,110,28,42.9,834,20,7,53,17,2023-2024,bundesliga
julien duranville,Dortmund,1,6,7,1,5,60.0,26,1,1,3,4,2023-2024,bundesliga
maximilian eggestein,Freiburg,371,958,324,35,37,54.1,2100,41,3,30,19,2023-2024,bundesliga
lilian egloff,Stuttgart,20,22,14,1,2,0.0,69,3,0,0,1,2023-2024,bundesliga
hugo ekitike,Eint Frankfurt,20,137,159,56,39,46.2,500,9,9,26,13,2023-2024,bundesliga
elif elmas,RB Leipzig,20,77,63,14,10,50.0,211,7,4,6,6,2023-2024,bundesliga
nico elvedi,Gladbach,1047,881,79,25,9,66.7,3837,19,0,7,4,2023-2024,bundesliga
arne engels,Augsburg,142,337,249,18,11,54.5,786,18,4,15,7,2023-2024,bundesliga
ohis felix uduokhai,Augsburg,1027,916,103,53,7,85.7,2608,11,1,17,7,2023-2024,bundesliga
edimilson fernandes,Mainz 05,403,418,138,4,8,75.0,1467,12,1,6,5,2023-2024,bundesliga
nacho ferri,Eint Frankfurt,5,21,19,6,1,0.0,19,0,0,6,2,2023-2024,bundesliga
max finkgrafe,Köln,333,510,308,24,58,62.1,1845,35,11,37,24,2023-2024,bundesliga
kilian fischer,Wolfsburg,60,71,55,8,2,50.0,179,3,1,5,1,2023-2024,bundesliga
jonas fohrenbach,Heidenheim,642,733,355,21,27,29.6,2496,32,2,22,11,2023-2024,bundesliga
emil forsberg,RB Leipzig,25,132,105,19,9,33.3,290,3,4,12,7,2023-2024,bundesliga
philipp forster,Bochum,24,114,114,9,4,25.0,276,10,1,9,7,2023-2024,bundesliga
bartol franjic,Darmstadt 98,214,410,72,7,13,53.8,841,8,1,13,8,2023-2024,bundesliga
marco friedl,Werder Bremen,824,541,34,4,6,83.3,1801,6,0,13,5,2023-2024,bundesliga
marvin friedrich,Gladbach,670,375,47,17,3,66.7,1267,7,1,10,1,2023-2024,bundesliga
jeremie frimpong,Leverkusen,158,406,784,205,106,45.3,3756,62,73,51,37,2023-2024,bundesliga
chris fuhrich,Stuttgart,117,628,948,124,153,47.7,4459,106,56,53,27,2023-2024,bundesliga
shio fukuda,Gladbach,2,4,9,5,1,100.0,4,0,0,1,3,2023-2024,bundesliga
niclas fullkrug,Werder Bremen,7,44,34,5,1,0.0,71,1,0,4,1,2023-2024,bundesliga
niclas fullkrug,Dortmund,71,353,360,105,20,25.0,560,16,11,50,23,2023-2024,bundesliga
cristian gamboa,Bochum,189,305,117,1,12,41.7,527,11,0,11,3,2023-2024,bundesliga
dennis geiger,Hoffenheim,8,6,3,1,0,,19,0,0,1,0,2023-2024,bundesliga
yannick gerhardt,Wolfsburg,187,474,247,41,4,0.0,856,14,4,13,9,2023-2024,bundesliga
anwar el ghazi,Mainz 05,2,11,18,3,4,50.0,85,2,0,3,0,2023-2024,bundesliga
benedikt gimber,Heidenheim,712,353,42,26,11,72.7,1456,1,0,13,4,2023-2024,bundesliga
matthias ginter,Freiburg,563,826,77,17,5,40.0,3308,15,0,8,2,2023-2024,bundesliga
jamie gittens,Dortmund,68,213,308,67,99,42.4,1669,50,40,35,31,2023-2024,bundesliga
klaus gjasula,Darmstadt 98,379,465,78,12,5,60.0,1196,8,0,7,6,2023-2024,bundesliga
serge gnabry,Bayern Munich,33,108,135,34,12,50.0,577,9,12,11,3,2023-2024,bundesliga
leon goretzka,Bayern Munich,453,1148,435,61,24,54.2,3520,56,1,14,14,2023-2024,bundesliga
robin gosens,Union Berlin,379,677,444,58,14,35.7,1021,20,1,29,8,2023-2024,bundesliga
mario gotze,Eint Frankfurt,297,812,449,42,39,46.2,1465,34,2,34,26,2023-2024,bundesliga
jeffrey gouweleeuw,Augsburg,814,836,138,35,23,65.2,4109,24,2,11,7,2023-2024,bundesliga
jens grahl,Eint Frankfurt,100,0,0,0,0,,146,0,0,0,0,2023-2024,bundesliga
ryan gravenberch,Bayern Munich,0,3,4,2,1,100.0,9,0,0,0,0,2023-2024,bundesliga
michael gregoritsch,Freiburg,97,263,309,101,18,27.8,458,18,4,36,13,2023-2024,bundesliga
vincenzo grifo,Freiburg,226,789,572,64,59,39.0,2071,33,24,37,20,2023-2024,bundesliga
florian grillitsch,Hoffenheim,747,1137,184,8,23,56.5,3813,17,3,12,12,2023-2024,bundesliga
alex grimaldo,Leverkusen,429,940,1112,106,48,41.7,3113,56,15,50,18,2023-2024,bundesliga
christian gro,Werder Bremen,248,315,58,9,3,66.7,1245,6,2,10,4,2023-2024,bundesliga
brajan gruda,Mainz 05,72,362,541,93,148,46.6,2497,55,44,70,49,2023-2024,bundesliga
ilia gruev,Werder Bremen,0,3,0,0,0,,0,0,0,2,0,2023-2024,bundesliga
raphael guerreiro,Bayern Munich,230,485,408,43,19,68.4,1838,33,5,10,11,2023-2024,bundesliga
josuha guilavogui,Mainz 05,157,83,7,4,0,,138,1,0,7,1,2023-2024,bundesliga
serhou guirassy,Stuttgart,62,555,453,156,41,39.0,950,19,19,71,38,2023-2024,bundesliga
peter gulacsi,RB Leipzig,481,16,0,0,0,,682,0,0,0,0,2023-2024,bundesliga
manuel gulde,Freiburg,634,626,50,17,4,50.0,1606,13,0,13,2,2023-2024,bundesliga
robert gumny,Augsburg,68,121,74,8,13,38.5,213,9,1,14,1,2023-2024,bundesliga
christian gunter,Freiburg,147,246,197,14,9,44.4,579,20,5,11,7,2023-2024,bundesliga
janik haberer,Union Berlin,162,372,176,17,19,42.1,456,9,0,17,5,2023-2024,bundesliga
robin hack,Gladbach,116,337,311,65,60,43.3,1378,39,20,49,36,2023-2024,bundesliga
amadou haidara,RB Leipzig,219,632,161,12,11,81.8,1007,10,2,12,9,2023-2024,bundesliga
sebastien haller,Dortmund,18,78,68,24,5,80.0,175,4,2,10,4,2023-2024,bundesliga
andreas hancheolsen,Mainz 05,303,226,14,5,0,,485,1,0,4,2,2023-2024,bundesliga
isak hansenaaren,Werder Bremen,3,9,10,0,2,0.0,72,2,0,1,2,2023-2024,bundesliga
genki haraguchi,Stuttgart,5,14,2,1,0,,30,0,0,0,0,2023-2024,bundesliga
makoto hasebe,Eint Frankfurt,73,125,12,0,0,,432,1,0,1,1,2023-2024,bundesliga
thorgan hazard,Dortmund,1,6,2,0,0,,3,0,0,0,0,2023-2024,bundesliga
dominique heintz,Köln,154,274,64,2,4,75.0,699,12,1,6,3,2023-2024,bundesliga
benjamin henrichs,RB Leipzig,508,850,620,68,54,61.1,2958,51,7,32,20,2023-2024,bundesliga
patrick herrmann,Gladbach,5,22,32,9,1,0.0,92,4,1,1,1,2023-2024,bundesliga
piero hincapie,Leverkusen,472,895,237,25,6,16.7,3063,32,1,11,4,2023-2024,bundesliga
