Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
george earthy,West Ham,3,7,8,1,0,,13,1,0,0,0,2023-2024,premier-league
ederson,Manchester City,1263,20,0,0,1,100.0,2353,0,0,0,0,2023-2024,premier-league
odsonne edouard,Crystal Palace,59,222,326,98,50,38.0,877,18,25,55,26,2023-2024,premier-league
john egan,Sheffield Utd,163,81,13,9,0,,233,2,0,2,1,2023-2024,premier-league
hjalmar ekdal,Burnley,131,124,15,3,3,66.7,523,4,0,2,1,2023-2024,premier-league
anthony elanga,Nott'ham Forest,181,348,507,122,76,36.8,2514,54,42,67,22,2023-2024,premier-league
harvey elliott,Liverpool,91,546,512,71,20,45.0,1753,50,9,15,9,2023-2024,premier-league
mohamed elneny,Arsenal,9,30,6,1,0,,62,0,0,1,0,2023-2024,premier-league
emerson,Tottenham,462,517,249,12,21,47.6,1292,19,2,15,12,2023-2024,premier-league
julio enciso,Brighton,24,106,131,21,29,58.6,839,20,7,15,8,2023-2024,premier-league
wataru endo,Liverpool,295,1002,224,9,16,62.5,1523,21,2,27,22,2023-2024,premier-league
christian eriksen,Manchester Utd,165,492,246,12,6,50.0,1199,21,2,8,14,2023-2024,premier-league
maxime esteve,Burnley,465,463,52,8,3,33.3,1664,18,2,5,3,2023-2024,premier-league
pervis estupinan,Brighton,256,546,316,37,23,39.1,1806,30,13,20,6,2023-2024,premier-league
jonny evans,Manchester Utd,556,420,31,8,7,57.1,1441,5,0,5,3,2023-2024,premier-league
eberechi eze,Crystal Palace,121,522,658,103,140,49.3,2098,61,43,77,48,2023-2024,premier-league
ukasz fabianski,West Ham,255,5,0,0,0,,585,0,0,0,0,2023-2024,premier-league
romain faivre,Bournemouth,3,15,19,3,7,28.6,121,4,0,3,1,2023-2024,premier-league
ansu fati,Brighton,27,141,135,43,18,27.8,451,5,9,15,10,2023-2024,premier-league
felipe,Nott'ham Forest,133,116,9,4,2,50.0,361,1,0,3,1,2023-2024,premier-league
evan ferguson,Brighton,64,204,185,45,16,43.8,414,9,5,40,31,2023-2024,premier-league
bruno fernandes,Manchester Utd,414,1069,1126,105,44,43.2,3408,61,23,48,35,2023-2024,premier-league
enzo fernandez,Chelsea,442,1209,488,47,44,52.3,3109,46,8,29,24,2023-2024,premier-league
john fleck,Sheffield Utd,10,29,11,1,1,0.0,39,1,0,2,0,2023-2024,premier-league
mark flekken,Brentford,1584,74,0,0,4,75.0,2908,0,0,0,0,2023-2024,premier-league
phil foden,Manchester City,174,785,1211,190,102,46.1,3434,79,56,62,49,2023-2024,premier-league
wes foderingham,Sheffield Utd,1137,20,0,0,2,100.0,2231,0,0,1,1,2023-2024,premier-league
pablo fornals,West Ham,53,128,98,20,12,50.0,256,7,2,8,8,2023-2024,premier-league
omari forson,Manchester Utd,2,25,12,1,2,50.0,34,3,0,1,0,2023-2024,premier-league
lyle foster,Burnley,93,289,321,93,39,48.7,1278,31,36,69,33,2023-2024,premier-league
matheus franca,Crystal Palace,31,45,51,9,14,28.6,372,11,5,4,7,2023-2024,premier-league
nathan fraser,Wolves,10,28,25,5,0,,22,1,1,4,2,2023-2024,premier-league
cody gakpo,Liverpool,77,335,412,107,54,57.4,1472,31,13,44,32,2023-2024,premier-league
conor gallagher,Chelsea,468,1221,793,79,65,58.5,2979,54,14,69,39,2023-2024,premier-league
idrissa gana gueye,Everton,280,608,252,21,25,44.0,1431,26,2,17,20,2023-2024,premier-league
alejandro garnacho,Manchester Utd,180,403,741,248,131,36.6,4211,83,102,69,49,2023-2024,premier-league
james garner,Everton,307,776,549,41,41,46.3,1657,37,5,33,10,2023-2024,premier-league
saman ghoddos,Brentford,139,223,184,10,13,23.1,717,12,2,10,4,2023-2024,premier-league
morgan gibbswhite,Nott'ham Forest,217,896,801,103,116,37.9,2866,61,15,78,44,2023-2024,premier-league
bryan gil,Tottenham,25,66,101,18,11,72.7,340,6,5,9,7,2023-2024,premier-league
alfie gilchrist,Chelsea,72,57,49,5,1,100.0,130,1,0,2,2,2023-2024,premier-league
ryan giles,Luton Town,81,74,119,4,8,50.0,241,5,2,7,1,2023-2024,premier-league
billy gilmour,Brighton,447,1425,417,12,23,34.8,3120,53,0,28,9,2023-2024,premier-league
ben godfrey,Everton,221,265,172,19,14,35.7,571,12,0,10,6,2023-2024,premier-league
andre gomes,Everton,57,179,121,11,12,25.0,333,7,3,8,6,2023-2024,premier-league
joao gomes,Wolves,433,859,352,35,55,47.3,1772,22,6,42,44,2023-2024,premier-league
toti gomes,Wolves,1020,927,169,22,31,74.2,2325,16,2,17,6,2023-2024,premier-league
joe gomez,Liverpool,371,832,375,28,32,46.9,2313,34,3,25,11,2023-2024,premier-league
sergio gomez,Manchester City,10,19,30,3,2,100.0,112,0,1,0,0,2023-2024,premier-league
enso gonzalez,Wolves,0,4,3,0,0,,3,1,0,1,0,2023-2024,premier-league
anthony gordon,Newcastle Utd,158,555,733,147,133,40.6,3668,73,59,70,40,2023-2024,premier-league
kaide gordon,Liverpool,0,0,2,1,0,,0,0,0,1,0,2023-2024,premier-league
daniel gore,Manchester Utd,0,1,1,0,0,,2,0,0,0,0,2023-2024,premier-league
ryan gravenberch,Liverpool,84,347,272,42,50,46.0,1369,28,10,46,13,2023-2024,premier-league
ivo grbic,Sheffield Utd,317,7,0,0,0,,772,0,0,0,0,2023-2024,premier-league
jack grealish,Manchester City,53,206,443,82,41,43.9,2080,46,50,19,22,2023-2024,premier-league
pascal gro,Brighton,826,1681,1050,70,30,53.3,5189,69,8,35,28,2023-2024,premier-league
marc guehi,Crystal Palace,761,678,67,12,13,53.8,2201,9,1,9,2,2023-2024,premier-league
bruno guimaraes,Newcastle Utd,573,1482,722,75,132,54.5,4241,73,19,61,70,2023-2024,premier-league
malo gusto,Chelsea,470,698,499,49,42,40.5,2791,41,16,32,12,2023-2024,premier-league
josko gvardiol,Manchester City,452,1124,622,60,45,57.8,3249,49,15,23,14,2023-2024,premier-league
erling haaland,Manchester City,36,206,398,183,30,40.0,728,13,22,41,19,2023-2024,premier-league
antwoine hackford,Sheffield Utd,0,2,2,0,1,0.0,2,1,0,1,0,2023-2024,premier-league
lewis hall,Newcastle Utd,255,285,137,12,18,50.0,1035,16,5,9,13,2023-2024,premier-league
gustavo hamer,Sheffield Utd,286,648,485,44,58,48.3,1572,26,13,37,17,2023-2024,premier-league
luke harris,Fulham,8,6,5,1,2,0.0,6,1,0,0,0,2023-2024,premier-league
jack harrison,Everton,167,338,445,59,75,38.7,1546,31,14,68,41,2023-2024,premier-league
daiki hashioka,Luton Town,165,137,55,2,2,50.0,303,3,0,8,6,2023-2024,premier-league
kai havertz,Arsenal,143,541,611,184,42,38.1,1532,36,23,54,35,2023-2024,premier-league
jan paul van hecke,Brighton,1209,1311,157,20,9,55.6,6274,41,2,16,3,2023-2024,premier-league
hwang heechan,Wolves,100,345,344,103,69,52.2,999,21,24,55,31,2023-2024,premier-league
dean henderson,Crystal Palace,536,0,0,0,0,,734,0,0,1,0,2023-2024,premier-league
rico henry,Brentford,78,93,59,7,10,70.0,372,3,3,8,7,2023-2024,premier-league
son heungmin,Tottenham,87,458,823,212,92,42.4,2989,44,64,55,41,2023-2024,premier-league
aaron hickey,Brentford,132,155,76,7,14,35.7,505,3,1,14,5,2023-2024,premier-league
james hill,Bournemouth,26,24,12,0,1,0.0,7,1,0,1,1,2023-2024,premier-league
jack hinshelwood,Brighton,193,256,143,30,5,0.0,726,15,1,9,2,2023-2024,premier-league
mason holgate,Sheffield Utd,143,119,35,3,2,50.0,159,2,1,4,1,2023-2024,premier-league
callum hudsonodoi,Nott'ham Forest,129,298,524,77,80,53.8,3054,57,39,34,33,2023-2024,premier-league
will hughes,Crystal Palace,228,657,219,15,15,60.0,900,14,0,22,27,2023-2024,premier-league
