Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
koffi djidji,Torino,754,844,90,8,5,80.0,1486,10,0,7,6,2022-2023,serie-a
berat djimsiti,Atalanta,647,587,64,15,7,57.1,1396,7,1,10,5,2022-2023,serie-a
dodo,Fiorentina,464,813,462,24,62,54.8,3625,58,7,35,15,2022-2023,serie-a
josh doig,Hellas Verona,191,276,256,27,54,42.6,1064,24,5,33,16,2022-2023,serie-a
nicolas dominguez,Bologna,308,991,419,37,37,62.2,1802,41,5,50,21,2022-2023,serie-a
giulio donati,Monza,151,159,44,1,3,33.3,462,6,0,3,1,2022-2023,serie-a
bartomiej dragowski,Spezia,1258,7,0,0,0,,2471,0,0,0,0,2022-2023,serie-a
ondrej duda,Hellas Verona,86,363,131,11,34,58.8,701,14,0,14,17,2022-2023,serie-a
denzel dumfries,Inter,266,551,467,99,52,34.6,1928,32,23,39,20,2022-2023,serie-a
alfred duncan,Fiorentina,92,371,179,9,23,52.2,786,16,4,17,14,2022-2023,serie-a
paulo dybala,Roma,85,542,478,78,64,42.2,1816,43,20,62,32,2022-2023,serie-a
edin dzeko,Inter,67,351,341,113,26,30.8,726,12,15,48,16,2022-2023,serie-a
festy ebosele,Udinese,64,82,97,13,36,52.8,644,18,6,17,9,2022-2023,serie-a
enzo ebosse,Udinese,292,306,72,0,7,57.1,868,7,1,8,3,2022-2023,serie-a
tyronne ebuehi,Empoli,452,437,210,28,26,42.3,1483,21,5,16,14,2022-2023,serie-a
ederson,Atalanta,339,778,355,46,66,56.1,2027,35,11,48,30,2022-2023,serie-a
kingsley ehizibue,Udinese,267,282,236,31,43,32.6,1020,16,7,20,11,2022-2023,serie-a
albin ekdal,Spezia,256,551,208,34,19,63.2,929,24,2,32,17,2022-2023,serie-a
emmanuel ekong,Empoli,1,4,2,0,1,0.0,43,1,0,0,0,2022-2023,serie-a
mikael ellertsson,Spezia,11,31,19,0,3,33.3,80,2,0,2,2,2022-2023,serie-a
elif elmas,Napoli,130,582,498,47,52,44.2,1995,41,13,33,22,2022-2023,serie-a
martin erlic,Sassuolo,855,693,21,10,2,50.0,2132,2,1,13,1,2022-2023,serie-a
gonzalo escalante,Cremonese,103,199,56,7,5,20.0,341,4,0,7,7,2022-2023,serie-a
salvatore esposito,Spezia,175,409,156,7,14,42.9,584,3,1,10,4,2022-2023,serie-a
nicolo fagioli,Juventus,124,411,221,15,19,42.1,921,19,5,33,28,2022-2023,serie-a
wladimiro falcone,Lecce,1267,5,0,0,0,,2301,0,0,1,0,2022-2023,serie-a
davide faraoni,Hellas Verona,226,335,213,27,16,43.8,549,9,2,12,4,2022-2023,serie-a
federico fazio,Salernitana,318,309,58,17,8,50.0,877,11,1,11,5,2022-2023,serie-a
jacopo fazzini,Empoli,135,216,132,15,31,41.9,552,14,0,23,24,2022-2023,serie-a
lewis ferguson,Bologna,272,794,415,69,25,36.0,1460,37,7,33,16,2022-2023,serie-a
alex ferrari,Sampdoria,276,265,25,5,6,50.0,849,1,0,10,3,2022-2023,serie-a
alex ferrari,Cremonese,301,268,41,1,8,50.0,493,3,0,8,1,2022-2023,serie-a
salvador ferrer,Spezia,50,50,13,0,0,,88,0,0,2,1,2022-2023,serie-a
vincenzo fiorillo,Salernitana,25,0,0,0,0,,66,0,0,0,0,2022-2023,serie-a
alessandro florenzi,Milan,42,82,71,10,1,0.0,129,1,0,3,0,2022-2023,serie-a
davide frattesi,Sassuolo,280,704,456,109,74,45.9,2374,54,21,56,44,2022-2023,serie-a
matteo gabbia,Milan,258,163,7,1,0,,398,0,1,1,0,2022-2023,serie-a
manolo gabbiadini,Sampdoria,112,389,393,83,25,24.0,1022,24,10,52,30,2022-2023,serie-a
gianluca gaetano,Napoli,3,39,38,8,3,66.7,123,2,2,2,4,2022-2023,serie-a
roberto gagliardini,Inter,105,229,125,24,5,0.0,787,10,1,9,2,2022-2023,serie-a
adolfo gaich,Hellas Verona,21,129,116,26,17,64.7,181,4,4,22,9,2022-2023,serie-a
pablo galdames millan,Cremonese,93,211,89,6,10,20.0,338,6,0,12,5,2022-2023,serie-a
antonino gallo,Lecce,472,646,415,14,29,51.7,2501,44,5,22,7,2022-2023,serie-a
federico gatti,Juventus,527,532,71,23,11,72.7,2208,14,1,8,6,2022-2023,serie-a
valentin gendrey,Lecce,616,778,436,16,35,40.0,2380,34,4,48,12,2022-2023,serie-a
paolo ghiglione,Cremonese,106,135,122,9,11,18.2,381,7,1,6,4,2022-2023,serie-a
mario gila,Lazio,36,33,2,0,0,,99,1,0,1,1,2022-2023,serie-a
gvidas gineitis,Torino,9,74,19,3,3,33.3,142,3,1,1,1,2022-2023,serie-a
olivier giroud,Milan,59,348,402,158,14,50.0,359,10,7,63,16,2022-2023,serie-a
pierluigi gollini,Fiorentina,131,0,0,0,0,,217,0,0,0,0,2022-2023,serie-a
pierluigi gollini,Napoli,166,0,0,0,0,,337,0,0,0,0,2022-2023,serie-a
joan gonzalez,Lecce,226,570,299,37,49,36.7,1053,19,6,50,25,2022-2023,serie-a
nicolas gonzalez,Fiorentina,71,381,372,73,73,34.2,1421,31,9,45,14,2022-2023,serie-a
robin gosens,Inter,194,309,314,48,17,41.2,864,18,5,17,3,2022-2023,serie-a
alberto grassi,Empoli,261,400,80,13,8,50.0,474,6,1,18,12,2022-2023,serie-a
andrew gravillon,Torino,121,77,14,0,2,50.0,242,2,0,3,1,2022-2023,serie-a
axel guessand,Udinese,20,12,0,0,0,,28,0,0,1,0,2022-2023,serie-a
koray gunter,Hellas Verona,283,252,29,10,4,75.0,733,6,0,3,1,2022-2023,serie-a
koray gunter,Sampdoria,233,256,23,7,1,100.0,598,6,0,3,0,2022-2023,serie-a
emmanuel gyasi,Spezia,196,444,472,92,39,17.9,1210,33,15,72,42,2022-2023,serie-a
norbert gyomber,Salernitana,536,402,22,9,3,66.7,848,1,0,2,1,2022-2023,serie-a
christian gytkjr,Monza,8,80,73,27,5,60.0,53,2,2,17,5,2022-2023,serie-a
nicolas haas,Empoli,187,254,115,16,6,16.7,449,13,2,17,9,2022-2023,serie-a
samir handanovic,Inter,607,3,1,0,0,,1679,0,0,1,0,2022-2023,serie-a
abdou harroui,Sassuolo,68,211,126,15,15,73.3,632,20,3,12,13,2022-2023,serie-a
hans hateboer,Atalanta,220,343,263,29,9,44.4,904,14,1,8,7,2022-2023,serie-a
liam henderson,Empoli,135,353,142,14,5,0.0,709,9,0,11,6,2022-2023,serie-a
jack hendry,Cremonese,71,73,7,0,1,0.0,361,2,0,0,0,2022-2023,serie-a
matheus henrique,Sassuolo,153,563,321,31,53,64.2,1950,39,3,28,16,2022-2023,serie-a
thomas henry,Hellas Verona,25,160,192,48,14,21.4,181,7,1,52,25,2022-2023,serie-a
theo hernandez,Milan,495,1026,584,69,68,27.9,4489,80,16,46,19,2022-2023,serie-a
isak hien,Hellas Verona,794,526,47,13,31,51.6,1294,10,0,26,10,2022-2023,serie-a
morten hjulmand,Lecce,472,982,225,6,26,65.4,1324,16,0,29,19,2022-2023,serie-a
emil holm,Spezia,179,318,318,40,44,40.9,1128,24,10,47,22,2022-2023,serie-a
martin hongla,Hellas Verona,66,142,54,3,14,57.1,345,4,1,4,3,2022-2023,serie-a
petko hristov,Spezia,101,122,29,3,3,0.0,270,2,0,3,0,2022-2023,serie-a
ajdin hrustic,Hellas Verona,17,59,47,6,12,33.3,171,6,2,8,3,2022-2023,serie-a
elseid hysaj,Lazio,542,825,235,10,21,28.6,1836,27,4,19,13,2022-2023,serie-a
rasmus hjlund,Atalanta,17,251,438,133,75,37.3,855,26,31,94,56,2022-2023,serie-a
roger ibanez,Roma,992,974,80,33,22,59.1,3665,16,2,25,18,2022-2023,serie-a
zlatan ibrahimovic,Milan,5,31,36,7,3,0.0,53,1,1,5,2,2022-2023,serie-a
antonio iervolino,Salernitana,0,5,3,0,0,,6,0,0,0,0,2022-2023,serie-a
igor,Fiorentina,668,820,46,12,13,69.2,3206,13,0,9,11,2022-2023,serie-a
jonathan ikone,Fiorentina,78,372,490,109,90,53.3,2366,45,50,61,47,2022-2023,serie-a
ivan ilic,Hellas Verona,98,249,149,11,17,47.1,609,13,4,17,5,2022-2023,serie-a
ivan ilic,Torino,150,613,179,8,15,46.7,1577,28,3,19,5,2022-2023,serie-a
samuel ilingjunior,Juventus,35,50,93,10,14,35.7,336,16,3,9,4,2022-2023,serie-a
