Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
mama samba balde,Troyes,1995,34,30,2665,12,3,6,2,51,56,179,2022-2023,ligue-1
brice samba,Lens,1994,37,37,3330,0,0,3,0,0,1,0,2022-2023,ligue-1
renato sanches,Paris S-G,1997,23,6,717,2,0,1,0,30,56,25,2022-2023,ligue-1
alexis sanchez,Marseille,1988,35,32,2679,14,3,3,0,42,127,232,2022-2023,ligue-1
morgan sanson,Strasbourg,1994,18,18,1419,1,2,1,0,43,60,70,2022-2023,ligue-1
baptiste santamaria,Rennes,1995,25,20,1813,2,0,2,0,17,141,21,2022-2023,ligue-1
pablo sarabia,Paris S-G,1992,14,3,370,0,0,1,0,9,18,37,2022-2023,ligue-1
amin sarr,Lyon,2001,13,6,537,1,1,0,0,12,9,47,2022-2023,ligue-1
malang sarr,Monaco,1999,13,8,716,0,0,3,0,5,59,2,2022-2023,ligue-1
mamadou sarr,Lyon,2005,1,0,8,0,0,0,0,0,0,0,2022-2023,ligue-1
teji savanier,Montpellier,1991,30,30,2546,12,4,4,3,48,205,117,2022-2023,ligue-1
kasper schmeichel,Nice,1986,36,36,3240,0,0,0,0,0,0,0,2022-2023,ligue-1
alidu seidu,Clermont Foot,2000,28,28,2458,0,0,10,1,27,65,35,2022-2023,ligue-1
matz sels,Strasbourg,1992,38,38,3420,0,0,2,0,0,0,0,2022-2023,ligue-1
marvin senaya,Strasbourg,2001,1,0,9,0,0,0,0,1,1,0,2022-2023,ligue-1
kaj sierhuis,Reims,1998,14,1,218,0,0,0,0,5,3,29,2022-2023,ligue-1
vincent sierro,Toulouse,1995,15,7,665,0,0,3,0,7,49,13,2022-2023,ligue-1
caio henrique oliveira silva,Monaco,1997,35,32,2896,1,9,3,0,56,197,141,2022-2023,ligue-1
abdallah sima,Angers,2001,34,19,1836,5,1,0,0,38,21,140,2022-2023,ligue-1
moses simon,Nantes,1995,34,28,2346,5,4,3,0,138,62,218,2022-2023,ligue-1
lassine sinayoko,Auxerre,1999,33,16,1570,1,2,2,1,49,74,150,2022-2023,ligue-1
ibrahima sissoko,Strasbourg,1997,26,13,1310,0,2,1,0,18,67,41,2022-2023,ligue-1
moussa sissoko,Nantes,1989,30,22,1918,2,0,3,0,33,105,70,2022-2023,ligue-1
naatan skytta,Toulouse,2002,2,0,23,0,0,0,0,1,3,2,2022-2023,ligue-1
islam slimani,Brest,1988,16,11,986,1,1,5,0,11,26,61,2022-2023,ligue-1
eduard sobol,Strasbourg,1995,15,9,870,0,1,2,0,16,34,54,2022-2023,ligue-1
carlos soler,Paris S-G,1997,26,14,1187,3,2,0,0,18,53,67,2022-2023,ligue-1
francoisjoseph sollacaro,Ajaccio,1994,6,6,540,0,0,1,0,0,0,0,2022-2023,ligue-1
florian sotoca,Lens,1990,38,34,3054,7,9,4,0,53,186,302,2022-2023,ligue-1
moussa soumano,Ajaccio,2005,14,5,495,1,0,3,0,5,1,19,2022-2023,ligue-1
arnaud souquet,Montpellier,1992,12,3,361,0,0,1,0,5,10,14,2022-2023,ligue-1
kevin spadanuda,Ajaccio,1997,22,13,1063,0,1,3,0,17,17,56,2022-2023,ligue-1
djed spence,Rennes,2000,8,7,573,0,0,0,0,21,21,18,2022-2023,ligue-1
stijn spierings,Toulouse,1996,36,35,3120,2,0,6,0,31,231,30,2022-2023,ligue-1
calvin stengs,Nice,1998,4,3,212,0,0,0,0,10,12,16,2022-2023,ligue-1
tony strata,Ajaccio,2004,3,1,138,0,0,1,0,1,2,0,2022-2023,ligue-1
gabriel suazo,Toulouse,1997,18,14,1259,0,1,1,0,26,79,66,2022-2023,ligue-1
kamaldeen sulemana,Rennes,2002,14,2,326,1,0,1,0,17,18,57,2022-2023,ligue-1
yuito suzuki,Strasbourg,2001,3,0,36,1,0,0,0,3,3,6,2022-2023,ligue-1
issiaga sylla,Montpellier,1994,15,15,1305,1,3,0,0,28,82,65,2022-2023,ligue-1
issiaga sylla,Toulouse,1994,17,16,1372,0,0,3,0,51,95,107,2022-2023,ligue-1
nicolas tagliafico,Lyon,1992,34,34,2991,1,3,5,0,38,156,171,2022-2023,ligue-1
waniss taibi,Angers,2002,11,1,189,0,1,1,0,8,16,7,2022-2023,ligue-1
flavien tait,Rennes,1993,30,19,1680,2,2,2,0,52,154,56,2022-2023,ligue-1
montassar talbi,Lorient,1998,38,38,3420,1,2,0,0,13,61,0,2022-2023,ligue-1
thibault tamas,Montpellier,2001,1,0,10,0,0,0,0,0,0,1,2022-2023,ligue-1
florian tardieu,Troyes,1992,15,11,1009,3,0,2,0,20,83,17,2022-2023,ligue-1
nuno tavares,Marseille,2000,31,23,2349,6,0,6,1,96,115,245,2022-2023,ligue-1
enzo tchato,Montpellier,2002,21,11,1096,1,1,1,0,25,34,57,2022-2023,ligue-1
martin terrier,Rennes,1997,16,16,1319,9,4,0,0,34,60,137,2022-2023,ligue-1
tete,Lyon,2000,17,14,1107,6,2,3,0,49,52,130,2022-2023,ligue-1
arthur theate,Rennes,2000,35,35,3127,4,0,5,0,37,248,4,2022-2023,ligue-1
sada thioub,Angers,1995,27,11,1060,1,2,3,0,23,57,78,2022-2023,ligue-1
adrien thomasson,Strasbourg,1993,15,10,937,0,2,2,0,15,41,73,2022-2023,ligue-1
adrien thomasson,Lens,1993,20,16,1278,5,5,1,0,17,49,98,2022-2023,ligue-1
khephren thuram,Nice,2001,35,30,2547,2,4,3,0,92,128,77,2022-2023,ligue-1
alexis tibidi,Troyes,2003,3,0,74,0,0,0,0,1,0,4,2022-2023,ligue-1
jeanclair todibo,Nice,1999,34,33,2870,0,0,4,2,21,153,6,2022-2023,ligue-1
karl toko ekambi,Rennes,1992,17,11,972,3,2,0,0,30,21,87,2022-2023,ligue-1
karl toko ekambi,Lyon,1992,19,15,1353,4,2,1,0,58,36,188,2022-2023,ligue-1
corentin tolisso,Lyon,1994,30,25,2036,1,2,3,0,32,230,52,2022-2023,ligue-1
birama toure,Auxerre,1992,38,38,3400,2,0,3,0,10,138,25,2022-2023,ligue-1
mohamed toure,Reims,2004,3,0,23,0,0,0,0,1,1,5,2022-2023,ligue-1
souleymane toure,Marseille,2003,5,0,68,0,0,1,0,1,2,1,2022-2023,ligue-1
souleymane toure,Auxerre,2003,19,18,1588,1,0,5,1,11,45,6,2022-2023,ligue-1
yoann touzghar,Ajaccio,1986,11,5,447,0,0,0,1,3,7,24,2022-2023,ligue-1
charles traore,Nantes,1992,12,6,482,0,0,2,0,2,11,8,2022-2023,ligue-1
hamari traore,Rennes,1992,31,28,2528,1,4,5,0,55,159,162,2022-2023,ligue-1
theo trinker,Nice,2001,1,0,1,0,0,0,0,0,0,0,2022-2023,ligue-1
adrien truffert,Rennes,2001,28,24,1954,0,6,1,0,55,89,166,2022-2023,ligue-1
theocharis tsingaras,Toulouse,2000,1,0,7,0,0,0,0,0,1,0,2022-2023,ligue-1
ike ugbo,Troyes,1998,25,9,895,2,1,0,0,9,8,34,2022-2023,ligue-1
lesley ugochukwu,Rennes,2004,26,14,1330,0,1,3,1,11,50,11,2022-2023,ligue-1
cengiz under,Marseille,1997,37,28,2490,5,4,3,0,69,115,262,2022-2023,ligue-1
jere uronen,Brest,1994,6,3,300,0,1,0,0,3,15,14,2022-2023,ligue-1
yan valery,Angers,1999,30,30,2497,0,0,3,0,72,84,74,2022-2023,ligue-1
vanderson,Monaco,2001,31,24,2214,1,4,4,1,50,108,175,2022-2023,ligue-1
jordan veretout,Marseille,1993,38,31,2863,4,3,4,0,59,248,73,2022-2023,ligue-1
marco verratti,Paris S-G,1992,29,27,2194,0,0,10,1,40,262,52,2022-2023,ligue-1
joao victor,Nantes,1998,13,9,842,0,1,5,0,17,40,14,2022-2023,ligue-1
clement vidal,Ajaccio,2000,26,21,1901,1,0,5,1,3,61,3,2022-2023,ligue-1
alan virginius,Lille,2003,15,1,258,1,0,1,0,12,10,32,2022-2023,ligue-1
mattia viti,Nice,2002,9,7,634,1,0,0,0,1,19,1,2022-2023,ligue-1
vitinha,Marseille,2000,14,5,464,2,0,0,0,3,9,41,2022-2023,ligue-1
vitinha,Paris S-G,2000,36,29,2446,2,3,3,0,50,137,94,2022-2023,ligue-1
kevin volland,Monaco,1992,17,7,639,3,2,1,0,6,31,60,2022-2023,ligue-1
elye wahi,Montpellier,2003,33,29,2513,19,5,8,1,57,25,190,2022-2023,ligue-1
timothy weah,Lille,2000,29,18,1748,0,2,2,0,69,79,169,2022-2023,ligue-1
