Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
joe gomez,Liverpool,1997.0,9,6,519,0,0,1,0,5,35,2,2024-2025,premier-league
nicolas gonzalez,Manchester City,2002.0,11,9,760,1,0,3,0,9,50,11,2024-2025,premier-league
anthony gordon,Newcastle Utd,2001.0,34,28,2434,6,5,2,0,121,98,214,2024-2025,premier-league
ryan gravenberch,Liverpool,2002.0,37,37,3160,0,4,6,1,70,181,55,2024-2025,premier-league
archie gray,Tottenham,2006.0,28,19,1751,0,0,1,0,7,40,17,2024-2025,premier-league
jack grealish,Manchester City,1995.0,20,7,721,1,1,3,0,69,52,118,2024-2025,premier-league
jacob greaves,Ipswich Town,2000.0,25,25,2205,1,0,5,0,11,69,11,2024-2025,premier-league
brajan gruda,Brighton,2004.0,21,8,687,1,4,0,0,22,26,57,2024-2025,premier-league
albert grnbaek,Southampton,2001.0,4,2,143,0,0,0,0,1,1,3,2024-2025,premier-league
goncalo guedes,Wolves,1996.0,29,10,995,2,4,1,0,41,40,79,2024-2025,premier-league
marc guehi,Crystal Palace,2000.0,34,34,3059,3,2,9,1,22,134,10,2024-2025,premier-league
luis guilherme,West Ham,2006.0,12,1,150,0,0,0,0,4,5,16,2024-2025,premier-league
bruno guimaraes,Newcastle Utd,1997.0,38,38,3271,5,6,7,0,64,271,96,2024-2025,premier-league
marc guiu,Chelsea,2006.0,3,0,73,0,0,0,0,0,0,3,2024-2025,premier-league
ilkay gundogan,Manchester City,1990.0,33,25,2223,1,6,1,0,64,127,96,2024-2025,premier-league
malo gusto,Chelsea,2003.0,32,19,1862,0,1,4,0,50,119,85,2024-2025,premier-league
josko gvardiol,Manchester City,2002.0,37,36,3277,5,0,2,0,91,264,121,2024-2025,premier-league
erling haaland,Manchester City,2000.0,31,31,2736,22,3,2,0,24,20,124,2024-2025,premier-league
lewis hall,Newcastle Utd,2004.0,27,24,2189,0,4,3,0,41,123,80,2024-2025,premier-league
ali al hamadi,Ipswich Town,2002.0,11,0,134,0,0,3,0,4,3,14,2024-2025,premier-league
marcus harness,Ipswich Town,1996.0,2,0,45,0,0,0,0,0,2,1,2024-2025,premier-league
jack harrison,Everton,1996.0,34,24,2076,1,0,0,0,73,51,127,2024-2025,premier-league
taylor harwoodbellis,Southampton,2002.0,34,32,2825,1,0,9,0,29,125,9,2024-2025,premier-league
kai havertz,Arsenal,1999.0,23,21,1875,9,3,5,0,35,61,113,2024-2025,premier-league
ayden heaven,Manchester Utd,2006.0,4,2,170,0,0,1,0,1,7,1,2024-2025,premier-league
jan paul van hecke,Brighton,2000.0,34,33,2958,1,1,8,1,55,228,5,2024-2025,premier-league
hwang heechan,Wolves,1996.0,21,5,661,2,0,0,0,15,12,42,2024-2025,premier-league
dean henderson,Crystal Palace,1997.0,38,38,3420,0,0,3,0,0,0,0,2024-2025,premier-league
rico henry,Brentford,1997.0,5,0,99,0,0,0,0,0,4,5,2024-2025,premier-league
mads hermansen,Leicester City,2000.0,27,27,2385,0,0,1,0,0,1,0,2024-2025,premier-league
son heungmin,Tottenham,1992.0,30,24,2110,7,9,1,0,96,111,265,2024-2025,premier-league
james hill,Bournemouth,2002.0,10,6,448,0,1,1,0,3,16,8,2024-2025,premier-league
jack hinshelwood,Brighton,2005.0,26,22,1842,5,2,5,0,19,68,54,2024-2025,premier-league
george hirst,Ipswich Town,1999.0,26,5,661,3,1,3,0,9,13,31,2024-2025,premier-league
mason holgate,Everton,1996.0,1,0,6,0,0,0,0,0,0,0,2024-2025,premier-league
harry howell,Brighton,2008.0,1,0,7,0,0,0,0,0,0,3,2024-2025,premier-league
callum hudsonodoi,Nott'ham Forest,2000.0,31,25,2194,5,2,2,0,130,71,189,2024-2025,premier-league
will hughes,Crystal Palace,1995.0,33,24,2108,0,3,11,0,20,87,27,2024-2025,premier-league
dean huijsen,Bournemouth,2005.0,32,26,2427,3,2,10,0,41,132,10,2024-2025,premier-league
omari hutchinson,Ipswich Town,2003.0,31,30,2583,3,2,5,0,97,75,159,2024-2025,premier-league
rasmus hjlund,Manchester Utd,2003.0,32,23,2004,4,0,2,0,28,18,101,2024-2025,premier-league
igor,Brighton,1998.0,13,10,961,0,0,4,0,9,49,1,2024-2025,premier-league
danny ings,West Ham,1992.0,15,1,284,1,2,0,0,6,5,29,2024-2025,premier-league
tim iroegbunam,Everton,2003.0,18,5,574,0,1,4,0,8,15,9,2024-2025,premier-league
andy irving,West Ham,2000.0,10,1,166,0,0,2,0,0,9,4,2024-2025,premier-league
alexander isak,Newcastle Utd,1999.0,34,34,2756,23,6,1,0,83,88,217,2024-2025,premier-league
alex iwobi,Fulham,1996.0,38,35,2981,9,6,1,0,144,213,246,2024-2025,premier-league
nicolas jackson,Chelsea,2001.0,30,28,2220,10,5,7,1,47,38,129,2024-2025,premier-league
reece james,Chelsea,1999.0,19,12,1063,1,1,1,0,7,64,12,2024-2025,premier-league
vitaly janelt,Brentford,1998.0,32,27,2254,1,3,3,0,17,80,38,2024-2025,premier-league
vitezslav jaros,Liverpool,2001.0,1,0,12,0,0,0,0,0,0,0,2024-2025,premier-league
daniel jebbison,Bournemouth,2003.0,16,0,119,1,0,1,0,4,3,16,2024-2025,premier-league
mathias jensen,Brentford,1996.0,24,8,862,0,2,2,0,6,61,27,2024-2025,premier-league
gabriel jesus,Arsenal,1997.0,17,6,608,3,0,4,0,15,19,57,2024-2025,premier-league
raul jimenez,Fulham,1991.0,38,30,2494,12,3,4,0,35,62,125,2024-2025,premier-league
kim jisoo,Brentford,2004.0,3,0,30,0,0,0,0,0,2,0,2024-2025,premier-league
joao pedro,Brighton,2001.0,27,23,1948,10,6,4,1,66,78,128,2024-2025,premier-league
joelinton,Newcastle Utd,1996.0,29,29,2393,4,3,10,0,40,116,110,2024-2025,premier-league
ben johnson,Ipswich Town,2000.0,23,14,1354,1,2,5,1,16,27,33,2024-2025,premier-league
brennan johnson,Tottenham,2001.0,33,24,2177,11,3,5,0,60,71,197,2024-2025,premier-league
sam johnstone,Wolves,1993.0,7,7,630,0,0,0,0,0,0,0,2024-2025,premier-league
curtis jones,Liverpool,2001.0,33,19,1712,3,3,3,1,30,117,79,2024-2025,premier-league
jorginho,Arsenal,1991.0,15,9,704,0,0,5,0,12,48,6,2024-2025,premier-league
diogo jota,Liverpool,1996.0,26,14,1196,6,3,2,0,37,34,88,2024-2025,premier-league
