Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
youssouf ndayishimiye,Nice,1998,23,20,1712,0,0,6,1,16,96,13,2023-2024,ligue1
bassirou ndiaye,Lorient,2002,5,0,152,0,0,0,0,1,1,7,2023-2024,ligue1
iliman ndiaye,Marseille,2000,30,19,1618,3,3,0,1,51,62,152,2023-2024,ligue1
massamba ndiaye,Clermont Foot,2001,4,4,360,0,0,0,0,0,1,0,2023-2024,ligue1
rassoul ndiaye,Le Havre,2001,19,6,526,0,0,4,2,7,25,16,2023-2024,ligue1
cher ndour,Paris S-G,2004,3,0,28,0,0,1,0,0,2,1,2023-2024,ligue1
joseph nduquidi,Metz,2004,13,7,751,0,0,2,0,6,22,4,2023-2024,ligue1
loic nego,Le Havre,1991,28,18,1561,0,3,3,0,30,64,102,2023-2024,ligue1
steve ngoura,Le Havre,2005,12,1,223,0,1,0,0,3,9,19,2023-2024,ligue1
shamar nicholson,Clermont Foot,1997,26,17,1484,4,3,2,0,18,33,110,2023-2024,ligue1
rasmus nicolaisen,Toulouse,1997,33,33,2925,2,0,6,1,5,95,11,2023-2024,ligue1
arnaud nordin,Montpellier,1998,20,15,1246,5,3,1,1,56,52,125,2023-2024,ligue1
ernest nuamah,Lyon,2003,29,21,1838,3,2,4,0,105,74,237,2023-2024,ligue1
gerzino nyamsi,Strasbourg,1997,13,13,1092,0,0,1,0,3,25,3,2023-2024,ligue1
rabby nzingoula,Strasbourg,2005,6,1,133,0,1,1,0,3,8,6,2023-2024,ligue1
jake obrien,Lyon,2001,27,27,2369,4,2,4,1,15,68,2,2023-2024,ligue1
florent ogier,Clermont Foot,1989,14,9,943,1,1,1,0,4,17,0,2023-2024,ligue1
joseph okumu,Reims,1997,21,19,1743,1,0,3,0,15,94,3,2023-2024,ligue1
warmed omari,Rennes,2000,25,23,2071,1,0,5,1,22,123,1,2023-2024,ligue1
becir omeragic,Montpellier,2002,28,26,2312,0,0,4,0,21,71,12,2023-2024,ligue1
jean onana,Marseille,2000,13,5,566,1,0,1,0,9,32,9,2023-2024,ligue1
royce openda owaga,Lorient,2002,1,0,16,0,0,0,0,0,0,1,2023-2024,ligue1
christopher operi,Le Havre,1997,28,28,2445,3,4,6,0,31,82,111,2023-2024,ligue1
gift orban,Lyon,2002,13,5,474,1,0,2,0,8,6,33,2023-2024,ligue1
kassoum ouattara,Monaco,2004,14,7,636,1,0,2,0,32,22,67,2023-2024,ligue1
alexandre oukidja,Metz,1988,34,34,2987,0,0,3,0,1,3,0,2023-2024,ligue1
azzedine ounahi,Marseille,2000,21,15,1209,2,0,3,0,32,98,70,2023-2024,ligue1
adam ounas,Lille,1996,17,3,418,1,0,0,0,20,20,40,2023-2024,ligue1
patrick ouotro,Strasbourg,2005,1,0,8,0,0,0,0,1,1,0,2023-2024,ligue1
pablo pagis,Lorient,2002,3,3,165,0,0,1,0,1,5,6,2023-2024,ligue1
