Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
domenico berardi,Sassuolo,1994,17,17,1431,9,3,6,0,38,83,123,2023-2024,serie-a
bartosz bereszynski,Empoli,1992,24,22,1762,0,1,3,0,15,69,18,2023-2024,serie-a
etrit berisha,Empoli,1989,14,14,1260,0,0,0,0,0,0,0,2023-2024,serie-a
medon berisha,Lecce,2003,6,2,205,0,0,0,0,3,7,3,2023-2024,serie-a
victor bernth kristiansen,Bologna,2002,32,26,2307,0,3,4,0,23,123,74,2023-2024,serie-a
beto,Udinese,1998,1,1,74,0,0,0,0,0,2,5,2023-2024,serie-a
davide bettella,Monza,2000,1,0,3,0,0,0,0,0,0,0,2023-2024,serie-a
sam beukema,Bologna,1998,30,29,2547,1,1,6,1,14,76,5,2023-2024,serie-a
jaka bijol,Udinese,1999,24,23,2084,0,0,4,0,5,42,1,2023-2024,serie-a
el bilal toure,Atalanta,2001,11,3,394,2,0,2,0,16,11,39,2023-2024,serie-a
cristiano biraghi,Fiorentina,1992,29,27,2356,2,5,8,0,55,129,109,2023-2024,serie-a
davide biraschi,Genoa,1994,1,1,90,1,0,0,0,0,5,4,2023-2024,serie-a
samuele birindelli,Monza,1999,35,22,2013,0,2,7,0,63,70,122,2023-2024,serie-a
alexis blin,Lecce,1996,31,16,1642,0,2,4,0,7,60,11,2023-2024,serie-a
jerome boateng,Salernitana,1988,7,4,238,0,0,0,0,0,9,1,2023-2024,serie-a
emil bohinen,Genoa,1999,5,0,56,0,0,0,0,1,3,1,2023-2024,serie-a
emil bohinen,Salernitana,1999,12,7,535,0,0,1,0,7,26,10,2023-2024,serie-a
daniel boloca,Sassuolo,1998,30,23,2022,1,0,6,1,27,109,17,2023-2024,serie-a
giacomo bonaventura,Fiorentina,1989,31,27,2277,8,3,6,0,60,140,107,2023-2024,serie-a
federico bonazzoli,Hellas Verona,1997,24,10,1016,3,1,2,0,13,26,73,2023-2024,serie-a
