Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
famara diedhiou,Granada,1992.0,8,0,89,0,1,1,0,5,0,19,2023-2024,laliga
stole dimitrievski,Rayo Vallecano,1993.0,37,37,3330,0,0,2,0,0,0,0,2023-2024,laliga
djene,Getafe,1991.0,33,30,2484,0,0,14,1,13,98,19,2023-2024,laliga
marko dmitrovic,Sevilla,1992.0,13,13,1170,0,0,1,0,0,1,0,2023-2024,laliga
jaume domenech,Valencia,1990.0,2,1,79,0,0,0,0,0,0,0,2023-2024,laliga
carlos dominguez,Celta Vigo,2001.0,22,18,1584,0,0,2,0,11,63,3,2023-2024,laliga
mario dominguez,Valencia,2004.0,3,0,25,0,0,0,0,0,1,1,2023-2024,laliga
carlos dotor,Celta Vigo,2001.0,17,7,708,0,0,2,0,3,30,12,2023-2024,laliga
anastasios douvikas,Celta Vigo,1999.0,32,7,905,7,1,2,0,10,13,53,2023-2024,laliga
artem dovbyk,Girona,1997.0,36,32,2587,24,8,2,0,18,26,118,2023-2024,laliga
domingos duarte,Getafe,1995.0,15,11,907,0,0,5,2,7,47,0,2023-2024,laliga
ruben duarte,Alavés,1995.0,28,21,1878,2,1,7,0,16,81,39,2023-2024,laliga
hugo duro,Valencia,1999.0,37,35,2976,13,2,4,0,27,34,157,2023-2024,laliga
aritz elustondo,Real Sociedad,1994.0,15,7,812,0,1,2,0,4,31,2,2023-2024,laliga
adri embarba,Almería,1992.0,36,29,2476,3,2,5,0,94,58,167,2023-2024,laliga
youssef ennesyri,Sevilla,1997.0,33,28,2570,16,2,4,0,17,17,81,2023-2024,laliga
gonzalo escalante,Cádiz,1993.0,25,18,1697,1,2,2,1,4,66,14,2023-2024,laliga
aaron escandell,Las Palmas,1995.0,2,1,153,0,0,0,1,0,0,0,2023-2024,laliga
alfonso espino,Rayo Vallecano,1992.0,31,29,2507,0,1,9,0,41,113,89,2023-2024,laliga
bernardo espinosa,Girona,1989.0,2,0,2,0,0,0,0,0,0,0,2023-2024,laliga
karl etta,Cádiz,2003.0,1,0,21,0,0,0,0,0,0,1,2023-2024,laliga
abde ezzalzouli,Barcelona,2001.0,2,0,68,0,0,0,0,7,1,12,2023-2024,laliga
abde ezzalzouli,Betis,2001.0,26,6,865,1,0,1,0,57,25,89,2023-2024,laliga
radamel falcao,Rayo Vallecano,1986.0,22,2,407,1,0,4,0,7,7,23,2023-2024,laliga
fali,Cádiz,1993.0,30,30,2547,0,0,12,0,16,82,10,2023-2024,laliga
ansu fati,Barcelona,2002.0,3,0,50,0,0,0,0,6,4,5,2023-2024,laliga
nabil fekir,Betis,1993.0,19,10,1049,1,2,1,0,32,67,77,2023-2024,laliga
luiz felipe,Betis,1997.0,4,4,360,0,0,1,0,0,4,0,2023-2024,laliga
joao felix,Barcelona,1999.0,30,18,1540,7,3,3,0,69,68,169,2023-2024,laliga
kiko femenia,Villarreal,1991.0,23,16,1583,0,0,8,1,46,100,45,2023-2024,laliga
aitor fernandez,Osasuna,1991.0,7,6,551,0,0,2,0,0,1,0,2023-2024,laliga
alex fernandez,Cádiz,1992.0,26,14,1285,0,1,3,0,11,52,26,2023-2024,laliga
carlos fernandez,Real Sociedad,1996.0,10,5,408,2,1,3,0,5,4,13,2023-2024,laliga
raul fernandez,Granada,1988.0,4,4,280,0,0,0,0,0,0,0,2023-2024,laliga
valery fernandez,Girona,1999.0,27,2,506,2,0,1,0,20,12,54,2023-2024,laliga
fernando,Almería,1990.0,4,4,360,0,0,0,0,0,0,0,2023-2024,laliga
fernando,Sevilla,1987.0,8,5,459,0,0,0,0,5,24,7,2023-2024,laliga
andre ferreira,Granada,1996.0,15,14,1340,0,0,1,0,0,0,0,2023-2024,laliga
rachad fettal,Almería,2005.0,1,0,17,0,0,0,0,0,0,2,2023-2024,laliga
pablo fornals,Betis,1996.0,15,14,1148,3,2,2,0,37,89,82,2023-2024,laliga
hector fort,Barcelona,2006.0,7,4,318,0,2,0,0,3,7,38,2023-2024,laliga
dimitri foulquier,Valencia,1993.0,33,19,1842,0,0,3,0,42,72,64,2023-2024,laliga
juan foyth,Villarreal,1998.0,12,12,1062,1,1,1,0,19,51,28,2023-2024,laliga
jorge de frutos,Rayo Vallecano,1997.0,36,14,1549,2,0,1,0,42,40,144,2023-2024,laliga
daniel fuzato,Getafe,1997.0,1,0,7,0,0,0,0,0,0,0,2023-2024,laliga
matteo gabbia,Villarreal,1999.0,7,6,477,0,0,2,0,1,9,0,2023-2024,laliga
javi galan,Atlético Madrid,1994.0,5,0,88,0,0,1,0,3,4,13,2023-2024,laliga
javi galan,Real Sociedad,1994.0,14,13,1075,0,1,3,0,46,45,70,2023-2024,laliga
inigo ruiz de galarreta,Athletic Club,1993.0,29,25,2091,1,1,7,0,26,147,36,2023-2024,laliga
aleix garcia,Girona,1997.0,37,36,3199,3,6,4,1,58,294,52,2023-2024,laliga
alvaro garcia,Rayo Vallecano,1992.0,32,30,2475,6,1,8,1,56,63,252,2023-2024,laliga
dani garcia,Athletic Club,1990.0,17,7,745,1,0,4,0,3,36,4,2023-2024,laliga
david garcia,Osasuna,1994.0,27,27,2334,0,1,5,0,21,133,4,2023-2024,laliga
eric garcia,Barcelona,2001.0,2,0,57,0,0,1,0,0,5,0,2023-2024,laliga
eric garcia,Girona,2001.0,30,30,2637,5,0,4,0,45,221,18,2023-2024,laliga
fran garcia,Real Madrid,1999.0,25,15,1398,1,5,2,0,53,60,139,2023-2024,laliga
gonzalo garcia,Real Madrid,2004.0,2,0,19,0,0,0,0,1,0,3,2023-2024,laliga
jastin garcia,Girona,2004.0,3,0,32,0,0,0,0,2,2,8,2023-2024,laliga
raul garcia,Athletic Club,1986.0,20,1,420,1,0,3,0,4,19,15,2023-2024,laliga
ruben garcia,Osasuna,1993.0,30,19,1547,3,2,1,0,16,59,117,2023-2024,laliga
santiago garcia,Getafe,2001.0,1,0,25,0,0,0,0,1,2,1,2023-2024,laliga
unai garcia,Osasuna,1992.0,9,6,560,1,0,6,1,2,12,1,2023-2024,laliga
yarek gasiorowski,Valencia,2005.0,14,7,735,0,0,1,0,4,15,10,2023-2024,laliga
federico gattoni,Sevilla,1999.0,2,0,10,0,0,0,0,0,0,0,2023-2024,laliga
gavi,Barcelona,2004.0,12,10,944,1,1,5,0,26,39,38,2023-2024,laliga
paulo gazzaniga,Girona,1992.0,38,38,3420,0,0,2,0,0,0,0,2023-2024,laliga
david gil,Cádiz,1994.0,5,4,372,0,0,1,0,0,0,0,2023-2024,laliga
maxi gomez,Cádiz,1996.0,31,12,1163,0,0,2,0,13,11,54,2023-2024,laliga
moi gomez,Osasuna,1994.0,28,23,2006,3,0,3,0,36,127,69,2023-2024,laliga
unai gomez,Athletic Club,2003.0,25,9,875,2,0,1,0,20,28,48,2023-2024,laliga
edgar gonzalez,Almería,1997.0,31,30,2522,2,0,7,1,6,72,6,2023-2024,laliga
fabio gonzalez,Las Palmas,1997.0,6,1,123,0,0,1,0,0,9,2,2023-2024,laliga
giovanni gonzalez,Mallorca,1994.0,34,27,2464,1,1,6,0,28,91,95,2023-2024,laliga
hugo gonzalez,Valencia,2003.0,9,0,87,0,1,0,0,2,2,7,2023-2024,laliga
inaki gonzalez,Las Palmas,2004.0,1,0,5,0,0,0,0,0,0,0,2023-2024,laliga
peter gonzalez,Valencia,2002.0,15,5,649,0,0,1,0,19,16,48,2023-2024,laliga
urko gonzalez,Real Sociedad,2001.0,5,2,156,0,0,1,0,1,6,1,2023-2024,laliga
