Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
elif elmas,RB Leipzig,1999.0,14,2,266,0,0,0,0,9,9,18,2023-2024,bundesliga
nico elvedi,Gladbach,1996.0,30,28,2482,2,1,5,0,37,109,6,2023-2024,bundesliga
arne engels,Augsburg,2003.0,32,13,1405,3,2,1,1,23,52,62,2023-2024,bundesliga
ohis felix uduokhai,Augsburg,1997.0,33,33,2921,2,0,5,1,25,101,6,2023-2024,bundesliga
edimilson fernandes,Mainz 05,1996.0,21,13,1290,0,2,4,0,9,53,9,2023-2024,bundesliga
nacho ferri,Eint Frankfurt,2004.0,8,0,74,1,0,0,0,0,2,8,2023-2024,bundesliga
max finkgrafe,Köln,2004.0,24,18,1756,1,0,4,0,51,53,59,2023-2024,bundesliga
kilian fischer,Wolfsburg,2000.0,6,4,291,0,0,1,0,6,6,9,2023-2024,bundesliga
jonas fohrenbach,Heidenheim,1996.0,33,32,2788,0,0,2,0,44,96,69,2023-2024,bundesliga
emil forsberg,RB Leipzig,1991.0,14,5,464,2,1,0,0,8,22,38,2023-2024,bundesliga
philipp forster,Bochum,1995.0,13,3,385,0,0,1,0,7,21,19,2023-2024,bundesliga
bartol franjic,Darmstadt 98,2000.0,20,14,1229,0,1,5,0,13,50,14,2023-2024,bundesliga
marco friedl,Werder Bremen,1998.0,25,25,2197,1,0,6,0,4,59,2,2023-2024,bundesliga
marvin friedrich,Gladbach,1995.0,24,17,1566,0,0,1,0,2,34,4,2023-2024,bundesliga
jeremie frimpong,Leverkusen,2000.0,31,27,2251,9,7,6,0,153,49,348,2023-2024,bundesliga
chris fuhrich,Stuttgart,1998.0,34,33,2567,8,7,2,0,153,145,259,2023-2024,bundesliga
shio fukuda,Gladbach,2004.0,5,0,36,0,0,0,0,0,0,2,2023-2024,bundesliga
niclas fullkrug,Werder Bremen,1993.0,2,2,180,0,0,0,0,2,9,12,2023-2024,bundesliga
niclas fullkrug,Dortmund,1993.0,29,27,2212,12,8,1,0,17,49,119,2023-2024,bundesliga
cristian gamboa,Bochum,1989.0,22,12,1187,0,1,6,0,12,33,16,2023-2024,bundesliga
