Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
simon ramet,Lille,0,0,0,0,0,0,,0,,0,0,0,0,0,2022-2023,ligue-1
adil rami,Troyes,521,367,31,9,909,10,40.0,4,40.0,1427,7,0,7,0,2022-2023,ligue-1
sergio ramos,Paris S-G,1061,1566,159,30,2774,14,35.7,6,42.9,5696,20,3,8,6,2022-2023,ligue-1
aaron ramsey,Nice,208,723,361,50,1279,24,58.3,5,20.8,1934,34,8,24,32,2022-2023,ligue-1
lilian raolisoa,Angers,34,51,67,4,151,5,60.0,1,20.0,291,11,1,3,5,2022-2023,ligue-1
elba rashani,Clermont Foot,169,436,406,93,994,56,39.3,26,46.4,1714,39,22,49,25,2022-2023,ligue-1
rafael ratao,Toulouse,160,478,464,72,1084,85,44.7,37,43.5,2196,40,16,57,31,2022-2023,ligue-1
rayan raveloson,Auxerre,483,687,267,39,1420,27,29.6,11,40.7,2705,38,6,41,16,2022-2023,ligue-1
jeff reineadelaide,Troyes,33,96,36,1,159,17,58.8,7,41.2,518,13,0,3,13,2022-2023,ligue-1
jeff reineadelaide,Lyon,31,210,144,11,377,22,54.5,6,27.3,959,27,3,12,9,2022-2023,ligue-1
alexsandro ribeiro,Lille,643,770,44,23,1449,20,70.0,6,30.0,2890,5,0,11,5,2022-2023,ligue-1
remy riou,Lyon,240,1,0,0,241,0,,0,,403,0,0,0,0,2022-2023,ligue-1
renaud ripart,Troyes,85,336,278,55,689,42,26.2,26,61.9,1121,17,8,31,20,2022-2023,ligue-1
joe rodon,Rennes,487,667,25,13,1175,3,100.0,0,0.0,2308,3,0,5,2,2022-2023,ligue-1
valentin rongier,Marseille,506,1464,505,41,2455,45,64.4,15,33.3,5460,52,9,31,30,2022-2023,ligue-1
pablo rosario,Nice,357,693,184,16,1227,19,36.8,10,52.6,2232,19,0,22,11,2022-2023,ligue-1
anthony rouault,Toulouse,1282,1113,69,33,2451,10,30.0,5,50.0,4632,8,1,23,5,2022-2023,ligue-1
kays ruiz,Auxerre,19,19,4,1,41,1,100.0,0,0.0,68,0,1,2,1,2022-2023,ligue-1
fabian ruiz pena,Paris S-G,411,1161,410,41,1971,30,60.0,12,40.0,3162,35,4,23,16,2022-2023,ligue-1
halid sabanovic,Angers,84,178,94,6,352,12,33.3,8,66.7,519,10,1,12,3,2022-2023,ligue-1
falaye sacko,Montpellier,519,692,315,29,1503,36,47.2,15,41.7,2873,36,6,33,13,2022-2023,ligue-1
wesley said,Lens,11,145,121,41,270,26,65.4,9,34.6,491,12,6,18,6,2022-2023,ligue-1
theo sainteluce,Montpellier,93,160,76,6,326,13,61.5,5,38.5,417,9,1,9,4,2022-2023,ligue-1
hamza sakhi,Auxerre,171,614,342,28,1112,27,55.6,6,22.2,2110,37,3,20,13,2022-2023,ligue-1
mamadou sakho,Montpellier,239,293,8,5,539,2,50.0,1,50.0,1144,0,0,1,0,2022-2023,ligue-1
ibrahim salah,Rennes,24,59,75,5,154,18,72.2,5,27.8,469,11,1,5,4,2022-2023,ligue-1
amine salama,Angers,51,232,215,48,484,56,39.3,31,55.4,1060,19,16,48,19,2022-2023,ligue-1
yoann salmier,Troyes,871,821,89,20,1764,13,46.2,5,38.5,3568,23,3,9,7,2022-2023,ligue-1
mama samba balde,Troyes,120,498,422,125,1007,124,45.2,54,43.5,1725,29,25,122,68,2022-2023,ligue-1
brice samba,Lens,1291,18,0,0,1307,1,100.0,0,0.0,3117,0,0,1,0,2022-2023,ligue-1
renato sanches,Paris S-G,106,479,179,18,753,22,59.1,7,31.8,2154,26,4,13,8,2022-2023,ligue-1
alexis sanchez,Marseille,69,513,663,145,1231,82,52.4,32,39.0,1398,24,20,85,62,2022-2023,ligue-1
