Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
issa kabore,Werder Bremen,57,95,109,16,253,21,33.3,13,61.9,440,12,5,9,2,2024-2025,bundesliga
pavel kaderabek,Hoffenheim,255,415,348,31,1016,8,62.5,3,37.5,872,19,1,6,3,2024-2025,bundesliga
jakub kaminski,Wolfsburg,114,237,264,36,603,22,36.4,13,59.1,1112,25,16,20,11,2024-2025,bundesliga
kevin kampl,RB Leipzig,245,802,279,13,1316,19,68.4,6,31.6,2024,34,3,13,12,2024-2025,bundesliga
harry kane,Bayern Munich,77,333,511,162,908,53,43.4,29,54.7,954,19,21,41,22,2024-2025,bundesliga
atakan karazor,Stuttgart,417,1361,359,27,2124,21,57.1,4,19.0,1987,33,1,30,16,2024-2025,bundesliga
mikkel kaufmann,Heidenheim,19,71,51,12,139,7,28.6,3,42.9,171,6,4,11,2,2024-2025,bundesliga
yannik keitel,Stuttgart,50,143,35,4,225,1,100.0,0,0.0,182,0,1,2,1,2024-2025,bundesliga
andu kelati,Holstein Kiel,30,90,43,9,159,4,75.0,1,25.0,129,0,0,8,4,2024-2025,bundesliga
thomas keller,Heidenheim,53,56,6,0,115,0,,0,,101,2,0,2,0,2024-2025,bundesliga
aljoscha kemlein,Union Berlin,117,331,105,18,549,9,66.7,3,33.3,437,5,1,11,1,2024-2025,bundesliga
luca kerber,Heidenheim,131,173,62,11,364,5,20.0,3,60.0,255,0,1,12,4,2024-2025,bundesliga
rani khedira,Union Berlin,337,710,207,30,1246,11,45.5,6,54.5,738,10,2,24,10,2024-2025,bundesliga
joshua kimmich,Bayern Munich,540,2328,1017,19,3867,22,54.5,9,40.9,5197,83,1,21,7,2024-2025,bundesliga
tim kleindienst,Gladbach,145,613,403,137,1147,37,37.8,23,62.2,1024,21,24,82,42,2024-2025,bundesliga
lukas klostermann,RB Leipzig,608,751,118,13,1472,5,80.0,1,20.0,1573,14,1,9,0,2024-2025,bundesliga
ansgar knauff,Eint Frankfurt,141,310,336,75,775,56,46.4,25,44.6,1526,35,19,47,17,2024-2025,bundesliga
magnus knudsen,Holstein Kiel,332,548,113,9,987,16,56.3,7,43.8,1221,10,2,26,10,2024-2025,bundesliga
gregor kobel,Dortmund,1300,12,0,0,1312,2,100.0,0,0.0,2240,0,0,0,1,2024-2025,bundesliga
robin koch,Eint Frankfurt,1075,1019,60,29,2148,3,33.3,2,66.7,2780,6,0,12,3,2024-2025,bundesliga
derrick kohn,Werder Bremen,232,360,325,31,908,41,36.6,21,51.2,1333,24,7,23,12,2024-2025,bundesliga
dominik kohr,Mainz 05,814,744,143,22,1693,9,55.6,4,44.4,1745,20,4,20,7,2024-2025,bundesliga
marco komenda,Holstein Kiel,462,390,54,11,905,1,100.0,0,0.0,1096,8,1,3,0,2024-2025,bundesliga
mert komur,Augsburg,43,123,151,17,313,22,54.5,7,31.8,550,17,4,22,23,2024-2025,bundesliga
kacper koscierski,Bochum,0,0,0,0,0,0,,0,,0,0,0,0,0,2024-2025,bundesliga
henri koudossou,Augsburg,134,189,148,12,469,17,47.1,8,47.1,577,12,4,14,2,2024-2025,bundesliga
konstantinos koulierakis,Wolfsburg,957,839,97,30,1886,12,58.3,5,41.7,2681,17,0,18,2,2024-2025,bundesliga
matej kovar,Leverkusen,155,0,0,0,155,0,,0,,214,0,0,0,0,2024-2025,bundesliga
andrej kramaric,Hoffenheim,176,715,676,131,1551,47,42.6,22,46.8,2534,55,22,46,38,2024-2025,bundesliga
frans kratzig,Heidenheim,186,289,210,26,676,20,45.0,11,55.0,822,17,6,21,8,2024-2025,bundesliga
frans kratzig,Stuttgart,12,22,14,0,48,0,,0,,39,0,0,1,0,2024-2025,bundesliga
tom krau,Bochum,157,450,171,8,768,23,52.2,11,47.8,1021,20,1,23,7,2024-2025,bundesliga
rasmus kristensen,Eint Frankfurt,590,870,509,61,1955,49,44.9,24,49.0,2320,36,9,37,15,2024-2025,bundesliga
lukas kubler,Freiburg,370,650,258,26,1268,9,0.0,7,77.8,1091,17,3,12,7,2024-2025,bundesliga
jonah kusiasare,Bayern Munich,0,1,2,1,3,0,,0,,2,0,0,0,0,2024-2025,bundesliga
moritzbroni kwarteng,Bochum,12,48,45,3,104,7,85.7,1,14.3,128,1,1,6,2,2024-2025,bundesliga
nediljko labrovic,Augsburg,537,9,0,0,546,0,,0,,923,0,0,0,0,2024-2025,bundesliga
konrad laimer,Bayern Munich,232,685,508,66,1421,30,56.7,12,40.0,2759,60,18,35,23,2024-2025,bundesliga
stefan lainer,Gladbach,196,239,132,6,565,10,50.0,5,50.0,867,20,2,7,7,2024-2025,bundesliga
hugo larsson,Eint Frankfurt,425,797,265,26,1478,19,63.2,7,36.8,1382,20,4,23,11,2024-2025,bundesliga
diogo leite,Union Berlin,792,842,183,36,1803,15,66.7,4,26.7,1896,18,0,18,7,2024-2025,bundesliga
maxim leitsch,Mainz 05,214,224,35,13,473,1,0.0,0,0.0,329,5,0,8,3,2024-2025,bundesliga
jamie leweling,Stuttgart,97,306,418,67,801,82,50.0,33,40.2,1883,40,17,42,38,2024-2025,bundesliga
philipp lienhart,Freiburg,1182,1223,124,19,2520,10,40.0,5,50.0,4885,19,1,10,2,2024-2025,bundesliga
marin ljubicic,Union Berlin,15,36,39,11,90,3,33.3,1,33.3,71,0,0,6,1,2024-2025,bundesliga
anthony losilla,Bochum,149,313,89,2,547,5,20.0,4,80.0,326,3,1,10,7,2024-2025,bundesliga
yannik luhrs,Dortmund,89,84,4,0,176,0,,0,,147,0,0,0,1,2024-2025,bundesliga
castello lukeba,RB Leipzig,557,772,132,14,1445,32,62.5,8,25.0,1925,21,2,20,11,2024-2025,bundesliga
senne lynen,Werder Bremen,526,974,229,13,1717,28,42.9,13,46.4,1129,14,3,35,15,2024-2025,bundesliga
shuto machino,Holstein Kiel,139,389,377,63,897,18,55.6,6,33.3,945,17,13,44,20,2024-2025,bundesliga
arne maier,Augsburg,103,327,275,21,699,16,43.8,9,56.3,823,18,5,21,9,2024-2025,bundesliga
patrick mainka,Heidenheim,1205,825,123,43,2136,11,54.5,3,27.3,3395,21,1,16,8,2024-2025,bundesliga
lovro majer,Wolfsburg,25,72,80,10,174,10,50.0,3,30.0,266,4,2,5,7,2024-2025,bundesliga
jordy makengo,Freiburg,127,161,109,3,393,12,33.3,7,58.3,382,7,1,11,5,2024-2025,bundesliga
jarzinho malanga,Stuttgart,0,0,3,0,3,0,,0,,0,0,0,1,0,2024-2025,bundesliga
julian malatini,Werder Bremen,156,160,48,4,363,3,66.7,1,33.3,521,8,0,3,1,2024-2025,bundesliga
donyell malen,Dortmund,23,84,175,46,278,32,34.4,19,59.4,439,9,17,16,9,2024-2025,bundesliga
lennard maloney,Heidenheim,183,174,23,5,378,4,25.0,3,75.0,206,1,0,11,1,2024-2025,bundesliga
lennard maloney,Mainz 05,9,17,2,0,28,0,,0,,14,0,0,1,1,2024-2025,bundesliga
johan manzambi,Freiburg,36,104,72,14,209,10,60.0,2,20.0,237,5,1,7,9,2024-2025,bundesliga
omar marmoush,Eint Frankfurt,40,230,421,109,669,101,45.5,46,45.5,1810,53,45,66,37,2024-2025,bundesliga
giorgos masouras,Bochum,54,156,202,53,403,14,35.7,9,64.3,507,7,13,28,6,2024-2025,bundesliga
