Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
craig dawson,Wolves,889,592,54,34,1529,3,100.0,0,0.0,1932,7,0,5,2,2023-2024,premier-league
kevin de bruyne,Manchester City,35,354,724,86,1103,33,30.3,21,63.6,1647,40,12,13,20,2023-2024,premier-league
bobby de cordovareid,Fulham,98,301,277,55,671,25,32.0,12,48.0,900,18,11,33,10,2023-2024,premier-league
hannes delcroix,Burnley,175,204,40,4,419,6,50.0,2,33.3,451,2,0,5,3,2023-2024,premier-league
leander dendoncker,Aston Villa,31,39,12,2,80,0,,0,,27,1,0,2,1,2023-2024,premier-league
moussa diaby,Aston Villa,69,298,470,136,824,70,41.4,37,52.9,2013,43,39,33,30,2023-2024,premier-league
amad diallo,Manchester Utd,28,94,110,24,231,23,47.8,10,43.5,355,12,4,7,14,2023-2024,premier-league
amadou diallo,Newcastle Utd,0,1,0,0,1,0,,0,,0,0,0,0,0,2023-2024,premier-league
ruben dias,Manchester City,1002,1600,282,34,2877,1,0.0,1,100.0,6693,70,1,10,7,2023-2024,premier-league
luis diaz,Liverpool,94,529,858,219,1453,140,47.9,57,40.7,3690,77,70,69,72,2023-2024,premier-league
eric dier,Tottenham,106,57,2,2,164,0,,0,,119,0,0,1,0,2023-2024,premier-league
lucas digne,Aston Villa,468,541,593,56,1590,33,30.3,16,48.5,1786,19,4,16,15,2023-2024,premier-league
issa diop,Fulham,669,568,24,7,1258,1,100.0,0,0.0,2661,8,0,3,5,2023-2024,premier-league
axel disasi,Chelsea,1193,1140,175,24,2496,22,54.5,5,22.7,4223,20,3,16,12,2023-2024,premier-league
ben doak,Liverpool,0,2,4,0,6,0,,0,,2,0,0,2,0,2023-2024,premier-league
lewis dobbin,Everton,24,42,65,11,127,21,28.6,15,71.4,211,11,4,12,6,2023-2024,premier-league
matt doherty,Wolves,274,336,205,31,811,14,42.9,7,50.0,597,8,3,17,6,2023-2024,premier-league
jeremy doku,Manchester City,76,275,825,226,1161,169,51.5,64,37.9,4884,61,147,52,37,2023-2024,premier-league
nicolas dominguez,Nott'ham Forest,266,542,248,33,1049,17,41.2,8,47.1,1106,13,2,21,7,2023-2024,premier-league
jamie donley,Tottenham,4,2,1,0,7,1,0.0,1,100.0,8,0,0,0,1,2023-2024,premier-league
abdoulaye doucoure,Everton,188,523,495,100,1190,48,52.1,21,43.8,1692,37,17,61,42,2023-2024,premier-league
cheick doucoure,Crystal Palace,145,312,97,7,545,13,76.9,3,23.1,579,9,1,16,8,2023-2024,premier-league
alfie doughty,Luton Town,541,665,818,76,1998,67,49.3,24,35.8,2794,52,28,51,13,2023-2024,premier-league
tommy doyle,Wolves,265,620,182,6,1061,3,33.3,1,33.3,1408,17,2,7,7,2023-2024,premier-league
radu dragusin,Tottenham,217,189,7,2,411,3,33.3,1,33.3,738,2,1,1,1,2023-2024,premier-league
martin dubravka,Newcastle Utd,702,7,0,0,709,0,,0,,1374,0,0,3,0,2023-2024,premier-league
paul dummett,Newcastle Utd,7,16,3,1,26,0,,0,,33,0,0,0,0,2023-2024,premier-league
lewis dunk,Brighton,1811,1542,145,51,3481,8,62.5,2,25.0,5605,18,2,9,2,2023-2024,premier-league
jader duran,Aston Villa,22,90,80,27,189,5,40.0,3,60.0,206,5,5,16,14,2023-2024,premier-league
george earthy,West Ham,3,7,8,1,18,0,,0,,13,1,0,0,0,2023-2024,premier-league
ederson,Manchester City,1263,20,0,0,1283,1,100.0,0,0.0,2353,0,0,0,0,2023-2024,premier-league
odsonne edouard,Crystal Palace,59,222,326,98,597,50,38.0,24,48.0,877,18,25,55,26,2023-2024,premier-league
john egan,Sheffield Utd,163,81,13,9,257,0,,0,,233,2,0,2,1,2023-2024,premier-league
hjalmar ekdal,Burnley,131,124,15,3,268,3,66.7,1,33.3,523,4,0,2,1,2023-2024,premier-league
anthony elanga,Nott'ham Forest,181,348,507,122,1022,76,36.8,42,55.3,2514,54,42,67,22,2023-2024,premier-league
harvey elliott,Liverpool,91,546,512,71,1141,20,45.0,10,50.0,1753,50,9,15,9,2023-2024,premier-league
mohamed elneny,Arsenal,9,30,6,1,45,0,,0,,62,0,0,1,0,2023-2024,premier-league
emerson,Tottenham,462,517,249,12,1220,21,47.6,6,28.6,1292,19,2,15,12,2023-2024,premier-league
julio enciso,Brighton,24,106,131,21,257,29,58.6,7,24.1,839,20,7,15,8,2023-2024,premier-league
wataru endo,Liverpool,295,1002,224,9,1514,16,62.5,5,31.3,1523,21,2,27,22,2023-2024,premier-league
christian eriksen,Manchester Utd,165,492,246,12,896,6,50.0,3,50.0,1199,21,2,8,14,2023-2024,premier-league
maxime esteve,Burnley,465,463,52,8,979,3,33.3,0,0.0,1664,18,2,5,3,2023-2024,premier-league
pervis estupinan,Brighton,256,546,316,37,1109,23,39.1,9,39.1,1806,30,13,20,6,2023-2024,premier-league
jonny evans,Manchester Utd,556,420,31,8,1005,7,57.1,2,28.6,1441,5,0,5,3,2023-2024,premier-league
eberechi eze,Crystal Palace,121,522,658,103,1273,140,49.3,64,45.7,2098,61,43,77,48,2023-2024,premier-league
ukasz fabianski,West Ham,255,5,0,0,260,0,,0,,585,0,0,0,0,2023-2024,premier-league
romain faivre,Bournemouth,3,15,19,3,37,7,28.6,3,42.9,121,4,0,3,1,2023-2024,premier-league
ansu fati,Brighton,27,141,135,43,300,18,27.8,9,50.0,451,5,9,15,10,2023-2024,premier-league
felipe,Nott'ham Forest,133,116,9,4,257,2,50.0,1,50.0,361,1,0,3,1,2023-2024,premier-league
evan ferguson,Brighton,64,204,185,45,448,16,43.8,6,37.5,414,9,5,40,31,2023-2024,premier-league
bruno fernandes,Manchester Utd,414,1069,1126,105,2580,44,43.2,21,47.7,3408,61,23,48,35,2023-2024,premier-league
enzo fernandez,Chelsea,442,1209,488,47,2126,44,52.3,17,38.6,3109,46,8,29,24,2023-2024,premier-league
john fleck,Sheffield Utd,10,29,11,1,49,1,0.0,0,0.0,39,1,0,2,0,2023-2024,premier-league
mark flekken,Brentford,1584,74,0,0,1658,4,75.0,1,25.0,2908,0,0,0,0,2023-2024,premier-league
phil foden,Manchester City,174,785,1211,190,2146,102,46.1,46,45.1,3434,79,56,62,49,2023-2024,premier-league
wes foderingham,Sheffield Utd,1137,20,0,0,1155,2,100.0,0,0.0,2231,0,0,1,1,2023-2024,premier-league
pablo fornals,West Ham,53,128,98,20,277,12,50.0,5,41.7,256,7,2,8,8,2023-2024,premier-league
omari forson,Manchester Utd,2,25,12,1,39,2,50.0,1,50.0,34,3,0,1,0,2023-2024,premier-league
lyle foster,Burnley,93,289,321,93,692,39,48.7,18,46.2,1278,31,36,69,33,2023-2024,premier-league
matheus franca,Crystal Palace,31,45,51,9,119,14,28.6,9,64.3,372,11,5,4,7,2023-2024,premier-league
nathan fraser,Wolves,10,28,25,5,62,0,,0,,22,1,1,4,2,2023-2024,premier-league
cody gakpo,Liverpool,77,335,412,107,809,54,57.4,17,31.5,1472,31,13,44,32,2023-2024,premier-league
conor gallagher,Chelsea,468,1221,793,79,2443,65,58.5,18,27.7,2979,54,14,69,39,2023-2024,premier-league
idrissa gana gueye,Everton,280,608,252,21,1126,25,44.0,11,44.0,1431,26,2,17,20,2023-2024,premier-league
alejandro garnacho,Manchester Utd,180,403,741,248,1312,131,36.6,63,48.1,4211,83,102,69,49,2023-2024,premier-league
james garner,Everton,307,776,549,41,1610,41,46.3,16,39.0,1657,37,5,33,10,2023-2024,premier-league
saman ghoddos,Brentford,139,223,184,10,542,13,23.1,8,61.5,717,12,2,10,4,2023-2024,premier-league
morgan gibbswhite,Nott'ham Forest,217,896,801,103,1878,116,37.9,55,47.4,2866,61,15,78,44,2023-2024,premier-league
bryan gil,Tottenham,25,66,101,18,191,11,72.7,3,27.3,340,6,5,9,7,2023-2024,premier-league
alfie gilchrist,Chelsea,72,57,49,5,177,1,100.0,0,0.0,130,1,0,2,2,2023-2024,premier-league
ryan giles,Luton Town,81,74,119,4,273,8,50.0,3,37.5,241,5,2,7,1,2023-2024,premier-league
billy gilmour,Brighton,447,1425,417,12,2277,23,34.8,13,56.5,3120,53,0,28,9,2023-2024,premier-league
ben godfrey,Everton,221,265,172,19,655,14,35.7,9,64.3,571,12,0,10,6,2023-2024,premier-league
andre gomes,Everton,57,179,121,11,352,12,25.0,8,66.7,333,7,3,8,6,2023-2024,premier-league
joao gomes,Wolves,433,859,352,35,1626,55,47.3,23,41.8,1772,22,6,42,44,2023-2024,premier-league
toti gomes,Wolves,1020,927,169,22,2109,31,74.2,5,16.1,2325,16,2,17,6,2023-2024,premier-league
joe gomez,Liverpool,371,832,375,28,1564,32,46.9,12,37.5,2313,34,3,25,11,2023-2024,premier-league
sergio gomez,Manchester City,10,19,30,3,59,2,100.0,0,0.0,112,0,1,0,0,2023-2024,premier-league
enso gonzalez,Wolves,0,4,3,0,7,0,,0,,3,1,0,1,0,2023-2024,premier-league
anthony gordon,Newcastle Utd,158,555,733,147,1423,133,40.6,56,42.1,3668,73,59,70,40,2023-2024,premier-league
kaide gordon,Liverpool,0,0,2,1,2,0,,0,,0,0,0,1,0,2023-2024,premier-league
daniel gore,Manchester Utd,0,1,1,0,2,0,,0,,2,0,0,0,0,2023-2024,premier-league
ryan gravenberch,Liverpool,84,347,272,42,696,50,46.0,22,44.0,1369,28,10,46,13,2023-2024,premier-league
ivo grbic,Sheffield Utd,317,7,0,0,324,0,,0,,772,0,0,0,0,2023-2024,premier-league
jack grealish,Manchester City,53,206,443,82,697,41,43.9,11,26.8,2080,46,50,19,22,2023-2024,premier-league
pascal gro,Brighton,826,1681,1050,70,3533,30,53.3,13,43.3,5189,69,8,35,28,2023-2024,premier-league
marc guehi,Crystal Palace,761,678,67,12,1501,13,53.8,4,30.8,2201,9,1,9,2,2023-2024,premier-league
bruno guimaraes,Newcastle Utd,573,1482,722,75,2734,132,54.5,41,31.1,4241,73,19,61,70,2023-2024,premier-league
malo gusto,Chelsea,470,698,499,49,1641,42,40.5,20,47.6,2791,41,16,32,12,2023-2024,premier-league
josko gvardiol,Manchester City,452,1124,622,60,2179,45,57.8,14,31.1,3249,49,15,23,14,2023-2024,premier-league
erling haaland,Manchester City,36,206,398,183,628,30,40.0,16,53.3,728,13,22,41,19,2023-2024,premier-league
antwoine hackford,Sheffield Utd,0,2,2,0,4,1,0.0,1,100.0,2,1,0,1,0,2023-2024,premier-league
lewis hall,Newcastle Utd,255,285,137,12,668,18,50.0,7,38.9,1035,16,5,9,13,2023-2024,premier-league
gustavo hamer,Sheffield Utd,286,648,485,44,1403,58,48.3,28,48.3,1572,26,13,37,17,2023-2024,premier-league
luke harris,Fulham,8,6,5,1,19,2,0.0,2,100.0,6,1,0,0,0,2023-2024,premier-league
jack harrison,Everton,167,338,445,59,935,75,38.7,39,52.0,1546,31,14,68,41,2023-2024,premier-league
daiki hashioka,Luton Town,165,137,55,2,355,2,50.0,1,50.0,303,3,0,8,6,2023-2024,premier-league
kai havertz,Arsenal,143,541,611,184,1281,42,38.1,19,45.2,1532,36,23,54,35,2023-2024,premier-league
jan paul van hecke,Brighton,1209,1311,157,20,2668,9,55.6,2,22.2,6274,41,2,16,3,2023-2024,premier-league
hwang heechan,Wolves,100,345,344,103,776,69,52.2,30,43.5,999,21,24,55,31,2023-2024,premier-league
dean henderson,Crystal Palace,536,0,0,0,536,0,,0,,734,0,0,1,0,2023-2024,premier-league
rico henry,Brentford,78,93,59,7,227,10,70.0,1,10.0,372,3,3,8,7,2023-2024,premier-league
son heungmin,Tottenham,87,458,823,212,1352,92,42.4,47,51.1,2989,44,64,55,41,2023-2024,premier-league
aaron hickey,Brentford,132,155,76,7,356,14,35.7,5,35.7,505,3,1,14,5,2023-2024,premier-league
