Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
patric,Lazio,203,230,19,4,449,0,,0,,779,2,0,2,0,2024-2025,serie-a
rui patricio,Atalanta,107,0,0,0,107,0,,0,,197,0,0,0,0,2024-2025,serie-a
benjamin pavard,Inter,479,657,162,35,1291,2,0.0,1,50.0,2133,20,1,5,1,2024-2025,serie-a
strahinja pavlovic,Milan,758,747,97,18,1589,12,33.3,4,33.3,3662,29,0,18,4,2024-2025,serie-a
leonardo pavoletti,Cagliari,15,107,104,28,225,1,0.0,0,0.0,63,2,0,18,2,2024-2025,serie-a
martin payero,Udinese,86,351,230,26,649,70,42.9,31,44.3,1094,35,6,27,13,2024-2025,serie-a
nicolas paz,Como,225,821,667,85,1682,135,51.1,58,43.0,2878,62,16,101,45,2024-2025,serie-a
marcus pedersen,Torino,151,263,250,27,655,25,28.0,18,72.0,1118,24,9,22,12,2024-2025,serie-a
pedro,Lazio,69,343,319,61,720,32,50.0,11,34.4,1575,25,15,20,21,2024-2025,serie-a
pietro pellegri,Empoli,7,66,58,14,128,14,35.7,7,50.0,215,6,6,16,15,2024-2025,serie-a
lorenzo pellegrini,Roma,108,400,328,53,824,27,40.7,16,59.3,1185,27,5,26,16,2024-2025,serie-a
luca pellegrini,Lazio,196,382,285,15,851,28,39.3,16,57.1,1067,23,4,17,9,2024-2025,serie-a
mateo pellegrino,Parma,18,123,125,39,263,9,33.3,5,55.6,214,5,3,29,16,2024-2025,serie-a
andy pelmard,Lecce,23,20,7,0,48,1,100.0,0,0.0,24,1,0,0,0,2024-2025,serie-a
sergiu perciun,Torino,11,24,37,6,72,5,40.0,2,40.0,87,0,2,6,1,2024-2025,serie-a
pedro pereira,Monza,508,596,311,33,1409,25,56.0,11,44.0,2063,37,7,25,18,2024-2025,serie-a
gaston pereiro,Genoa,3,6,8,2,17,0,,0,,6,0,0,0,0,2024-2025,serie-a
kike perez,Venezia,164,397,244,10,793,28,46.4,13,46.4,1111,19,2,24,22,2024-2025,serie-a
nehuen perez,Udinese,41,31,4,1,74,1,100.0,0,0.0,78,1,1,0,0,2024-2025,serie-a
simone perilli,Hellas Verona,55,1,0,0,56,0,,0,,165,0,0,0,0,2024-2025,serie-a
mattia perin,Juventus,185,0,0,0,185,0,,0,,460,0,0,0,0,2024-2025,serie-a
maximo perrone,Como,372,932,205,15,1502,8,37.5,5,62.5,1660,18,1,20,16,2024-2025,serie-a
matteo pessina,Monza,155,317,91,5,559,10,50.0,3,30.0,735,10,1,9,13,2024-2025,serie-a
andrea petagna,Monza,15,51,34,12,100,4,50.0,2,50.0,96,3,1,9,4,2024-2025,serie-a
giuseppe pezzella,Empoli,448,630,521,33,1579,51,33.3,24,47.1,2076,33,12,46,32,2024-2025,serie-a
roberto piccoli,Cagliari,76,468,385,144,918,63,22.2,41,65.1,774,27,14,114,46,2024-2025,serie-a
nicholas pierini,Venezia,6,10,12,3,28,1,0.0,1,100.0,21,1,0,2,3,2024-2025,serie-a
santiago pierotti,Lecce,148,322,279,81,730,49,44.9,26,53.1,1103,25,21,60,33,2024-2025,serie-a
balthazar pierret,Lecce,236,667,130,13,1020,24,54.2,6,25.0,1041,11,1,25,10,2024-2025,serie-a
