Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
carlens arcus,Angers,3,0,0.0,0.0,0.0,0.01,0.0,2024-2025,ligue1
hakon arnar haraldsson,Lille,35,13,0.14,3.8,3.8,0.11,1.2,2024-2025,ligue1
marco asensio,Paris S-G,26,14,0.08,5.6,5.6,0.22,-3.6,2024-2025,ligue1
lorenz assignon,Rennes,22,5,0.14,2.2,2.2,0.1,0.8,2024-2025,ligue1
dehmaine assoumani,Nantes,3,2,0.0,0.1,0.1,0.03,-0.1,2024-2025,ligue1
valentin atangana edoa,Reims,33,6,0.03,2.5,2.5,0.08,-1.5,2024-2025,ligue1
florian aye,Auxerre,12,3,0.17,1.9,1.9,0.16,0.1,2024-2025,ligue1
andre ayew,Le Havre,22,9,0.18,4.3,4.3,0.21,-0.3,2024-2025,ligue1
neil el aynaoui,Lens,16,7,0.31,4.0,1.6,0.1,4.0,2024-2025,ligue1
shavy babicka,Toulouse,20,9,0.2,3.9,3.9,0.2,0.1,2024-2025,ligue1
juma bah,Lens,2,1,0.0,0.1,0.1,0.04,-0.1,2024-2025,ligue1
theo bair,Auxerre,26,13,0.08,3.0,3.0,0.12,-1.0,2024-2025,ligue1
mitchel bakker,Lille,23,10,0.13,3.0,3.0,0.13,0.0,2024-2025,ligue1
darryl bakola,Marseille,0,0,,0.0,0.0,,0.0,2024-2025,ligue1
dilane bakwa,Strasbourg,52,22,0.12,4.7,4.7,0.09,1.3,2024-2025,ligue1
leonardo balerdi,Marseille,15,1,0.0,0.9,0.9,0.06,-0.9,2024-2025,ligue1
fode ballotoure,Le Havre,0,0,,0.0,0.0,,0.0,2024-2025,ligue1
folarin balogun,Monaco,31,10,0.13,4.8,4.8,0.15,-0.8,2024-2025,ligue1
abdoulaye bamba,Angers,1,0,0.0,0.1,0.1,0.09,-0.1,2024-2025,ligue1
mohamed bamba,Reims,0,0,,0.0,0.0,,0.0,2024-2025,ligue1
valentin barco,Strasbourg,10,1,0.0,0.5,0.5,0.05,-0.5,2024-2025,ligue1
bradley barcola,Paris S-G,74,38,0.19,13.4,13.4,0.18,0.6,2024-2025,ligue1
melvin bard,Nice,23,8,0.09,2.2,2.2,0.1,-0.2,2024-2025,ligue1
gabriel bares,Montpellier,0,0,,0.0,0.0,,0.0,2024-2025,ligue1
teo barisic,Lyon,0,0,,0.0,0.0,,0.0,2024-2025,ligue1
dylan batubinsika,Saint-Étienne,7,2,0.14,0.8,0.8,0.12,0.2,2024-2025,ligue1
haris belkebla,Angers,3,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,ligue1
yassin belkhdim,Angers,9,5,0.11,0.8,0.8,0.09,0.2,2024-2025,ligue1
eliesse ben seghir,Monaco,58,19,0.07,5.5,4.1,0.07,0.5,2024-2025,ligue1
ismael bennacer,Marseille,3,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,ligue1
said benrahma,Lyon,17,4,0.06,2.0,2.0,0.12,-1.0,2024-2025,ligue1
nabil bentaleb,Lille,5,1,0.2,0.7,0.7,0.15,0.3,2024-2025,ligue1
lucas beraldo,Paris S-G,12,4,0.08,0.9,0.9,0.07,0.1,2024-2025,ligue1
maxime bernauer,Saint-Étienne,2,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,ligue1
dimitry bertaud,Montpellier,0,0,,0.0,0.0,,0.0,2024-2025,ligue1
