Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
nuno mendes,Paris S-G,4,1,0.25,0.3,0.3,0.08,0.7,2023-2024,ligue-1
antoine mendy,Nice,2,1,0.0,0.1,0.1,0.05,-0.1,2023-2024,ligue-1
benjamin mendy,Lorient,13,4,0.15,1.1,1.1,0.08,0.9,2023-2024,ligue-1
formose mendy,Lorient,7,2,0.0,0.3,0.3,0.04,-0.3,2023-2024,ligue-1
nampalys mendy,Lens,7,2,0.0,0.2,0.2,0.03,-0.2,2023-2024,ligue-1
quentin merlin,Marseille,5,1,0.0,0.1,0.1,0.03,-0.1,2023-2024,ligue-1
quentin merlin,Nantes,14,3,0.0,0.7,0.7,0.05,-0.7,2023-2024,ligue-1
bastien meupiyou,Nantes,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
lucas michal,Monaco,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
georges mikautadze,Metz,55,24,0.18,9.5,7.2,0.13,3.5,2023-2024,ligue-1
takumi minamino,Monaco,60,28,0.15,5.9,5.9,0.1,3.1,2023-2024,ligue-1
lucas mincarelli,Montpellier,6,3,0.17,0.4,0.4,0.06,0.6,2023-2024,ligue-1
ignacio miramon,Lille,2,1,0.0,0.1,0.1,0.03,-0.1,2023-2024,ligue-1
terem moffi,Nice,46,20,0.17,10.7,8.3,0.18,0.3,2023-2024,ligue-1
mostafa mohamed,Nantes,62,23,0.08,7.8,5.5,0.09,0.2,2023-2024,ligue-1
florent mollet,Nantes,64,26,0.06,5.9,5.9,0.09,-1.9,2023-2024,ligue-1
enzo mongo,Nantes,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
diego moreira,Lyon,5,2,0.0,0.7,0.7,0.14,-0.7,2023-2024,ligue-1
lebo mothiba,Strasbourg,16,7,0.19,4.6,4.6,0.31,-1.6,2023-2024,ligue-1
steve mounie,Brest,60,25,0.1,8.9,8.9,0.15,-2.9,2023-2024,ligue-1
samuel moutoussamy,Nantes,15,5,0.07,1.8,1.8,0.12,-0.8,2023-2024,ligue-1
loris mouyokolo,Lorient,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
francois mughe,Marseille,3,0,0.0,0.1,0.1,0.03,-0.1,2023-2024,ligue-1
nordi mukiele,Paris S-G,9,5,0.0,1.3,1.3,0.14,-1.3,2023-2024,ligue-1
marshall munetsi,Reims,44,16,0.09,6.2,6.2,0.15,-2.2,2023-2024,ligue-1
yvon mvogo,Lorient,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
joel mvuka,Lorient,1,0,0.0,0.0,0.0,0.01,0.0,2023-2024,ligue-1
junior mwanga,Strasbourg,20,4,0.05,1.5,1.5,0.07,-0.5,2023-2024,ligue-1
kevin ndoram,Metz,7,1,0.0,0.3,0.3,0.04,-0.3,2023-2024,ligue-1
bilal nadir,Marseille,1,0,0.0,0.1,0.1,0.1,-0.1,2023-2024,ligue-1
mahamadou nagida,Rennes,3,2,0.0,0.1,0.1,0.04,-0.1,2023-2024,ligue-1
keito nakamura,Reims,41,12,0.1,3.2,3.2,0.08,0.8,2023-2024,ligue-1
keylor navas,Paris S-G,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
youssouf ndayishimiye,Nice,14,3,0.0,1.2,1.2,0.08,-1.2,2023-2024,ligue-1
bassirou ndiaye,Lorient,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
iliman ndiaye,Marseille,35,9,0.09,4.5,4.5,0.13,-1.5,2023-2024,ligue-1
massamba ndiaye,Clermont Foot,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
rassoul ndiaye,Le Havre,6,1,0.0,0.2,0.2,0.03,-0.2,2023-2024,ligue-1
cher ndour,Paris S-G,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
joseph nduquidi,Metz,4,1,0.0,0.2,0.2,0.04,-0.2,2023-2024,ligue-1
loic nego,Le Havre,18,4,0.0,1.3,1.3,0.07,-1.3,2023-2024,ligue-1
steve ngoura,Le Havre,7,2,0.0,0.5,0.5,0.07,-0.5,2023-2024,ligue-1
shamar nicholson,Clermont Foot,38,17,0.08,5.9,4.4,0.12,-1.9,2023-2024,ligue-1
rasmus nicolaisen,Toulouse,19,5,0.11,1.1,1.1,0.06,0.9,2023-2024,ligue-1
arnaud nordin,Montpellier,29,11,0.17,3.6,3.6,0.12,1.4,2023-2024,ligue-1
ernest nuamah,Lyon,43,20,0.07,4.0,4.0,0.09,-1.0,2023-2024,ligue-1
gerzino nyamsi,Strasbourg,6,2,0.0,0.3,0.3,0.06,-0.3,2023-2024,ligue-1
rabby nzingoula,Strasbourg,1,1,0.0,0.1,0.1,0.09,-0.1,2023-2024,ligue-1
jake obrien,Lyon,18,8,0.22,3.6,3.6,0.2,0.4,2023-2024,ligue-1
florent ogier,Clermont Foot,7,2,0.14,0.6,0.6,0.09,0.4,2023-2024,ligue-1
joseph okumu,Reims,11,3,0.09,1.5,1.5,0.14,-0.5,2023-2024,ligue-1
warmed omari,Rennes,4,1,0.25,0.7,0.7,0.16,0.3,2023-2024,ligue-1
becir omeragic,Montpellier,9,3,0.0,0.5,0.5,0.06,-0.5,2023-2024,ligue-1
jean onana,Marseille,8,3,0.13,0.8,0.8,0.1,0.2,2023-2024,ligue-1
royce openda owaga,Lorient,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
christopher operi,Le Havre,22,9,0.14,1.2,1.2,0.05,1.8,2023-2024,ligue-1
gift orban,Lyon,8,2,0.13,1.1,1.1,0.14,-0.1,2023-2024,ligue-1
kassoum ouattara,Monaco,8,5,0.13,1.3,1.3,0.16,-0.3,2023-2024,ligue-1
alexandre oukidja,Metz,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
azzedine ounahi,Marseille,16,4,0.13,1.0,1.0,0.06,1.0,2023-2024,ligue-1
adam ounas,Lille,9,3,0.11,0.6,0.6,0.07,0.4,2023-2024,ligue-1
patrick ouotro,Strasbourg,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
pablo pagis,Lorient,3,1,0.0,0.1,0.1,0.04,-0.1,2023-2024,ligue-1
nicolas pallois,Nantes,4,1,0.0,0.1,0.1,0.03,-0.1,2023-2024,ligue-1
andy pelmard,Clermont Foot,2,1,0.0,0.3,0.3,0.17,-0.3,2023-2024,ligue-1
aurelien pelon,Lorient,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
faris pemi moumbagna,Marseille,16,5,0.19,1.7,1.7,0.11,1.3,2023-2024,ligue-1
danilo pereira,Paris S-G,10,1,0.0,1.4,1.4,0.14,-1.4,2023-2024,ligue-1
mathias pereira lage,Brest,36,16,0.08,3.5,3.5,0.1,-0.5,2023-2024,ligue-1
romain perraud,Nice,2,0,0.0,0.0,0.0,0.02,0.0,2023-2024,ligue-1
lucas perrin,Strasbourg,12,3,0.0,0.6,0.6,0.05,-0.6,2023-2024,ligue-1
denis petric,Nantes,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
ronael pierregabriel,Nantes,7,0,0.0,0.3,0.3,0.05,-0.3,2023-2024,ligue-1
julien ponceau,Lorient,33,13,0.09,3.3,3.3,0.1,-0.3,2023-2024,ligue-1
sanjin prcic,Strasbourg,1,0,0.0,0.0,0.0,0.01,0.0,2023-2024,ligue-1
goncalo ramos,Paris S-G,54,20,0.19,10.9,10.2,0.19,0.1,2023-2024,ligue-1
elba rashani,Clermont Foot,17,5,0.12,2.1,2.1,0.13,-0.1,2023-2024,ligue-1
guillaume restes,Toulouse,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
alexsandro ribeiro,Lille,17,2,0.0,2.0,2.0,0.12,-2.0,2023-2024,ligue-1
amir richardson,Reims,17,8,0.18,1.6,1.6,0.1,1.4,2023-2024,ligue-1
fabian rieder,Rennes,5,2,0.2,0.3,0.3,0.06,0.7,2023-2024,ligue-1
remy riou,Lyon,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
valentin rongier,Marseille,10,3,0.0,0.6,0.6,0.06,-0.6,2023-2024,ligue-1
pablo rosario,Nice,16,2,0.0,1.2,1.2,0.08,-1.2,2023-2024,ligue-1
valentin rosier,Nice,1,0,0.0,0.0,0.0,0.04,0.0,2023-2024,ligue-1
fabian ruiz pena,Paris S-G,19,6,0.05,2.0,2.0,0.1,-1.0,2023-2024,ligue-1
emmanuel sabbi,Le Havre,29,10,0.1,4.1,2.5,0.09,0.9,2023-2024,ligue-1
falaye sacko,Montpellier,1,0,0.0,0.0,0.0,0.02,0.0,2023-2024,ligue-1
modibo sagnan,Montpellier,9,3,0.22,1.2,1.2,0.13,0.8,2023-2024,ligue-1
moise sahi dion,Strasbourg,24,7,0.13,4.1,4.1,0.17,-1.1,2023-2024,ligue-1
wesley said,Lens,45,18,0.16,5.7,5.7,0.13,1.3,2023-2024,ligue-1
theo sainteluce,Montpellier,3,1,0.0,0.1,0.1,0.04,-0.1,2023-2024,ligue-1
mamadou sakho,Montpellier,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
ibrahim salah,Rennes,17,9,0.24,3.1,3.1,0.19,0.9,2023-2024,ligue-1
amine salama,Reims,6,1,0.0,0.7,0.7,0.12,-0.7,2023-2024,ligue-1
mohammed salisu,Monaco,4,1,0.0,0.2,0.2,0.06,-0.2,2023-2024,ligue-1
yoann salmier,Le Havre,10,5,0.1,1.1,1.1,0.11,-0.1,2023-2024,ligue-1
mama samba balde,Lyon,17,9,0.12,3.4,3.4,0.2,-1.4,2023-2024,ligue-1
brice samba,Lens,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
ibou sane,Metz,2,1,0.5,0.7,0.7,0.35,0.3,2023-2024,ligue-1
sadibou sane,Metz,5,0,0.0,0.4,0.4,0.07,-0.4,2023-2024,ligue-1
arouna sangante,Le Havre,16,3,0.0,0.9,0.9,0.06,-0.9,2023-2024,ligue-1
morgan sanson,Nice,41,9,0.05,3.3,3.3,0.08,-1.3,2023-2024,ligue-1
baptiste santamaria,Rennes,28,9,0.0,1.9,1.9,0.07,-1.9,2023-2024,ligue-1
andrey santos,Strasbourg,12,4,0.08,1.0,1.0,0.08,0.0,2023-2024,ligue-1
tiago santos,Lille,33,7,0.03,1.4,1.4,0.04,-0.4,2023-2024,ligue-1
amin sarr,Lyon,5,2,0.0,0.3,0.3,0.07,-0.3,2023-2024,ligue-1
ismaila sarr,Marseille,25,10,0.12,3.2,3.2,0.13,-0.2,2023-2024,ligue-1
mamadou sarr,Lyon,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
martin satriano,Brest,63,20,0.06,6.1,6.1,0.1,-2.1,2023-2024,ligue-1
teji savanier,Montpellier,75,22,0.03,9.1,3.6,0.05,-0.1,2023-2024,ligue-1
niklas schmidt,Toulouse,20,13,0.05,1.2,1.2,0.06,-0.2,2023-2024,ligue-1
jeremy sebas,Strasbourg,7,4,0.29,1.0,1.0,0.14,1.0,2023-2024,ligue-1
alidu seidu,Rennes,2,0,0.0,0.2,0.2,0.12,-0.2,2023-2024,ligue-1
alidu seidu,Clermont Foot,6,1,0.0,0.1,0.1,0.01,-0.1,2023-2024,ligue-1
matz sels,Strasbourg,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
