Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
josh doig,Sassuolo,8,2,0.0,0.2,0.2,0.02,-0.2,2023-2024,serie-a
nicolas dominguez,Bologna,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
giulio donati,Monza,1,1,0.0,0.0,0.0,0.02,0.0,2023-2024,serie-a
patrick dorgu,Lecce,18,7,0.11,2.0,2.0,0.11,0.0,2023-2024,serie-a
alberto dossena,Cagliari,24,6,0.08,2.2,2.2,0.09,-0.2,2023-2024,serie-a
radu dragusin,Genoa,17,4,0.12,1.0,1.0,0.06,1.0,2023-2024,serie-a
ondrej duda,Hellas Verona,23,6,0.04,2.2,1.4,0.06,-1.2,2023-2024,serie-a
denzel dumfries,Inter,24,6,0.17,2.3,2.3,0.09,1.7,2023-2024,serie-a
alfred duncan,Fiorentina,23,6,0.09,1.5,1.5,0.06,0.5,2023-2024,serie-a
paulo dybala,Roma,52,16,0.12,10.6,5.1,0.1,2.4,2023-2024,serie-a
festy ebosele,Udinese,16,5,0.0,0.8,0.8,0.05,-0.8,2023-2024,serie-a
enzo ebosse,Udinese,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
tyronne ebuehi,Empoli,5,1,0.0,0.3,0.3,0.05,-0.3,2023-2024,serie-a
ederson,Atalanta,38,11,0.16,3.5,3.5,0.09,2.5,2023-2024,serie-a
kingsley ehizibue,Udinese,18,3,0.0,1.3,1.3,0.07,-1.3,2023-2024,serie-a
emmanuel ekong,Empoli,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
caleb ekuban,Genoa,27,12,0.15,2.9,2.9,0.11,1.1,2023-2024,serie-a
elif elmas,Napoli,6,6,0.33,0.5,0.5,0.08,1.5,2023-2024,serie-a
martin erlic,Sassuolo,8,3,0.13,1.0,1.0,0.12,0.0,2023-2024,serie-a
giovanni fabbian,Bologna,28,10,0.18,4.2,4.2,0.15,0.8,2023-2024,serie-a
nicolo fagioli,Juventus,6,2,0.0,0.4,0.4,0.06,-0.4,2023-2024,serie-a
wladimiro falcone,Lecce,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
davide faraoni,Hellas Verona,7,1,0.0,0.4,0.4,0.06,-0.4,2023-2024,serie-a
davide faraoni,Fiorentina,3,1,0.0,0.1,0.1,0.03,-0.1,2023-2024,serie-a
federico fazio,Salernitana,8,2,0.13,0.4,0.4,0.05,0.6,2023-2024,serie-a
jacopo fazzini,Empoli,23,4,0.04,1.2,1.2,0.05,-0.2,2023-2024,serie-a
lewis ferguson,Bologna,60,20,0.1,5.4,5.4,0.09,0.6,2023-2024,serie-a
andrea ferraris,Monza,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
joao ferreira,Udinese,3,0,0.0,0.1,0.1,0.04,-0.1,2023-2024,serie-a
seydou fini,Genoa,2,0,0.0,0.1,0.1,0.07,-0.1,2023-2024,serie-a
vincenzo fiorillo,Salernitana,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
alessandro florenzi,Milan,32,10,0.03,1.7,1.7,0.05,-0.7,2023-2024,serie-a
michael folorunsho,Hellas Verona,47,14,0.11,4.0,3.9,0.08,1.0,2023-2024,serie-a
davide frattesi,Inter,32,13,0.19,7.1,7.1,0.22,-1.1,2023-2024,serie-a
morten frendrup,Genoa,30,4,0.07,1.7,1.7,0.06,0.3,2023-2024,serie-a
remo freuler,Bologna,14,4,0.07,1.2,1.2,0.09,-0.2,2023-2024,serie-a
gerardo fusco,Salernitana,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
matteo gabbia,Milan,11,5,0.18,1.6,1.6,0.14,0.4,2023-2024,serie-a
gianluca gaetano,Cagliari,13,5,0.23,1.3,0.5,0.04,2.7,2023-2024,serie-a
gianluca gaetano,Napoli,9,4,0.11,0.6,0.6,0.07,0.4,2023-2024,serie-a
roberto gagliardini,Monza,36,9,0.03,2.9,2.9,0.08,-1.9,2023-2024,serie-a
pablo galdames millan,Genoa,1,1,0.0,0.0,0.0,0.03,0.0,2023-2024,serie-a
antonino gallo,Lecce,15,3,0.0,0.5,0.5,0.04,-0.5,2023-2024,serie-a
luca garritano,Frosinone,12,3,0.0,0.7,0.7,0.06,-0.7,2023-2024,serie-a
federico gatti,Juventus,35,7,0.11,5.5,5.5,0.16,-1.5,2023-2024,serie-a
francesco gelli,Frosinone,10,3,0.0,0.7,0.7,0.07,-0.7,2023-2024,serie-a
luca gemello,Torino,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
valentin gendrey,Lecce,18,5,0.11,1.6,1.6,0.09,0.4,2023-2024,serie-a
fares ghedjemis,Frosinone,3,2,0.0,0.1,0.1,0.04,-0.1,2023-2024,serie-a
lautaro gianetti,Udinese,3,2,0.33,0.4,0.4,0.13,0.6,2023-2024,serie-a
mario gila,Lazio,8,2,0.0,0.5,0.5,0.07,-0.5,2023-2024,serie-a
gvidas gineitis,Torino,9,2,0.0,0.4,0.4,0.05,-0.4,2023-2024,serie-a
olivier giroud,Milan,72,29,0.15,14.2,10.2,0.14,0.8,2023-2024,serie-a
edoardo goldaniga,Cagliari,4,3,0.0,0.5,0.5,0.14,-0.5,2023-2024,serie-a
pierluigi gollini,Napoli,1,0,0.0,0.0,0.0,0.02,0.0,2023-2024,serie-a
papu gomez,Monza,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
iron gomis,Salernitana,3,1,0.0,0.6,0.6,0.19,-0.6,2023-2024,serie-a
joan gonzalez,Lecce,13,5,0.08,1.2,1.2,0.09,-0.2,2023-2024,serie-a
nicolas gonzalez,Fiorentina,84,33,0.13,10.4,8.0,0.1,1.6,2023-2024,serie-a
alberto grassi,Empoli,23,5,0.0,1.1,1.1,0.05,-1.1,2023-2024,serie-a
matteo guendouzi,Lazio,26,6,0.08,1.6,1.6,0.06,0.4,2023-2024,serie-a
axel guessand,Udinese,1,0,0.0,0.0,0.0,0.01,0.0,2023-2024,serie-a
albert gumundsson,Genoa,52,19,0.19,9.9,5.8,0.11,4.1,2023-2024,serie-a
emmanuel gyasi,Empoli,16,6,0.06,3.5,3.5,0.22,-2.5,2023-2024,serie-a
norbert gyomber,Salernitana,4,0,0.0,0.2,0.2,0.04,-0.2,2023-2024,serie-a
nicolas haas,Empoli,1,1,0.0,0.1,0.1,0.1,-0.1,2023-2024,serie-a
ridgeciano haps,Genoa,4,0,0.0,0.1,0.1,0.03,-0.1,2023-2024,serie-a
abdou harroui,Frosinone,32,11,0.06,3.1,2.3,0.07,-0.1,2023-2024,serie-a
hans hateboer,Atalanta,11,3,0.0,0.3,0.3,0.03,-0.3,2023-2024,serie-a
pantelis hatzidiakos,Cagliari,4,1,0.0,0.4,0.4,0.1,-0.4,2023-2024,serie-a
silvan hefti,Genoa,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
liam henderson,Empoli,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
matheus henrique,Sassuolo,19,7,0.11,2.3,2.3,0.12,-0.3,2023-2024,serie-a
thomas henry,Hellas Verona,13,7,0.23,3.3,2.5,0.19,-0.3,2023-2024,serie-a
theo hernandez,Milan,55,16,0.07,4.9,3.4,0.06,0.1,2023-2024,serie-a
isak hien,Hellas Verona,4,1,0.0,0.4,0.4,0.11,-0.4,2023-2024,serie-a
isak hien,Atalanta,4,2,0.0,0.2,0.2,0.05,-0.2,2023-2024,serie-a
emil holm,Atalanta,26,8,0.04,2.7,2.7,0.11,-1.7,2023-2024,serie-a
martin hongla,Hellas Verona,3,0,0.0,0.1,0.1,0.05,-0.1,2023-2024,serie-a
sydney van hooijdonk,Bologna,5,1,0.0,0.6,0.6,0.12,-0.6,2023-2024,serie-a
dean huijsen,Roma,6,2,0.33,0.4,0.4,0.07,1.6,2023-2024,serie-a
dean huijsen,Juventus,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
elseid hysaj,Lazio,2,1,0.0,0.2,0.2,0.12,-0.2,2023-2024,serie-a
arijon ibrahimovic,Frosinone,12,4,0.08,0.8,0.8,0.07,0.2,2023-2024,serie-a
jonathan ikone,Fiorentina,39,15,0.08,4.6,4.6,0.12,-1.6,2023-2024,serie-a
chukwubuikem ikwuemesi,Salernitana,22,8,0.05,2.4,2.4,0.11,-1.4,2023-2024,serie-a
ivan ilic,Torino,27,11,0.11,2.1,2.1,0.08,0.9,2023-2024,serie-a
samuel ilingjunior,Juventus,9,4,0.11,0.7,0.7,0.08,0.3,2023-2024,serie-a
ciro immobile,Lazio,45,19,0.07,9.7,6.6,0.15,-2.7,2023-2024,serie-a
gino infantino,Fiorentina,1,0,0.0,0.0,0.0,0.02,0.0,2023-2024,serie-a
gustav isaksen,Lazio,23,9,0.13,1.6,1.6,0.07,1.4,2023-2024,serie-a
ardian ismajli,Empoli,5,0,0.0,0.3,0.3,0.06,-0.3,2023-2024,serie-a
armando izzo,Monza,5,3,0.0,0.7,0.7,0.14,-0.7,2023-2024,serie-a
filip jagieo,Genoa,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
jakub jankto,Cagliari,12,5,0.08,1.5,1.5,0.12,-0.5,2023-2024,serie-a
juan jesus,Napoli,8,2,0.13,1.3,1.3,0.16,-0.3,2023-2024,serie-a
alejandro jimenez,Milan,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
kaio jorge,Frosinone,25,12,0.08,5.4,3.8,0.16,-2.4,2023-2024,serie-a
luka jovic,Milan,22,12,0.27,4.9,4.9,0.23,1.1,2023-2024,serie-a
hamed junior traore,Napoli,10,3,0.0,0.9,0.9,0.09,-0.9,2023-2024,serie-a
mohamed kaba,Lecce,14,6,0.0,1.2,1.2,0.08,-1.2,2023-2024,serie-a
christian kabasele,Udinese,7,2,0.14,1.2,1.2,0.17,-0.2,2023-2024,serie-a
yayah kallon,Hellas Verona,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
pierre kalulu,Milan,2,0,0.0,0.1,0.1,0.03,-0.1,2023-2024,serie-a
daichi kamada,Lazio,29,8,0.07,1.8,1.8,0.06,0.2,2023-2024,serie-a
hassane kamara,Udinese,26,8,0.04,1.9,1.9,0.07,-0.9,2023-2024,serie-a
yann karamoh,Torino,2,1,0.0,0.1,0.1,0.07,-0.1,2023-2024,serie-a
jesper karlsson,Bologna,6,4,0.0,0.4,0.4,0.07,-0.4,2023-2024,serie-a
rick karsdorp,Roma,8,1,0.0,0.4,0.4,0.06,-0.4,2023-2024,serie-a
grigoris kastanos,Salernitana,30,10,0.1,2.9,2.9,0.1,0.1,2023-2024,serie-a
michael kayode,Fiorentina,7,2,0.14,0.5,0.5,0.07,0.5,2023-2024,serie-a
moise kean,Juventus,16,3,0.0,2.1,2.1,0.13,-2.1,2023-2024,serie-a
simon kjr,Milan,6,0,0.0,0.5,0.5,0.08,-0.5,2023-2024,serie-a
davy klaassen,Inter,1,0,0.0,0.1,0.1,0.09,-0.1,2023-2024,serie-a
sead kolasinac,Atalanta,13,5,0.08,1.3,1.3,0.1,-0.3,2023-2024,serie-a
