Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
theo hernandez,Milan,22,2,92,190,71.2,2022-2023,serie-a
isak hien,Hellas Verona,52,0,1,229,60.2,2022-2023,serie-a
morten hjulmand,Lecce,61,0,17,252,58.6,2022-2023,serie-a
emil holm,Spezia,22,2,50,81,51.2,2022-2023,serie-a
martin hongla,Hellas Verona,11,0,8,48,38.5,2022-2023,serie-a
petko hristov,Spezia,1,0,1,21,66.7,2022-2023,serie-a
ajdin hrustic,Hellas Verona,7,0,7,11,25.0,2022-2023,serie-a
elseid hysaj,Lazio,19,2,16,132,50.0,2022-2023,serie-a
rasmus hjlund,Atalanta,21,6,7,58,37.1,2022-2023,serie-a
roger ibanez,Roma,44,0,1,218,67.8,2022-2023,serie-a
zlatan ibrahimovic,Milan,2,0,0,3,66.7,2022-2023,serie-a
antonio iervolino,Salernitana,0,0,0,2,,2022-2023,serie-a
igor,Fiorentina,29,0,1,157,57.6,2022-2023,serie-a
jonathan ikone,Fiorentina,28,5,24,86,33.3,2022-2023,serie-a
ivan ilic,Hellas Verona,9,0,47,72,43.5,2022-2023,serie-a
ivan ilic,Torino,13,1,34,71,42.3,2022-2023,serie-a
samuel ilingjunior,Juventus,9,0,12,18,25.0,2022-2023,serie-a
emirhan ilkhan,Torino,5,0,0,7,33.3,2022-2023,serie-a
emirhan ilkhan,Sampdoria,0,0,4,5,14.3,2022-2023,serie-a
ciro immobile,Lazio,21,21,5,52,29.8,2022-2023,serie-a
ardian ismajli,Empoli,19,0,0,93,58.2,2022-2023,serie-a
mihailo ivanovic,Sampdoria,0,0,0,0,,2022-2023,serie-a
armando izzo,Monza,44,1,7,150,51.9,2022-2023,serie-a
mato jajalo,Udinese,1,0,0,6,100.0,2022-2023,serie-a
jese,Sampdoria,3,2,0,8,14.3,2022-2023,serie-a
juan jesus,Napoli,10,0,0,58,76.9,2022-2023,serie-a
orir johann helgason,Lecce,2,0,10,12,36.4,2022-2023,serie-a
luka jovic,Fiorentina,23,11,1,18,34.9,2022-2023,serie-a
hamed junior traore,Sassuolo,9,1,26,35,37.5,2022-2023,serie-a
yayah kallon,Hellas Verona,13,4,33,40,29.0,2022-2023,serie-a
pierre kalulu,Milan,24,2,28,165,52.2,2022-2023,serie-a
yann karamoh,Torino,11,12,15,29,22.6,2022-2023,serie-a
rick karsdorp,Roma,4,1,14,45,71.4,2022-2023,serie-a
denso kasius,Bologna,3,0,12,18,20.0,2022-2023,serie-a
grigoris kastanos,Salernitana,22,0,26,70,48.9,2022-2023,serie-a
moise kean,Juventus,15,8,5,40,45.0,2022-2023,serie-a
jakub kiwior,Spezia,16,0,14,93,64.7,2022-2023,serie-a
simon kjr,Milan,8,0,2,55,57.6,2022-2023,serie-a
teun koopmeiners,Atalanta,48,6,158,193,62.3,2022-2023,serie-a
filip kostic,Juventus,29,2,227,139,50.0,2022-2023,serie-a
christian kouame,Fiorentina,32,7,49,91,54.4,2022-2023,serie-a
viktor kovalenko,Spezia,9,1,15,31,30.0,2022-2023,serie-a
julian kristoffersen,Salernitana,2,0,0,0,25.0,2022-2023,serie-a
raimonds krollis,Spezia,2,0,0,1,0.0,2022-2023,serie-a
rade krunic,Milan,16,0,3,134,53.8,2022-2023,serie-a
marash kumbulla,Roma,3,0,0,15,63.6,2022-2023,serie-a
khvicha kvaratskhelia,Napoli,20,6,76,118,38.1,2022-2023,serie-a
giorgos kyriakopoulos,Bologna,9,0,38,41,31.3,2022-2023,serie-a
giorgos kyriakopoulos,Sassuolo,9,0,39,37,35.0,2022-2023,serie-a
sam lammers,Sampdoria,19,1,2,28,43.7,2022-2023,serie-a
sam lammers,Empoli,6,1,4,27,52.9,2022-2023,serie-a
kevin lasagna,Hellas Verona,25,15,13,64,22.7,2022-2023,serie-a
armand lauriente,Sassuolo,22,7,110,106,14.3,2022-2023,serie-a
valentino lazaro,Torino,14,1,86,86,51.9,2022-2023,serie-a
marko lazetic,Milan,0,0,0,1,0.0,2022-2023,serie-a
darko lazovic,Hellas Verona,8,9,123,142,27.3,2022-2023,serie-a
manuel lazzari,Lazio,15,0,36,90,39.1,2022-2023,serie-a
rafael leao,Milan,20,10,71,84,50.0,2022-2023,serie-a
mehdi leris,Sampdoria,52,10,57,149,59.3,2022-2023,serie-a
karol linetty,Torino,50,4,21,129,48.0,2022-2023,serie-a
marcin listkowski,Lecce,2,0,3,5,100.0,2022-2023,serie-a
diego llorente,Roma,9,0,0,30,70.6,2022-2023,serie-a
stanislav lobotka,Napoli,25,0,2,254,41.4,2022-2023,serie-a
manuel locatelli,Juventus,44,0,13,168,53.1,2022-2023,serie-a
luka lochoshvili,Cremonese,27,1,6,88,54.3,2022-2023,serie-a
ademola lookman,Atalanta,24,11,38,86,18.8,2022-2023,serie-a
maxime lopez,Sassuolo,31,0,25,172,57.1,2022-2023,serie-a
matteo lovato,Salernitana,6,0,0,40,48.4,2022-2023,serie-a
sandi lovric,Udinese,31,1,75,145,30.4,2022-2023,serie-a
hirving lozano,Napoli,27,4,73,60,38.1,2022-2023,serie-a
jhon lucumi,Bologna,29,0,1,204,57.7,2022-2023,serie-a
jose luis palomino,Atalanta,9,0,5,75,64.9,2022-2023,serie-a
romelu lukaku,Inter,16,13,24,23,52.7,2022-2023,serie-a
sasa lukic,Torino,26,0,25,81,50.0,2022-2023,serie-a
sebastiano luperto,Empoli,21,0,2,170,51.8,2022-2023,serie-a
charalampos lykogiannis,Bologna,14,1,69,54,52.9,2022-2023,serie-a
giulio maggiore,Salernitana,20,0,3,75,39.1,2022-2023,serie-a
giangiacomo magnani,Hellas Verona,22,0,4,93,61.1,2022-2023,serie-a
mike maignan,Milan,0,0,0,32,100.0,2022-2023,serie-a
jordan majchrzak,Roma,0,0,0,0,20.0,2022-2023,serie-a
jeanvictor makengo,Udinese,9,0,6,39,83.3,2022-2023,serie-a
lorenzo malagrida,Sampdoria,4,0,2,6,66.7,2022-2023,serie-a
daniel maldini,Spezia,13,0,19,32,41.4,2022-2023,serie-a
