nombre,club_actual,altura,valor,temporada,liga
jonas hofmann,bayer leverkusen,1.76,2000000.0,2024-2025,bundesliga
francis onyeka,bayer leverkusen,1.86,500000.0,2024-2025,bundesliga
amine adli,bayer leverkusen,1.8,18000000.0,2024-2025,bundesliga
martin terrier,bayer leverkusen,1.84,17000000.0,2024-2025,bundesliga
kerim alajbegovic,bayer leverkusen,1.85,,2024-2025,bundesliga
nathan tella,bayer leverkusen,1.73,15000000.0,2024-2025,bundesliga
victor boniface,bayer leverkusen,1.9,40000000.0,2024-2025,bundesliga
patrik schick,bayer leverkusen,1.91,27000000.0,2024-2025,bundesliga
artem stepanov,bayer leverkusen,1.92,800000.0,2024-2025,bundesliga
alejo sarco,bayer leverkusen,1.79,800000.0,2024-2025,bundesliga
maarten vandevoordt,rb leipzig,1.92,8000000.0,2024-2025,bundesliga
peter gulacsi,rb leipzig,1.93,2000000.0,2024-2025,bundesliga
leopold zingerle,rb leipzig,1.82,400000.0,2024-2025,bundesliga
fernando dickes,rb leipzig,1.93,,2024-2025,bundesliga
castello lukeba,rb leipzig,1.84,40000000.0,2024-2025,bundesliga
mohamed simakan,rb leipzig,1.87,23000000.0,2024-2025,bundesliga
el chadaille bitshiabu,rb leipzig,1.96,18000000.0,2024-2025,bundesliga
willi orban,rb leipzig,1.86,8000000.0,2024-2025,bundesliga
lukas klostermann,rb leipzig,1.89,8000000.0,2024-2025,bundesliga
jonathan norbye,rb leipzig,1.94,,2024-2025,bundesliga
david raum,rb leipzig,1.81,20000000.0,2024-2025,bundesliga
lionel voufack,rb leipzig,1.78,,2024-2025,bundesliga
lutsharel geertruida,rb leipzig,1.84,20000000.0,2024-2025,bundesliga
benjamin henrichs,rb leipzig,1.85,15000000.0,2024-2025,bundesliga
kosta nedeljkovic,rb leipzig,1.84,10000000.0,2024-2025,bundesliga
ridle baku,rb leipzig,1.76,9000000.0,2024-2025,bundesliga
leon ko,rb leipzig,1.89,,2024-2025,bundesliga
arthur vermeeren,rb leipzig,1.8,22000000.0,2024-2025,bundesliga
nicolas seiwald,rb leipzig,1.8,18000000.0,2024-2025,bundesliga
amadou haidara,rb leipzig,1.78,16000000.0,2024-2025,bundesliga
xaver schlager,rb leipzig,1.74,10000000.0,2024-2025,bundesliga
assan ouedraogo,rb leipzig,1.91,7000000.0,2024-2025,bundesliga
kevin kampl,rb leipzig,1.78,2500000.0,2024-2025,bundesliga
mika walther,rb leipzig,,,2024-2025,bundesliga
xavi simons,rb leipzig,1.79,70000000.0,2024-2025,bundesliga
christoph baumgartner,rb leipzig,1.8,12000000.0,2024-2025,bundesliga
viggo gebel,rb leipzig,1.75,350000.0,2024-2025,bundesliga
nuha jatta,rb leipzig,1.93,250000.0,2024-2025,bundesliga
faik sakar,rb leipzig,1.74,200000.0,2024-2025,bundesliga
antonio nusa,rb leipzig,1.83,28000000.0,2024-2025,bundesliga
eljif elmas,rb leipzig,1.84,14000000.0,2024-2025,bundesliga
tidiam gomis,rb leipzig,1.83,3000000.0,2024-2025,bundesliga
benjamin sesko,rb leipzig,1.95,70000000.0,2024-2025,bundesliga
lois openda,rb leipzig,1.77,50000000.0,2024-2025,bundesliga
yussuf poulsen,rb leipzig,1.92,5000000.0,2024-2025,bundesliga
andre silva,rb leipzig,1.86,4000000.0,2024-2025,bundesliga
robert ramsak,rb leipzig,1.85,,2024-2025,bundesliga
alexander nubel,vfb stuttgart,1.93,12000000.0,2024-2025,bundesliga
dennis seimen,vfb stuttgart,1.92,2500000.0,2024-2025,bundesliga
fabian bredlow,vfb stuttgart,1.9,800000.0,2024-2025,bundesliga
stefan drljaca,vfb stuttgart,1.92,325000.0,2024-2025,bundesliga
finn jeltsch,vfb stuttgart,1.88,20000000.0,2024-2025,bundesliga
jeff chabot,vfb stuttgart,1.95,12000000.0,2024-2025,bundesliga
anthony rouault,vfb stuttgart,1.86,10000000.0,2024-2025,bundesliga
ameen aldakhil,vfb stuttgart,1.87,7500000.0,2024-2025,bundesliga
luca jaquez,vfb stuttgart,1.87,6000000.0,2024-2025,bundesliga
anrie chase,vfb stuttgart,1.88,3000000.0,2024-2025,bundesliga
danaxel zagadou,vfb stuttgart,1.96,2000000.0,2024-2025,bundesliga
maximilian mittelstadt,vfb stuttgart,1.8,20000000.0,2024-2025,bundesliga
ramon hendriks,vfb stuttgart,1.89,5000000.0,2024-2025,bundesliga
josha vagnoman,vfb stuttgart,1.9,10000000.0,2024-2025,bundesliga
leonidas stergiou,vfb stuttgart,1.81,5000000.0,2024-2025,bundesliga
pascal stenzel,vfb stuttgart,1.83,2000000.0,2024-2025,bundesliga
angelo stiller,vfb stuttgart,1.83,45000000.0,2024-2025,bundesliga
atakan karazor,vfb stuttgart,1.91,12000000.0,2024-2025,bundesliga
yannik keitel,vfb stuttgart,1.86,3500000.0,2024-2025,bundesliga
christopher olivier,vfb stuttgart,1.87,500000.0,2024-2025,bundesliga
nikolas nartey,vfb stuttgart,1.86,400000.0,2024-2025,bundesliga
frans kratzig,vfb stuttgart,1.77,3500000.0,2024-2025,bundesliga
enzo millot,vfb stuttgart,1.75,35000000.0,2024-2025,bundesliga
chris fuhrich,vfb stuttgart,1.81,15000000.0,2024-2025,bundesliga
