Player,Pos,Squad,Height,Value,Season,Competition
tommaso corazza,Left-Back,Bologna FC 1909,1.74,1000000.0,2023-2024,serie-a
charalampos lykogiannis,Left-Back,Bologna FC 1909,1.91,1000000.0,2023-2024,serie-a
lorenzo de silvestri,Right-Back,Bologna FC 1909,1.87,400000.0,2023-2024,serie-a
jerdy schouten,Defensive Midfield,Bologna FC 1909,1.85,28000000.0,2023-2024,serie-a
nikola moro,Defensive Midfield,Bologna FC 1909,1.84,5000000.0,2023-2024,serie-a
oussama el azzouzi,Defensive Midfield,Bologna FC 1909,1.89,2500000.0,2023-2024,serie-a
lewis ferguson,Central Midfield,Bologna FC 1909,1.81,24000000.0,2023-2024,serie-a
nicolas dominguez,Central Midfield,Bologna FC 1909,1.79,17000000.0,2023-2024,serie-a
michel aebischer,Central Midfield,Bologna FC 1909,1.83,9000000.0,2023-2024,serie-a
kacper urbanski,Central Midfield,Bologna FC 1909,1.83,7000000.0,2023-2024,serie-a
remo freuler,Central Midfield,Bologna FC 1909,1.8,6500000.0,2023-2024,serie-a
niklas pyyhtia,Central Midfield,Bologna FC 1909,1.88,1200000.0,2023-2024,serie-a
giovanni fabbian,Attacking Midfield,Bologna FC 1909,1.86,14000000.0,2023-2024,serie-a
jens odgaard,Attacking Midfield,Bologna FC 1909,1.88,4500000.0,2023-2024,serie-a
jesper karlsson,Left Winger,Bologna FC 1909,1.79,8000000.0,2023-2024,serie-a
riccardo orsolini,Right Winger,Bologna FC 1909,1.83,16000000.0,2023-2024,serie-a
dan ndoye,Right Winger,Bologna FC 1909,1.84,14000000.0,2023-2024,serie-a
alexis saelemaekers,Right Winger,Bologna FC 1909,1.8,12000000.0,2023-2024,serie-a
joshua zirkzee,Centre-Forward,Bologna FC 1909,1.93,50000000.0,2023-2024,serie-a
santiago castro,Centre-Forward,Bologna FC 1909,1.79,12000000.0,2023-2024,serie-a
marko arnautovic,Centre-Forward,Bologna FC 1909,1.92,4000000.0,2023-2024,serie-a
sydney van hooijdonk,Centre-Forward,Bologna FC 1909,1.9,4000000.0,2023-2024,serie-a
tommaso ravaglioli,Centre-Forward,Bologna FC 1909,,,2023-2024,serie-a
mile svilar,Goalkeeper,AS Roma,1.89,9000000.0,2023-2024,serie-a
rui patricio,Goalkeeper,AS Roma,1.9,1000000.0,2023-2024,serie-a
renato marin,Goalkeeper,AS Roma,1.93,500000.0,2023-2024,serie-a
pietro boer,Goalkeeper,AS Roma,1.93,150000.0,2023-2024,serie-a
evan ndicka,Centre-Back,AS Roma,1.92,25000000.0,2023-2024,serie-a
gianluca mancini,Centre-Back,AS Roma,1.9,25000000.0,2023-2024,serie-a
dean huijsen,Centre-Back,AS Roma,1.97,10000000.0,2023-2024,serie-a
diego llorente,Centre-Back,AS Roma,1.86,7000000.0,2023-2024,serie-a
marash kumbulla,Centre-Back,AS Roma,1.91,4500000.0,2023-2024,serie-a
chris smalling,Centre-Back,AS Roma,1.94,2500000.0,2023-2024,serie-a
matteo plaia,Centre-Back,AS Roma,1.94,,2023-2024,serie-a
lovro golic,Centre-Back,AS Roma,1.93,,2023-2024,serie-a
angelino,Left-Back,AS Roma,1.71,8000000.0,2023-2024,serie-a
leonardo spinazzola,Left-Back,AS Roma,1.86,4000000.0,2023-2024,serie-a
jan oliveras,Left-Back,AS Roma,1.72,150000.0,2023-2024,serie-a
rasmus kristensen,Right-Back,AS Roma,1.87,10000000.0,2023-2024,serie-a
zeki celik,Right-Back,AS Roma,1.8,6000000.0,2023-2024,serie-a
rick karsdorp,Right-Back,AS Roma,1.84,5000000.0,2023-2024,serie-a
mattia mannini,Right-Back,AS Roma,1.73,,2023-2024,serie-a
bryan cristante,Defensive Midfield,AS Roma,1.86,20000000.0,2023-2024,serie-a
leandro paredes,Defensive Midfield,AS Roma,1.8,8000000.0,2023-2024,serie-a
martin vetkal,Defensive Midfield,AS Roma,1.81,50000.0,2023-2024,serie-a
edoardo bove,Central Midfield,AS Roma,1.81,18000000.0,2023-2024,serie-a
renato sanches,Central Midfield,AS Roma,1.76,6500000.0,2023-2024,serie-a
niccolo pisilli,Central Midfield,AS Roma,1.8,3500000.0,2023-2024,serie-a
riccardo pagano,Central Midfield,AS Roma,1.75,2500000.0,2023-2024,serie-a
francesco dalessio,Central Midfield,AS Roma,1.82,100000.0,2023-2024,serie-a
nicola zalewski,Left Midfield,AS Roma,1.75,12000000.0,2023-2024,serie-a
lorenzo pellegrini,Attacking Midfield,AS Roma,1.86,25000000.0,2023-2024,serie-a
tommaso baldanzi,Attacking Midfield,AS Roma,1.7,15000000.0,2023-2024,serie-a
houssem aouar,Attacking Midfield,AS Roma,1.75,10000000.0,2023-2024,serie-a
stephan el shaarawy,Left Winger,AS Roma,1.78,5000000.0,2023-2024,serie-a
luigi cherubini,Left Winger,AS Roma,1.75,350000.0,2023-2024,serie-a
ola solbakken,Right Winger,AS Roma,1.89,2500000.0,2023-2024,serie-a
joao costa,Right Winger,AS Roma,1.78,1000000.0,2023-2024,serie-a
paulo dybala,Second Striker,AS Roma,1.77,20000000.0,2023-2024,serie-a
tammy abraham,Centre-Forward,AS Roma,1.94,30000000.0,2023-2024,serie-a
romelu lukaku,Centre-Forward,AS Roma,1.91,30000000.0,2023-2024,serie-a
sardar azmoun,Centre-Forward,AS Roma,1.86,8000000.0,2023-2024,serie-a
andrea belotti,Centre-Forward,AS Roma,1.81,5000000.0,2023-2024,serie-a
filippo alessio,Centre-Forward,AS Roma,,100000.0,2023-2024,serie-a
oliver christensen,Goalkeeper,ACF Fiorentina,1.9,3000000.0,2023-2024,serie-a
pietro terracciano,Goalkeeper,ACF Fiorentina,1.93,2500000.0,2023-2024,serie-a
tommaso martinelli,Goalkeeper,ACF Fiorentina,1.94,1000000.0,2023-2024,serie-a
tommaso vannucchi,Goalkeeper,ACF Fiorentina,1.97,400000.0,2023-2024,serie-a
nikola milenkovic,Centre-Back,ACF Fiorentina,1.95,15000000.0,2023-2024,serie-a
lucas martinez quarta,Centre-Back,ACF Fiorentina,1.83,15000000.0,2023-2024,serie-a
luca ranieri,Centre-Back,ACF Fiorentina,1.87,8000000.0,2023-2024,serie-a
yerry mina,Centre-Back,ACF Fiorentina,1.95,3000000.0,2023-2024,serie-a
christian dalle mura,Centre-Back,ACF Fiorentina,1.88,850000.0,2023-2024,serie-a
pietro comuzzo,Centre-Back,ACF Fiorentina,1.85,700000.0,2023-2024,serie-a
christian biagetti,Centre-Back,ACF Fiorentina,,150000.0,2023-2024,serie-a
fabiano parisi,Left-Back,ACF Fiorentina,1.78,9500000.0,2023-2024,serie-a
cristiano biraghi,Left-Back,ACF Fiorentina,1.85,3500000.0,2023-2024,serie-a
niccolo fortini,Left-Back,ACF Fiorentina,1.85,500000.0,2023-2024,serie-a
michael kayode,Right-Back,ACF Fiorentina,1.79,25000000.0,2023-2024,serie-a
dodo,Right-Back,ACF Fiorentina,1.66,17000000.0,2023-2024,serie-a
niccolo pierozzi,Right-Back,ACF Fiorentina,1.84,1800000.0,2023-2024,serie-a
davide faraoni,Right-Back,ACF Fiorentina,1.8,1500000.0,2023-2024,serie-a
sofyan amrabat,Defensive Midfield,ACF Fiorentina,1.85,22000000.0,2023-2024,serie-a
arthur melo,Defensive Midfield,ACF Fiorentina,1.72,15000000.0,2023-2024,serie-a
rolando mandragora,Defensive Midfield,ACF Fiorentina,1.83,8500000.0,2023-2024,serie-a
maxime lopez,Defensive Midfield,ACF Fiorentina,1.67,7500000.0,2023-2024,serie-a
lorenzo amatucci,Defensive Midfield,ACF Fiorentina,1.72,1000000.0,2023-2024,serie-a
gaetano castrovilli,Central Midfield,ACF Fiorentina,1.87,7000000.0,2023-2024,serie-a
alfred duncan,Central Midfield,ACF Fiorentina,1.78,4000000.0,2023-2024,serie-a
gino infantino,Central Midfield,ACF Fiorentina,1.78,3000000.0,2023-2024,serie-a
lucas beltran,Attacking Midfield,ACF Fiorentina,1.76,16000000.0,2023-2024,serie-a
antonin barak,Attacking Midfield,ACF Fiorentina,1.9,4500000.0,2023-2024,serie-a
giacomo bonaventura,Attacking Midfield,ACF Fiorentina,1.8,3000000.0,2023-2024,serie-a
abdelhamid sabiri,Attacking Midfield,ACF Fiorentina,1.86,2200000.0,2023-2024,serie-a
riccardo sottil,Left Winger,ACF Fiorentina,1.8,6000000.0,2023-2024,serie-a
josip brekalo,Left Winger,ACF Fiorentina,1.75,3500000.0,2023-2024,serie-a
maat daniel caprini,Left Winger,ACF Fiorentina,1.8,,2023-2024,serie-a
nico gonzalez,Right Winger,ACF Fiorentina,1.8,35000000.0,2023-2024,serie-a
jonathan ikone,Right Winger,ACF Fiorentina,1.75,10000000.0,2023-2024,serie-a
aleksandr kokorin,Second Striker,ACF Fiorentina,1.84,800000.0,2023-2024,serie-a
christian kouame,Centre-Forward,ACF Fiorentina,1.85,7500000.0,2023-2024,serie-a
luka jovic,Centre-Forward,ACF Fiorentina,1.82,7000000.0,2023-2024,serie-a
mbala nzola,Centre-Forward,ACF Fiorentina,1.85,7000000.0,2023-2024,serie-a
andrea belotti,Centre-Forward,ACF Fiorentina,1.81,5000000.0,2023-2024,serie-a
fallou sene,Centre-Forward,ACF Fiorentina,1.87,200000.0,2023-2024,serie-a
