nombre,club_actual,altura,valor,temporada,liga
oihan sancet,athletic bilbao,1.88,60000000.0,2024-2025,laliga
unai gomez,athletic bilbao,1.83,6000000.0,2024-2025,laliga
peio canales,athletic bilbao,1.75,1000000.0,2024-2025,laliga
nico williams,athletic bilbao,1.81,70000000.0,2024-2025,laliga
alex berenguer,athletic bilbao,1.75,9000000.0,2024-2025,laliga
alvaro djalo,athletic bilbao,1.75,5000000.0,2024-2025,laliga
nico serrano,athletic bilbao,1.76,1200000.0,2024-2025,laliga
iker varela,athletic bilbao,1.88,300000.0,2024-2025,laliga
inaki williams,athletic bilbao,1.86,15000000.0,2024-2025,laliga
adu ares,athletic bilbao,1.83,1600000.0,2024-2025,laliga
aingeru olabarrieta,athletic bilbao,1.82,500000.0,2024-2025,laliga
endika bujan,athletic bilbao,1.7,300000.0,2024-2025,laliga
maroan sannadi,athletic bilbao,1.92,10000000.0,2024-2025,laliga
gorka guruzeta,athletic bilbao,1.88,9000000.0,2024-2025,laliga
javi marton,athletic bilbao,1.81,500000.0,2024-2025,laliga
alex remiro,real sociedad,1.91,18000000.0,2024-2025,laliga
unai marrero,real sociedad,1.89,600000.0,2024-2025,laliga
aitor fraga,real sociedad,,500000.0,2024-2025,laliga
egoitz arana,real sociedad,1.97,50000.0,2024-2025,laliga
nayef aguerd,real sociedad,1.9,18000000.0,2024-2025,laliga
igor zubeldia,real sociedad,1.81,12000000.0,2024-2025,laliga
jon martin,real sociedad,1.87,8000000.0,2024-2025,laliga
jon pacheco,real sociedad,1.84,6000000.0,2024-2025,laliga
aritz elustondo,real sociedad,1.8,3000000.0,2024-2025,laliga
luken beitia,real sociedad,,300000.0,2024-2025,laliga
javi lopez,real sociedad,1.83,7500000.0,2024-2025,laliga
aihen munoz,real sociedad,1.75,4000000.0,2024-2025,laliga
jon balda,real sociedad,1.74,300000.0,2024-2025,laliga
jon aramburu,real sociedad,1.76,15000000.0,2024-2025,laliga
hamari traore,real sociedad,1.75,2000000.0,2024-2025,laliga
alvaro odriozola,real sociedad,1.76,1000000.0,2024-2025,laliga
inaki ruperez,real sociedad,,300000.0,2024-2025,laliga
martin zubimendi,real sociedad,1.81,60000000.0,2024-2025,laliga
urko gonzalez de zarate,real sociedad,1.89,5000000.0,2024-2025,laliga
luka sucic,real sociedad,1.85,15000000.0,2024-2025,laliga
benat turrientes,real sociedad,1.81,10000000.0,2024-2025,laliga
jon ander olasagasti,real sociedad,1.76,4000000.0,2024-2025,laliga
mikel rodriguez,real sociedad,,250000.0,2024-2025,laliga
brais mendez,real sociedad,1.84,22000000.0,2024-2025,laliga
arsen zakharyan,real sociedad,1.83,9000000.0,2024-2025,laliga
pablo marin,real sociedad,1.78,8000000.0,2024-2025,laliga
jon magunazelaia,real sociedad,1.8,600000.0,2024-2025,laliga
mikel goti,real sociedad,1.85,400000.0,2024-2025,laliga
sergio gomez,real sociedad,1.71,20000000.0,2024-2025,laliga
ander barrenetxea,real sociedad,1.75,15000000.0,2024-2025,laliga
sheraldo becker,real sociedad,1.8,2500000.0,2024-2025,laliga
arkaitz mariezkurrena,real sociedad,,700000.0,2024-2025,laliga
alex marchal,real sociedad,,500000.0,2024-2025,laliga
takefusa kubo,real sociedad,1.73,30000000.0,2024-2025,laliga
dani diaz,real sociedad,1.67,300000.0,2024-2025,laliga
mikel oyarzabal,real sociedad,1.81,25000000.0,2024-2025,laliga
orri oskarsson,real sociedad,1.86,15000000.0,2024-2025,laliga
umar sadiq,real sociedad,1.91,5000000.0,2024-2025,laliga
ekain orobengoa,real sociedad,,250000.0,2024-2025,laliga
