nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
kingstone mutandwa,cagliari,1,0,0,25.0,1,0,1,0,1,2023-2024,serie-a
obite ndicka,roma,12,19,1,60.0,32,18,30,16,14,2023-2024,serie-a
nahitan nandez,cagliari,27,23,9,42.2,59,40,25,2,23,2023-2024,serie-a
natan,napoli,10,3,1,50.0,14,10,12,9,3,2023-2024,serie-a
lapo nava,milan,0,0,0,,0,0,0,0,0,2023-2024,serie-a
michel ndary adopo,atalanta,0,3,1,100.0,4,3,0,0,0,2023-2024,serie-a
dan ndoye,bologna,17,11,2,43.6,30,15,20,1,19,2023-2024,serie-a
cyril ngonge,hellas verona,5,3,6,35.7,14,9,7,1,6,2023-2024,serie-a
cyril ngonge,napoli,1,4,0,100.0,5,3,2,0,2,2023-2024,serie-a
mbaye niang,empoli,0,1,2,0.0,3,1,7,1,6,2023-2024,serie-a
hans nicolussi caviglia,juventus,1,3,1,66.7,5,2,5,1,4,2023-2024,serie-a
joseph nonge,juventus,0,0,0,,0,0,0,0,0,2023-2024,serie-a
tijjani noslin,hellas verona,5,7,6,37.5,18,8,17,2,15,2023-2024,serie-a
simeon nwankwo,salernitana,0,2,4,33.3,6,3,7,0,7,2023-2024,serie-a
mbala nzola,fiorentina,1,4,6,85.7,11,8,10,1,9,2023-2024,serie-a
adam obert,cagliari,8,8,1,47.1,17,9,13,7,6,2023-2024,serie-a
pedro obiang,sassuolo,3,4,1,20.0,8,4,6,4,2,2023-2024,serie-a
guillermo ochoa,salernitana,0,0,0,0.0,0,0,0,0,0,2023-2024,serie-a
jens odgaard,bologna,1,1,2,33.3,4,4,9,0,9,2023-2024,serie-a
noah okafor,milan,1,4,1,30.0,6,4,8,1,7,2023-2024,serie-a
david okereke,torino,1,1,1,0.0,3,1,2,0,2,2023-2024,serie-a
caleb okoli,frosinone,33,22,1,65.9,56,34,48,32,16,2023-2024,serie-a
maduka okoye,udinese,0,0,0,,0,0,0,0,0,2023-2024,serie-a
mathias olivera,napoli,29,15,6,59.0,50,29,35,6,29,2023-2024,serie-a
gaetano oristanio,cagliari,5,14,1,29.4,20,10,11,0,11,2023-2024,serie-a
riccardo orsolini,bologna,13,4,6,30.0,23,14,25,3,22,2023-2024,serie-a
victor osimhen,napoli,0,4,5,50.0,9,5,5,1,4,2023-2024,serie-a
remi oudin,lecce,12,12,2,63.2,26,14,13,1,12,2023-2024,serie-a
anthony oyono,frosinone,21,14,2,67.6,37,26,17,3,14,2023-2024,serie-a
simone pafundi,udinese,0,0,0,,0,0,0,0,0,2023-2024,serie-a
riccardo pagano,roma,1,1,0,0.0,2,2,3,2,1,2023-2024,serie-a
christos papadopoulos,genoa,0,0,0,0.0,0,0,0,0,0,2023-2024,serie-a
leandro paredes,roma,30,22,5,42.9,57,36,26,7,19,2023-2024,serie-a
fabiano parisi,fiorentina,11,12,7,57.7,30,15,21,5,16,2023-2024,serie-a
mario pasalic,atalanta,9,18,1,45.2,28,17,29,6,23,2023-2024,serie-a
triantafyllos pasaridis,salernitana,9,2,0,64.3,11,7,7,3,4,2023-2024,serie-a
patric,lazio,10,3,0,44.4,13,8,15,9,6,2023-2024,serie-a
rui patricio,roma,0,0,0,0.0,0,0,1,0,1,2023-2024,serie-a
benjamin pavard,inter,21,11,2,83.3,34,21,25,15,10,2023-2024,serie-a
leonardo pavoletti,cagliari,0,0,1,0.0,1,1,2,1,1,2023-2024,serie-a
martin payero,udinese,28,19,7,41.3,54,32,25,7,18,2023-2024,serie-a
marcus pedersen,sassuolo,25,5,6,84.0,36,24,19,5,14,2023-2024,serie-a
pedro,lazio,5,7,4,25.0,16,12,16,2,14,2023-2024,serie-a
pietro pellegri,torino,1,4,0,20.0,5,1,4,1,3,2023-2024,serie-a
lorenzo pellegrini,roma,14,16,5,33.3,35,20,28,5,23,2023-2024,serie-a
luca pellegrini,lazio,7,10,1,52.9,18,13,7,3,4,2023-2024,serie-a
marco pellegrino,salernitana,4,3,1,50.0,8,6,11,6,5,2023-2024,serie-a
marco pellegrino,milan,0,0,1,0.0,1,1,1,1,0,2023-2024,serie-a
pepin,monza,1,4,1,50.0,6,1,5,2,3,2023-2024,serie-a
pedro pereira,monza,14,4,1,52.9,19,13,15,2,13,2023-2024,serie-a
roberto pereyra,udinese,11,5,3,37.9,19,9,20,4,16,2023-2024,serie-a
nehuen perez,udinese,42,28,2,81.3,72,48,53,26,27,2023-2024,serie-a
simone perilli,hellas verona,0,0,0,,0,0,0,0,0,2023-2024,serie-a
mattia perin,juventus,0,0,0,,0,0,0,0,0,2023-2024,serie-a
samuele perisan,empoli,0,0,0,,0,0,0,0,0,2023-2024,serie-a
matteo pessina,monza,20,20,4,46.9,44,25,29,11,18,2023-2024,serie-a
andrea petagna,cagliari,1,0,3,50.0,4,2,6,3,3,2023-2024,serie-a
giuseppe pezzella,empoli,19,5,1,71.4,25,14,17,6,11,2023-2024,serie-a
roberto piccoli,empoli,0,0,1,100.0,1,1,0,0,0,2023-2024,serie-a
roberto piccoli,lecce,3,5,2,25.0,10,6,17,1,16,2023-2024,serie-a
santiago pierotti,lecce,2,5,1,25.0,8,8,5,0,5,2023-2024,serie-a
niccolo pierozzi,salernitana,13,4,0,50.0,17,11,24,7,17,2023-2024,serie-a
andrea pinamonti,sassuolo,1,6,6,22.7,13,8,19,2,17,2023-2024,serie-a
carlo pinsoglio,juventus,0,0,0,,0,0,0,0,0,2023-2024,serie-a
lorenzo pirola,salernitana,25,14,0,53.6,39,23,46,30,16,2023-2024,serie-a
niccolo pisilli,roma,0,0,0,,0,0,0,0,0,2023-2024,serie-a
tommaso pobega,milan,11,5,0,46.2,16,9,10,2,8,2023-2024,serie-a
paul pogba,juventus,0,1,0,100.0,1,1,0,0,0,2023-2024,serie-a
matteo politano,napoli,8,7,4,32.4,19,8,9,1,8,2023-2024,serie-a
marin pongracic,lecce,22,20,1,76.0,43,30,37,26,11,2023-2024,serie-a
stefan posch,bologna,35,38,4,55.7,77,46,27,8,19,2023-2024,serie-a
matteo prati,cagliari,15,27,3,61.9,45,25,29,6,23,2023-2024,serie-a
ivan provedel,lazio,1,0,0,33.3,1,0,0,0,0,2023-2024,serie-a
christian pulisic,milan,14,11,10,56.7,35,26,20,1,19,2023-2024,serie-a
george puscas,genoa,0,0,0,0.0,0,0,1,0,1,2023-2024,serie-a
domingos quina,udinese,1,0,0,,1,1,0,0,0,2023-2024,serie-a
adrien rabiot,juventus,22,30,6,66.7,58,39,26,6,20,2023-2024,serie-a
uros racic,sassuolo,6,4,0,0.0,10,4,16,7,9,2023-2024,serie-a
nemanja radonjic,torino,0,0,1,33.3,1,1,3,0,3,2023-2024,serie-a
boris radunovic,cagliari,0,0,0,,0,0,0,0,0,2023-2024,serie-a
hamza rafia,lecce,13,27,4,43.3,44,31,27,1,26,2023-2024,serie-a
ylber ramadani,lecce,32,29,7,38.5,68,41,54,13,41,2023-2024,serie-a
luca ranieri,fiorentina,11,1,2,61.5,14,10,25,11,14,2023-2024,serie-a
filippo ranocchia,empoli,7,9,0,43.8,16,11,9,1,8,2023-2024,serie-a
giacomo raspadori,napoli,6,10,5,40.0,21,10,15,1,14,2023-2024,serie-a
federico ravaglia,bologna,0,0,0,,0,0,0,0,0,2023-2024,serie-a
tijjani reijnders,milan,10,31,5,48.8,46,25,26,8,18,2023-2024,serie-a
reinier,frosinone,6,12,3,29.4,21,10,24,4,20,2023-2024,serie-a
mateo retegui,genoa,7,8,2,30.0,17,9,18,2,16,2023-2024,serie-a
samuele ricci,torino,17,12,4,65.2,33,18,21,3,18,2023-2024,serie-a
ricardo rodriguez,torino,21,22,2,62.2,45,26,22,9,13,2023-2024,serie-a
alessio romagnoli,lazio,14,11,0,66.7,25,18,29,17,12,2023-2024,serie-a
simone romagnoli,frosinone,23,11,1,75.0,35,15,51,36,15,2023-2024,serie-a
luka romero,milan,0,0,0,0.0,0,0,2,0,2,2023-2024,serie-a
marten de roon,atalanta,36,32,12,42.7,80,43,36,10,26,2023-2024,serie-a
francesco rossi,atalanta,0,0,0,,0,0,0,0,0,2023-2024,serie-a
nicolo rovella,lazio,25,17,4,44.4,46,28,27,6,21,2023-2024,serie-a
amir rrahmani,napoli,17,14,2,50.0,33,27,24,10,14,2023-2024,serie-a
ruan,sassuolo,11,10,4,55.6,25,15,18,15,3,2023-2024,serie-a
daniele rugani,juventus,7,3,1,80.0,11,9,11,4,7,2023-2024,serie-a
matteo ruggeri,atalanta,14,7,8,53.3,29,15,46,4,42,2023-2024,serie-a
mario rui,napoli,17,5,5,66.7,27,15,17,2,15,2023-2024,serie-a
stefano sabelli,genoa,28,19,3,32.6,50,24,27,6,21,2023-2024,serie-a
alexis saelemaekers,bologna,13,14,5,44.4,32,22,13,1,12,2023-2024,serie-a
lazar samardzic,udinese,18,18,4,41.0,40,19,26,6,20,2023-2024,serie-a
junior sambia,salernitana,8,1,3,54.5,12,5,15,7,8,2023-2024,serie-a
antonio sanabria,torino,5,9,4,44.4,18,15,7,1,6,2023-2024,serie-a
renato sanches,roma,1,1,0,66.7,2,1,2,0,2,2023-2024,serie-a
alexis sanchez,inter,0,5,2,25.0,7,6,4,1,3,2023-2024,serie-a
alex sandro,juventus,7,6,0,80.0,13,7,13,7,6,2023-2024,serie-a
nicola sansone,lecce,6,2,3,31.3,11,6,7,1,6,2023-2024,serie-a
riccardo saponara,hellas verona,2,0,1,14.3,3,1,4,0,4,2023-2024,serie-a
zanos savva,torino,0,1,0,33.3,1,1,0,0,0,2023-2024,serie-a
saba sazonov,torino,4,5,0,100.0,9,7,8,5,3,2023-2024,serie-a
giorgio scalvini,atalanta,29,19,5,47.5,53,33,44,17,27,2023-2024,serie-a
gianluca scamacca,atalanta,4,5,6,50.0,15,9,7,1,6,2023-2024,serie-a
perr schuurs,torino,11,8,1,33.3,20,12,10,2,8,2023-2024,serie-a
simone scuffet,cagliari,1,0,0,50.0,1,0,1,0,1,2023-2024,serie-a
demba seck,torino,1,4,0,75.0,5,3,1,0,1,2023-2024,serie-a
demba seck,frosinone,2,3,2,80.0,7,4,3,0,3,2023-2024,serie-a
nikola sekulov,juventus,0,0,0,,0,0,0,0,0,2023-2024,serie-a
vivaldo semedo,udinese,0,0,0,,0,0,0,0,0,2023-2024,serie-a
stefano sensi,inter,0,1,0,33.3,1,1,1,0,1,2023-2024,serie-a
suat serdar,hellas verona,24,23,4,48.9,51,39,29,7,22,2023-2024,serie-a
andres sfait,salernitana,1,0,0,50.0,1,1,0,0,0,2023-2024,serie-a
stephan el shaarawy,roma,14,4,3,40.0,21,13,11,4,7,2023-2024,serie-a
eldor shomurodov,cagliari,2,6,3,60.0,11,4,5,0,5,2023-2024,serie-a
steven shpendi,empoli,0,0,0,0.0,0,0,2,1,1,2023-2024,serie-a
marco silvestri,udinese,0,0,0,0.0,0,0,1,0,1,2023-2024,serie-a
giovanni simeone,napoli,1,3,8,25.0,12,4,11,0,11,2023-2024,serie-a
jancarlo simic,milan,1,0,0,,1,1,5,4,1,2023-2024,serie-a
leo skiri stigard,napoli,13,10,1,54.5,24,12,18,12,6,2023-2024,serie-a
ukasz skorupski,bologna,2,0,0,66.7,2,2,0,0,0,2023-2024,serie-a
chris smalling,roma,1,0,0,25.0,1,1,6,5,1,2023-2024,serie-a
andrea sodero,empoli,0,0,0,,0,0,0,0,0,2023-2024,serie-a
ola solbakken,roma,0,0,0,,0,0,0,0,0,2023-2024,serie-a
daniele sommariva,genoa,0,0,0,,0,0,0,0,0,2023-2024,serie-a
yann sommer,inter,2,0,0,100.0,2,1,1,0,1,2023-2024,serie-a
brandon soppy,torino,1,1,0,33.3,2,2,2,0,2,2023-2024,serie-a
alessandro sorrentino,monza,0,0,0,,0,0,0,0,0,2023-2024,serie-a
riccardo sottil,fiorentina,5,1,4,37.5,10,5,12,0,12,2023-2024,serie-a
matias soule,frosinone,12,14,15,47.5,41,27,38,4,34,2023-2024,serie-a
djed spence,genoa,12,4,0,80.0,16,10,20,5,15,2023-2024,serie-a
leonardo spinazzola,roma,10,5,0,44.4,15,7,8,2,6,2023-2024,serie-a
marco sportiello,milan,0,0,0,,0,0,0,0,0,2023-2024,serie-a
trivante stewart,salernitana,0,0,0,,0,0,1,0,1,2023-2024,serie-a
gabriel strefezza,lecce,8,7,9,70.0,24,17,17,0,17,2023-2024,serie-a
kevin strootman,genoa,13,18,3,48.4,34,19,20,6,14,2023-2024,serie-a
isaac success,udinese,0,5,1,33.3,6,4,6,1,5,2023-2024,serie-a
ibrahim sulemana,cagliari,15,15,6,63.0,36,14,24,5,19,2023-2024,serie-a
tomas suslov,hellas verona,11,22,9,31.9,42,30,15,0,15,2023-2024,serie-a
mile svilar,roma,0,0,0,,0,0,0,0,0,2023-2024,serie-a
karol swiderski,hellas verona,1,3,3,66.7,7,3,6,4,2,2023-2024,serie-a
wojciech szczesny,juventus,0,0,0,,0,0,0,0,0,2023-2024,serie-a
przemysaw szyminski,frosinone,0,0,0,,0,0,1,1,0,2023-2024,serie-a
adrien tameze,torino,13,18,4,48.6,35,16,24,11,13,2023-2024,serie-a
elayis tavsan,hellas verona,0,0,0,0.0,0,0,0,0,0,2023-2024,serie-a
loum tchaouna,salernitana,5,13,2,50.0,20,10,20,1,19,2023-2024,serie-a
jackson tchatchoua,hellas verona,25,12,2,47.9,39,26,17,7,10,2023-2024,serie-a
filippo terracciano,hellas verona,23,6,1,54.8,30,19,24,6,18,2023-2024,serie-a
filippo terracciano,milan,1,1,0,33.3,2,2,3,0,3,2023-2024,serie-a
