club,club_id,player,player_id,market_value_str,market_value_eur,player_url,player_norm,club_norm,season,competition_code
LOSC Lille,1082,Gabriel Gudmundsson,362108,€7.00m,7000000.0,https://www.transfermarkt.com/gabriel-gudmundsson/profil/spieler/362108,gabriel gudmundsson,losc lille,2024,FR1
LOSC Lille,1082,Ismaily,124028,€1.20m,1200000.0,https://www.transfermarkt.com/ismaily/profil/spieler/124028,ismaily,losc lille,2024,FR1
LOSC Lille,1082,Vincent Burlet,920939,€600k,600000.0,https://www.transfermarkt.com/vincent-burlet/profil/spieler/920939,vincent burlet,losc lille,2024,FR1
LOSC Lille,1082,Tiago Santos,816580,€15.00m,15000000.0,https://www.transfermarkt.com/tiago-santos/profil/spieler/816580,tiago santos,losc lille,2024,FR1
LOSC Lille,1082,Thomas Meunier,100986,€2.00m,2000000.0,https://www.transfermarkt.com/thomas-meunier/profil/spieler/100986,thomas meunier,losc lille,2024,FR1
LOSC Lille,1082,Akim Zedadka,327863,€700k,700000.0,https://www.transfermarkt.com/akim-zedadka/profil/spieler/327863,akim zedadka,losc lille,2024,FR1
LOSC Lille,1082,Morgan Costarelli,1119911,-,,https://www.transfermarkt.com/morgan-costarelli/profil/spieler/1119911,morgan costarelli,losc lille,2024,FR1
LOSC Lille,1082,Ngal'ayel Mukau,1016015,€15.00m,15000000.0,https://www.transfermarkt.com/ngalayel-mukau/profil/spieler/1016015,ngal'ayel mukau,losc lille,2024,FR1
LOSC Lille,1082,Nabil Bentaleb,245537,€6.00m,6000000.0,https://www.transfermarkt.com/nabil-bentaleb/profil/spieler/245537,nabil bentaleb,losc lille,2024,FR1
LOSC Lille,1082,Benjamin André,84301,€5.00m,5000000.0,https://www.transfermarkt.com/benjamin-andre/profil/spieler/84301,benjamin andre,losc lille,2024,FR1
LOSC Lille,1082,Ugo Raghouber,707230,€4.00m,4000000.0,https://www.transfermarkt.com/ugo-raghouber/profil/spieler/707230,ugo raghouber,losc lille,2024,FR1
LOSC Lille,1082,Lilian Baret,1083054,-,,https://www.transfermarkt.com/lilian-baret/profil/spieler/1083054,lilian baret,losc lille,2024,FR1
LOSC Lille,1082,Ayyoub Bouaddi,1097139,€28.00m,28000000.0,https://www.transfermarkt.com/ayyoub-bouaddi/profil/spieler/1097139,ayyoub bouaddi,losc lille,2024,FR1
LOSC Lille,1082,André Gomes,221025,€6.00m,6000000.0,https://www.transfermarkt.com/andre-gomes/profil/spieler/221025,andre gomes,losc lille,2024,FR1
LOSC Lille,1082,Ethan Mbappé,903666,€5.00m,5000000.0,https://www.transfermarkt.com/ethan-mbappe/profil/spieler/903666,ethan mbappe,losc lille,2024,FR1
LOSC Lille,1082,Mitchel Bakker,361065,€7.00m,7000000.0,https://www.transfermarkt.com/mitchel-bakker/profil/spieler/361065,mitchel bakker,losc lille,2024,FR1
LOSC Lille,1082,Angel Gomes,392770,€20.00m,20000000.0,https://www.transfermarkt.com/angel-gomes/profil/spieler/392770,angel gomes,losc lille,2024,FR1
LOSC Lille,1082,Hákon Arnar Haraldsson,652275,€18.00m,18000000.0,https://www.transfermarkt.com/hakon-arnar-haraldsson/profil/spieler/652275,hakon arnar haraldsson,losc lille,2024,FR1
LOSC Lille,1082,Rémy Cabella,113707,€2.50m,2500000.0,https://www.transfermarkt.com/remy-cabella/profil/spieler/113707,remy cabella,losc lille,2024,FR1
LOSC Lille,1082,Matías Fernández-Pardo,724129,€15.00m,15000000.0,https://www.transfermarkt.com/matias-fernandez-pardo/profil/spieler/724129,matias fernandez-pardo,losc lille,2024,FR1
LOSC Lille,1082,Osame Sahraoui,580657,€12.00m,12000000.0,https://www.transfermarkt.com/osame-sahraoui/profil/spieler/580657,osame sahraoui,losc lille,2024,FR1
LOSC Lille,1082,Aaron Malouda,974996,€150k,150000.0,https://www.transfermarkt.com/aaron-malouda/profil/spieler/974996,aaron malouda,losc lille,2024,FR1
LOSC Lille,1082,Younes Lachaab,1035659,€50k,50000.0,https://www.transfermarkt.com/younes-lachaab/profil/spieler/1035659,younes lachaab,losc lille,2024,FR1
LOSC Lille,1082,Soriba Diaoune,1184007,-,,https://www.transfermarkt.com/soriba-diaoune/profil/spieler/1184007,soriba diaoune,losc lille,2024,FR1
LOSC Lille,1082,Edon Zhegrova,496857,€25.00m,25000000.0,https://www.transfermarkt.com/edon-zhegrova/profil/spieler/496857,edon zhegrova,losc lille,2024,FR1
LOSC Lille,1082,Jonathan David,533738,€45.00m,45000000.0,https://www.transfermarkt.com/jonathan-david/profil/spieler/533738,jonathan david,losc lille,2024,FR1
LOSC Lille,1082,Chuba Akpom,197642,€7.00m,7000000.0,https://www.transfermarkt.com/chuba-akpom/profil/spieler/197642,chuba akpom,losc lille,2024,FR1
LOSC Lille,1082,Andrej Ilic,583699,€4.00m,4000000.0,https://www.transfermarkt.com/andrej-ilic/profil/spieler/583699,andrej ilic,losc lille,2024,FR1
LOSC Lille,1082,Mohamed Bayo,594991,€2.80m,2800000.0,https://www.transfermarkt.com/mohamed-bayo/profil/spieler/594991,mohamed bayo,losc lille,2024,FR1
Olympique Lyon,1041,Lucas Perri,352041,€10.00m,10000000.0,https://www.transfermarkt.com/lucas-perri/profil/spieler/352041,lucas perri,olympique lyon,2024,FR1
