comp_name,region,country,season_start_year,squad,player_num,player_name,player_position,player_dob,player_age,player_nationality,current_club,player_height_mtrs,player_foot,date_joined,joined_from,contract_expiry,player_market_value_euro,player_url,Season,Liga
Ligue 1,Europe,France,2024,Stade Reims,-,Junya Ito,Central Midfield,,,France,ESTAC Troyes,1.8,right,,Stade Reims B,,,https://www.transfermarkt.com/junya-ito/profil/spieler/348791,2024-2025,Ligue-1
Serie A,Europe,Italy,2024,Udinese Calcio,30,Jurgen Ekkelenkamp,Centre-Back,,,Argentina,Antalyaspor,1.85,right,,CA Vélez Sarsfield,,2000000,https://www.transfermarkt.com/jurgen-ekkelenkamp/profil/spieler/361068,2024-2025,Serie-A
Premier League,Europe,England,2024,Arsenal FC,-,Jurriën Timber,Left Winger,,,England,Brentford FC,1.75,right,,Arsenal FC U23,,16000000,https://www.transfermarkt.com/jurrien-timber/profil/spieler/420243,2024-2025,Premier-League
Ligue 1,Europe,France,2024,Olympique Lyon,19,Justin Bengui,Centre-Back,,,Senegal,Olympique Lyon,1.9,left,,Nottingham Forest,,15000000,https://www.transfermarkt.com/justin-bengui/profil/spieler/802986,2024-2025,Ligue-1
Ligue 1,Europe,France,2024,Stade Brestois 29,21,Justin Bourgault,Attacking Midfield,,,France,Al-Taawoun FC,1.8,left,,AFC Bournemouth,,6000000,https://www.transfermarkt.com/justin-bourgault/profil/spieler/1030153,2024-2025,Ligue-1
Premier League,Europe,England,2024,Crystal Palace,20,Justin Devenny,Defensive Midfield,,,England,Crystal Palace,1.82,left,,Blackburn Rovers,,45000000,https://www.transfermarkt.com/justin-devenny/profil/spieler/747009,2024-2025,Premier-League
Bundesliga,Europe,Germany,2024,VfB Stuttgart,-,Justin Diehl,Left-Back,,,Germany,Red Bull Salzburg,1.77,left,,Bayern Munich,,3500000,https://www.transfermarkt.com/justin-diehl/profil/spieler/720162,2024-2025,Bundesliga
Ligue 1,Europe,France,2024,Angers SCO,-,Justin Kalumba,Right-Back,,,France,Angers SCO,1.81,right,,Angers SCO B,,,https://www.transfermarkt.com/justin-kalumba/profil/spieler/1101641,2024-2025,Ligue-1
Premier League,Europe,England,2024,AFC Bournemouth,45,Justin Kluivert,Centre-Back,,,United States,AFC Bournemouth,1.88,left,,D.C. United,,1000000,https://www.transfermarkt.com/justin-kluivert/profil/spieler/330659,2024-2025,Premier-League
Ligue 1,Europe,France,2024,FC Toulouse,4,Justin Lacombe,Centre-Back,,,England,FC Toulouse,1.9,right,,Leeds United,,10000000,https://www.transfermarkt.com/justin-lacombe/profil/spieler/854988,2024-2025,Ligue-1
Bundesliga,Europe,Germany,2024,SV Werder Bremen,28,Justin Njinmah,Defensive Midfield,,,France,SV Werder Bremen,2.02,right,,Olympique Lyon,,2500000,https://www.transfermarkt.com/justin-njinmah/profil/spieler/596153,2024-2025,Bundesliga
LaLiga,Europe,Spain,2024,RCD Espanyol Barcelona,-,Justin Smith,Centre-Back,,,Spain,RCD Espanyol B,1.88,right,,,,,https://www.transfermarkt.com/justin-smith/profil/spieler/904712,2024-2025,La-Liga
Bundesliga,Europe,Germany,2024,VfL Bochum,11,Kacper Koscierski,Left Winger,,,Greece,Al-Khaleej FC,1.84,right,,Olympiacos Piraeus,,2000000,https://www.transfermarkt.com/kacper-koscierski/profil/spieler/1058515,2024-2025,Bundesliga
Serie A,Europe,Italy,2024,Bologna FC 1909,15,Kacper Urbanski,Centre-Back,,,Italy,Bologna FC 1909,1.91,right,,SS Lazio,,6000000,https://www.transfermarkt.com/kacper-urbanski/profil/spieler/699442,2024-2025,Serie-A
Premier League,Europe,England,2024,Aston Villa,26,Kadan Young,Defensive Midfield,,,Netherlands,Aston Villa,1.85,right,,Aston Villa U21,,6000000,https://www.transfermarkt.com/kadan-young/profil/spieler/887433,2024-2025,Premier-League
Premier League,Europe,England,2024,Manchester City,8,Kaden Braithwaite,Central Midfield,,,Croatia,Manchester City,1.77,right,,Chelsea FC,,20000000,https://www.transfermarkt.com/kaden-braithwaite/profil/spieler/1078156,2024-2025,Premier-League
Premier League,Europe,England,2024,Crystal Palace,31,Kaden Rodney,Goalkeeper,,,England,Crystal Palace,1.92,right,,Sunderland AFC,,,https://www.transfermarkt.com/kaden-rodney/profil/spieler/860078,2024-2025,Premier-League
Ligue 1,Europe,France,2024,Stade Rennais FC,10,Kader Meïté,Right Winger,,,France,Stade Rennais FC,1.8,left,,FC Nantes,,18000000,https://www.transfermarkt.com/kader-meite/profil/spieler/1141560,2024-2025,Ligue-1
Premier League,Europe,England,2024,West Ham United,5,Kaelan Casey,Right-Back,,,Czech Republic,TSG 1899 Hoffenheim,1.74,right,,SK Slavia Prague,,5000000,https://www.transfermarkt.com/kaelan-casey/profil/spieler/845321,2024-2025,Premier-League
Premier League,Europe,England,2024,Arsenal FC,23,Kai Havertz,Central Midfield,,,Spain,Arsenal FC,1.89,left,,Real Sociedad,,35000000,https://www.transfermarkt.com/kai-havertz/profil/spieler/309400,2024-2025,Premier-League
Premier League,Europe,England,2024,Chelsea FC,-,Kaiden Wilson,Central Midfield,,,Italy,Torino FC,1.92,right,,Inter Milan,,15000000,https://www.transfermarkt.com/kaiden-wilson/profil/spieler/936841,2024-2025,Premier-League
Bundesliga,Europe,Germany,2024,1.FSV Mainz 05,44,Kaishu Sano,Centre-Forward,,,Germany,1.FSV Mainz 05,1.92,right,,1.FSV Mainz 05 U19,,10000000,https://www.transfermarkt.com/kaishu-sano/profil/spieler/643574,2024-2025,Bundesliga
Premier League,Europe,England,2024,Manchester City,33,Kalvin Phillips,Goalkeeper,,,England,,1.88,right,,Derby County,,,https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749,2024-2025,Premier-League
Premier League,Europe,England,2024,Southampton FC,16,Kamaldeen Sulemana,Right-Back,,,Japan,SV Werder Bremen,1.79,right,,AZ Alkmaar,,11000000,https://www.transfermarkt.com/kamaldeen-sulemana/profil/spieler/746695,2024-2025,Premier-League
Bundesliga,Europe,Germany,2024,VfL Wolfsburg,1,Kamil Grabara,Goalkeeper,,,Poland,VfL Wolfsburg,1.95,right,,FC Copenhagen,,14000000,https://www.transfermarkt.com/kamil-grabara/profil/spieler/346551,2024-2025,Bundesliga
Ligue 1,Europe,France,2024,Stade Brestois 29,-,Kamory Doumbia,Centre-Back,,,France,Stade Brest 29 B,1.86,right,,,,,https://www.transfermarkt.com/kamory-doumbia/profil/spieler/671594,2024-2025,Ligue-1
Ligue 1,Europe,France,2024,Le Havre AC,32,Kandet Diawara,Right-Back,,,France,Sunderland AFC,1.83,right,,Sunderland AFC,,2500000,https://www.transfermarkt.com/kandet-diawara/profil/spieler/575319,2024-2025,Ligue-1
Ligue 1,Europe,France,2024,Paris Saint-Germain,8,Kang-in Lee,Central Midfield,,,Spain,Paris Saint-Germain,1.89,left,,SSC Napoli,,40000000,https://www.transfermarkt.com/kang-in-lee/profil/spieler/557149,2024-2025,Ligue-1
Premier League,Europe,England,2024,Brighton & Hove Albion,-,Kaoru Mitoma,Right-Back,,,England,Brighton & Hove Albion U21,, ,,,,,https://www.transfermarkt.com/kaoru-mitoma/profil/spieler/504849,2024-2025,Premier-League
Bundesliga,Europe,Germany,2024,Borussia Dortmund,17,Karim Adeyemi,Central Midfield,,,England,Borussia Dortmund,1.88,right,,Chelsea FC,,18000000,https://www.transfermarkt.com/karim-adeyemi/profil/spieler/496094,2024-2025,Bundesliga
Bundesliga,Europe,Germany,2024,SV Werder Bremen,6,Karim Coulibaly,Central Midfield,,,Denmark,SV Werder Bremen,1.87,right,,FC Copenhagen,,14000000,https://www.transfermarkt.com/karim-coulibaly/profil/spieler/1084638,2024-2025,Bundesliga
Bundesliga,Europe,Germany,2024,1.FSV Mainz 05,44,Karim Onisiwo,Centre-Forward,,,Germany,1.FSV Mainz 05,1.92,right,,1.FSV Mainz 05 U19,,10000000,https://www.transfermarkt.com/karim-onisiwo/profil/spieler/119234,2024-2025,Bundesliga
