Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
noah mbamba,Leverkusen,0,0,0,0,0,0,,0,,0,0,0,0,0,2022-2023,bundesliga
jeanmanuel mbom,Werder Bremen,0,3,0,0,3,0,,0,,0,0,0,0,0,2022-2023,bundesliga
nathanael mbuku,Augsburg,1,7,4,1,12,0,,0,,20,0,0,2,1,2022-2023,bundesliga
thomas meunier,Dortmund,131,213,162,11,503,10,40.0,4,40.0,556,7,1,8,5,2022-2023,bundesliga
alexander meyer,Dortmund,327,7,1,1,335,0,,0,,669,0,0,0,0,2022-2023,bundesliga
sven michel,Union Berlin,25,85,152,20,258,12,25.0,9,75.0,164,3,1,20,7,2022-2023,bundesliga
enzo millot,Stuttgart,94,264,196,35,545,46,45.7,19,41.3,729,14,7,18,13,2022-2023,bundesliga
maximilian mittelstadt,Hertha BSC,223,281,126,8,616,33,57.6,12,36.4,982,19,4,12,9,2022-2023,bundesliga
anthony modeste,Dortmund,34,98,88,34,219,4,0.0,4,100.0,94,1,2,18,9,2022-2023,bundesliga
tobias mohr,Schalke 04,198,219,183,13,594,7,57.1,2,28.6,793,7,1,8,8,2022-2023,bundesliga
clinton mola,Stuttgart,9,4,2,0,14,0,,0,,0,0,0,0,0,2022-2023,bundesliga
florent mollet,Schalke 04,23,110,75,9,206,5,40.0,3,60.0,309,8,0,11,8,2022-2023,bundesliga
youssoufa moukoko,Dortmund,24,137,191,62,346,45,37.8,26,57.8,420,7,6,30,20,2022-2023,bundesliga
florian muller,Stuttgart,761,16,0,0,775,0,,0,,1279,0,0,0,0,2022-2023,bundesliga
thomas muller,Bayern Munich,93,409,521,114,1020,18,50.0,9,50.0,1010,24,11,49,20,2022-2023,bundesliga
jamal musiala,Bayern Munich,142,667,616,144,1401,152,50.7,63,41.4,2802,61,33,79,70,2022-2023,bundesliga
marlon mustapha,Mainz 05,2,22,22,5,45,3,66.7,1,33.3,133,4,2,7,2,2022-2023,bundesliga
obite ndicka,Eint Frankfurt,1078,1003,90,25,2159,10,60.0,3,30.0,3115,14,2,18,5,2022-2023,bundesliga
nathan ngoumou,Gladbach,59,95,158,27,308,27,25.9,14,51.9,551,12,12,18,4,2022-2023,bundesliga
stanley nsoki,Hoffenheim,415,481,43,7,931,21,57.1,7,33.3,1443,6,0,14,4,2022-2023,bundesliga
nikolas nartey,Stuttgart,103,172,70,4,340,8,50.0,3,37.5,356,5,1,4,9,2022-2023,bundesliga
luca netz,Gladbach,155,184,113,11,446,13,76.9,3,23.1,463,10,3,13,6,2022-2023,bundesliga
manuel neuer,Bayern Munich,519,8,2,2,528,0,,0,,910,0,0,1,0,2022-2023,bundesliga
florian neuhaus,Gladbach,133,448,232,41,804,34,35.3,15,44.1,1238,26,4,22,14,2022-2023,bundesliga
jessic ngankam,Hertha BSC,31,102,107,34,232,28,35.7,16,57.1,275,7,6,26,18,2022-2023,bundesliga
florian niederlechner,Augsburg,40,143,151,39,332,20,25.0,12,60.0,175,5,1,16,11,2022-2023,bundesliga
florian niederlechner,Hertha BSC,27,114,111,32,249,22,50.0,9,40.9,225,6,4,11,6,2022-2023,bundesliga
justin njinmah,Dortmund,0,1,3,1,4,1,0.0,1,100.0,8,0,0,0,2,2022-2023,bundesliga
christopher nkunku,RB Leipzig,57,356,448,128,850,77,49.4,27,35.1,1225,23,23,45,38,2022-2023,bundesliga
felix nmecha,Wolfsburg,183,536,258,40,967,46,56.5,13,28.3,1235,22,2,41,13,2022-2023,bundesliga
lukas nmecha,Wolfsburg,19,131,169,34,317,26,38.5,8,30.8,304,7,5,38,11,2022-2023,bundesliga
