Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
mbala nzola,Fiorentina,37,192,322,89,545,30,46.7,14,46.7,490,15,10,65,38,2023-2024,serie-a
adam obert,Cagliari,256,281,52,3,587,5,60.0,1,20.0,857,6,1,9,2,2023-2024,serie-a
pedro obiang,Sassuolo,66,127,41,1,229,3,66.7,1,33.3,183,3,0,1,1,2023-2024,serie-a
guillermo ochoa,Salernitana,714,4,0,0,718,0,,0,,1194,0,0,1,0,2023-2024,serie-a
jens odgaard,Bologna,18,79,94,22,191,12,33.3,7,58.3,241,3,6,12,10,2023-2024,serie-a
noah okafor,Milan,34,117,154,45,298,32,43.8,17,53.1,761,11,14,24,14,2023-2024,serie-a
david okereke,Torino,6,48,68,12,122,6,16.7,3,50.0,225,1,7,8,3,2023-2024,serie-a
caleb okoli,Frosinone,1086,932,68,22,2074,5,40.0,3,60.0,3646,9,2,20,4,2023-2024,serie-a
maduka okoye,Udinese,489,2,0,0,491,0,,0,,754,0,0,1,0,2023-2024,serie-a
mathias olivera,Napoli,371,685,326,41,1375,17,64.7,5,29.4,1822,27,1,13,16,2023-2024,serie-a
gaetano oristanio,Cagliari,53,181,204,36,426,60,53.3,23,38.3,798,21,9,41,44,2023-2024,serie-a
riccardo orsolini,Bologna,170,340,482,77,978,77,40.3,40,51.9,1787,34,23,49,23,2023-2024,serie-a
victor osimhen,Napoli,30,186,340,152,544,40,40.0,19,47.5,761,24,15,64,28,2023-2024,serie-a
remi oudin,Lecce,148,470,377,28,984,11,36.4,7,63.6,905,21,3,21,20,2023-2024,serie-a
anthony oyono,Frosinone,233,357,185,16,769,27,44.4,13,48.1,1202,19,7,23,11,2023-2024,serie-a
simone pafundi,Udinese,3,4,2,0,9,0,,0,,2,0,0,0,0,2023-2024,serie-a
riccardo pagano,Roma,10,17,7,0,34,1,100.0,0,0.0,64,1,0,2,1,2023-2024,serie-a
christos papadopoulos,Genoa,0,1,0,0,1,0,,0,,0,0,0,0,0,2023-2024,serie-a
leandro paredes,Roma,562,1461,322,9,2329,18,44.4,6,33.3,3762,36,3,15,9,2023-2024,serie-a
fabiano parisi,Fiorentina,327,551,313,25,1171,42,57.1,11,26.2,2491,41,10,25,17,2023-2024,serie-a
mario pasalic,Atalanta,298,752,310,57,1348,25,48.0,12,48.0,2048,34,4,34,13,2023-2024,serie-a
triantafyllos pasaridis,Salernitana,112,101,7,2,219,1,0.0,1,100.0,212,2,0,4,0,2023-2024,serie-a
patric,Lazio,593,651,55,7,1295,0,,0,,2229,4,0,4,0,2023-2024,serie-a
rui patricio,Roma,656,1,0,0,657,0,,0,,1021,0,0,0,0,2023-2024,serie-a
