Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
mathias pereira lage,Brest,70,215,285,45,564,28,28.6,16,57.1,727,14,3,28,13,2023-2024,ligue-1
romain perraud,Nice,104,120,77,5,300,7,28.6,4,57.1,393,6,1,11,2,2023-2024,ligue-1
lucas perrin,Strasbourg,1141,937,58,24,2122,10,50.0,4,40.0,5263,11,2,15,4,2023-2024,ligue-1
denis petric,Nantes,8,0,0,0,8,0,,0,,16,0,0,0,0,2023-2024,ligue-1
ronael pierregabriel,Nantes,153,146,82,8,376,8,50.0,4,50.0,659,13,0,9,3,2023-2024,ligue-1
julien ponceau,Lorient,233,771,499,52,1471,85,49.4,38,44.7,3775,93,14,47,41,2023-2024,ligue-1
sanjin prcic,Strasbourg,12,33,9,0,54,0,,0,,84,0,0,1,0,2023-2024,ligue-1
goncalo ramos,Paris S-G,76,238,282,93,591,21,38.1,11,52.4,518,10,10,37,16,2023-2024,ligue-1
elba rashani,Clermont Foot,93,238,227,42,550,46,37.0,26,56.5,803,16,6,22,22,2023-2024,ligue-1
guillaume restes,Toulouse,982,8,0,0,990,1,100.0,0,0.0,1714,0,0,1,0,2023-2024,ligue-1
alexsandro ribeiro,Lille,893,1121,64,25,2069,10,40.0,3,30.0,3888,10,2,15,7,2023-2024,ligue-1
amir richardson,Reims,166,487,214,20,855,26,30.8,18,69.2,1511,28,3,23,21,2023-2024,ligue-1
fabian rieder,Rennes,25,159,76,7,255,5,40.0,3,60.0,396,6,1,8,3,2023-2024,ligue-1
remy riou,Lyon,106,1,0,0,107,0,,0,,214,0,0,0,0,2023-2024,ligue-1
valentin rongier,Marseille,135,413,143,10,685,10,50.0,5,50.0,1333,14,1,14,8,2023-2024,ligue-1
pablo rosario,Nice,425,814,164,22,1398,20,55.0,8,40.0,2214,19,2,26,15,2023-2024,ligue-1
valentin rosier,Nice,13,20,15,3,47,1,0.0,1,100.0,102,3,1,2,1,2023-2024,ligue-1
fabian ruiz pena,Paris S-G,226,558,220,20,987,20,80.0,2,10.0,1523,25,1,12,3,2023-2024,ligue-1
emmanuel sabbi,Le Havre,106,260,272,61,628,60,33.3,37,61.7,1057,16,16,44,22,2023-2024,ligue-1
falaye sacko,Montpellier,288,425,220,11,922,19,57.9,8,42.1,1612,28,5,14,7,2023-2024,ligue-1
modibo sagnan,Montpellier,342,306,31,13,676,2,100.0,0,0.0,1211,3,0,6,3,2023-2024,ligue-1
moise sahi dion,Strasbourg,35,129,109,29,268,13,30.8,9,69.2,503,10,4,22,6,2023-2024,ligue-1
wesley said,Lens,27,158,209,77,386,21,61.9,7,33.3,741,15,7,27,11,2023-2024,ligue-1
theo sainteluce,Montpellier,80,109,43,4,229,9,33.3,5,55.6,326,6,1,5,1,2023-2024,ligue-1
mamadou sakho,Montpellier,11,7,0,0,18,0,,0,,36,0,0,0,0,2023-2024,ligue-1
ibrahim salah,Rennes,59,128,159,18,341,29,37.9,18,62.1,700,17,2,18,15,2023-2024,ligue-1
amine salama,Reims,10,48,56,10,110,14,71.4,3,21.4,311,4,3,15,5,2023-2024,ligue-1
mohammed salisu,Monaco,337,540,38,7,905,6,66.7,2,33.3,1671,13,0,5,1,2023-2024,ligue-1
yoann salmier,Le Havre,413,432,88,19,926,8,62.5,3,37.5,1489,16,0,10,4,2023-2024,ligue-1
mama samba balde,Lyon,21,87,133,43,234,28,42.9,16,57.1,586,9,15,28,11,2023-2024,ligue-1
brice samba,Lens,1173,22,0,0,1194,0,,0,,2662,0,0,2,0,2023-2024,ligue-1
