Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
jose gragera,Espanyol,74,190,21,4,284,4,25.0,2,50.0,216,0,0,3,1,2024-2025,laliga
dominik greif,Mallorca,1098,11,0,0,1109,2,100.0,0,0.0,1668,0,0,1,0,2024-2025,laliga
antoine griezmann,Atlético Madrid,216,748,729,93,1676,35,42.9,18,51.4,2040,56,6,41,20,2024-2025,laliga
florian grillitsch,Valladolid,91,266,49,4,398,15,73.3,3,20.0,706,4,0,5,5,2024-2025,laliga
vicente guaita,Celta Vigo,1033,6,0,0,1039,0,,0,,1561,0,0,3,1,2024-2025,laliga
sergi guardiola,Rayo Vallecano,11,55,64,18,130,2,0.0,2,100.0,90,3,1,11,5,2024-2025,laliga
nemanja gudelj,Sevilla,703,789,150,5,1634,9,66.7,2,22.2,1401,8,0,19,3,2024-2025,laliga
javier guerra,Valencia,354,939,401,49,1669,78,37.2,45,57.7,2585,42,13,50,54,2024-2025,laliga
ander guevara,Alavés,265,761,189,12,1208,15,60.0,5,33.3,1078,16,0,22,19,2024-2025,laliga
pape gueye,Villarreal,355,807,308,65,1456,33,33.3,16,48.5,2199,28,7,33,19,2024-2025,laliga
hugo guillamon,Valencia,62,129,37,1,228,2,50.0,1,50.0,129,1,0,3,3,2024-2025,laliga
carlos guirao,Betis,14,38,10,1,60,1,100.0,0,0.0,60,1,0,1,2,2024-2025,laliga
arda guler,Real Madrid,131,477,460,50,1058,45,44.4,20,44.4,1720,33,10,23,9,2024-2025,laliga
gerard gumbau,Rayo Vallecano,104,276,129,10,507,4,50.0,2,50.0,365,9,0,8,2,2024-2025,laliga
jon guridi,Alavés,122,493,335,60,939,26,30.8,16,61.5,1129,31,4,38,17,2024-2025,laliga
gorka guruzeta,Athletic Club,67,342,240,78,643,20,55.0,9,45.0,375,12,2,48,20,2024-2025,laliga
miguel gutierrez,Girona,365,671,722,50,1741,55,52.7,24,43.6,2320,48,11,37,25,2024-2025,laliga
munir el haddadi,Leganés,34,176,164,17,372,21,33.3,12,57.1,357,9,1,22,25,2024-2025,laliga
sebastien haller,Leganés,21,66,45,11,129,3,33.3,1,33.3,105,2,0,17,5,2024-2025,laliga
henrique,Valladolid,75,139,24,1,237,7,42.9,3,42.9,355,3,0,3,4,2024-2025,laliga
javi hernandez,Leganés,425,607,309,27,1323,29,55.2,12,41.4,1835,32,5,27,26,2024-2025,laliga
aridane hernandez,Rayo Vallecano,394,270,17,12,680,6,50.0,2,33.3,566,0,0,4,1,2024-2025,laliga
jorge herrando,Osasuna,419,422,34,17,871,1,100.0,0,0.0,1149,3,0,4,1,2024-2025,laliga
ander herrera,Athletic Club,37,151,49,6,236,5,40.0,1,20.0,196,4,0,3,2,2024-2025,laliga
sergio herrera,Osasuna,1344,14,0,0,1358,1,100.0,0,0.0,2294,0,0,2,0,2024-2025,laliga
yangel herrera,Girona,317,739,362,60,1405,47,40.4,19,40.4,1760,35,3,54,35,2024-2025,laliga
juan herzog,Las Palmas,492,297,27,20,812,2,0.0,1,50.0,569,1,0,2,0,2024-2025,laliga
omar el hilali,Espanyol,869,935,208,5,1992,29,58.6,7,24.1,2372,21,2,21,7,2024-2025,laliga
roger hinojo,Espanyol,3,2,6,0,11,0,,0,,23,0,0,0,0,2024-2025,laliga
dinko horkas,Las Palmas,538,22,0,0,560,1,100.0,0,0.0,929,0,0,0,0,2024-2025,laliga
pablo ibanez,Osasuna,109,391,185,31,673,27,48.1,10,37.0,985,20,3,20,16,2024-2025,laliga
stanis idumbo,Sevilla,26,54,55,6,130,19,47.4,9,47.4,332,5,4,12,11,2024-2025,laliga
iglesias,Getafe,471,763,412,15,1627,32,40.6,16,50.0,1355,37,4,36,15,2024-2025,laliga
borja iglesias,Celta Vigo,48,362,284,83,685,32,34.4,18,56.3,536,13,13,62,32,2024-2025,laliga
kelechi iheanacho,Sevilla,9,50,49,14,108,4,50.0,2,50.0,126,3,2,10,4,2024-2025,laliga
isco,Betis,96,663,638,68,1375,59,45.8,28,47.5,2047,54,5,54,27,2024-2025,laliga
diego iturralde,Sevilla,6,5,5,1,16,1,0.0,1,100.0,3,0,0,2,0,2024-2025,laliga
ivan jaime pajuelo,Valencia,11,57,86,13,149,16,31.3,7,43.8,303,8,2,13,7,2024-2025,laliga
karl jakob hein,Valladolid,1237,17,0,0,1254,0,,0,,1987,0,0,3,0,2024-2025,laliga
adnan januzaj,Las Palmas,31,218,216,15,459,38,36.8,22,57.9,781,14,5,31,9,2024-2025,laliga
mikel jauregizar,Athletic Club,276,847,306,12,1418,42,47.6,16,38.1,1261,25,1,35,23,2024-2025,laliga
john joe,Getafe,5,10,18,1,33,5,40.0,3,60.0,47,1,0,4,1,2024-2025,laliga
jofre,Espanyol,137,334,384,71,839,112,34.8,59,52.7,2141,51,27,64,40,2024-2025,laliga
frenkie de jong,Barcelona,137,821,271,13,1226,8,62.5,3,37.5,2630,38,1,5,7,2024-2025,laliga
joan jordan,Alavés,130,598,321,11,1034,7,85.7,1,14.3,845,19,1,16,7,2024-2025,laliga
juanmi,Getafe,23,107,92,20,220,10,40.0,6,60.0,186,5,1,27,8,2024-2025,laliga
juanmi,Betis,23,46,41,14,109,8,50.0,3,37.5,101,1,2,7,4,2024-2025,laliga
juanpe,Girona,368,293,18,1,676,0,,0,,1031,4,0,3,1,2024-2025,laliga
luiz lucio reis junior,Villarreal,535,7,0,0,542,0,,0,,993,0,0,1,0,2024-2025,laliga
vinicius junior,Real Madrid,75,378,839,199,1261,191,42.9,95,49.7,4525,87,106,72,49,2024-2025,laliga
