Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
rodrigo riquelme,Atlético Madrid,14,4,0.0,0.9,0.9,0.06,-0.9,2024-2025,laliga
alberto risco,Getafe,4,1,0.0,0.2,0.2,0.04,-0.2,2024-2025,laliga
mihailo ristic,Celta Vigo,2,0,0.0,0.0,0.0,0.01,0.0,2024-2025,laliga
gorka rivera alonso,Getafe,0,0,,0.0,0.0,,0.0,2024-2025,laliga
marc roca,Betis,12,4,0.17,1.1,1.1,0.09,0.9,2024-2025,laliga
rodri,Betis,2,2,0.0,0.2,0.2,0.08,-0.2,2024-2025,laliga
adrian rodriguez,Alavés,0,0,,0.0,0.0,,0.0,2024-2025,laliga
alvaro rodriguez,Getafe,25,10,0.08,1.2,1.2,0.05,0.8,2024-2025,laliga
oscar rodriguez arnaiz,Leganés,33,6,0.03,2.1,2.1,0.06,-1.1,2024-2025,laliga
arturo rodriguez,Las Palmas,0,0,,0.0,0.0,,0.0,2024-2025,laliga
damian rodriguez,Celta Vigo,4,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,laliga
dani rodriguez,Mallorca,31,10,0.13,2.8,2.8,0.09,1.2,2024-2025,laliga
daniel rodriguez,Barcelona,2,0,0.0,0.0,0.0,0.01,0.0,2024-2025,laliga
james rodriguez,Rayo Vallecano,4,2,0.0,0.3,0.3,0.07,-0.3,2024-2025,laliga
javi rodriguez,Celta Vigo,12,5,0.25,2.3,2.3,0.2,0.7,2024-2025,laliga
jesus rodriguez,Betis,23,8,0.09,2.3,2.3,0.1,-0.3,2024-2025,laliga
kirian rodriguez,Las Palmas,21,8,0.0,1.6,1.6,0.08,-1.6,2024-2025,laliga
ricardo rodriguez,Betis,5,1,0.0,0.2,0.2,0.04,-0.2,2024-2025,laliga
rodrygo,Real Madrid,54,20,0.11,4.0,3.9,0.07,2.0,2024-2025,laliga
leo roman,Mallorca,0,0,,0.0,0.0,,0.0,2024-2025,laliga
carlos romero,Espanyol,29,6,0.07,2.0,2.0,0.07,0.0,2024-2025,laliga
isaac romero,Sevilla,53,17,0.08,6.8,6.0,0.11,-2.8,2024-2025,laliga
luka romero,Alavés,1,0,0.0,0.8,0.0,0.02,-0.8,2024-2025,laliga
oriol romeu,Girona,5,1,0.0,0.1,0.1,0.03,-0.1,2024-2025,laliga
vitor roque,Betis,41,18,0.1,6.1,6.1,0.15,-2.1,2024-2025,laliga
valentin rosier,Leganés,14,4,0.07,0.9,0.9,0.06,0.1,2024-2025,laliga
antonio rudiger,Real Madrid,24,4,0.0,1.7,1.7,0.07,-1.7,2024-2025,laliga
aitor ruibal,Betis,16,4,0.06,0.9,0.9,0.06,0.1,2024-2025,laliga
abel ruiz,Girona,21,7,0.14,4.6,3.0,0.14,-0.6,2024-2025,laliga
ferran ruiz,Girona,0,0,,0.0,0.0,,0.0,2024-2025,laliga
youssouf sabaly,Betis,5,0,0.0,0.2,0.2,0.04,-0.2,2024-2025,laliga
umar sadiq,Valencia,20,7,0.25,3.4,3.4,0.19,1.6,2024-2025,laliga
umar sadiq,Real Sociedad,5,0,0.0,0.2,0.2,0.04,-0.2,2024-2025,laliga
jorge saenz,Leganés,8,3,0.13,1.3,1.3,0.16,-0.3,2024-2025,laliga
jan salas,Mallorca,2,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,laliga
kike salas,Sevilla,23,6,0.13,1.9,1.9,0.08,1.1,2024-2025,laliga
albert sambi lokonga,Sevilla,13,5,0.0,0.9,0.9,0.07,-0.9,2024-2025,laliga
chuky san jose,Valladolid,16,7,0.13,2.2,2.2,0.14,-0.2,2024-2025,laliga
oihan sancet,Athletic Club,47,17,0.26,9.7,7.3,0.16,5.3,2024-2025,laliga
antonio sanchez,Mallorca,17,2,0.0,1.1,1.1,0.06,-1.1,2024-2025,laliga
ivan sanchez,Valladolid,15,5,0.13,0.7,0.7,0.04,1.3,2024-2025,laliga
