Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
jordan pefok,Union Berlin,23,7,0.0,3.2,3.2,0.14,-3.2,2024-2025,bundesliga
daniel peretz,Bayern Munich,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
noah pesch,Gladbach,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
luca philipp,Hoffenheim,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
maximilian philipp,Freiburg,1,0,0.0,0.0,0.0,0.04,0.0,2024-2025,bundesliga
benedikt pichler,Holstein Kiel,20,9,0.05,2.3,2.3,0.11,-1.3,2024-2025,bundesliga
amos pieper,Werder Bremen,7,1,0.0,0.4,0.4,0.06,-0.4,2024-2025,bundesliga
marvin pieringer,Heidenheim,57,17,0.07,8.9,6.6,0.12,-1.9,2024-2025,bundesliga
alassane plea,Gladbach,41,12,0.24,7.4,6.6,0.16,3.6,2024-2025,bundesliga
finn porath,Holstein Kiel,29,12,0.07,1.9,1.8,0.09,0.1,2024-2025,bundesliga
yussuf poulsen,RB Leipzig,15,8,0.13,3.3,3.3,0.23,-1.3,2024-2025,bundesliga
alexander prass,Hoffenheim,12,1,0.0,0.9,0.9,0.07,-0.9,2024-2025,bundesliga
david preu,Union Berlin,2,0,0.0,0.1,0.1,0.07,-0.1,2024-2025,bundesliga
grischa promel,Hoffenheim,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
ivan prtajin,Union Berlin,8,2,0.0,0.5,0.5,0.07,-0.5,2024-2025,bundesliga
tymoteusz puchacz,Holstein Kiel,4,1,0.0,0.1,0.1,0.02,-0.1,2024-2025,bundesliga
leopold querfeld,Union Berlin,16,4,0.13,1.1,1.1,0.07,0.9,2024-2025,bundesliga
grant ranos,Gladbach,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
david raum,RB Leipzig,9,4,0.11,0.5,0.5,0.05,0.5,2024-2025,bundesliga
rocco reitz,Gladbach,23,7,0.09,1.7,1.7,0.07,0.3,2024-2025,bundesliga
nicolai remberg,Holstein Kiel,24,2,0.0,1.5,1.5,0.06,-1.5,2024-2025,bundesliga
elvis rexhbecaj,Augsburg,29,5,0.03,1.4,1.4,0.05,-0.4,2024-2025,bundesliga
gio reyna,Dortmund,3,2,0.67,0.2,0.2,0.06,1.8,2024-2025,bundesliga
fabian rieder,Stuttgart,20,7,0.05,1.4,1.4,0.07,-0.4,2024-2025,bundesliga
lasse rie,Mainz 05,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
lars ritzka,St. Pauli,8,1,0.13,0.4,0.4,0.06,0.6,2024-2025,bundesliga
mads roerslev,Wolfsburg,0,0,,0.0,0.0,,0.0,2024-2025,bundesliga
merlin rohl,Freiburg,12,3,0.0,0.8,0.8,0.06,-0.8,2024-2025,bundesliga
