Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Bolck_Pass,Clearences,Err,Season,Competition
malo gusto,Chelsea,27,15,3,52.1,25,29,24,29,8,21,49,5,2024-2025,premier-league
josko gvardiol,Manchester City,25,21,12,52.5,21,39,44,42,20,22,122,8,2024-2025,premier-league
erling haaland,Manchester City,3,3,5,37.5,3,6,5,12,1,11,23,0,2024-2025,premier-league
lewis hall,Newcastle Utd,28,22,8,54.1,40,41,18,33,18,15,75,3,2024-2025,premier-league
ali al hamadi,Ipswich Town,0,0,1,0.0,0,0,0,0,0,0,2,0,2024-2025,premier-league
marcus harness,Ipswich Town,0,0,1,0.0,0,0,0,2,1,1,1,0,2024-2025,premier-league
jack harrison,Everton,12,12,8,32.6,15,22,10,18,2,16,35,2,2024-2025,premier-league
taylor harwoodbellis,Southampton,13,12,3,54.3,19,20,30,65,43,22,141,6,2024-2025,premier-league
kai havertz,Arsenal,3,6,7,26.7,4,9,6,23,4,19,33,1,2024-2025,premier-league
ayden heaven,Manchester Utd,1,3,0,100.0,2,3,4,2,2,0,9,0,2024-2025,premier-league
jan paul van hecke,Brighton,24,19,2,56.1,23,29,24,37,22,15,142,2,2024-2025,premier-league
hwang heechan,Wolves,2,1,3,33.3,2,4,2,9,0,9,11,0,2024-2025,premier-league
dean henderson,Crystal Palace,2,0,0,33.3,2,1,0,0,0,0,22,0,2024-2025,premier-league
rico henry,Brentford,1,0,1,0.0,0,2,1,4,1,3,2,0,2024-2025,premier-league
mads hermansen,Leicester City,1,0,0,100.0,1,1,0,1,0,1,13,4,2024-2025,premier-league
son heungmin,Tottenham,3,8,6,18.5,5,9,5,11,0,11,17,1,2024-2025,premier-league
james hill,Bournemouth,6,6,3,27.3,3,8,9,5,0,5,31,0,2024-2025,premier-league
jack hinshelwood,Brighton,8,10,9,40.7,11,19,16,10,3,7,37,1,2024-2025,premier-league
george hirst,Ipswich Town,1,0,2,25.0,1,3,2,1,1,0,10,0,2024-2025,premier-league
mason holgate,Everton,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,premier-league
harry howell,Brighton,1,0,0,50.0,1,1,0,1,0,1,0,0,2024-2025,premier-league
callum hudsonodoi,Nott'ham Forest,8,8,6,66.7,12,14,13,11,0,11,12,1,2024-2025,premier-league
will hughes,Crystal Palace,20,33,13,45.2,28,36,22,31,14,17,28,3,2024-2025,premier-league
dean huijsen,Bournemouth,19,16,1,62.1,18,26,51,40,29,11,198,4,2024-2025,premier-league
omari hutchinson,Ipswich Town,14,10,8,27.1,13,13,11,27,2,25,15,1,2024-2025,premier-league
rasmus hjlund,Manchester Utd,0,2,1,0.0,0,1,2,6,0,6,6,0,2024-2025,premier-league
igor,Brighton,2,2,1,40.0,4,5,4,24,14,10,39,1,2024-2025,premier-league
danny ings,West Ham,2,2,0,33.3,1,2,1,5,0,5,4,0,2024-2025,premier-league
tim iroegbunam,Everton,14,10,5,60.9,14,14,16,18,4,14,12,1,2024-2025,premier-league
andy irving,West Ham,3,3,1,20.0,1,4,1,5,1,4,5,0,2024-2025,premier-league
