Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
jonathan ikone,Fiorentina,16,5,11,60,40.5,2023-2024,serie-a
chukwubuikem ikwuemesi,Salernitana,35,8,2,23,33.0,2023-2024,serie-a
ivan ilic,Torino,24,1,91,112,50.0,2023-2024,serie-a
samuel ilingjunior,Juventus,15,1,46,40,75.0,2023-2024,serie-a
ciro immobile,Lazio,22,14,7,34,33.3,2023-2024,serie-a
gino infantino,Fiorentina,4,0,0,2,16.7,2023-2024,serie-a
gustav isaksen,Lazio,17,3,29,41,36.4,2023-2024,serie-a
ardian ismajli,Empoli,18,0,4,72,57.1,2023-2024,serie-a
armando izzo,Monza,32,1,3,81,48.7,2023-2024,serie-a
filip jagieo,Genoa,0,0,0,3,,2023-2024,serie-a
jakub jankto,Cagliari,9,1,26,33,27.3,2023-2024,serie-a
juan jesus,Napoli,28,0,0,112,50.0,2023-2024,serie-a
alejandro jimenez,Milan,2,0,1,2,,2023-2024,serie-a
kaio jorge,Frosinone,8,2,3,29,25.8,2023-2024,serie-a
luka jovic,Milan,8,2,1,20,53.1,2023-2024,serie-a
hamed junior traore,Napoli,4,1,7,20,16.7,2023-2024,serie-a
mohamed kaba,Lecce,26,0,7,84,53.8,2023-2024,serie-a
christian kabasele,Udinese,15,0,2,22,72.2,2023-2024,serie-a
yayah kallon,Hellas Verona,0,0,0,0,100.0,2023-2024,serie-a
pierre kalulu,Milan,1,0,5,15,27.3,2023-2024,serie-a
daichi kamada,Lazio,39,2,11,75,15.8,2023-2024,serie-a
hassane kamara,Udinese,21,6,71,130,53.3,2023-2024,serie-a
yann karamoh,Torino,2,2,5,10,50.0,2023-2024,serie-a
jesper karlsson,Bologna,4,1,24,16,0.0,2023-2024,serie-a
rick karsdorp,Roma,9,0,28,50,71.4,2023-2024,serie-a
grigoris kastanos,Salernitana,18,3,38,85,40.0,2023-2024,serie-a
michael kayode,Fiorentina,14,2,66,105,48.6,2023-2024,serie-a
moise kean,Juventus,13,7,1,18,62.5,2023-2024,serie-a
simon kjr,Milan,9,0,1,59,57.5,2023-2024,serie-a
davy klaassen,Inter,3,1,0,9,80.0,2023-2024,serie-a
sead kolasinac,Atalanta,29,1,9,151,51.5,2023-2024,serie-a
teun koopmeiners,Atalanta,53,5,121,150,46.0,2023-2024,serie-a
filip kostic,Juventus,19,7,168,73,39.3,2023-2024,serie-a
christian kouame,Fiorentina,17,0,20,66,56.6,2023-2024,serie-a
viktor kovalenko,Empoli,7,2,13,23,36.4,2023-2024,serie-a
rasmus kristensen,Roma,14,1,44,67,58.8,2023-2024,serie-a
thomas kristensen,Udinese,26,1,1,74,59.2,2023-2024,serie-a
nikola krstovic,Lecce,45,14,4,69,43.4,2023-2024,serie-a
rade krunic,Milan,10,0,4,41,64.7,2023-2024,serie-a
marash kumbulla,Sassuolo,3,0,0,6,50.0,2023-2024,serie-a
justin kumi,Sassuolo,0,0,0,0,,2023-2024,serie-a
berkan kutlu,Genoa,4,0,12,6,50.0,2023-2024,serie-a
khvicha kvaratskhelia,Napoli,25,4,99,99,35.5,2023-2024,serie-a
giorgi kvernadze,Frosinone,3,0,1,4,,2023-2024,serie-a
giorgos kyriakopoulos,Monza,15,2,84,71,37.5,2023-2024,serie-a
gianluca lapadula,Cagliari,22,15,7,27,40.4,2023-2024,serie-a
armand lauriente,Sassuolo,34,4,135,138,17.6,2023-2024,serie-a
valentino lazaro,Torino,12,1,127,103,41.2,2023-2024,serie-a
darko lazovic,Hellas Verona,5,13,97,67,34.8,2023-2024,serie-a
manuel lazzari,Lazio,16,1,56,72,23.8,2023-2024,serie-a
nicola leali,Genoa,0,0,0,1,,2023-2024,serie-a
rafael leao,Milan,27,17,108,78,58.5,2023-2024,serie-a
jesper lindstrm,Napoli,6,2,12,15,20.0,2023-2024,serie-a
karol linetty,Torino,50,2,19,102,52.9,2023-2024,serie-a
luca lipani,Sassuolo,6,0,5,22,41.7,2023-2024,serie-a
pol lirola,Frosinone,7,2,25,80,42.4,2023-2024,serie-a
marcin listkowski,Lecce,0,0,0,0,,2023-2024,serie-a
diego llorente,Roma,25,0,6,92,46.2,2023-2024,serie-a
stanislav lobotka,Napoli,33,0,3,236,32.4,2023-2024,serie-a
manuel locatelli,Juventus,41,2,10,171,63.4,2023-2024,serie-a
ruben loftuscheek,Milan,39,1,13,91,58.1,2023-2024,serie-a
ademola lookman,Atalanta,28,12,69,89,46.2,2023-2024,serie-a
maxime lopez,Fiorentina,8,0,16,46,37.5,2023-2024,serie-a
maxime lopez,Sassuolo,2,0,0,10,0.0,2023-2024,serie-a
matteo lovato,Torino,14,0,0,18,55.0,2023-2024,serie-a
matteo lovato,Salernitana,7,0,1,47,45.5,2023-2024,serie-a
sandi lovric,Udinese,25,1,82,118,30.8,2023-2024,serie-a
lorenzo lucca,Udinese,52,21,8,71,50.5,2023-2024,serie-a
jhon lucumi,Bologna,10,1,1,136,50.9,2023-2024,serie-a
jose luis palomino,Atalanta,0,0,0,3,100.0,2023-2024,serie-a
romelu lukaku,Roma,24,25,13,52,48.1,2023-2024,serie-a
karlo lulic,Frosinone,0,0,0,2,0.0,2023-2024,serie-a
sebastiano luperto,Empoli,26,1,12,142,57.0,2023-2024,serie-a
mateus lusuardi,Frosinone,2,0,1,7,75.0,2023-2024,serie-a
zito luvumbo,Cagliari,31,14,82,71,12.9,2023-2024,serie-a
charalampos lykogiannis,Bologna,12,2,59,31,55.2,2023-2024,serie-a
giulio maggiore,Salernitana,39,1,3,134,34.3,2023-2024,serie-a
giangiacomo magnani,Hellas Verona,27,0,12,147,54.9,2023-2024,serie-a
mike maignan,Milan,1,0,0,38,87.5,2023-2024,serie-a
antoine makoumbou,Cagliari,28,1,11,159,35.5,2023-2024,serie-a
daniel maldini,Monza,3,2,9,11,16.7,2023-2024,serie-a
daniel maldini,Empoli,8,0,5,6,58.3,2023-2024,serie-a
youssef maleh,Empoli,56,0,47,172,33.3,2023-2024,serie-a
ruslan malinovskyi,Genoa,31,0,19,88,53.7,2023-2024,serie-a
gianluca mancini,Roma,49,0,24,106,56.0,2023-2024,serie-a
marco mancosu,Cagliari,3,2,4,8,0.0,2023-2024,serie-a
christos mandas,Lazio,0,0,0,10,100.0,2023-2024,serie-a
rolando mandragora,Fiorentina,26,0,34,60,44.3,2023-2024,serie-a
kostas manolas,Salernitana,5,0,1,19,71.4,2023-2024,serie-a
riccardo marchizza,Frosinone,6,0,22,43,42.9,2023-2024,serie-a
gian marco ferrari,Sassuolo,26,0,14,95,50.6,2023-2024,serie-a
pablo mari,Monza,37,0,4,98,67.2,2023-2024,serie-a
mirko maric,Monza,4,3,1,11,39.3,2023-2024,serie-a
razvan marin,Empoli,28,1,98,91,50.0,2023-2024,serie-a
agustin martegani,Salernitana,10,0,1,51,54.5,2023-2024,serie-a
aaron martin,Genoa,23,2,106,48,42.1,2023-2024,serie-a
tommaso martinelli,Fiorentina,0,0,0,2,,2023-2024,serie-a
josep martinez,Genoa,2,0,0,61,92.9,2023-2024,serie-a
lautaro martinez,Inter,46,12,15,90,58.5,2023-2024,serie-a
lucas martinez quarta,Fiorentina,41,1,5,141,47.1,2023-2024,serie-a
adam marusic,Lazio,24,4,44,154,49.2,2023-2024,serie-a
adam masina,Udinese,3,0,0,5,80.0,2023-2024,serie-a
adam masina,Torino,18,0,4,49,61.1,2023-2024,serie-a
alan matturro,Genoa,0,0,0,6,60.0,2023-2024,serie-a
luca mazzitelli,Frosinone,45,1,42,128,51.9,2023-2024,serie-a
pasquale mazzocchi,Salernitana,23,3,42,72,18.8,2023-2024,serie-a
pasquale mazzocchi,Napoli,9,0,14,21,63.2,2023-2024,serie-a
jordi mboula,Hellas Verona,5,2,8,6,22.2,2023-2024,serie-a
weston mckennie,Juventus,23,6,59,115,52.1,2023-2024,serie-a
arthur melo,Fiorentina,18,0,21,141,50.0,2023-2024,serie-a
leonardo mendicino,Atalanta,0,0,0,0,,2023-2024,serie-a
alex meret,Napoli,0,0,0,53,80.0,2023-2024,serie-a
junior messias,Genoa,7,5,24,54,38.5,2023-2024,serie-a
nikola milenkovic,Fiorentina,30,0,0,108,79.9,2023-2024,serie-a
arkadiusz milik,Juventus,22,11,4,31,42.9,2023-2024,serie-a
vanja milinkovicsavic,Torino,0,0,0,47,81.8,2023-2024,serie-a
yerry mina,Fiorentina,3,0,0,6,100.0,2023-2024,serie-a
yerry mina,Cagliari,17,0,2,57,71.4,2023-2024,serie-a
aleksei miranchuk,Atalanta,12,3,83,69,38.9,2023-2024,serie-a
kevin miranda,Sassuolo,0,0,0,1,,2023-2024,serie-a
antonio mirante,Milan,0,0,0,3,100.0,2023-2024,serie-a
fabio miretti,Juventus,22,1,32,73,20.0,2023-2024,serie-a
filippo missori,Sassuolo,1,0,5,8,85.7,2023-2024,serie-a
stefan mitrovic,Hellas Verona,10,1,15,16,18.2,2023-2024,serie-a
henrikh mkhitaryan,Inter,35,3,32,182,48.4,2023-2024,serie-a
ilario monterisi,Frosinone,10,1,5,77,59.4,2023-2024,serie-a
