Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
pavel kaderabek,Hoffenheim,21,4,74,25,56.4,2024-2025,bundesliga
jakub kaminski,Wolfsburg,10,0,50,52,26.9,2024-2025,bundesliga
kevin kampl,RB Leipzig,20,1,29,100,18.8,2024-2025,bundesliga
harry kane,Bayern Munich,9,16,13,61,59.2,2024-2025,bundesliga
atakan karazor,Stuttgart,38,2,4,171,56.4,2024-2025,bundesliga
mikkel kaufmann,Heidenheim,5,0,1,13,47.2,2024-2025,bundesliga
yannik keitel,Stuttgart,2,0,2,7,50.0,2024-2025,bundesliga
andu kelati,Holstein Kiel,4,0,6,19,0.0,2024-2025,bundesliga
thomas keller,Heidenheim,6,0,0,3,50.0,2024-2025,bundesliga
aljoscha kemlein,Union Berlin,15,1,5,58,57.6,2024-2025,bundesliga
luca kerber,Heidenheim,22,0,3,27,39.3,2024-2025,bundesliga
rani khedira,Union Berlin,45,1,22,108,50.0,2024-2025,bundesliga
joshua kimmich,Bayern Munich,15,2,176,190,57.1,2024-2025,bundesliga
tim kleindienst,Gladbach,75,23,16,74,54.8,2024-2025,bundesliga
lukas klostermann,RB Leipzig,13,0,11,74,40.0,2024-2025,bundesliga
ansgar knauff,Eint Frankfurt,27,11,32,76,41.3,2024-2025,bundesliga
magnus knudsen,Holstein Kiel,28,0,8,79,26.3,2024-2025,bundesliga
gregor kobel,Dortmund,0,0,0,61,100.0,2024-2025,bundesliga
robin koch,Eint Frankfurt,24,1,1,112,68.0,2024-2025,bundesliga
derrick kohn,Werder Bremen,14,4,58,57,38.1,2024-2025,bundesliga
dominik kohr,Mainz 05,46,1,16,99,52.8,2024-2025,bundesliga
marco komenda,Holstein Kiel,16,0,16,37,32.6,2024-2025,bundesliga
mert komur,Augsburg,7,3,26,32,37.9,2024-2025,bundesliga
kacper koscierski,Bochum,0,0,0,0,,2024-2025,bundesliga
henri koudossou,Augsburg,7,2,24,39,53.3,2024-2025,bundesliga
konstantinos koulierakis,Wolfsburg,24,2,13,93,60.2,2024-2025,bundesliga
matej kovar,Leverkusen,0,0,0,6,50.0,2024-2025,bundesliga
andrej kramaric,Hoffenheim,12,9,116,136,25.8,2024-2025,bundesliga
frans kratzig,Heidenheim,7,4,38,60,42.9,2024-2025,bundesliga
frans kratzig,Stuttgart,1,0,1,3,100.0,2024-2025,bundesliga
tom krau,Bochum,14,0,10,78,52.9,2024-2025,bundesliga
rasmus kristensen,Eint Frankfurt,24,0,59,121,59.5,2024-2025,bundesliga
lukas kubler,Freiburg,25,1,30,73,65.6,2024-2025,bundesliga
jonah kusiasare,Bayern Munich,0,0,0,0,50.0,2024-2025,bundesliga
moritzbroni kwarteng,Bochum,3,0,1,8,0.0,2024-2025,bundesliga
nediljko labrovic,Augsburg,0,0,0,14,85.7,2024-2025,bundesliga
konrad laimer,Bayern Munich,35,1,21,81,53.6,2024-2025,bundesliga
stefan lainer,Gladbach,11,3,29,24,35.7,2024-2025,bundesliga
hugo larsson,Eint Frankfurt,21,2,8,121,48.1,2024-2025,bundesliga
diogo leite,Union Berlin,25,2,10,104,55.3,2024-2025,bundesliga
maxim leitsch,Mainz 05,10,0,3,36,38.8,2024-2025,bundesliga
jamie leweling,Stuttgart,17,4,58,73,60.0,2024-2025,bundesliga
philipp lienhart,Freiburg,22,3,9,113,61.3,2024-2025,bundesliga
marin ljubicic,Union Berlin,9,1,1,12,21.4,2024-2025,bundesliga
anthony losilla,Bochum,18,1,4,45,55.8,2024-2025,bundesliga
yannik luhrs,Dortmund,2,0,0,5,80.0,2024-2025,bundesliga
castello lukeba,RB Leipzig,12,0,11,74,66.7,2024-2025,bundesliga
senne lynen,Werder Bremen,38,0,5,191,47.2,2024-2025,bundesliga
shuto machino,Holstein Kiel,19,9,35,50,39.1,2024-2025,bundesliga
arne maier,Augsburg,9,0,67,72,36.4,2024-2025,bundesliga
patrick mainka,Heidenheim,17,2,4,152,63.7,2024-2025,bundesliga
lovro majer,Wolfsburg,6,0,17,12,42.9,2024-2025,bundesliga
jordy makengo,Freiburg,5,2,25,26,45.5,2024-2025,bundesliga
jarzinho malanga,Stuttgart,0,0,0,0,,2024-2025,bundesliga
julian malatini,Werder Bremen,9,0,3,19,66.7,2024-2025,bundesliga
donyell malen,Dortmund,2,3,13,15,25.0,2024-2025,bundesliga
lennard maloney,Heidenheim,11,1,1,40,57.1,2024-2025,bundesliga
lennard maloney,Mainz 05,2,0,0,1,100.0,2024-2025,bundesliga
johan manzambi,Freiburg,7,0,5,14,64.3,2024-2025,bundesliga
omar marmoush,Eint Frankfurt,8,7,78,51,33.3,2024-2025,bundesliga
giorgos masouras,Bochum,12,15,26,44,41.9,2024-2025,bundesliga
erhan masovic,Bochum,12,0,0,32,59.5,2024-2025,bundesliga
igor matanovic,Eint Frankfurt,6,1,0,8,40.0,2024-2025,bundesliga
chrislain matsima,Augsburg,10,1,3,143,70.8,2024-2025,bundesliga
jean matteo bahoya,Eint Frankfurt,9,2,31,51,65.0,2024-2025,bundesliga
maurides,St. Pauli,0,0,0,0,,2024-2025,bundesliga
keke maximilian topp,Werder Bremen,8,2,6,15,40.0,2024-2025,bundesliga
jakov medic,Bochum,10,2,1,73,52.6,2024-2025,bundesliga
connor metcalfe,St. Pauli,5,0,7,9,54.2,2024-2025,bundesliga
karol mets,St. Pauli,7,0,3,35,70.6,2024-2025,bundesliga
alexander meyer,Dortmund,0,0,0,5,,2024-2025,bundesliga
florian micheler,Hoffenheim,1,0,0,1,,2024-2025,bundesliga
enzo millot,Stuttgart,25,3,41,99,29.6,2024-2025,bundesliga
kim minjae,Bayern Munich,25,0,0,153,65.6,2024-2025,bundesliga
maximilian mittelstadt,Stuttgart,24,2,164,119,55.8,2024-2025,bundesliga
koji miyoshi,Bochum,10,2,9,22,13.3,2024-2025,bundesliga
max moerstedt,Hoffenheim,6,1,1,11,42.1,2024-2025,bundesliga
david mokwa,Hoffenheim,1,0,0,1,50.0,2024-2025,bundesliga
steve mounie,Augsburg,9,1,3,8,51.0,2024-2025,bundesliga
nordi mukiele,Leverkusen,6,1,13,46,48.5,2024-2025,bundesliga
florian muller,Freiburg,0,0,0,14,,2024-2025,bundesliga
kevin muller,Heidenheim,0,0,0,50,88.9,2024-2025,bundesliga
marius muller,Wolfsburg,0,0,0,7,100.0,2024-2025,bundesliga
thomas muller,Bayern Munich,14,3,46,24,39.6,2024-2025,bundesliga
jamal musiala,Bayern Munich,20,2,8,75,33.3,2024-2025,bundesliga
florent muslija,Freiburg,0,0,14,12,0.0,2024-2025,bundesliga
phillipp mwene,Mainz 05,24,3,85,110,37.0,2024-2025,bundesliga
joakim mhle,Wolfsburg,9,0,25,122,58.6,2024-2025,bundesliga
nathan ngoumou,Gladbach,7,7,22,21,34.6,2024-2025,bundesliga
stanley nsoki,Hoffenheim,12,0,1,79,61.1,2024-2025,bundesliga
nikolas nartey,Stuttgart,0,0,0,2,100.0,2024-2025,bundesliga
paul nebel,Mainz 05,37,5,111,124,22.7,2024-2025,bundesliga
kosta nedeljkovic,RB Leipzig,7,1,17,11,0.0,2024-2025,bundesliga
ivan nekic,Holstein Kiel,1,0,0,1,,2024-2025,bundesliga
david nemeth,St. Pauli,21,0,7,87,54.4,2024-2025,bundesliga
luca netz,Gladbach,8,1,16,42,44.0,2024-2025,bundesliga
manuel neuer,Bayern Munich,0,0,0,54,100.0,2024-2025,bundesliga
florian neuhaus,Gladbach,4,0,9,24,0.0,2024-2025,bundesliga
moritz nicolas,Gladbach,0,0,0,23,87.5,2024-2025,bundesliga
julian niehues,Heidenheim,1,0,0,4,42.9,2024-2025,bundesliga
justin njinmah,Werder Bremen,7,12,19,20,42.9,2024-2025,bundesliga
niels nkounkou,Eint Frankfurt,5,0,23,24,37.5,2024-2025,bundesliga
felix nmecha,Dortmund,22,0,6,85,53.5,2024-2025,bundesliga
lukas nmecha,Wolfsburg,7,0,6,15,57.1,2024-2025,bundesliga
arnaud nordin,Mainz 05,1,0,9,5,25.0,2024-2025,bundesliga
alexander nubel,Stuttgart,0,0,0,72,80.0,2024-2025,bundesliga
antonio nusa,RB Leipzig,14,9,35,78,28.6,2024-2025,bundesliga
david odogu,Wolfsburg,2,1,0,4,75.0,2024-2025,bundesliga
tim oermann,Bochum,16,0,14,99,42.2,2024-2025,bundesliga
ifechukwu ogbus,Freiburg,1,0,0,1,,2024-2025,bundesliga
finn ole becker,Hoffenheim,5,0,8,50,77.8,2024-2025,bundesliga
michael olise,Bayern Munich,22,5,131,105,47.8,2024-2025,bundesliga
jonas omlin,Gladbach,1,0,0,21,100.0,2024-2025,bundesliga
karim onisiwo,Mainz 05,3,1,2,4,33.3,2024-2025,bundesliga
frank onyeka,Augsburg,47,3,20,147,43.2,2024-2025,bundesliga
lois openda,RB Leipzig,29,27,27,54,38.0,2024-2025,bundesliga
gift orban,Hoffenheim,15,8,6,18,37.0,2024-2025,bundesliga
