Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
andre onana,Manchester Utd,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
paul onuachu,Southampton,34,15,0.12,3.6,3.6,0.11,0.4,2024-2025,premier-league
frank onyeka,Brentford,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
lewis orford,West Ham,1,0,0.0,0.0,0.0,0.03,0.0,2024-2025,premier-league
stefan ortega,Manchester City,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
william osula,Newcastle Utd,4,1,0.25,0.2,0.2,0.04,0.8,2024-2025,premier-league
dango ouattara,Bournemouth,62,20,0.11,8.4,8.4,0.14,-1.4,2024-2025,premier-league
nico oreilly,Manchester City,8,3,0.25,1.3,1.3,0.16,0.7,2024-2025,premier-league
alex palmer,Ipswich Town,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
cole palmer,Chelsea,121,44,0.09,17.3,13.3,0.11,-2.3,2024-2025,premier-league
emerson palmieri,West Ham,16,7,0.13,2.0,2.0,0.12,0.0,2024-2025,premier-league
lucas paqueta,West Ham,39,3,0.05,5.3,3.7,0.1,-1.3,2024-2025,premier-league
thomas partey,Arsenal,26,9,0.15,2.3,2.3,0.09,1.7,2024-2025,premier-league
nathan patterson,Everton,1,0,0.0,0.1,0.1,0.07,-0.1,2024-2025,premier-league
andreas pereira,Fulham,38,8,0.05,3.8,3.0,0.08,-1.8,2024-2025,premier-league
ricardo pereira,Leicester City,2,1,0.0,0.1,0.1,0.05,-0.1,2024-2025,premier-league
kalvin phillips,Ipswich Town,11,2,0.0,0.4,0.4,0.04,-0.4,2024-2025,premier-league
jaden philogene bidace,Aston Villa,7,0,0.0,0.5,0.5,0.07,-0.5,2024-2025,premier-league
jaden philogene bidace,Ipswich Town,12,5,0.17,2.0,2.0,0.17,0.0,2024-2025,premier-league
jordan pickford,Everton,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
ethan pinnock,Brentford,10,6,0.2,1.1,1.1,0.11,0.9,2024-2025,premier-league
daniel podence,Wolves,1,0,0.0,0.0,0.0,0.04,0.0,2024-2025,premier-league
alfie pond,Wolves,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
nick pope,Newcastle Utd,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
pedro porro,Tottenham,39,8,0.05,1.6,1.6,0.04,0.4,2024-2025,premier-league
jarell quansah,Liverpool,1,0,0.0,0.1,0.1,0.1,-0.1,2024-2025,premier-league
hakon rafn valdimarsson,Brentford,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
aaron ramsdale,Southampton,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
jacob ramsey,Aston Villa,19,4,0.05,1.6,1.6,0.08,-0.6,2024-2025,premier-league
marcus rashford,Manchester Utd,16,9,0.25,1.7,1.7,0.11,2.3,2024-2025,premier-league
marcus rashford,Aston Villa,18,5,0.06,3.1,2.3,0.13,-1.1,2024-2025,premier-league
david raya,Arsenal,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
harrison reed,Fulham,3,2,0.0,0.2,0.2,0.08,-0.2,2024-2025,premier-league
remy reesdottin,Bournemouth,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
sergio reguilon,Tottenham,2,0,0.0,0.1,0.1,0.06,-0.1,2024-2025,premier-league
vitor reis,Manchester City,0,0,,0.0,0.0,,0.0,2024-2025,premier-league
