Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
aaron martin,Mainz 05,18,7,0.28,2.2,1.4,0.08,2.8,2022-2023,bundesliga
erhan masovic,Bochum,17,10,0.24,2.6,2.6,0.15,1.4,2022-2023,bundesliga
henning matriciani,Schalke 04,3,0,0.0,0.2,0.2,0.06,-0.2,2022-2023,bundesliga
konstantinos mavropanos,Stuttgart,48,12,0.04,4.0,4.0,0.08,-2.0,2022-2023,bundesliga
philipp max,Eint Frankfurt,9,3,0.0,0.7,0.7,0.08,-0.7,2022-2023,bundesliga
eric maxim choupomoting,Bayern Munich,30,15,0.33,6.1,5.3,0.18,3.9,2022-2023,bundesliga
keke maximilian topp,Schalke 04,1,0,0.0,0.0,0.0,0.04,0.0,2022-2023,bundesliga
ibrahim maza,Hertha BSC,1,1,1.0,0.8,0.8,0.81,0.2,2022-2023,bundesliga
noussair mazraoui,Bayern Munich,8,2,0.13,1.1,1.1,0.14,-0.1,2022-2023,bundesliga
noah mbamba,Leverkusen,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
jeanmanuel mbom,Werder Bremen,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
nathanael mbuku,Augsburg,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
thomas meunier,Dortmund,4,0,0.0,0.2,0.2,0.04,-0.2,2022-2023,bundesliga
alexander meyer,Dortmund,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
sven michel,Union Berlin,15,2,0.13,1.7,0.9,0.06,1.3,2022-2023,bundesliga
enzo millot,Stuttgart,17,7,0.0,1.2,1.2,0.07,-1.2,2022-2023,bundesliga
maximilian mittelstadt,Hertha BSC,6,2,0.0,0.3,0.3,0.05,-0.3,2022-2023,bundesliga
anthony modeste,Dortmund,23,10,0.09,4.3,4.3,0.19,-2.3,2022-2023,bundesliga
tobias mohr,Schalke 04,12,1,0.0,0.6,0.6,0.05,-0.6,2022-2023,bundesliga
clinton mola,Stuttgart,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
florent mollet,Schalke 04,11,1,0.09,0.4,0.4,0.03,0.6,2022-2023,bundesliga
youssoufa moukoko,Dortmund,35,19,0.2,6.4,6.4,0.18,0.6,2022-2023,bundesliga
florian muller,Stuttgart,0,0,,0.0,0.0,,0.0,2022-2023,bundesliga
thomas muller,Bayern Munich,47,23,0.15,8.9,8.9,0.19,-1.9,2022-2023,bundesliga
