Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
nehuen perez,Udinese,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
simone perilli,Hellas Verona,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
mattia perin,Juventus,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
maximo perrone,Como,10,2,0.0,0.9,0.9,0.09,-0.9,2024-2025,serie-a
matteo pessina,Monza,3,0,0.0,0.2,0.2,0.06,-0.2,2024-2025,serie-a
andrea petagna,Monza,4,0,0.0,0.2,0.2,0.04,-0.2,2024-2025,serie-a
giuseppe pezzella,Empoli,15,3,0.0,0.6,0.6,0.04,-0.6,2024-2025,serie-a
roberto piccoli,Cagliari,97,28,0.09,12.7,12.0,0.12,-2.7,2024-2025,serie-a
nicholas pierini,Venezia,1,0,0.0,0.0,0.0,0.03,0.0,2024-2025,serie-a
santiago pierotti,Lecce,32,7,0.13,3.1,3.1,0.1,0.9,2024-2025,serie-a
balthazar pierret,Lecce,6,0,0.0,0.2,0.2,0.03,-0.2,2024-2025,serie-a
andrea pinamonti,Genoa,78,29,0.13,7.7,7.0,0.09,2.3,2024-2025,serie-a
nicola pintus,Cagliari,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
niccolo pisilli,Roma,27,7,0.07,2.7,2.7,0.1,-0.7,2024-2025,serie-a
damian pizarro,Udinese,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
semuel pizzignacco,Monza,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
tommaso pobega,Bologna,24,8,0.08,2.1,2.0,0.08,-0.1,2024-2025,serie-a
joel pohjanpalo,Venezia,34,13,0.09,7.5,4.3,0.13,-1.5,2024-2025,serie-a
matteo politano,Napoli,56,14,0.05,3.1,3.1,0.06,-0.1,2024-2025,serie-a
marin pongracic,Fiorentina,2,1,0.0,0.2,0.2,0.09,-0.2,2024-2025,serie-a
stefan posch,Bologna,2,0,0.0,0.3,0.3,0.14,-0.3,2024-2025,serie-a
stefan posch,Atalanta,3,2,0.0,0.2,0.2,0.07,-0.2,2024-2025,serie-a
matteo prati,Cagliari,4,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,serie-a
ivan provedel,Lazio,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
diego pugno,Juventus,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
christian pulisic,Milan,53,20,0.15,12.0,8.9,0.17,-1.0,2024-2025,serie-a
ionut radu,Venezia,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
hamza rafia,Lecce,10,2,0.0,0.5,0.5,0.05,-0.5,2024-2025,serie-a
antonio raimondo,Venezia,1,1,0.0,0.3,0.3,0.32,-0.3,2024-2025,serie-a
ylber ramadani,Lecce,17,6,0.06,0.6,0.6,0.04,0.4,2024-2025,serie-a
luca ranieri,Fiorentina,11,5,0.09,1.1,1.1,0.11,-0.1,2024-2025,serie-a
giacomo raspadori,Napoli,42,14,0.14,4.0,4.0,0.1,2.0,2024-2025,serie-a
federico ravaglia,Bologna,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
ante rebic,Lecce,13,5,0.08,2.1,2.1,0.16,-1.1,2024-2025,serie-a
tijjani reijnders,Milan,77,28,0.13,7.5,7.5,0.1,2.5,2024-2025,serie-a
pepe reina,Como,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
devyne rensch,Roma,3,2,0.0,0.3,0.3,0.09,-0.3,2024-2025,serie-a
mateo retegui,Atalanta,99,32,0.21,18.9,14.9,0.15,6.1,2024-2025,serie-a
samuele ricci,Torino,22,7,0.05,1.3,1.3,0.06,-0.3,2024-2025,serie-a
amir richardson,Fiorentina,11,5,0.09,0.9,0.9,0.08,0.1,2024-2025,serie-a
sergi roberto,Como,6,1,0.0,0.7,0.7,0.11,-0.7,2024-2025,serie-a
alessio romagnoli,Lazio,20,7,0.1,2.4,2.4,0.12,-0.4,2024-2025,serie-a
marten de roon,Atalanta,14,4,0.29,0.9,0.9,0.06,3.1,2024-2025,serie-a
jonas rouhi,Juventus,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
nicolo rovella,Lazio,28,8,0.0,1.5,1.5,0.06,-1.5,2024-2025,serie-a
amir rrahmani,Napoli,28,3,0.04,2.9,2.9,0.1,-1.9,2024-2025,serie-a
tommaso rubino,Fiorentina,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
matteo ruggeri,Atalanta,3,2,0.0,0.2,0.2,0.08,-0.2,2024-2025,serie-a
stefano sabelli,Genoa,6,1,0.0,0.1,0.1,0.02,-0.1,2024-2025,serie-a
alexis saelemaekers,Roma,25,12,0.28,2.5,2.5,0.1,4.5,2024-2025,serie-a
alexis saelemaekers,Milan,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
richie sagrado,Venezia,1,0,0.0,0.1,0.1,0.05,-0.1,2024-2025,serie-a
marco sala,Como,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
marco sala,Lecce,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
anass salaheddine,Roma,2,1,0.0,0.3,0.3,0.16,-0.3,2024-2025,serie-a
lazar samardzic,Atalanta,33,12,0.06,2.0,2.0,0.06,0.0,2024-2025,serie-a
junior sambia,Empoli,10,1,0.0,0.4,0.4,0.04,-0.4,2024-2025,serie-a
antonio sanabria,Torino,18,4,0.11,2.9,2.1,0.12,-0.9,2024-2025,serie-a
alexis sanchez,Udinese,7,0,0.0,0.8,0.8,0.12,-0.8,2024-2025,serie-a
nicola sansone,Lecce,3,1,0.0,0.2,0.2,0.07,-0.2,2024-2025,serie-a
amin sarr,Hellas Verona,23,7,0.17,3.2,3.2,0.15,0.8,2024-2025,serie-a
razvan sava,Udinese,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
nicolo savona,Juventus,6,4,0.33,0.5,0.5,0.08,1.5,2024-2025,serie-a
saba sazonov,Torino,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
giorgio scalvini,Atalanta,4,0,0.0,0.1,0.1,0.04,-0.1,2024-2025,serie-a
gianluca scamacca,Atalanta,1,1,0.0,0.1,0.1,0.09,-0.1,2024-2025,serie-a
joel schingtienne,Venezia,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
simone scuffet,Cagliari,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
simone scuffet,Napoli,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
jacopo seghetti,Empoli,0,0,,0.0,0.0,,0.0,2024-2025,serie-a
stefano sensi,Monza,6,1,0.0,0.9,0.2,0.03,0.1,2024-2025,serie-a
suat serdar,Hellas Verona,30,8,0.07,1.9,1.9,0.06,0.1,2024-2025,serie-a
