Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Bolck_Pass,Clearences,Err,Season,Competition
jasper cillessen,Las Palmas,1,0,0,25.0,1,0,0,0,0,0,11,2,2024-2025,laliga
pathe ciss,Rayo Vallecano,26,22,1,48.8,20,24,40,31,10,21,61,3,2024-2025,laliga
seydouba cisse,Leganés,18,27,14,46.0,23,37,12,25,1,24,45,1,2024-2025,laliga
silvi clua,Girona,4,3,1,66.7,4,7,2,1,0,1,6,0,2024-2025,laliga
eray comert,Valladolid,15,9,0,57.1,12,14,24,28,15,13,75,2,2024-2025,laliga
santi comesana,Villarreal,44,32,9,55.3,42,49,19,56,22,34,56,1,2024-2025,laliga
diego conde,Villarreal,2,0,0,50.0,2,2,1,0,0,0,9,2,2024-2025,laliga
tomas conechny,Alavés,6,7,2,33.3,9,12,6,14,2,12,10,0,2024-2025,laliga
copete,Mallorca,18,10,1,91.7,11,17,17,24,16,8,123,2,2024-2025,laliga
iker cordoba,Valencia,0,0,0,,0,0,0,0,0,0,1,0,2024-2025,laliga
angel correa,Atlético Madrid,4,1,4,33.3,5,3,4,10,0,10,8,0,2024-2025,laliga
thierry correia,Valencia,19,5,3,56.5,13,18,4,10,1,9,18,0,2024-2025,laliga
coba da costa,Getafe,9,16,4,50.0,13,13,8,24,0,24,10,0,2024-2025,laliga
logan costa,Villarreal,25,12,1,82.8,24,21,21,25,14,11,115,2,2024-2025,laliga
samu costa,Mallorca,45,42,3,44.3,35,44,32,48,15,33,85,1,2024-2025,laliga
thibaut courtois,Real Madrid,0,0,0,,0,0,1,0,0,0,15,1,2024-2025,laliga
juan cruz armada,Osasuna,11,13,2,62.5,15,14,9,15,4,11,68,0,2024-2025,laliga
juan cruz,Leganés,14,16,2,48.6,17,19,13,18,2,16,31,0,2024-2025,laliga
pau cubarsi,Barcelona,21,10,3,63.3,19,23,16,12,9,3,86,1,2024-2025,laliga
cucho,Betis,2,5,8,54.5,6,10,7,13,1,12,4,0,2024-2025,laliga
arnaut danjuma,Villarreal,0,1,1,0.0,0,1,0,1,0,1,0,0,2024-2025,laliga
arnaut danjuma,Girona,3,3,2,28.6,2,6,2,5,1,4,4,0,2024-2025,laliga
