Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
jan schoppner,Heidenheim,19,27,10,34.5,20,30,43,38,6,32,95,1,2024-2025,bundesliga
marvin schulz,Holstein Kiel,2,2,2,25.0,2,5,0,12,8,4,17,0,2024-2025,bundesliga
alexander schwolow,Union Berlin,0,0,0,,0,0,0,0,0,0,2,1,2024-2025,bundesliga
leo scienza,Heidenheim,10,5,2,38.9,7,12,5,13,1,12,9,1,2024-2025,bundesliga
nicolas seiwald,RB Leipzig,19,29,5,50.0,25,31,31,43,10,33,76,2,2024-2025,bundesliga
benjamin sesko,RB Leipzig,0,4,3,27.3,3,3,5,15,4,11,20,0,2024-2025,bundesliga
armindo sieb,Mainz 05,4,5,1,30.0,3,4,1,4,0,4,7,0,2024-2025,bundesliga
tim siersleben,Heidenheim,12,8,1,41.2,7,14,20,19,6,13,66,0,2024-2025,bundesliga
kiliann sildillia,Freiburg,8,6,3,53.8,7,10,11,16,5,11,38,0,2024-2025,bundesliga
andre silva,Werder Bremen,1,1,0,0.0,0,2,0,3,1,2,3,0,2024-2025,bundesliga
andre silva,RB Leipzig,1,0,0,0.0,0,1,1,1,0,1,2,0,2024-2025,bundesliga
mohamed simakan,RB Leipzig,0,0,0,,0,0,2,0,0,0,0,0,2024-2025,bundesliga
xavi simons,RB Leipzig,5,15,8,46.2,12,21,12,19,3,16,19,1,2024-2025,bundesliga
danel sinani,St. Pauli,2,7,5,42.9,6,11,1,12,1,11,13,0,2024-2025,bundesliga
tobias sippel,Gladbach,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,bundesliga
ibrahima sissoko,Bochum,30,31,5,53.3,24,44,36,39,11,28,61,0,2024-2025,bundesliga
tim skarke,Union Berlin,5,8,1,52.6,10,11,5,7,0,7,17,0,2024-2025,bundesliga
ellyes skhiri,Eint Frankfurt,15,21,4,40.9,18,22,31,30,7,23,45,4,2024-2025,bundesliga
leo skiri stigard,Hoffenheim,5,4,0,66.7,4,7,9,17,9,8,111,0,2024-2025,bundesliga
andreas skov olsen,Wolfsburg,5,3,0,100.0,4,6,2,4,0,4,12,0,2024-2025,bundesliga
robert skov,Union Berlin,8,7,0,50.0,10,11,8,8,1,7,9,0,2024-2025,bundesliga
steven skrzybski,Holstein Kiel,7,6,6,29.2,7,6,11,16,0,16,11,0,2024-2025,bundesliga
eric smith,St. Pauli,26,17,3,57.5,23,29,37,37,10,27,104,4,2024-2025,bundesliga
anton stach,Hoffenheim,25,37,4,68.1,32,46,46,47,13,34,101,2,2024-2025,bundesliga
jens stage,Werder Bremen,22,24,3,54.3,25,30,18,44,10,34,42,2,2024-2025,bundesliga
