Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
sofiane diop,Nice,12,6,5,35.0,7,11,16,14,2,12,5,0,2022-2023,ligue1
sofiane diop,Monaco,0,0,0,,0,0,1,0,0,0,0,0,2022-2023,ligue1
yehvann diouf,Reims,2,0,0,33.3,1,0,1,0,0,0,13,5,2022-2023,ligue1
axel disasi,Monaco,13,13,4,48.1,13,20,56,51,31,20,112,2,2022-2023,ligue1
tiago djalo,Lille,23,7,1,65.0,13,21,23,17,11,6,60,1,2022-2023,ligue1
alexander djiku,Strasbourg,37,16,0,56.5,26,36,66,45,19,26,151,3,2022-2023,ligue1
moussa djitte,Ajaccio,0,0,1,50.0,1,0,0,0,0,0,1,0,2022-2023,ligue1
ouparine djoco,Clermont Foot,0,0,0,,0,0,0,0,0,0,1,0,2022-2023,ligue1
alan do marcolino,Rennes,0,0,0,,0,0,0,0,0,0,1,0,2022-2023,ligue1
jeremy doku,Rennes,6,13,6,50.0,12,16,5,10,0,10,2,0,2022-2023,ligue1
kyliane dong,Troyes,0,2,1,50.0,1,1,1,1,0,1,0,0,2022-2023,ligue1
jordan dongmo,Troyes,0,1,0,100.0,1,0,0,0,0,0,0,0,2022-2023,ligue1
gianluigi donnarumma,Paris S-G,1,0,0,50.0,1,0,0,0,0,0,12,4,2022-2023,ligue1
jodel dossou,Clermont Foot,3,2,2,100.0,4,4,1,2,1,1,0,0,2022-2023,ligue1
lohann doucet,Nantes,2,0,1,75.0,3,0,2,2,0,2,4,0,2022-2023,ligue1
sirine doucoure,Lorient,2,0,0,50.0,1,2,1,0,0,0,0,0,2022-2023,ligue1
desire doue,Rennes,10,23,4,40.6,13,18,13,17,1,16,3,0,2022-2023,ligue1
guela doue,Rennes,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,ligue1
ismael doukoure,Strasbourg,23,21,4,58.8,20,24,27,26,8,18,54,0,2022-2023,ligue1
kamory doumbia,Reims,9,14,8,32.4,12,16,13,17,1,16,3,0,2022-2023,ligue1
souleyman doumbia,Angers,31,13,1,54.8,17,31,27,20,3,17,27,1,2022-2023,ligue1
remy dugimont,Auxerre,0,1,1,50.0,1,1,0,3,0,3,5,0,2022-2023,ligue1
maxime dupe,Toulouse,0,0,0,,0,0,0,0,0,0,9,3,2022-2023,ligue1
jeankevin duverne,Brest,44,24,4,57.5,42,38,28,33,5,28,65,1,2022-2023,ligue1
hugo ekitike,Paris S-G,1,10,1,33.3,4,4,9,12,0,12,3,0,2022-2023,ligue1
alberth elis,Brest,1,2,1,14.3,1,3,1,1,0,1,2,0,2022-2023,ligue1
