Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
nathan collins,Wolves,19,8,0,62.5,15,15,21,35,28,7,84,0,2022-2023,premierleague
levi colwill,Brighton,4,4,0,44.4,4,7,15,5,3,2,37,1,2022-2023,premierleague
lewis cook,Bournemouth,10,22,5,40.9,18,22,23,29,10,19,31,0,2022-2023,premierleague
steve cook,Nott'ham Forest,4,4,0,71.4,5,4,12,16,11,5,51,0,2022-2023,premierleague
liam cooper,Leeds United,27,9,2,63.9,23,23,34,16,8,8,57,3,2022-2023,premierleague
maxwel cornet,West Ham,5,0,2,66.7,4,3,2,6,0,6,3,0,2022-2023,premierleague
diego costa,Wolves,3,0,0,22.2,2,1,2,6,1,5,17,0,2022-2023,premierleague
vladimir coufal,West Ham,37,15,6,70.6,36,31,38,24,6,18,70,0,2022-2023,premierleague
philippe coutinho,Aston Villa,8,8,3,60.0,9,14,4,11,1,10,2,0,2022-2023,premierleague
conor coventry,West Ham,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,premierleague
matthew craig,Tottenham,2,2,0,,0,1,0,0,0,0,0,0,2022-2023,premierleague
aaron cresswell,West Ham,12,7,2,38.7,12,11,27,21,11,10,56,0,2022-2023,premierleague
marc cucurella,Chelsea,40,15,11,50.0,30,33,16,28,8,20,48,1,2022-2023,premierleague
matheus cunha,Wolves,0,5,2,20.0,2,4,9,15,3,12,11,0,2022-2023,premierleague
patson daka,Leicester City,6,8,0,23.1,3,8,7,14,2,12,7,0,2022-2023,premierleague
diogo dalot,Manchester Utd,40,13,1,73.3,33,41,37,25,7,18,55,2,2022-2023,premierleague
mikkel damsgaard,Brentford,13,13,5,35.7,15,21,10,20,2,18,14,0,2022-2023,premierleague
danilo,Nott'ham Forest,7,9,2,24.0,6,7,9,26,6,20,19,0,2022-2023,premierleague
arnaut danjuma,Tottenham,1,1,0,,0,0,0,1,0,1,0,0,2022-2023,premierleague
josh dasilva,Brentford,6,6,6,40.0,6,9,5,22,6,16,7,1,2022-2023,premierleague
david datro fofana,Chelsea,1,1,1,100.0,1,1,0,1,0,1,0,0,2022-2023,premierleague
ben davies,Tottenham,13,13,2,53.8,14,11,18,17,8,9,72,0,2022-2023,premierleague
tom davies,Everton,5,9,1,50.0,7,9,4,10,1,9,7,1,2022-2023,premierleague
craig dawson,West Ham,9,2,0,71.4,5,7,6,9,6,3,26,0,2022-2023,premierleague
craig dawson,Wolves,6,3,0,57.1,4,6,12,31,23,8,74,2,2022-2023,premierleague
kevin de bruyne,Manchester City,3,12,13,35.9,14,12,9,27,2,25,10,0,2022-2023,premierleague
bobby de cordovareid,Fulham,14,14,14,44.4,16,24,20,25,3,22,28,1,2022-2023,premierleague
siriki dembele,Bournemouth,2,1,0,0.0,0,1,1,1,0,1,1,0,2022-2023,premierleague
leander dendoncker,Aston Villa,11,6,2,50.0,11,9,10,19,4,15,12,0,2022-2023,premierleague
leander dendoncker,Wolves,0,3,1,66.7,2,2,9,2,0,2,4,0,2022-2023,premierleague
emmanuel dennis,Nott'ham Forest,5,5,7,44.4,8,11,2,13,1,12,6,0,2022-2023,premierleague
halil dervisoglu,Brentford,0,0,0,0.0,0,0,0,0,0,0,0,0,2022-2023,premierleague
kiernan dewsburyhall,Leicester City,14,34,5,40.4,19,29,28,55,13,42,21,0,2022-2023,premierleague
ibrahima diallo,Southampton,14,10,1,57.1,8,15,6,11,1,10,11,0,2022-2023,premierleague
ruben dias,Manchester City,10,10,1,61.1,11,13,18,21,13,8,56,1,2022-2023,premierleague
luis diaz,Liverpool,4,8,5,53.3,8,11,6,8,0,8,2,0,2022-2023,premierleague
eric dier,Tottenham,16,12,2,47.4,9,19,35,41,24,17,112,2,2022-2023,premierleague
lucas digne,Aston Villa,20,9,1,60.6,20,12,18,18,5,13,45,0,2022-2023,premierleague
issa diop,Fulham,18,9,1,53.1,17,19,35,24,17,7,86,0,2022-2023,premierleague
moussa djenepo,Southampton,13,5,1,40.7,11,11,11,19,2,17,7,0,2022-2023,premierleague
ben doak,Liverpool,1,2,0,100.0,1,2,0,1,0,1,0,0,2022-2023,premierleague
matt doherty,Tottenham,12,3,1,80.0,8,10,8,11,6,5,14,1,2022-2023,premierleague
abdoulaye doucoure,Everton,9,15,7,32.4,12,20,13,26,3,23,11,0,2022-2023,premierleague
cheick doucoure,Crystal Palace,40,33,4,55.8,29,46,56,47,13,34,48,0,2022-2023,premierleague
flynn downes,West Ham,4,10,2,50.0,6,9,7,15,2,13,6,0,2022-2023,premierleague
kami doyle,Southampton,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,premierleague
cody drameh,Leeds United,0,4,1,66.7,2,4,1,0,0,0,1,0,2022-2023,premierleague
martin dubravka,Newcastle Utd,0,0,0,0.0,0,0,0,0,0,0,1,0,2022-2023,premierleague
shane duffy,Fulham,0,0,0,,0,0,0,0,0,0,0,1,2022-2023,premierleague
lewis dunk,Brighton,19,9,2,43.9,18,19,34,37,27,10,81,1,2022-2023,premierleague
jader duran,Aston Villa,0,1,1,25.0,1,2,2,0,0,0,2,0,2022-2023,premierleague
malcolm ebiowei,Crystal Palace,1,0,0,0.0,0,1,0,2,0,2,0,0,2022-2023,premierleague
ederson,Manchester City,3,0,0,50.0,1,1,1,0,0,0,10,2,2022-2023,premierleague
odsonne edouard,Crystal Palace,7,12,6,53.8,7,13,3,17,5,12,22,0,2022-2023,premierleague
samuel edozie,Southampton,6,10,1,37.5,3,10,6,7,0,7,6,0,2022-2023,premierleague
anthony elanga,Manchester Utd,0,2,1,50.0,1,0,2,4,0,4,4,0,2022-2023,premierleague
harvey elliott,Liverpool,6,12,9,24.3,9,18,15,26,1,25,8,0,2022-2023,premierleague
mohamed elneny,Arsenal,1,0,0,100.0,1,1,0,0,0,0,0,0,2022-2023,premierleague
mohamed elyounoussi,Southampton,22,20,4,43.2,19,28,27,40,3,37,37,0,2022-2023,premierleague
emerson,Tottenham,38,12,4,67.5,27,33,18,17,3,14,75,0,2022-2023,premierleague
julio enciso,Brighton,3,6,4,61.5,8,4,4,9,0,9,2,0,2022-2023,premierleague
christian eriksen,Manchester Utd,10,7,5,30.3,10,18,11,23,9,14,20,1,2022-2023,premierleague
pervis estupinan,Brighton,36,19,6,58.3,35,31,37,30,8,22,37,1,2022-2023,premierleague
jonny evans,Leicester City,12,1,0,63.6,7,5,18,15,11,4,51,0,2022-2023,premierleague
eberechi eze,Crystal Palace,17,18,7,47.4,18,24,13,22,0,22,10,0,2022-2023,premierleague
ukasz fabianski,West Ham,2,0,0,50.0,1,0,0,1,0,1,10,1,2022-2023,premierleague
fabinho,Liverpool,18,40,7,38.7,24,38,37,38,11,27,40,0,2022-2023,premierleague
wout faes,Leicester City,28,26,2,63.6,28,33,41,53,37,16,113,2,2022-2023,premierleague
felipe,Nott'ham Forest,29,13,0,58.5,24,23,36,34,13,21,90,0,2022-2023,premierleague
joao felix,Chelsea,5,6,3,33.3,4,7,1,3,0,3,1,1,2022-2023,premierleague
evan ferguson,Brighton,1,3,2,14.3,1,3,2,11,1,10,6,0,2022-2023,premierleague
bruno fernandes,Manchester Utd,24,25,19,42.3,30,42,25,37,5,32,40,1,2022-2023,premierleague
enzo fernandez,Chelsea,25,17,3,37.5,21,27,16,32,2,30,12,1,2022-2023,premierleague
roberto firmino,Liverpool,2,12,3,18.2,4,12,7,16,1,15,2,0,2022-2023,premierleague
junior firpo,Leeds United,27,15,5,52.2,24,25,24,23,7,16,40,0,2022-2023,premierleague
phil foden,Manchester City,9,5,2,42.1,8,10,5,25,2,23,12,0,2022-2023,premierleague
wesley fofana,Leicester City,1,2,1,33.3,1,2,9,1,1,0,5,0,2022-2023,premierleague
wesley fofana,Chelsea,19,7,4,50.0,13,18,20,17,10,7,33,2,2022-2023,premierleague
pablo fornals,West Ham,9,12,9,38.2,13,15,14,16,2,14,9,0,2022-2023,premierleague
adam forshaw,Leeds United,5,7,0,41.2,7,9,4,9,1,8,2,0,2022-2023,premierleague
fraser forster,Tottenham,1,0,0,,0,0,0,1,0,1,3,1,2022-2023,premierleague
tyrese francois,Fulham,0,0,0,0.0,0,0,0,0,0,0,1,0,2022-2023,premierleague
ryan fraser,Newcastle Utd,0,0,2,40.0,2,2,0,3,1,2,3,0,2022-2023,premierleague
fred,Manchester Utd,24,20,3,39.5,15,30,19,38,2,36,19,0,2022-2023,premierleague
ryan fredericks,Bournemouth,2,0,1,25.0,1,2,1,7,2,5,27,0,2022-2023,premierleague
remo freuler,Nott'ham Forest,23,15,5,44.2,19,23,29,36,9,27,45,0,2022-2023,premierleague
cody gakpo,Liverpool,4,13,9,34.2,13,15,4,13,1,12,2,0,2022-2023,premierleague
conor gallagher,Chelsea,17,19,10,27.0,10,33,23,41,10,31,18,1,2022-2023,premierleague
idrissa gana gueye,Everton,49,35,13,50.0,31,57,56,50,12,38,34,3,2022-2023,premierleague
alejandro garnacho,Manchester Utd,2,0,3,9.1,1,2,5,5,0,5,3,0,2022-2023,premierleague
james garner,Everton,4,8,4,47.4,9,13,12,9,1,8,13,0,2022-2023,premierleague
david de gea,Manchester Utd,0,0,0,0.0,0,0,1,0,0,0,15,3,2022-2023,premierleague
joe gelhardt,Leeds United,1,3,2,60.0,3,2,0,5,0,5,4,0,2022-2023,premierleague
saman ghoddos,Brentford,0,1,1,33.3,1,1,4,5,1,4,2,0,2022-2023,premierleague
morgan gibbswhite,Wolves,3,0,0,50.0,2,1,1,2,0,2,3,0,2022-2023,premierleague
morgan gibbswhite,Nott'ham Forest,7,7,12,33.3,11,14,14,23,4,19,15,0,2022-2023,premierleague
bryan gil,Tottenham,3,0,0,0.0,0,1,1,3,0,3,1,0,2022-2023,premierleague
billy gilmour,Brighton,2,2,1,25.0,2,2,6,5,2,3,5,0,2022-2023,premierleague
wilfried gnonto,Leeds United,7,15,5,33.3,10,17,5,24,1,23,7,0,2022-2023,premierleague
ben godfrey,Everton,13,5,2,37.9,11,11,8,12,6,6,33,1,2022-2023,premierleague
joao gomes,Wolves,14,14,1,56.5,13,13,4,12,3,9,11,0,2022-2023,premierleague
toti gomes,Wolves,11,4,0,69.2,9,9,11,16,8,8,51,0,2022-2023,premierleague
joe gomez,Liverpool,15,11,2,57.9,11,21,24,17,11,6,51,2,2022-2023,premierleague
sergio gomez,Manchester City,6,1,2,62.5,5,4,2,5,3,2,9,1,2022-2023,premierleague
anthony gordon,Newcastle Utd,5,7,2,45.0,9,12,2,9,1,8,1,1,2022-2023,premierleague
anthony gordon,Everton,17,10,7,33.3,8,22,4,19,0,19,11,0,2022-2023,premierleague
demarai gray,Everton,9,14,10,54.8,17,24,13,23,3,20,18,0,2022-2023,premierleague
jack grealish,Manchester City,10,12,3,56.5,13,16,7,17,3,14,9,0,2022-2023,premierleague
sam greenwood,Leeds United,7,8,0,38.1,8,7,1,10,2,8,1,0,2022-2023,premierleague
pascal gro,Brighton,23,27,9,45.5,25,38,13,32,10,22,21,1,2022-2023,premierleague
vicente guaita,Crystal Palace,0,0,0,,0,0,0,0,0,0,9,1,2022-2023,premierleague
goncalo guedes,Wolves,4,3,1,62.5,5,6,1,4,0,4,2,0,2022-2023,premierleague
marc guehi,Crystal Palace,39,11,2,61.9,26,27,45,45,24,21,134,3,2022-2023,premierleague
bruno guimaraes,Newcastle Utd,27,46,5,58.5,38,40,36,28,4,24,22,1,2022-2023,premierleague
ilkay gundogan,Manchester City,7,13,10,35.3,12,18,20,18,3,15,13,0,2022-2023,premierleague
darko gyabi,Leeds United,1,1,0,,0,2,0,2,0,2,0,0,2022-2023,premierleague
erling haaland,Manchester City,0,2,1,20.0,1,2,3,12,4,8,14,0,2022-2023,premierleague
lewis hall,Chelsea,19,4,0,68.2,15,12,11,8,0,8,11,1,2022-2023,premierleague
luke harris,Fulham,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,premierleague
jack harrison,Leeds United,5,15,21,23.1,12,17,22,47,2,45,25,0,2022-2023,premierleague
kai havertz,Chelsea,4,20,10,33.3,10,16,7,28,0,28,41,0,2022-2023,premierleague
jan paul van hecke,Brighton,3,4,1,100.0,5,6,6,8,5,3,9,0,2022-2023,premierleague
hwang heechan,Wolves,7,8,5,30.0,6,9,5,18,2,16,5,0,2022-2023,premierleague
dean henderson,Nott'ham Forest,0,0,0,,0,0,0,0,0,0,12,1,2022-2023,premierleague
jordan henderson,Liverpool,10,18,4,41.7,15,23,21,21,3,18,16,1,2022-2023,premierleague
wayne hennessey,Nott'ham Forest,1,0,0,100.0,1,0,0,0,0,0,2,0,2022-2023,premierleague
rico henry,Brentford,20,28,9,53.7,22,31,30,29,8,21,84,1,2022-2023,premierleague
son heungmin,Tottenham,7,8,9,30.0,9,12,13,23,2,21,6,0,2022-2023,premierleague
aaron hickey,Brentford,27,11,0,56.3,18,26,17,18,7,11,32,1,2022-2023,premierleague
jack hinshelwood,Brighton,1,0,0,,0,0,0,0,0,0,0,0,2022-2023,premierleague
joseph hodge,Wolves,1,3,1,75.0,3,2,0,5,0,5,2,1,2022-2023,premierleague
rob holding,Arsenal,4,4,0,50.0,3,5,3,6,5,1,27,1,2022-2023,premierleague
mason holgate,Everton,8,3,0,27.3,3,7,7,7,3,4,28,0,2022-2023,premierleague
will hughes,Crystal Palace,11,16,2,55.0,11,16,16,16,7,9,9,0,2022-2023,premierleague
omari hutchinson,Chelsea,0,0,0,,0,0,1,0,0,0,0,0,2022-2023,premierleague
pierre hjbjerg,Tottenham,28,22,6,38.8,26,30,49,46,17,29,64,1,2022-2023,premierleague
kelechi iheanacho,Leicester City,0,3,4,30.0,3,2,0,9,1,8,8,0,2022-2023,premierleague
danny ings,West Ham,0,4,5,35.7,5,8,3,8,2,6,5,0,2022-2023,premierleague
danny ings,Aston Villa,1,6,3,16.7,1,5,1,12,1,11,11,0,2022-2023,premierleague
alexander isak,Newcastle Utd,4,7,7,35.7,10,8,4,21,2,19,8,0,2022-2023,premierleague
daniel iversen,Leicester City,0,0,0,,0,0,0,0,0,0,6,1,2022-2023,premierleague
alex iwobi,Everton,37,28,4,50.8,33,37,25,41,2,39,29,0,2022-2023,premierleague
daniel james,Leeds United,1,3,2,50.0,3,2,2,4,0,4,2,0,2022-2023,premierleague
daniel james,Fulham,4,5,1,44.4,4,6,1,5,1,4,5,0,2022-2023,premierleague
reece james,Chelsea,10,18,3,78.9,15,20,12,17,2,15,23,0,2022-2023,premierleague
vitaly janelt,Brentford,20,24,10,42.9,21,27,29,29,9,20,26,0,2022-2023,premierleague
pontus jansson,Brentford,4,1,0,60.0,3,3,9,13,9,4,38,0,2022-2023,premierleague
mathias jensen,Brentford,29,30,12,35.1,34,36,32,54,5,49,24,1,2022-2023,premierleague
gabriel jesus,Arsenal,16,8,9,46.9,15,25,11,27,3,24,15,1,2022-2023,premierleague
raul jimenez,Wolves,3,5,1,50.0,3,6,0,9,0,9,8,0,2022-2023,premierleague
joelinton,Newcastle Utd,36,26,8,41.9,26,49,48,52,7,45,39,0,2022-2023,premierleague
ben johnson,West Ham,12,4,4,66.7,12,14,9,12,4,8,28,1,2022-2023,premierleague
brennan johnson,Nott'ham Forest,18,8,8,27.6,8,20,5,30,1,29,7,1,2022-2023,premierleague
sam johnstone,Crystal Palace,0,0,0,,0,0,0,0,0,0,5,0,2022-2023,premierleague
curtis jones,Liverpool,8,12,14,58.1,18,17,3,12,2,10,9,0,2022-2023,premierleague
jorginho,Arsenal,6,10,2,20.8,5,13,9,7,2,5,8,0,2022-2023,premierleague
jorginho,Chelsea,22,14,6,47.8,22,23,21,18,3,15,7,0,2022-2023,premierleague
mateo joseph,Leeds United,0,0,0,,0,0,0,1,0,1,1,0,2022-2023,premierleague
diogo jota,Liverpool,8,8,7,32.4,12,15,3,5,0,5,11,0,2022-2023,premierleague
hamed junior traore,Bournemouth,5,9,3,33.3,6,11,2,9,0,9,1,0,2022-2023,premierleague
james justin,Leicester City,7,12,1,50.0,9,18,15,24,6,18,47,0,2022-2023,premierleague
