Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
federico fernandez,Elche,1,0,0,100.0,1,1,2,0,0,0,12,0,2022-2023,laliga
joaquin fernandez,Valladolid,20,11,4,63.3,19,28,27,31,22,9,98,1,2022-2023,laliga
valery fernandez,Girona,4,6,2,55.6,5,6,10,8,1,7,9,1,2022-2023,laliga
fernando,Almería,0,0,0,0.0,0,0,1,2,0,2,20,3,2022-2023,laliga
fernando,Sevilla,14,17,3,60.0,18,23,24,21,10,11,29,0,2022-2023,laliga
fidel,Elche,8,5,2,10.5,4,10,5,9,0,9,8,0,2022-2023,laliga
dimitri foulquier,Valencia,17,8,6,71.4,20,19,14,19,3,16,40,0,2022-2023,laliga
juan foyth,Villarreal,49,22,2,71.9,41,48,20,32,11,21,68,0,2022-2023,laliga
ivan fresneda,Valladolid,31,13,4,61.7,29,34,15,32,8,24,60,0,2022-2023,laliga
javi galan,Celta Vigo,60,40,4,49.0,48,72,41,54,5,49,63,1,2022-2023,laliga
inigo ruiz de galarreta,Mallorca,27,23,4,38.5,20,38,30,26,9,17,19,0,2022-2023,laliga
aleix garcia,Girona,9,18,10,45.5,15,20,31,24,8,16,35,1,2022-2023,laliga
alvaro garcia,Rayo Vallecano,21,13,15,33.3,11,28,34,41,4,37,24,1,2022-2023,laliga
borja garcia,Girona,7,2,1,22.2,2,4,5,3,1,2,6,1,2022-2023,laliga
carlos garcia,Cádiz,0,0,0,,0,0,0,0,0,0,2,0,2022-2023,laliga
dani garcia,Athletic Club,17,25,4,61.7,29,27,19,21,6,15,21,1,2022-2023,laliga
david garcia,Osasuna,22,12,0,86.4,19,20,45,28,13,15,151,0,2022-2023,laliga
eric garcia,Barcelona,16,5,3,45.0,9,16,19,23,10,13,36,1,2022-2023,laliga
fran garcia,Rayo Vallecano,53,23,8,57.3,55,54,44,49,8,41,66,0,2022-2023,laliga
