nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
niclas fullkrug,werder bremen,FW,1993,2,2,180,0,0,0,0,2,9,12,2023-2024,bundesliga
niclas fullkrug,dortmund,FW,1993,29,27,2212,12,8,1,0,17,49,119,2023-2024,bundesliga
cristian gamboa,bochum,DF,1989,22,12,1187,0,1,6,0,12,33,16,2023-2024,bundesliga
dennis geiger,hoffenheim,MF,1998,3,0,64,0,0,1,0,1,3,2,2023-2024,bundesliga
yannick gerhardt,wolfsburg,"MF,DF",1994,25,18,1630,2,1,5,0,17,49,73,2023-2024,bundesliga
anwar el ghazi,mainz,"MF,DF",1995,3,0,54,0,1,0,0,2,4,5,2023-2024,bundesliga
benedikt gimber,heidenheim,DF,1997,24,24,2021,1,1,9,0,3,25,6,2023-2024,bundesliga
matthias ginter,freiburg,DF,1994,23,22,1913,0,2,3,0,23,136,20,2023-2024,bundesliga
jamie gittens,dortmund,"FW,MF",2004,25,14,1058,1,4,1,0,64,26,105,2023-2024,bundesliga
klaus gjasula,darmstadt,"DF,MF",1989,22,17,1363,0,0,7,1,8,70,7,2023-2024,bundesliga
serge gnabry,bayern munich,"FW,MF",1995,10,5,432,3,1,0,0,23,23,49,2023-2024,bundesliga
leon goretzka,bayern munich,MF,1995,30,25,2241,6,7,3,0,66,176,71,2023-2024,bundesliga
robin gosens,union berlin,"DF,MF",1994,30,27,2283,6,3,9,1,21,97,113,2023-2024,bundesliga
mario gotze,eint frankfurt,MF,1992,30,23,2068,3,2,5,1,22,115,118,2023-2024,bundesliga
jeffrey gouweleeuw,augsburg,DF,1991,30,29,2593,1,0,7,0,33,143,17,2023-2024,bundesliga
jens grahl,eint frankfurt,GK,1988,2,2,180,0,1,0,0,0,0,0,2023-2024,bundesliga
ryan gravenberch,bayern munich,FW,2002,1,0,10,0,0,1,0,0,1,3,2023-2024,bundesliga
michael gregoritsch,freiburg,FW,1994,32,19,1682,7,4,2,0,12,48,89,2023-2024,bundesliga
vincenzo grifo,freiburg,"MF,FW",1993,32,29,2325,8,8,3,0,54,115,148,2023-2024,bundesliga
florian grillitsch,hoffenheim,"DF,MF",1995,30,25,2295,1,6,8,0,32,152,22,2023-2024,bundesliga
alex grimaldo,leverkusen,DF,1995,33,31,2784,10,13,1,0,77,162,261,2023-2024,bundesliga
christian gro,werder bremen,"DF,MF",1989,20,8,797,0,1,1,0,17,46,5,2023-2024,bundesliga
brajan gruda,mainz,"MF,FW",2004,28,19,1641,4,3,5,0,100,71,167,2023-2024,bundesliga
ilia gruev,werder bremen,MF,2000,1,0,4,0,0,0,0,0,0,0,2023-2024,bundesliga
raphael guerreiro,bayern munich,"DF,MF",1993,20,13,1191,3,0,2,0,36,86,90,2023-2024,bundesliga
josuha guilavogui,mainz,DF,1990,11,5,409,0,1,1,0,1,9,1,2023-2024,bundesliga
serhou guirassy,stuttgart,FW,1996,28,25,2208,28,3,0,0,32,56,183,2023-2024,bundesliga
peter gulacsi,rb leipzig,GK,1990,13,13,1170,0,0,0,0,0,1,0,2023-2024,bundesliga
manuel gulde,freiburg,DF,1991,27,23,2047,1,0,5,1,10,74,3,2023-2024,bundesliga
robert gumny,augsburg,DF,1998,13,6,481,0,0,3,0,9,18,17,2023-2024,bundesliga
christian gunter,freiburg,DF,1993,15,13,1060,1,2,1,0,15,23,63,2023-2024,bundesliga
janik haberer,union berlin,"MF,DF",1994,21,14,1221,1,1,7,0,10,47,36,2023-2024,bundesliga
robin hack,gladbach,"FW,MF",1998,29,14,1348,10,2,2,0,50,46,103,2023-2024,bundesliga
amadou haidara,rb leipzig,MF,1998,21,19,1526,2,1,5,0,8,97,11,2023-2024,bundesliga
sebastien haller,dortmund,FW,1994,14,5,396,0,1,2,0,11,11,34,2023-2024,bundesliga
andreas hancheolsen,mainz,DF,1997,15,12,992,1,0,5,0,1,19,0,2023-2024,bundesliga
isak hansenaaren,werder bremen,MF,2004,3,0,27,0,0,1,0,2,2,3,2023-2024,bundesliga
