nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
samuel saiz,girona,MF,1991,8,1,240,2,0,1,0,5,17,18,2022-2023,laliga
kike salas,sevilla,DF,2002,6,4,368,1,1,1,1,3,14,0,2022-2023,laliga
salvi,rayo vallecano,"FW,MF",1991,24,4,490,0,0,2,0,27,13,51,2022-2023,laliga
fede san emeterio,cadiz,MF,1997,33,24,1844,0,1,14,0,1,45,11,2022-2023,laliga
oihan sancet,athletic club,MF,2000,36,32,2532,10,2,6,1,91,159,156,2022-2023,laliga
antonio sanchez,mallorca,"MF,DF",1997,32,11,1076,0,0,5,0,22,34,56,2022-2023,laliga
ivan sanchez,valladolid,"MF,FW",1992,25,13,1154,1,1,0,0,58,65,61,2022-2023,laliga
javi sanchez,valladolid,DF,1997,32,28,2392,1,0,11,0,21,74,5,2022-2023,laliga
manu sanchez,osasuna,DF,2000,31,22,2124,0,2,3,0,42,100,105,2022-2023,laliga
esteban saveljich,rayo vallecano,FW,1991,1,0,1,0,0,1,0,0,0,0,2022-2023,laliga
stefan savic,atletico madrid,DF,1991,22,22,1943,0,0,4,2,20,74,6,2022-2023,laliga
haris seferovic,celta vigo,FW,1992,18,10,887,3,1,3,0,12,17,44,2022-2023,laliga
jaime seoane,getafe,"MF,FW",1997,16,2,326,0,0,1,0,6,7,7,2022-2023,laliga
david silva,real sociedad,MF,1986,28,25,1937,2,5,3,0,70,162,121,2022-2023,laliga
rui silva,betis,GK,1994,26,26,2340,0,0,2,0,0,0,0,2022-2023,laliga
simo,espanyol,DF,2005,7,0,148,0,0,0,0,2,11,1,2022-2023,laliga
unai simon,athletic club,GK,1997,31,31,2745,0,0,2,0,0,2,0,2022-2023,laliga
ruben sobrino,cadiz,"MF,FW",1992,33,28,2465,3,2,11,0,45,46,81,2022-2023,laliga
