nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
giulio donati,monza,DF,1990,4,0,36,0,0,2,0,0,3,5,2023-2024,serie-a
patrick dorgu,lecce,"DF,MF",2004,32,17,1564,2,0,6,0,37,49,86,2023-2024,serie-a
alberto dossena,cagliari,DF,1998,35,33,2977,2,4,5,0,9,89,2,2023-2024,serie-a
radu dragusin,genoa,DF,2002,19,19,1710,2,1,1,0,6,29,13,2023-2024,serie-a
ondrej duda,hellas verona,MF,1994,32,29,2456,1,4,14,2,34,117,47,2023-2024,serie-a
denzel dumfries,inter,DF,1996,31,19,1639,4,4,2,1,50,51,147,2023-2024,serie-a
alfred duncan,fiorentina,MF,1993,30,24,1888,2,5,2,0,23,133,47,2023-2024,serie-a
paulo dybala,roma,"FW,MF",1993,28,25,1959,13,9,3,0,79,122,167,2023-2024,serie-a
festy ebosele,udinese,DF,2002,31,20,1700,0,0,6,1,67,35,98,2023-2024,serie-a
enzo ebosse,udinese,DF,1999,1,0,8,0,0,0,0,0,1,0,2023-2024,serie-a
tyronne ebuehi,empoli,DF,1995,15,11,1099,0,1,0,0,34,37,35,2023-2024,serie-a
ederson,atalanta,MF,1999,36,32,2869,6,1,8,0,32,214,50,2023-2024,serie-a
kingsley ehizibue,udinese,DF,1995,23,11,955,0,1,4,0,18,15,44,2023-2024,serie-a
emmanuel ekong,empoli,FW,2002,1,0,5,0,0,0,0,0,0,1,2023-2024,serie-a
caleb ekuban,genoa,FW,1994,29,10,1131,4,1,0,0,14,15,93,2023-2024,serie-a
elif elmas,napoli,"FW,MF",1999,11,4,339,2,0,2,0,14,16,26,2023-2024,serie-a
martin erlic,sassuolo,DF,1998,32,31,2618,1,0,5,0,19,78,11,2023-2024,serie-a
giovanni fabbian,bologna,"MF,FW",2003,27,11,1057,5,2,4,0,11,17,41,2023-2024,serie-a
nicolo fagioli,juventus,MF,2001,8,4,437,0,2,1,0,8,23,15,2023-2024,serie-a
wladimiro falcone,lecce,GK,1995,38,38,3420,0,0,0,0,0,1,0,2023-2024,serie-a
davide faraoni,hellas verona,DF,1991,11,7,602,0,1,5,0,13,28,31,2023-2024,serie-a
davide faraoni,fiorentina,DF,1991,8,4,392,0,1,0,0,7,17,16,2023-2024,serie-a
federico fazio,salernitana,DF,1987,17,15,1355,1,0,3,1,2,27,2,2023-2024,serie-a
jacopo fazzini,empoli,MF,2003,31,14,1232,1,1,6,0,24,47,51,2023-2024,serie-a
lewis ferguson,bologna,MF,1999,31,31,2712,6,3,8,0,57,142,138,2023-2024,serie-a
andrea ferraris,monza,MF,2003,1,0,10,0,0,0,0,0,1,0,2023-2024,serie-a
joao ferreira,udinese,DF,2001,35,18,1822,0,1,9,0,19,61,45,2023-2024,serie-a
