nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
igor,brighton,DF,1998,24,17,1637,0,0,4,0,30,107,12,2023-2024,premier-league
danny ings,west ham,FW,1992,20,3,404,1,0,1,0,7,8,29,2023-2024,premier-league
tim iroegbunam,aston villa,MF,2003,9,1,164,0,0,0,0,3,1,0,2023-2024,premier-league
alexander isak,newcastle utd,FW,1999,30,27,2255,21,2,1,0,68,71,129,2023-2024,premier-league
alex iwobi,everton,MF,1996,2,2,140,0,0,0,0,6,4,8,2023-2024,premier-league
alex iwobi,fulham,"FW,MF",1996,30,25,2192,5,2,2,0,109,147,175,2023-2024,premier-league
nicolas jackson,chelsea,FW,2001,35,31,2799,14,5,10,0,70,67,200,2023-2024,premier-league
reece james,chelsea,DF,1999,10,5,419,0,2,2,2,19,21,35,2023-2024,premier-league
vitaly janelt,brentford,"MF,DF",1998,38,37,3054,1,3,8,0,25,123,81,2023-2024,premier-league
daniel jebbison,sheffield utd,FW,2003,1,0,21,0,0,0,0,0,0,1,2023-2024,premier-league
mathias jensen,brentford,MF,1996,32,27,2204,3,3,5,0,19,123,66,2023-2024,premier-league
gabriel jesus,arsenal,FW,1997,27,17,1478,4,5,6,0,38,42,155,2023-2024,premier-league
raul jimenez,fulham,FW,1991,24,18,1395,7,0,3,1,11,24,87,2023-2024,premier-league
joao pedro,brighton,"FW,MF",2001,31,19,2045,9,3,2,0,83,92,205,2023-2024,premier-league
joelinton,newcastle utd,"MF,FW",1996,20,15,1279,2,1,6,0,29,56,60,2023-2024,premier-league
ben johnson,west ham,"DF,FW",2000,14,4,544,0,0,1,0,17,22,33,2023-2024,premier-league
brennan johnson,tottenham,FW,2001,32,23,2085,5,10,3,0,97,72,293,2023-2024,premier-league
brennan johnson,nottham forest,"FW,MF",2001,3,3,237,0,0,0,0,8,1,14,2023-2024,premier-league
joseph johnson,luton town,DF,2006,2,0,77,0,0,1,0,0,2,1,2023-2024,premier-league
sam johnstone,crystal palace,GK,1993,20,20,1796,0,0,1,0,0,0,0,2023-2024,premier-league
curtis jones,liverpool,MF,2001,23,14,1167,1,1,3,1,31,74,88,2023-2024,premier-league
jorginho,arsenal,MF,1991,24,10,921,0,2,1,0,8,101,8,2023-2024,premier-league
diogo jota,liverpool,FW,1996,21,14,1145,10,3,3,1,54,34,111,2023-2024,premier-league
mads juel andersen,luton town,DF,1997,8,4,400,1,0,1,0,0,7,1,2023-2024,premier-league
hamed junior traore,bournemouth,MF,2000,3,0,47,0,0,0,0,2,3,4,2023-2024,premier-league
mathias jrgensen,brentford,DF,1990,14,12,1087,1,0,4,0,5,50,4,2023-2024,premier-league
issa kabore,luton town,DF,2001,24,21,1729,0,2,7,0,60,54,85,2023-2024,premier-league
sasa kalajdzic,wolves,FW,1997,11,1,166,2,0,0,0,1,5,9,2023-2024,premier-league
boubacar kamara,aston villa,MF,1999,20,20,1652,0,1,7,1,19,83,10,2023-2024,premier-league
willy kambwala,manchester utd,DF,2004,8,3,330,0,0,1,0,2,8,1,2023-2024,premier-league
thomas kaminski,luton town,GK,1992,38,38,3405,0,0,3,0,0,1,0,2023-2024,premier-league
loris karius,newcastle utd,GK,1993,1,1,90,0,0,0,0,0,0,0,2023-2024,premier-league
michael keane,everton,DF,1993,9,4,439,1,0,2,0,4,14,3,2023-2024,premier-league
thilo kehrer,west ham,"DF,MF",1996,4,0,22,0,0,2,0,0,1,1,2023-2024,premier-league
caoimhin kelleher,liverpool,GK,1998,10,10,900,0,0,0,0,0,1,0,2023-2024,premier-league
lloyd kelly,bournemouth,DF,1998,23,17,1559,0,1,2,0,15,56,28,2023-2024,premier-league
omari kellyman,aston villa,FW,2005,2,0,37,0,0,0,0,1,0,0,2023-2024,premier-league
milos kerkez,bournemouth,DF,2003,28,22,1970,0,1,4,1,46,44,93,2023-2024,premier-league
kaine keslerhayden,aston villa,"MF,DF",2002,3,0,6,0,0,0,0,0,0,0,2023-2024,premier-league
max kilman,wolves,DF,1997,38,38,3420,2,0,7,0,22,117,5,2023-2024,premier-league
jakub kiwior,arsenal,DF,2000,20,11,946,1,3,1,0,4,55,16,2023-2024,premier-league
justin kluivert,bournemouth,"MF,FW",1999,32,26,1916,7,1,5,0,65,50,114,2023-2024,premier-league
luca koleosho,burnley,"MF,FW",2004,15,13,974,1,1,0,0,53,19,82,2023-2024,premier-league
ibrahima konate,liverpool,DF,1999,22,17,1574,0,0,5,1,24,118,3,2023-2024,premier-league
ezri konsa,aston villa,DF,1997,35,35,3069,1,0,5,0,37,136,33,2023-2024,premier-league
cheikhou kouyate,nottham forest,MF,1989,12,2,212,0,0,2,0,0,5,5,2023-2024,premier-league
mateo kovacic,manchester city,MF,1994,30,16,1551,1,0,4,0,37,100,38,2023-2024,premier-league
emil krafth,newcastle utd,DF,1994,17,8,913,0,0,2,0,12,29,33,2023-2024,premier-league
mohammed kudus,west ham,"FW,MF",2000,33,27,2484,8,6,6,0,117,80,216,2023-2024,premier-league
dejan kulusevski,tottenham,"FW,MF",2000,36,31,2762,8,3,7,0,151,144,388,2023-2024,premier-league
adam lallana,brighton,"MF,FW",1988,25,13,850,0,1,2,0,9,39,55,2023-2024,premier-league
tariq lamptey,brighton,"DF,FW",2000,19,10,914,0,3,3,0,39,17,64,2023-2024,premier-league
aymeric laporte,manchester city,DF,1994,1,0,12,0,0,0,0,0,0,0,2023-2024,premier-league
yasser larouci,sheffield utd,DF,2001,11,6,531,0,0,1,0,18,14,12,2023-2024,premier-league
jamaal lascelles,newcastle utd,DF,1993,16,13,1080,1,0,4,0,8,31,3,2023-2024,premier-league
romeo lavia,chelsea,MF,2004,1,0,33,0,0,0,0,0,1,0,2023-2024,premier-league
mario lemina,wolves,MF,1993,35,34,2968,4,1,12,1,32,76,49,2023-2024,premier-league
clement lenglet,aston villa,DF,1995,14,14,1153,0,1,3,0,26,51,1,2023-2024,premier-league
bernd leno,fulham,GK,1992,38,38,3420,0,0,3,0,0,0,0,2023-2024,premier-league
jefferson lerma,crystal palace,"MF,DF",1994,28,27,2400,1,1,8,0,14,106,51,2023-2024,premier-league
rico lewis,manchester city,"DF,MF",2004,16,8,809,2,0,1,0,21,33,46,2023-2024,premier-league
keane lewispotter,brentford,"FW,DF",2001,30,15,1441,3,1,0,0,56,32,135,2023-2024,premier-league
victor lindelof,manchester utd,DF,1994,19,14,1328,1,1,2,0,17,40,17,2023-2024,premier-league
valentino livramento,newcastle utd,DF,2002,26,12,1314,1,0,1,0,44,61,76,2023-2024,premier-league
giovani lo celso,tottenham,MF,1996,22,4,506,2,2,2,0,25,68,29,2023-2024,premier-league
tom lockyer,luton town,DF,1994,14,14,1169,1,1,4,0,6,37,2,2023-2024,premier-league
sean longstaff,newcastle utd,MF,1997,35,30,2747,6,2,7,0,24,145,116,2023-2024,premier-league
max lowe,sheffield utd,"DF,MF",1997,10,4,503,0,0,1,0,5,12,11,2023-2024,premier-league
douglas luiz,aston villa,MF,1998,35,35,2993,9,5,12,0,60,168,50,2023-2024,premier-league
sasa lukic,fulham,MF,1996,24,13,1122,1,0,3,0,12,43,27,2023-2024,premier-league
ian maatsen,chelsea,"FW,MF",2002,12,1,209,0,0,1,0,9,8,15,2023-2024,premier-league
alexis mac allister,liverpool,MF,1998,33,31,2599,5,5,7,1,44,209,48,2023-2024,premier-league
james maddison,tottenham,MF,1996,28,26,2135,4,9,5,0,58,224,156,2023-2024,premier-league
noni madueke,chelsea,FW,2002,23,13,1053,5,2,2,0,76,52,136,2023-2024,premier-league
gabriel magalhaes,arsenal,DF,1997,36,34,3044,4,0,4,0,13,117,8,2023-2024,premier-league
harry maguire,manchester utd,DF,1993,22,18,1653,2,2,4,0,20,73,2,2023-2024,premier-league
kobbie mainoo,manchester utd,MF,2005,24,24,1924,3,1,3,0,25,64,36,2023-2024,premier-league
orel mangala,nottham forest,MF,1998,20,19,1563,1,0,6,0,13,45,14,2023-2024,premier-league
benson manuel,burnley,"MF,FW",1997,8,1,116,0,0,0,0,5,2,14,2023-2024,premier-league
solly march,brighton,"FW,DF",1994,7,7,554,3,1,1,0,14,24,44,2023-2024,premier-league
anthony martial,manchester utd,FW,1995,13,5,448,1,0,0,0,6,12,36,2023-2024,premier-league
gabriel martinelli,arsenal,FW,2001,35,24,2019,6,4,1,0,127,65,345,2023-2024,premier-league
emiliano martinez,aston villa,GK,1992,34,34,3015,0,0,4,0,0,2,0,2023-2024,premier-league
lisandro martinez,manchester utd,DF,1998,11,8,646,0,1,3,0,8,28,1,2023-2024,premier-league
hannoah massengo,burnley,"MF,DF",2001,3,0,16,0,0,0,0,2,0,0,2023-2024,premier-league
pape matar sarr,tottenham,MF,2002,34,27,2069,3,3,9,0,43,150,90,2023-2024,premier-league
jeanphilippe mateta,crystal palace,FW,1997,35,25,2282,16,5,3,0,29,25,135,2023-2024,premier-league
joel matip,liverpool,DF,1991,10,9,781,0,0,2,0,8,34,1,2023-2024,premier-league
alex matos,chelsea,MF,2004,1,0,1,0,0,0,0,0,0,0,2023-2024,premier-league
remi matthews,crystal palace,GK,1994,1,0,4,0,0,0,0,0,0,0,2023-2024,premier-league
neal maupay,brentford,FW,1996,29,13,1321,6,3,8,0,21,37,91,2023-2024,premier-league
neal maupay,everton,FW,1996,2,1,111,0,0,0,0,1,0,6,2023-2024,premier-league
konstantinos mavropanos,west ham,DF,1997,19,16,1500,1,0,2,0,10,38,2,2023-2024,premier-league
