"comp_name","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url","Season"
"Ligue 2","France",2024,"Montpellier HSC","14","Othmane Maamma","Right Winger",NA,19,"Morocco","Watford FC","1.82","both",NA,"Montpellier HSC B",NA,6e+05,"https://www.transfermarkt.com/othmane-maamma/profil/spieler/1081219","2024-2025"
"Ligue 2","France",2024,"Montpellier HSC","-","Axel Guéguin","Right Winger",NA,20,"France","Montpellier HSC","1.72","left",NA,"Montpellier HSC B",NA,3e+05,"https://www.transfermarkt.com/axel-gueguin/profil/spieler/981977","2024-2025"
"Ligue 2","France",2024,"Montpellier HSC","-","Akor Adams","Centre-Forward",NA,25,"Nigeria","Sevilla FC","1.9","right",NA,"Lillestrøm SK",NA,5e+06,"https://www.transfermarkt.com/akor-adams/profil/spieler/607034","2024-2025"
"Ligue 2","France",2024,"Montpellier HSC","9","Andy Delort","Centre-Forward",NA,33,"Algeria","MC Algiers","1.81","right",NA,"MC Algiers",NA,1500000,"https://www.transfermarkt.com/andy-delort/profil/spieler/122797","2024-2025"
"Ligue 2","France",2024,"Montpellier HSC","-","Yanis Issoufou","Centre-Forward",NA,18,"France","Montpellier HSC","1.82","left",NA,"Montpellier HSC B",NA,2e+05,"https://www.transfermarkt.com/yanis-issoufou/profil/spieler/1047104","2024-2025"
"Ligue 2","France",2024,"Montpellier HSC","41","Junior Ndiaye","Centre-Forward",NA,20,"United Arab Emirates","Montpellier HSC","1.8","left",NA,"Montpellier HSC B",NA,150000,"https://www.transfermarkt.com/junior-ndiaye/profil/spieler/986262","2024-2025"
"Ligue 2","France",2024,"Montpellier HSC","28","Glenn Ngosso","Centre-Forward",NA,21,"Cameroon","Montpellier HSC",NA," ",NA,"Montpellier HSC B",NA,NA,"https://www.transfermarkt.com/glenn-ngosso/profil/spieler/1238800","2024-2025"
"Ligue 1","France",2024,"Angers SCO","30","Yahia Fofana","Goalkeeper",NA,24,"Cote d'Ivoire","Angers SCO","1.94","right",NA,"Le Havre AC",NA,7e+06,"https://www.transfermarkt.com/yahia-fofana/profil/spieler/418651","2024-2025"
"Ligue 1","France",2024,"Angers SCO","16","Melvin Zinga","Goalkeeper",NA,23,"Congo","Angers SCO","1.87","left",NA,"Angers SCO B",NA,3e+05,"https://www.transfermarkt.com/melvin-zinga/profil/spieler/548347","2024-2025"
"Ligue 1","France",2024,"Angers SCO","40","Oumar Pona","Goalkeeper",NA,19,"Mali","Angers SCO","1.89","right",NA,"Angers SCO B",NA,NA,"https://www.transfermarkt.com/oumar-pona/profil/spieler/1073176","2024-2025"
"Ligue 1","France",2024,"Angers SCO","24","Emmanuel Biumla","Centre-Back",NA,20,"France","Angers SCO","1.85","right",NA,"FC Girondins Bordeaux",NA,4e+06,"https://www.transfermarkt.com/emmanuel-biumla/profil/spieler/1071956","2024-2025"
"Ligue 1","France",2024,"Angers SCO","21","Jordan Lefort","Centre-Back",NA,31,"France","Angers SCO","1.84","left",NA,"Paris FC",NA,1500000,"https://www.transfermarkt.com/jordan-lefort/profil/spieler/192492","2024-2025"
"Ligue 1","France",2024,"Angers SCO","22","Cédric Hountondji","Centre-Back",NA,31,"Benin","Bandirmaspor","1.94","right",NA,"Clermont Foot 63",NA,1200000,"https://www.transfermarkt.com/cedric-hountondji/profil/spieler/198709","2024-2025"
"Ligue 1","France",2024,"Angers SCO","29","Ousmane Camara","Centre-Back",NA,22,"Mali","Angers SCO","1.97","right",NA,"Paris FC",NA,4e+05,"https://www.transfermarkt.com/ousmane-camara/profil/spieler/804711","2024-2025"
