Player,Squad,Liga,Season,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle
omar el hilali,Espanyol,La-Liga,2024-2025,869,935,208,5,1992,29,0.586,7,0.24100000000000002,2372,21,2,21,7
roger hinojo,Espanyol,La-Liga,2024-2025,3,2,6,0,11,0,,0,,23,0,0,0,0
dinko horkas,Las Palmas,La-Liga,2024-2025,538,22,0,0,560,1,1.0,0,0.0,929,0,0,0,0
pablo ibanez,Osasuna,La-Liga,2024-2025,109,391,185,31,673,27,0.48100000000000004,10,0.37,985,20,3,20,16
stanis idumbo,Sevilla,La-Liga,2024-2025,26,54,55,6,130,19,0.474,9,0.474,332,5,4,12,11
iglesias,Getafe,La-Liga,2024-2025,471,763,412,15,1627,32,0.406,16,0.5,1355,37,4,36,15
borja iglesias,Celta Vigo,La-Liga,2024-2025,48,362,284,83,685,32,0.344,18,0.563,536,13,13,62,32
kelechi iheanacho,Sevilla,La-Liga,2024-2025,9,50,49,14,108,4,0.5,2,0.5,126,3,2,10,4
isco,Betis,La-Liga,2024-2025,96,663,638,68,1375,59,0.45799999999999996,28,0.475,2047,54,5,54,27
diego iturralde,Sevilla,La-Liga,2024-2025,6,5,5,1,16,1,0.0,1,1.0,3,0,0,2,0
ivan jaime pajuelo,Valencia,La-Liga,2024-2025,11,57,86,13,149,16,0.313,7,0.43799999999999994,303,8,2,13,7
karl jakob hein,Valladolid,La-Liga,2024-2025,1237,17,0,0,1254,0,,0,,1987,0,0,3,0
adnan januzaj,Las Palmas,La-Liga,2024-2025,31,218,216,15,459,38,0.368,22,0.579,781,14,5,31,9
mikel jauregizar,Athletic Club,La-Liga,2024-2025,276,847,306,12,1418,42,0.47600000000000003,16,0.381,1261,25,1,35,23
john joe,Getafe,La-Liga,2024-2025,5,10,18,1,33,5,0.4,3,0.6,47,1,0,4,1
jofre,Espanyol,La-Liga,2024-2025,137,334,384,71,839,112,0.348,59,0.527,2141,51,27,64,40
frenkie de jong,Barcelona,La-Liga,2024-2025,137,821,271,13,1226,8,0.625,3,0.375,2630,38,1,5,7
joan jordan,Alavés,La-Liga,2024-2025,130,598,321,11,1034,7,0.857,1,0.14300000000000002,845,19,1,16,7
juanmi,Getafe,La-Liga,2024-2025,23,107,92,20,220,10,0.4,6,0.6,186,5,1,27,8
juanmi,Betis,La-Liga,2024-2025,23,46,41,14,109,8,0.5,3,0.375,101,1,2,7,4
juanpe,Girona,La-Liga,2024-2025,368,293,18,1,676,0,,0,,1031,4,0,3,1
luiz lucio reis junior,Villarreal,La-Liga,2024-2025,535,7,0,0,542,0,,0,,993,0,0,1,0
vinicius junior,Real Madrid,La-Liga,2024-2025,75,378,839,199,1261,191,0.429,95,0.49700000000000005,4525,87,106,72,49
stanko juric,Valladolid,La-Liga,2024-2025,423,505,65,10,981,10,0.6,4,0.4,789,6,2,21,14
willy kambwala,Villarreal,La-Liga,2024-2025,431,262,17,6,706,5,1.0,0,0.0,846,2,1,9,5
abdoulaye keita,Getafe,La-Liga,2024-2025,10,19,12,1,41,3,0.33299999999999996,2,0.667,24,0,0,3,3
kenedy,Valladolid,La-Liga,2024-2025,0,1,4,2,5,1,0.0,1,1.0,4,0,0,0,1
kike,Alavés,La-Liga,2024-2025,70,404,433,120,891,35,0.371,20,0.5710000000000001,739,18,10,98,42
koke,Atlético Madrid,La-Liga,2024-2025,455,1075,313,10,1829,22,0.409,11,0.5,2255,21,0,15,8
jules kounde,Barcelona,La-Liga,2024-2025,567,1194,706,79,2453,50,0.44,27,0.54,2501,42,7,41,13
alex kral,Espanyol,La-Liga,2024-2025,278,646,253,45,1155,55,0.527,21,0.382,1902,33,7,52,29
ladislav krejci,Girona,La-Liga,2024-2025,1089,1175,106,28,2351,12,0.583,4,0.33299999999999996,5129,18,1,15,8
takefusa kubo,Real Sociedad,La-Liga,2024-2025,126,537,703,118,1341,157,0.478,66,0.42,3647,63,57,89,48
marash kumbulla,Espanyol,La-Liga,2024-2025,1149,653,51,24,1845,8,0.5,2,0.25,2892,11,0,14,1
luca de la torre,Celta Vigo,La-Liga,2024-2025,0,8,0,0,8,1,0.0,1,1.0,24,0,0,0,0
yoel lago,Celta Vigo,La-Liga,2024-2025,274,205,10,2,487,5,0.6,1,0.2,776,3,0,5,1
cyle larin,Mallorca,La-Liga,2024-2025,55,266,247,72,560,30,0.267,20,0.667,550,18,9,72,58
juanmi latasa,Valladolid,La-Liga,2024-2025,28,202,163,74,390,15,0.5329999999999999,6,0.4,126,3,0,31,18
toni lato,Mallorca,La-Liga,2024-2025,121,159,119,3,396,4,0.0,4,1.0,434,9,1,6,2
robin le normand,Atlético Madrid,La-Liga,2024-2025,805,677,44,19,1523,4,0.5,2,0.5,2052,7,0,14,6
florian lejeune,Rayo Vallecano,La-Liga,2024-2025,1336,1051,111,38,2486,6,0.667,1,0.16699999999999998,4056,13,1,17,4
inigo lekue,Athletic Club,La-Liga,2024-2025,157,258,108,4,521,14,0.429,8,0.5710000000000001,515,6,1,5,5
thomas lemar,Atlético Madrid,La-Liga,2024-2025,8,33,37,1,78,3,0.0,2,0.667,54,4,0,1,1
clement lenglet,Atlético Madrid,La-Liga,2024-2025,834,695,58,17,1583,3,1.0,0,0.0,3593,16,0,8,3
robert lewandowski,Barcelona,La-Liga,2024-2025,59,314,475,179,837,35,0.5710000000000001,13,0.371,589,11,16,75,45
samuel lino,Atlético Madrid,La-Liga,2024-2025,203,420,429,75,1038,56,0.48200000000000004,26,0.46399999999999997,2274,49,25,31,18
javier llabres,Mallorca,La-Liga,2024-2025,6,9,14,0,29,0,,0,,69,2,0,1,2
diego llorente,Betis,La-Liga,2024-2025,1048,825,48,22,1915,9,0.667,2,0.222,3118,8,1,11,4
marcos llorente,Atlético Madrid,La-Liga,2024-2025,546,791,487,58,1808,30,0.467,13,0.433,3070,51,15,29,9
giovani lo celso,Betis,La-Liga,2024-2025,114,558,506,53,1164,55,0.382,27,0.491,1450,31,9,38,31
enzo loiodice,Las Palmas,La-Liga,2024-2025,98,359,77,4,532,13,0.308,8,0.615,432,6,1,11,12
david lopez,Mallorca,La-Liga,2024-2025,38,30,3,0,71,0,,0,,86,1,0,1,0
david lopez,Girona,La-Liga,2024-2025,1059,1133,76,17,2263,9,0.667,2,0.222,4714,20,0,11,7
diego lopez,Valencia,La-Liga,2024-2025,132,510,634,100,1257,77,0.299,51,0.662,2026,51,24,71,27
fer lopez,Celta Vigo,La-Liga,2024-2025,37,162,174,32,365,34,0.529,13,0.382,867,20,7,33,20
fermin lopez,Barcelona,La-Liga,2024-2025,58,366,441,59,858,55,0.455,26,0.473,1137,22,12,36,16
javi lopez,Real Sociedad,La-Liga,2024-2025,379,567,316,12,1247,39,0.462,18,0.462,1360,29,4,24,22
pau lopez,Girona,La-Liga,2024-2025,26,0,0,0,26,0,,0,,31,0,0,0,0
roberto lopez,Leganés,La-Liga,2024-2025,42,130,72,2,242,4,0.5,2,0.5,243,3,0,6,5
unai lopez,Rayo Vallecano,La-Liga,2024-2025,327,813,281,20,1410,23,0.652,4,0.174,1458,23,3,24,19
iker losada,Celta Vigo,La-Liga,2024-2025,21,78,66,15,162,5,0.4,3,0.6,280,5,4,9,3
iker losada,Betis,La-Liga,2024-2025,30,73,80,6,180,6,0.33299999999999996,4,0.667,294,6,1,6,5
pol lozano,Espanyol,La-Liga,2024-2025,288,594,157,1,1026,19,0.263,12,0.632,1302,12,0,18,15
jose luis gaya,Valencia,La-Liga,2024-2025,346,500,362,18,1202,20,0.35,11,0.55,1236,27,4,16,4
dodi lukebakio,Sevilla,La-Liga,2024-2025,147,552,818,145,1493,167,0.503,75,0.449,3565,83,65,117,57
daniel luna,Mallorca,La-Liga,2024-2025,0,5,12,1,17,3,0.33299999999999996,1,0.33299999999999996,15,0,1,0,0
andriy lunin,Real Madrid,La-Liga,2024-2025,208,1,0,0,209,0,,0,,212,0,0,0,0
darwin machis,Valladolid,La-Liga,2024-2025,57,143,137,6,334,20,0.25,12,0.6,588,15,1,5,4
pablo maffeo,Mallorca,La-Liga,2024-2025,442,558,416,20,1389,85,0.47100000000000003,34,0.4,1777,44,7,46,32
jon magunazelaia,Real Sociedad,La-Liga,2024-2025,5,9,4,0,16,0,,0,,9,0,0,0,0
giorgi mamardashvili,Valencia,La-Liga,2024-2025,1155,8,0,0,1163,0,,0,,1452,0,0,0,0
reinildo mandava,Atlético Madrid,La-Liga,2024-2025,290,326,103,8,717,18,0.222,9,0.5,853,15,2,8,4
