Player,Squad,Liga,Season,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err
yan diomande,Leganés,La-Liga,2024-2025,1,8,5,0.33299999999999996,5,9,8,8,0,8,6,0
alvaro djalo,Athletic Club,La-Liga,2024-2025,3,2,3,0.33299999999999996,1,5,1,4,0,4,4,0
djene,Getafe,La-Liga,2024-2025,12,11,2,0.375,12,13,21,18,8,10,107,3
marko dmitrovic,Leganés,La-Liga,2024-2025,1,0,0,0.5,1,1,0,0,0,0,27,3
marc domenech,Mallorca,La-Liga,2024-2025,2,1,1,0.4,2,4,0,2,0,2,2,0
carlos dominguez,Celta Vigo,La-Liga,2024-2025,14,9,0,0.7140000000000001,15,11,13,16,11,5,80,1
israel dominguez,Sevilla,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,0,0
sergi dominguez,Barcelona,La-Liga,2024-2025,1,0,0,,0,1,3,0,0,0,7,0
anastasios douvikas,Celta Vigo,La-Liga,2024-2025,2,6,1,0.5,3,4,3,5,2,3,6,0
domingos duarte,Getafe,La-Liga,2024-2025,22,4,2,0.81,17,15,18,28,16,12,152,1
duk,Leganés,La-Liga,2024-2025,3,3,2,0.6,3,4,1,4,0,4,2,0
pablo duran,Celta Vigo,La-Liga,2024-2025,4,7,6,0.313,5,9,8,12,3,9,18,0
hugo duro,Valencia,La-Liga,2024-2025,4,7,2,0.385,5,8,10,11,2,9,11,0
chidera ejuke,Sevilla,La-Liga,2024-2025,8,9,2,0.45,9,13,5,12,0,12,8,0
aritz elustondo,Real Sociedad,La-Liga,2024-2025,15,3,2,0.579,11,11,11,17,12,5,96,0
adri embarba,Rayo Vallecano,La-Liga,2024-2025,17,17,7,0.38299999999999995,18,20,13,18,1,17,14,2
endrick,Real Madrid,La-Liga,2024-2025,1,0,0,0.33299999999999996,1,1,4,0,0,0,1,0
alfonso espino,Rayo Vallecano,La-Liga,2024-2025,31,8,2,0.5529999999999999,26,24,12,19,6,13,32,1
dario essugo,Las Palmas,La-Liga,2024-2025,28,26,5,0.609,28,45,42,28,11,17,47,7
etienne etoo,Rayo Vallecano,La-Liga,2024-2025,0,0,0,0.0,0,0,0,0,0,0,1,0
karl etta,Villarreal,La-Liga,2024-2025,0,0,0,0.0,0,0,0,1,0,1,0,0
edu exposito,Espanyol,La-Liga,2024-2025,9,13,1,0.391,9,13,15,3,0,3,21,2
abde ezzalzouli,Betis,La-Liga,2024-2025,17,16,4,0.556,15,25,7,22,3,19,19,0
ansu fati,Barcelona,La-Liga,2024-2025,0,2,2,0.5,1,1,1,1,0,1,0,1
nabil fekir,Betis,La-Liga,2024-2025,1,1,1,0.5,1,2,0,2,0,2,0,0
kiko femenia,Villarreal,La-Liga,2024-2025,34,14,2,0.579,33,34,40,21,10,11,62,3
aitor fernandez,Osasuna,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,2,0
alvaro fernandez,Sevilla,La-Liga,2024-2025,0,0,0,0.0,0,0,0,0,0,0,7,0
pelayo fernandez,Rayo Vallecano,La-Liga,2024-2025,0,0,0,,0,0,2,0,0,0,9,0
roberto fernandez,Espanyol,La-Liga,2024-2025,2,1,1,0.0,0,4,3,9,1,8,26,0
valery fernandez,Mallorca,La-Liga,2024-2025,3,2,3,0.7140000000000001,5,7,0,3,1,2,1,0
andre ferreira,Valladolid,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,4,2
mateo flores,Betis,La-Liga,2024-2025,3,0,0,1.0,1,1,2,1,0,1,3,0
pablo fornals,Betis,La-Liga,2024-2025,12,6,3,0.33299999999999996,10,13,23,24,4,20,15,1
hector fort,Barcelona,La-Liga,2024-2025,6,4,3,0.625,10,8,6,12,0,12,16,0
dimitri foulquier,Valencia,La-Liga,2024-2025,29,13,6,0.667,24,31,16,21,5,16,86,1
juan foyth,Villarreal,La-Liga,2024-2025,15,6,4,0.688,11,15,19,26,17,9,119,3
fran,Real Madrid,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,2,0
alejandro frances,Girona,La-Liga,2024-2025,22,13,1,0.7,28,24,17,17,8,9,52,0
enric franquesa,Leganés,La-Liga,2024-2025,9,6,2,0.6920000000000001,9,9,5,7,1,6,12,0
jorge de frutos,Rayo Vallecano,La-Liga,2024-2025,16,13,8,0.304,14,21,19,22,0,22,24,1
dario fuentes,Sevilla,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,0,0
manuel fuster,Las Palmas,La-Liga,2024-2025,5,8,6,0.536,15,11,4,13,3,10,17,0
javi galan,Atlético Madrid,La-Liga,2024-2025,31,15,5,0.51,25,31,12,13,3,10,47,0
inigo ruiz de galarreta,Athletic Club,La-Liga,2024-2025,11,17,8,0.645,20,22,16,11,4,7,14,2
conor gallagher,Atlético Madrid,La-Liga,2024-2025,16,19,10,0.449,22,32,20,23,5,18,23,0
facundo garces,Alavés,La-Liga,2024-2025,4,2,0,0.6,3,2,5,8,6,2,51,0
alvaro garcia,Rayo Vallecano,La-Liga,2024-2025,19,8,6,0.387,12,24,32,31,0,31,42,1
eric garcia,Barcelona,La-Liga,2024-2025,11,24,3,0.69,20,21,14,24,8,16,41,0
fran garcia,Real Madrid,La-Liga,2024-2025,29,16,6,0.5489999999999999,28,36,28,27,5,22,67,1
gonzalo garcia,Real Madrid,La-Liga,2024-2025,0,0,0,,0,0,0,1,0,1,0,0
joan garcia,Espanyol,La-Liga,2024-2025,0,0,0,0.0,0,0,0,1,0,1,18,4
pablo garcia,Betis,La-Liga,2024-2025,0,0,0,,0,0,0,1,0,1,0,0
ruben garcia,Osasuna,La-Liga,2024-2025,20,21,11,0.433,26,31,15,37,3,34,34,1
unai garcia,Osasuna,La-Liga,2024-2025,0,0,0,,0,0,0,1,0,1,1,0
yarek gasiorowski,Valencia,La-Liga,2024-2025,16,3,0,0.6920000000000001,9,16,26,17,6,11,60,0
gavi,Barcelona,La-Liga,2024-2025,10,15,5,0.5770000000000001,15,21,10,14,1,13,7,0
paulo gazzaniga,Girona,La-Liga,2024-2025,1,0,0,1.0,1,1,0,1,0,1,17,3
bryan gil,Girona,La-Liga,2024-2025,10,15,9,0.467,14,20,10,24,0,24,9,4
dani gomez,Valencia,La-Liga,2024-2025,0,0,3,,0,2,2,1,0,1,4,0
moi gomez,Osasuna,La-Liga,2024-2025,4,7,2,0.5,4,9,6,5,2,3,7,1
sergi gomez,Espanyol,La-Liga,2024-2025,7,1,0,0.667,2,5,7,12,8,4,38,0
sergio gomez,Real Sociedad,La-Liga,2024-2025,30,29,12,0.536,30,39,19,44,3,41,30,2
unai gomez,Athletic Club,La-Liga,2024-2025,3,7,2,0.5710000000000001,4,8,2,13,1,12,15,1
fabio gonzalez,Las Palmas,La-Liga,2024-2025,0,0,0,0.0,0,0,0,0,0,0,0,0
peter gonzalez,Getafe,La-Liga,2024-2025,2,5,4,0.667,6,6,2,8,0,8,5,0
urko gonzalez,Espanyol,La-Liga,2024-2025,24,21,1,0.636,28,28,8,27,12,15,39,1
urko gonzalez,Real Sociedad,La-Liga,2024-2025,0,0,0,,0,0,0,1,1,0,0,0
andoni gorosabel,Athletic Club,La-Liga,2024-2025,31,9,7,0.667,30,28,18,18,2,16,62,0
jose gragera,Espanyol,La-Liga,2024-2025,11,14,0,0.529,9,16,5,9,1,8,13,0
dominik greif,Mallorca,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,13,1
antoine griezmann,Atlético Madrid,La-Liga,2024-2025,13,13,4,0.24100000000000002,7,17,6,20,1,19,23,1
florian grillitsch,Valladolid,La-Liga,2024-2025,7,3,1,0.467,7,7,4,12,2,10,5,1
vicente guaita,Celta Vigo,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,21,3
sergi guardiola,Rayo Vallecano,La-Liga,2024-2025,0,5,0,0.667,2,3,1,1,0,1,2,0
nemanja gudelj,Sevilla,La-Liga,2024-2025,16,22,4,0.6,21,24,27,27,10,17,94,1
javier guerra,Valencia,La-Liga,2024-2025,18,21,11,0.46399999999999997,26,27,20,15,3,12,49,3
ander guevara,Alavés,La-Liga,2024-2025,19,29,1,0.41700000000000004,20,30,14,21,5,16,43,1
pape gueye,Villarreal,La-Liga,2024-2025,23,23,8,0.69,20,26,27,31,13,18,53,2
hugo guillamon,Valencia,La-Liga,2024-2025,1,9,1,0.9,9,8,5,4,1,3,9,1
carlos guirao,Betis,La-Liga,2024-2025,1,4,0,0.667,4,3,3,1,1,0,2,0
arda guler,Real Madrid,La-Liga,2024-2025,11,8,11,0.409,9,16,7,18,0,18,8,0
gerard gumbau,Rayo Vallecano,La-Liga,2024-2025,8,7,2,0.467,7,12,5,13,4,9,13,0
jon guridi,Alavés,La-Liga,2024-2025,7,26,7,0.409,18,22,14,19,1,18,16,0
gorka guruzeta,Athletic Club,La-Liga,2024-2025,1,13,2,0.226,7,8,9,28,4,24,23,0
miguel gutierrez,Girona,La-Liga,2024-2025,18,16,3,0.45899999999999996,17,24,16,17,7,10,34,3
munir el haddadi,Leganés,La-Liga,2024-2025,5,4,3,0.25,3,9,1,8,1,7,1,1
sebastien haller,Leganés,La-Liga,2024-2025,1,0,1,0.5,1,0,0,1,0,1,7,0
henrique,Valladolid,La-Liga,2024-2025,3,2,1,0.25,1,2,3,5,0,5,12,0
javi hernandez,Leganés,La-Liga,2024-2025,16,7,3,0.37,17,15,23,25,5,20,98,0
aridane hernandez,Rayo Vallecano,La-Liga,2024-2025,9,4,0,0.75,6,11,6,10,8,2,99,2
jorge herrando,Osasuna,La-Liga,2024-2025,9,5,3,0.6,9,11,12,20,14,6,65,2
ander herrera,Athletic Club,La-Liga,2024-2025,1,7,0,0.5,3,4,2,1,0,1,10,0
sergio herrera,Osasuna,La-Liga,2024-2025,2,0,0,0.33299999999999996,2,1,0,1,0,1,29,1
yangel herrera,Girona,La-Liga,2024-2025,31,27,8,0.508,30,39,31,24,8,16,50,2
juan herzog,Las Palmas,La-Liga,2024-2025,12,0,0,0.563,9,12,18,17,11,6,86,0
omar el hilali,Espanyol,La-Liga,2024-2025,81,24,6,0.674,64,79,46,53,13,40,145,2
roger hinojo,Espanyol,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,1,0
dinko horkas,Las Palmas,La-Liga,2024-2025,0,0,0,,0,0,0,0,0,0,9,1
