Player,Liga,Pos,Squad,Height,Value
dan burn,Premier League,Centre-Back,Newcastle United,2.01,6000000.0
jamaal lascelles,Premier League,Centre-Back,Newcastle United,1.88,4000000.0
lewis hall,Premier League,Left-Back,Newcastle United,1.79,32000000.0
matt targett,Premier League,Left-Back,Newcastle United,1.83,5000000.0
jamal lewis,Premier League,Left-Back,Newcastle United,1.78,2500000.0
alex murphy,Premier League,Left-Back,Newcastle United,1.88,300000.0
tino livramento,Premier League,Right-Back,Newcastle United,1.82,40000000.0
kieran trippier,Premier League,Right-Back,Newcastle United,1.73,4000000.0
emil krafth,Premier League,Right-Back,Newcastle United,1.84,2000000.0
harrison ashby,Premier League,Right-Back,Newcastle United,1.79,1400000.0
leo shahar,Premier League,Right-Back,Newcastle United,,
bruno guimaraes,Premier League,Defensive Midfield,Newcastle United,1.82,80000000.0
isaac hayden,Premier League,Defensive Midfield,Newcastle United,1.87,700000.0
sandro tonali,Premier League,Central Midfield,Newcastle United,1.81,60000000.0
joelinton,Premier League,Central Midfield,Newcastle United,1.86,35000000.0
joe willock,Premier League,Central Midfield,Newcastle United,1.86,22000000.0
lewis miley,Premier League,Central Midfield,Newcastle United,1.89,22000000.0
sean longstaff,Premier League,Central Midfield,Newcastle United,1.87,20000000.0
joe white,Premier League,Attacking Midfield,Newcastle United,1.86,275000.0
anthony gordon,Premier League,Left Winger,Newcastle United,1.83,65000000.0
harvey barnes,Premier League,Left Winger,Newcastle United,1.82,35000000.0
trevan sanusi,Premier League,Left Winger,Newcastle United,,
jacob murphy,Premier League,Right Winger,Newcastle United,1.79,16000000.0
miguel almiron,Premier League,Right Winger,Newcastle United,1.74,10000000.0
alexander isak,Premier League,Centre-Forward,Newcastle United,1.92,120000000.0
callum wilson,Premier League,Centre-Forward,Newcastle United,1.8,8000000.0
william osula,Premier League,Centre-Forward,Newcastle United,1.91,7000000.0
sean neave,Premier League,Centre-Forward,Newcastle United,1.84,
bart verbruggen,Premier League,Goalkeeper,Brighton & Hove Albion,1.94,30000000.0
carl rushworth,Premier League,Goalkeeper,Brighton & Hove Albion,1.91,3000000.0
jason steele,Premier League,Goalkeeper,Brighton & Hove Albion,1.88,1500000.0
tom mcgill,Premier League,Goalkeeper,Brighton & Hove Albion,1.85,600000.0
killian cahill,Premier League,Goalkeeper,Brighton & Hove Albion,,150000.0
jan paul van hecke,Premier League,Centre-Back,Brighton & Hove Albion,1.89,32000000.0
igor,Premier League,Centre-Back,Brighton & Hove Albion,1.88,20000000.0
adam webster,Premier League,Centre-Back,Brighton & Hove Albion,1.9,11000000.0
eiran cashin,Premier League,Centre-Back,Brighton & Hove Albion,1.84,8000000.0
lewis dunk,Premier League,Centre-Back,Brighton & Hove Albion,1.92,6000000.0
ruairi mcconville,Premier League,Centre-Back,Brighton & Hove Albion,1.93,1800000.0
ed turns,Premier League,Centre-Back,Brighton & Hove Albion,1.86,350000.0
freddie simmonds,Premier League,Centre-Back,Brighton & Hove Albion,,
pervis estupinan,Premier League,Left-Back,Brighton & Hove Albion,1.75,30000000.0
ferdi kadoglu,Premier League,Left-Back,Brighton & Hove Albion,1.74,25000000.0
jacob slater,Premier League,Left-Back,Brighton & Hove Albion,,200000.0
imari samuels,Premier League,Left-Back,Brighton & Hove Albion,1.87,100000.0
tariq lamptey,Premier League,Right-Back,Brighton & Hove Albion,1.63,11000000.0
joel veltman,Premier League,Right-Back,Brighton & Hove Albion,1.84,4000000.0
odeluga offiah,Premier League,Right-Back,Brighton & Hove Albion,1.87,600000.0
charlie tasker,Premier League,Right-Back,Brighton & Hove Albion,,200000.0
carlos baleba,Premier League,Defensive Midfield,Brighton & Hove Albion,1.79,40000000.0
mats wieffer,Premier League,Defensive Midfield,Brighton & Hove Albion,1.88,25000000.0
jack hinshelwood,Premier League,Defensive Midfield,Brighton & Hove Albion,1.82,24000000.0
billy gilmour,Premier League,Defensive Midfield,Brighton & Hove Albion,1.7,20000000.0
yasin ayari,Premier League,Central Midfield,Brighton & Hove Albion,1.72,22000000.0
matt oriley,Premier League,Central Midfield,Brighton & Hove Albion,1.89,22000000.0
malick yalcouye,Premier League,Central Midfield,Brighton & Hove Albion,1.69,17000000.0
diego gomez,Premier League,Central Midfield,Brighton & Hove Albion,1.85,14000000.0
jakub moder,Premier League,Central Midfield,Brighton & Hove Albion,1.91,12000000.0
valentin barco,Premier League,Central Midfield,Brighton & Hove Albion,1.7,12000000.0
james milner,Premier League,Central Midfield,Brighton & Hove Albion,1.75,1000000.0
jensen weir,Premier League,Central Midfield,Brighton & Hove Albion,1.84,350000.0
joe knight,Premier League,Central Midfield,Brighton & Hove Albion,,
julio enciso,Premier League,Attacking Midfield,Brighton & Hove Albion,1.73,22000000.0
harry howell,Premier League,Attacking Midfield,Brighton & Hove Albion,,
kaoru mitoma,Premier League,Left Winger,Brighton & Hove Albion,1.78,40000000.0
simon adingra,Premier League,Left Winger,Brighton & Hove Albion,1.75,28000000.0
jeremy sarmiento,Premier League,Left Winger,Brighton & Hove Albion,1.78,7000000.0
cameron peupion,Premier League,Left Winger,Brighton & Hove Albion,1.75,225000.0
yankuba minteh,Premier League,Right Winger,Brighton & Hove Albion,1.8,30000000.0
brajan gruda,Premier League,Right Winger,Brighton & Hove Albion,1.78,25000000.0
solly march,Premier League,Right Winger,Brighton & Hove Albion,1.8,6000000.0
amario cozierduberry,Premier League,Right Winger,Brighton & Hove Albion,1.7,2000000.0
joao pedro,Premier League,Centre-Forward,Brighton & Hove Albion,1.82,50000000.0
georginio rutter,Premier League,Centre-Forward,Brighton & Hove Albion,1.82,32000000.0
evan ferguson,Premier League,Centre-Forward,Brighton & Hove Albion,1.88,25000000.0
danny welbeck,Premier League,Centre-Forward,Brighton & Hove Albion,1.85,5000000.0
mark omahony,Premier League,Centre-Forward,Brighton & Hove Albion,1.82,500000.0
dean henderson,Premier League,Goalkeeper,Crystal Palace,1.88,20000000.0
sam johnstone,Premier League,Goalkeeper,Crystal Palace,1.93,6000000.0
matt turner,Premier League,Goalkeeper,Crystal Palace,1.91,2500000.0
joe whitworth,Premier League,Goalkeeper,Crystal Palace,1.79,1700000.0
remi matthews,Premier League,Goalkeeper,Crystal Palace,1.92,400000.0
marc guehi,Premier League,Centre-Back,Crystal Palace,1.82,45000000.0
joachim andersen,Premier League,Centre-Back,Crystal Palace,1.92,27000000.0
trevoh chalobah,Premier League,Centre-Back,Crystal Palace,1.92,25000000.0
maxence lacroix,Premier League,Centre-Back,Crystal Palace,1.9,25000000.0
chadi riad,Premier League,Centre-Back,Crystal Palace,1.87,15000000.0
chris richards,Premier League,Centre-Back,Crystal Palace,1.88,14000000.0
rob holding,Premier League,Centre-Back,Crystal Palace,1.89,3500000.0
tyrick mitchell,Premier League,Left-Back,Crystal Palace,1.81,25000000.0
ben chilwell,Premier League,Left-Back,Crystal Palace,1.8,15000000.0
daniel munoz,Premier League,Right-Back,Crystal Palace,1.81,25000000.0
nathaniel clyne,Premier League,Right-Back,Crystal Palace,1.75,1000000.0
caleb kporha,Premier League,Right-Back,Crystal Palace,,1000000.0
joel ward,Premier League,Right-Back,Crystal Palace,1.86,500000.0
adam wharton,Premier League,Defensive Midfield,Crystal Palace,1.82,45000000.0
cheick doucoure,Premier League,Defensive Midfield,Crystal Palace,1.8,25000000.0
jefferson lerma,Premier League,Defensive Midfield,Crystal Palace,1.79,10000000.0
david ozoh,Premier League,Defensive Midfield,Crystal Palace,1.89,700000.0
kaden rodney,Premier League,Defensive Midfield,Crystal Palace,1.89,200000.0
will hughes,Premier League,Central Midfield,Crystal Palace,1.85,7000000.0
justin devenny,Premier League,Central Midfield,Crystal Palace,1.84,6000000.0
naouirou ahamada,Premier League,Central Midfield,Crystal Palace,1.83,3500000.0
jeffrey schlupp,Premier League,Left Midfield,Crystal Palace,1.78,3000000.0
eberechi eze,Premier League,Attacking Midfield,Crystal Palace,1.78,55000000.0
daichi kamada,Premier League,Attacking Midfield,Crystal Palace,1.8,12000000.0
matheus franca,Premier League,Attacking Midfield,Crystal Palace,1.84,10000000.0
asher agbinone,Premier League,Left Winger,Crystal Palace,1.78,75000.0
ismaila sarr,Premier League,Right Winger,Crystal Palace,1.85,25000000.0
romain esse,Premier League,Right Winger,Crystal Palace,1.78,12000000.0
jordan ayew,Premier League,Right Winger,Crystal Palace,1.82,2500000.0
malcolm ebiowei,Premier League,Right Winger,Crystal Palace,1.85,1200000.0
franco umehchibueze,Premier League,Right Winger,Crystal Palace,,75000.0
jeanphilippe mateta,Premier League,Centre-Forward,Crystal Palace,1.92,30000000.0
eddie nketiah,Premier League,Centre-Forward,Crystal Palace,1.75,18000000.0
odsonne edouard,Premier League,Centre-Forward,Crystal Palace,1.87,8000000.0
zach marsh,Premier League,Centre-Forward,Crystal Palace,,
kepa arrizabalaga,Premier League,Goalkeeper,AFC Bournemouth,1.88,10000000.0
mark travers,Premier League,Goalkeeper,AFC Bournemouth,1.91,4000000.0
neto,Premier League,Goalkeeper,AFC Bournemouth,1.9,1500000.0
callan mckenna,Premier League,Goalkeeper,AFC Bournemouth,,600000.0
will dennis,Premier League,Goalkeeper,AFC Bournemouth,1.88,350000.0
dean huijsen,Premier League,Centre-Back,AFC Bournemouth,1.97,60000000.0
ilya zabarnyi,Premier League,Centre-Back,AFC Bournemouth,1.89,42000000.0
marcos senesi,Premier League,Centre-Back,AFC Bournemouth,1.85,22000000.0
chris mepham,Premier League,Centre-Back,AFC Bournemouth,1.9,6000000.0
james hill,Premier League,Centre-Back,AFC Bournemouth,1.84,3000000.0
matai akinmboni,Premier League,Centre-Back,AFC Bournemouth,1.88,1000000.0
max kinsey,Premier League,Centre-Back,AFC Bournemouth,1.84,
milos kerkez,Premier League,Left-Back,AFC Bournemouth,1.8,45000000.0
julio soler,Premier League,Left-Back,AFC Bournemouth,1.75,8000000.0
archie harris,Premier League,Left-Back,AFC Bournemouth,,100000.0
julian araujo,Premier League,Right-Back,AFC Bournemouth,1.76,10000000.0
max aarons,Premier League,Right-Back,AFC Bournemouth,1.77,6000000.0
adam smith,Premier League,Right-Back,AFC Bournemouth,1.74,750000.0
tyler adams,Premier League,Defensive Midfield,AFC Bournemouth,1.75,18000000.0
ryan christie,Premier League,Defensive Midfield,AFC Bournemouth,1.78,10000000.0
ben winterburn,Premier League,Defensive Midfield,AFC Bournemouth,,500000.0
alex scott,Premier League,Central Midfield,AFC Bournemouth,1.78,20000000.0
lewis cook,Premier League,Central Midfield,AFC Bournemouth,1.75,15000000.0
philip billing,Premier League,Central Midfield,AFC Bournemouth,1.93,10000000.0
justin kluivert,Premier League,Attacking Midfield,AFC Bournemouth,1.72,35000000.0
hamed traore,Premier League,Attacking Midfield,AFC Bournemouth,1.77,20000000.0
antoine semenyo,Premier League,Left Winger,AFC Bournemouth,1.85,40000000.0
dango ouattara,Premier League,Left Winger,AFC Bournemouth,1.77,28000000.0
marcus tavernier,Premier League,Left Winger,AFC Bournemouth,1.78,18000000.0
luis sinisterra,Premier League,Left Winger,AFC Bournemouth,1.72,15000000.0
jaidon anthony,Premier League,Left Winger,AFC Bournemouth,1.83,9000000.0
zain silcottduberry,Premier League,Left Winger,AFC Bournemouth,1.77,200000.0
david brooks,Premier League,Right Winger,AFC Bournemouth,1.73,10000000.0
dominic sadi,Premier League,Right Winger,AFC Bournemouth,1.74,150000.0
evanilson,Premier League,Centre-Forward,AFC Bournemouth,1.83,35000000.0
enes unal,Premier League,Centre-Forward,AFC Bournemouth,1.87,10000000.0
daniel jebbison,Premier League,Centre-Forward,AFC Bournemouth,1.9,4000000.0
remy reesdottin,Premier League,Striker,AFC Bournemouth,,300000.0
daniel aduadjei,Premier League,Centre-Forward,AFC Bournemouth,,150000.0
matz sels,Premier League,Goalkeeper,Nottingham Forest,1.88,7000000.0
carlos miguel,Premier League,Goalkeeper,Nottingham Forest,2.04,4000000.0
matt turner,Premier League,Goalkeeper,Nottingham Forest,1.91,2500000.0
wayne hennessey,Premier League,Goalkeeper,Nottingham Forest,1.98,150000.0
murillo,Premier League,Centre-Back,Nottingham Forest,1.8,55000000.0
nikola milenkovic,Premier League,Centre-Back,Nottingham Forest,1.95,35000000.0
morato,Premier League,Centre-Back,Nottingham Forest,1.92,14000000.0
andrew omobamidele,Premier League,Centre-Back,Nottingham Forest,1.88,8000000.0
willy boly,Premier League,Centre-Back,Nottingham Forest,1.95,1500000.0
tyler bindon,Premier League,Centre-Back,Nottingham Forest,1.88,1200000.0
zach abbott,Premier League,Centre-Back,Nottingham Forest,,300000.0
alex moreno,Premier League,Left-Back,Nottingham Forest,1.79,7000000.0
harry toffolo,Premier League,Left-Back,Nottingham Forest,1.83,3000000.0
ola aina,Premier League,Right-Back,Nottingham Forest,1.84,22000000.0
neco williams,Premier League,Right-Back,Nottingham Forest,1.83,20000000.0
eric da silva moreira,Premier League,Right-Back,Nottingham Forest,1.85,1000000.0
danilo,Premier League,Defensive Midfield,Nottingham Forest,1.77,28000000.0
ibrahim sangare,Premier League,Defensive Midfield,Nottingham Forest,1.91,24000000.0
elliot anderson,Premier League,Central Midfield,Nottingham Forest,1.79,32000000.0
nicolas dominguez,Premier League,Central Midfield,Nottingham Forest,1.79,18000000.0
ryan yates,Premier League,Central Midfield,Nottingham Forest,1.9,12000000.0
james wardprowse,Premier League,Central Midfield,Nottingham Forest,1.77,8000000.0
lewis obrien,Premier League,Central Midfield,Nottingham Forest,1.73,4000000.0
ben perry,Premier League,Central Midfield,Nottingham Forest,1.83,150000.0
morgan gibbswhite,Premier League,Attacking Midfield,Nottingham Forest,1.71,50000000.0
callum hudsonodoi,Premier League,Left Winger,Nottingham Forest,1.78,25000000.0
ramon sosa,Premier League,Left Winger,Nottingham Forest,1.79,12000000.0
anthony elanga,Premier League,Right Winger,Nottingham Forest,1.78,42000000.0
jota silva,Premier League,Right Winger,Nottingham Forest,1.79,15000000.0
josh bowler,Premier League,Right Winger,Nottingham Forest,1.84,1000000.0
taiwo awoniyi,Premier League,Centre-Forward,Nottingham Forest,1.83,16000000.0
chris wood,Premier League,Centre-Forward,Nottingham Forest,1.91,10000000.0
emmanuel dennis,Premier League,Centre-Forward,Nottingham Forest,1.75,2500000.0
jose sa,Premier League,Goalkeeper,Wolverhampton Wanderers,1.92,7000000.0
sam johnstone,Premier League,Goalkeeper,Wolverhampton Wanderers,1.93,6000000.0
daniel bentley,Premier League,Goalkeeper,Wolverhampton Wanderers,1.93,1500000.0
tom king,Premier League,Goalkeeper,Wolverhampton Wanderers,1.94,200000.0
toti,Premier League,Centre-Back,Wolverhampton Wanderers,1.87,28000000.0
emmanuel agbadou,Premier League,Centre-Back,Wolverhampton Wanderers,1.92,20000000.0
santiago bueno,Premier League,Centre-Back,Wolverhampton Wanderers,1.9,10000000.0
nasser djiga,Premier League,Centre-Back,Wolverhampton Wanderers,1.92,10000000.0
yerson mosquera,Premier League,Centre-Back,Wolverhampton Wanderers,1.88,8000000.0
bastien meupiyou,Premier League,Centre-Back,Wolverhampton Wanderers,1.91,2500000.0
craig dawson,Premier League,Centre-Back,Wolverhampton Wanderers,1.88,1500000.0
alfie pond,Premier League,Centre-Back,Wolverhampton Wanderers,1.91,250000.0
rayan aitnouri,Premier League,Left-Back,Wolverhampton Wanderers,1.8,35000000.0
rodrigo gomes,Premier League,Right-Back,Wolverhampton Wanderers,1.75,15000000.0
nelson semedo,Premier League,Right-Back,Wolverhampton Wanderers,1.77,9000000.0
pedro lima,Premier League,Right-Back,Wolverhampton Wanderers,1.74,5000000.0
matt doherty,Premier League,Right-Back,Wolverhampton Wanderers,1.85,2000000.0
wesley okoduwa,Premier League,Right-Back,Wolverhampton Wanderers,,
andre,Premier League,Defensive Midfield,Wolverhampton Wanderers,1.76,28000000.0
mario lemina,Premier League,Defensive Midfield,Wolverhampton Wanderers,1.84,7500000.0
boubacar traore,Premier League,Defensive Midfield,Wolverhampton Wanderers,1.83,5000000.0
joe hodge,Premier League,Defensive Midfield,Wolverhampton Wanderers,1.72,1000000.0
luke rawlings,Premier League,Defensive Midfield,Wolverhampton Wanderers,,
joao gomes,Premier League,Central Midfield,Wolverhampton Wanderers,1.76,40000000.0
jeanricner bellegarde,Premier League,Central Midfield,Wolverhampton Wanderers,1.72,18000000.0
marshall munetsi,Premier League,Central Midfield,Wolverhampton Wanderers,1.88,15000000.0
tommy doyle,Premier League,Central Midfield,Wolverhampton Wanderers,1.72,10000000.0
daniel podence,Premier League,Attacking Midfield,Wolverhampton Wanderers,1.7,5500000.0
luke cundle,Premier League,Attacking Midfield,Wolverhampton Wanderers,1.71,3200000.0
chem campbell,Premier League,Attacking Midfield,Wolverhampton Wanderers,1.8,900000.0
tawanda chirewa,Premier League,Attacking Midfield,Wolverhampton Wanderers,1.81,500000.0
goncalo guedes,Premier League,Left Winger,Wolverhampton Wanderers,1.79,11000000.0
carlos forbs,Premier League,Left Winger,Wolverhampton Wanderers,1.69,8000000.0
enso gonzalez,Premier League,Left Winger,Wolverhampton Wanderers,1.69,4000000.0
chiquinho,Premier League,Left Winger,Wolverhampton Wanderers,1.79,2000000.0
pablo sarabia,Premier League,Right Winger,Wolverhampton Wanderers,1.74,5000000.0
tom edozie,Premier League,Right Winger,Wolverhampton Wanderers,1.78,
matheus cunha,Premier League,Second Striker,Wolverhampton Wanderers,1.83,60000000.0
jrgen strand larsen,Premier League,Centre-Forward,Wolverhampton Wanderers,1.93,30000000.0
heechan hwang,Premier League,Centre-Forward,Wolverhampton Wanderers,1.77,12000000.0
sasa kalajdzic,Premier League,Centre-Forward,Wolverhampton Wanderers,2.0,4000000.0
leon chiwome,Premier League,Centre-Forward,Wolverhampton Wanderers,1.86,700000.0
nathan fraser,Premier League,Centre-Forward,Wolverhampton Wanderers,1.88,600000.0
mateus mane,Premier League,Centre-Forward,Wolverhampton Wanderers,,200000.0
mark flekken,Premier League,Goalkeeper,Brentford FC,1.95,10000000.0
hakon valdimarsson,Premier League,Goalkeeper,Brentford FC,1.95,2500000.0
matthew cox,Premier League,Goalkeeper,Brentford FC,1.83,800000.0
ben winterbottom,Premier League,Goalkeeper,Brentford FC,1.88,
julian eyestone,Premier League,Goalkeeper,Brentford FC,2.0,
nathan collins,Premier League,Centre-Back,Brentford FC,1.93,28000000.0
sepp van den berg,Premier League,Centre-Back,Brentford FC,1.92,22000000.0
kristoffer ajer,Premier League,Centre-Back,Brentford FC,1.98,18000000.0
ethan pinnock,Premier League,Centre-Back,Brentford FC,1.94,7000000.0
ben mee,Premier League,Centre-Back,Brentford FC,1.8,700000.0
jisoo kim,Premier League,Centre-Back,Brentford FC,1.92,600000.0
benjamin fredrick,Premier League,Centre-Back,Brentford FC,1.87,150000.0
benjamin arthur,Premier League,Centre-Back,Brentford FC,,
keane lewispotter,Premier League,Left-Back,Brentford FC,1.7,23000000.0
rico henry,Premier League,Left-Back,Brentford FC,1.7,15000000.0
jayden meghoma,Premier League,Left-Back,Brentford FC,1.76,500000.0
michael kayode,Premier League,Right-Back,Brentford FC,1.79,18000000.0
aaron hickey,Premier League,Right-Back,Brentford FC,1.85,10000000.0
mads roerslev,Premier League,Right-Back,Brentford FC,1.84,6000000.0
vitaly janelt,Premier League,Defensive Midfield,Brentford FC,1.84,20000000.0
christian nrgaard,Premier League,Defensive Midfield,Brentford FC,1.87,11000000.0
yunus konak,Premier League,Defensive Midfield,Brentford FC,1.81,4500000.0
yegor yarmolyuk,Premier League,Central Midfield,Brentford FC,1.8,15000000.0
mathias jensen,Premier League,Central Midfield,Brentford FC,1.8,14000000.0
frank onyeka,Premier League,Central Midfield,Brentford FC,1.83,7000000.0
josh dasilva,Premier League,Central Midfield,Brentford FC,1.84,5000000.0
paris maghoma,Premier League,Central Midfield,Brentford FC,1.84,800000.0
ryan trevitt,Premier League,Central Midfield,Brentford FC,1.7,275000.0
mikkel damsgaard,Premier League,Attacking Midfield,Brentford FC,1.8,28000000.0
fabio carvalho,Premier League,Attacking Midfield,Brentford FC,1.7,14000000.0
kevin schade,Premier League,Left Winger,Brentford FC,1.85,30000000.0
gustavo nunes,Premier League,Left Winger,Brentford FC,1.73,10000000.0
myles peartharris,Premier League,Left Winger,Brentford FC,1.87,900000.0
tony yogane,Premier League,Left Winger,Brentford FC,1.78,125000.0
bryan mbeumo,Premier League,Right Winger,Brentford FC,1.71,55000000.0
yoane wissa,Premier League,Centre-Forward,Brentford FC,1.76,32000000.0
igor thiago,Premier League,Centre-Forward,Brentford FC,1.91,18000000.0
iwan morgan,Premier League,Centre-Forward,Brentford FC,,
alphonse areola,Premier League,Goalkeeper,West Ham United,1.95,9000000.0
wes foderingham,Premier League,Goalkeeper,West Ham United,1.85,600000.0
lukasz fabianski,Premier League,Goalkeeper,West Ham United,1.9,500000.0
jeanclair todibo,Premier League,Centre-Back,West Ham United,1.9,25000000.0
maximilian kilman,Premier League,Centre-Back,West Ham United,1.94,25000000.0
konstantinos mavropanos,Premier League,Centre-Back,West Ham United,1.94,17000000.0
kaelan casey,Premier League,Centre-Back,West Ham United,1.85,1000000.0
ezra mayers,Premier League,Centre-Back,West Ham United,1.83,
emerson,Premier League,Left-Back,West Ham United,1.76,10000000.0
oliver scarles,Premier League,Left-Back,West Ham United,1.8,8000000.0
aaron cresswell,Premier League,Left-Back,West Ham United,1.7,500000.0
aaron wanbissaka,Premier League,Right-Back,West Ham United,1.83,24000000.0
vladimir coufal,Premier League,Right-Back,West Ham United,1.74,5000000.0
edson alvarez,Premier League,Defensive Midfield,West Ham United,1.9,25000000.0
tomas soucek,Premier League,Defensive Midfield,West Ham United,1.92,18000000.0
guido rodriguez,Premier League,Defensive Midfield,West Ham United,1.85,10000000.0
carlos soler,Premier League,Central Midfield,West Ham United,1.8,18000000.0
james wardprowse,Premier League,Central Midfield,West Ham United,1.77,8000000.0
andrew irving,Premier League,Central Midfield,West Ham United,1.9,4000000.0
lewis orford,Premier League,Central Midfield,West Ham United,1.82,400000.0
lucas paqueta,Premier League,Attacking Midfield,West Ham United,1.8,28000000.0
crysencio summerville,Premier League,Left Winger,West Ham United,1.74,22000000.0
mohammed kudus,Premier League,Right Winger,West Ham United,1.77,45000000.0
jarrod bowen,Premier League,Right Winger,West Ham United,1.76,40000000.0
luis guilherme,Premier League,Right Winger,West Ham United,1.75,15000000.0
evan ferguson,Premier League,Centre-Forward,West Ham United,1.88,25000000.0
niclas fullkrug,Premier League,Centre-Forward,West Ham United,1.89,10000000.0
danny ings,Premier League,Centre-Forward,West Ham United,1.77,6000000.0
michail antonio,Premier League,Centre-Forward,West Ham United,1.8,700000.0
jordan pickford,Premier League,Goalkeeper,Everton FC,1.85,18000000.0
joao virginia,Premier League,Goalkeeper,Everton FC,1.92,800000.0
asmir begovic,Premier League,Goalkeeper,Everton FC,1.99,250000.0
zan luk leban,Premier League,Goalkeeper,Everton FC,1.88,150000.0
jarrad branthwaite,Premier League,Centre-Back,Everton FC,1.95,50000000.0
jake obrien,Premier League,Centre-Back,Everton FC,1.97,18000000.0
james tarkowski,Premier League,Centre-Back,Everton FC,1.85,9000000.0
michael keane,Premier League,Centre-Back,Everton FC,1.88,5000000.0
mason holgate,Premier League,Centre-Back,Everton FC,1.87,4000000.0
reece welch,Premier League,Centre-Back,Everton FC,,350000.0
bradley moonan,Premier League,Centre-Back,Everton FC,,
vitaliy mykolenko,Premier League,Left-Back,Everton FC,1.8,28000000.0
nathan patterson,Premier League,Right-Back,Everton FC,1.89,15000000.0
ashley young,Premier League,Right-Back,Everton FC,1.75,500000.0
seamus coleman,Premier League,Right-Back,Everton FC,1.77,500000.0
roman dixon,Premier League,Right-Back,Everton FC,1.75,200000.0
orel mangala,Premier League,Defensive Midfield,Everton FC,1.78,18000000.0
james garner,Premier League,Defensive Midfield,Everton FC,1.82,18000000.0
idrissa gueye,Premier League,Defensive Midfield,Everton FC,1.74,1500000.0
luke butterfield,Premier League,Defensive Midfield,Everton FC,1.89,
carlos alcaraz,Premier League,Central Midfield,Everton FC,1.76,14000000.0
tim iroegbunam,Premier League,Central Midfield,Everton FC,1.83,9000000.0
harrison armstrong,Premier League,Central Midfield,Everton FC,1.85,800000.0
jenson metcalfe,Premier League,Central Midfield,Everton FC,1.83,175000.0
callum bates,Premier League,Central Midfield,Everton FC,,
abdoulaye doucoure,Premier League,Attacking Midfield,Everton FC,1.83,7000000.0
owen barker,Premier League,Attacking Midfield,Everton FC,1.73,
dwight mcneil,Premier League,Left Winger,Everton FC,1.83,25000000.0
iliman ndiaye,Premier League,Left Winger,Everton FC,1.8,22000000.0
isaac heath,Premier League,Left Winger,Everton FC,,
coby ebere,Premier League,Left Winger,Everton FC,1.87,
jesper lindstrm,Premier League,Right Winger,Everton FC,1.82,18000000.0
jack harrison,Premier League,Right Winger,Everton FC,1.75,14000000.0
beto,Premier League,Centre-Forward,Everton FC,1.94,22000000.0
dominic calvertlewin,Premier League,Centre-Forward,Everton FC,1.89,16000000.0
armando broja,Premier League,Centre-Forward,Everton FC,1.91,12000000.0
neal maupay,Premier League,Centre-Forward,Everton FC,1.71,8000000.0
youssef chermiti,Premier League,Centre-Forward,Everton FC,1.92,8000000.0
martin sherif,Premier League,Centre-Forward,Everton FC,1.93,
bernd leno,Premier League,Goalkeeper,Fulham FC,1.9,10000000.0
steven benda,Premier League,Goalkeeper,Fulham FC,1.92,1000000.0
joachim andersen,Premier League,Centre-Back,Fulham FC,1.92,27000000.0
calvin bassey,Premier League,Centre-Back,Fulham FC,1.85,25000000.0
issa diop,Premier League,Centre-Back,Fulham FC,1.94,14000000.0
jorge cuenca,Premier League,Centre-Back,Fulham FC,1.9,5000000.0
sam amissah,Premier League,Centre-Back,Fulham FC,,
antonee robinson,Premier League,Left-Back,Fulham FC,1.83,35000000.0
ryan sessegnon,Premier League,Left-Back,Fulham FC,1.78,15000000.0
kenny tete,Premier League,Right-Back,Fulham FC,1.8,13000000.0
timothy castagne,Premier League,Right-Back,Fulham FC,1.85,13000000.0
sander berge,Premier League,Defensive Midfield,Fulham FC,1.95,25000000.0
sasa lukic,Premier League,Defensive Midfield,Fulham FC,1.82,14000000.0
harrison reed,Premier League,Central Midfield,Fulham FC,1.81,6000000.0
tom cairney,Premier League,Central Midfield,Fulham FC,1.85,1500000.0
josh king,Premier League,Central Midfield,Fulham FC,1.73,1000000.0
emile smith rowe,Premier League,Attacking Midfield,Fulham FC,1.82,30000000.0
andreas pereira,Premier League,Attacking Midfield,Fulham FC,1.78,18000000.0
alex iwobi,Premier League,Left Winger,Fulham FC,1.83,28000000.0
willian,Premier League,Left Winger,Fulham FC,1.75,750000.0
martial godo,Premier League,Left Winger,Fulham FC,1.69,600000.0
reiss nelson,Premier League,Right Winger,Fulham FC,1.75,16000000.0
harry wilson,Premier League,Right Winger,Fulham FC,1.73,15000000.0
adama traore,Premier League,Right Winger,Fulham FC,1.78,9000000.0
rodrigo muniz,Premier League,Centre-Forward,Fulham FC,1.86,20000000.0
jay stansfield,Premier League,Centre-Forward,Fulham FC,1.87,11000000.0
raul jimenez,Premier League,Centre-Forward,Fulham FC,1.87,5000000.0
carlos vinicius,Premier League,Centre-Forward,Fulham FC,1.9,3500000.0
josep martinez,Serie A,Goalkeeper,Inter Milan,1.91,12000000.0
yann sommer,Serie A,Goalkeeper,Inter Milan,1.83,4000000.0
alessandro calligaris,Serie A,Goalkeeper,Inter Milan,,350000.0
raffaele di gennaro,Serie A,Goalkeeper,Inter Milan,1.88,300000.0
alain taho,Serie A,Goalkeeper,Inter Milan,,
alessandro bastoni,Serie A,Centre-Back,Inter Milan,1.9,80000000.0
yann bisseck,Serie A,Centre-Back,Inter Milan,1.96,35000000.0
benjamin pavard,Serie A,Centre-Back,Inter Milan,1.86,25000000.0
stefan de vrij,Serie A,Centre-Back,Inter Milan,1.89,5000000.0
