Player,Pos,Squad,Height,Value,Season,Competition
alex serradell,Centre-Back,Valencia CF,1.89,150000.0,2024-2025,laliga
iker cordoba,Centre-Back,Valencia CF,1.9,100000.0,2024-2025,laliga
jose gaya,Left-Back,Valencia CF,1.72,9000000.0,2024-2025,laliga
jesus vazquez,Left-Back,Valencia CF,1.82,3000000.0,2024-2025,laliga
ro abajas,Left-Back,Valencia CF,1.86,100000.0,2024-2025,laliga
max aarons,Right-Back,Valencia CF,1.77,6000000.0,2024-2025,laliga
thierry correia,Right-Back,Valencia CF,1.76,3000000.0,2024-2025,laliga
dimitri foulquier,Right-Back,Valencia CF,1.83,1500000.0,2024-2025,laliga
enzo barrenechea,Defensive Midfield,Valencia CF,1.86,10000000.0,2024-2025,laliga
pepelu,Defensive Midfield,Valencia CF,1.86,9000000.0,2024-2025,laliga
hugo guillamon,Defensive Midfield,Valencia CF,1.78,2500000.0,2024-2025,laliga
javi guerra,Central Midfield,Valencia CF,1.87,25000000.0,2024-2025,laliga
lucas nunez,Central Midfield,Valencia CF,1.83,25000.0,2024-2025,laliga
andre almeida,Attacking Midfield,Valencia CF,1.76,10000000.0,2024-2025,laliga
ivan jaime,Attacking Midfield,Valencia CF,1.8,5000000.0,2024-2025,laliga
martin tejon,Attacking Midfield,Valencia CF,1.65,500000.0,2024-2025,laliga
pedro aleman,Attacking Midfield,Valencia CF,1.82,200000.0,2024-2025,laliga
luis rioja,Left Winger,Valencia CF,1.76,2000000.0,2024-2025,laliga
sergi canos,Left Winger,Valencia CF,1.77,1000000.0,2024-2025,laliga
pablo lopez,Left Winger,Valencia CF,1.75,50000.0,2024-2025,laliga
diego lopez,Right Winger,Valencia CF,1.72,15000000.0,2024-2025,laliga
fran perez,Right Winger,Valencia CF,1.76,3000000.0,2024-2025,laliga
german valera,Right Winger,Valencia CF,1.7,1500000.0,2024-2025,laliga
david otorbi,Right Winger,Valencia CF,1.8,500000.0,2024-2025,laliga
hamza bellari,Right Winger,Valencia CF,,100000.0,2024-2025,laliga
ismael santana,Right Winger,Valencia CF,,25000.0,2024-2025,laliga
hugo duro,Centre-Forward,Valencia CF,1.77,14000000.0,2024-2025,laliga
umar sadiq,Centre-Forward,Valencia CF,1.91,5000000.0,2024-2025,laliga
dani gomez,Centre-Forward,Valencia CF,1.78,1000000.0,2024-2025,laliga
alberto mari,Centre-Forward,Valencia CF,1.83,1000000.0,2024-2025,laliga
rafa mir,Centre-Forward,Valencia CF,1.91,800000.0,2024-2025,laliga
warren madrigal,Centre-Forward,Valencia CF,1.85,400000.0,2024-2025,laliga
alvaro fernandez,Goalkeeper,Sevilla FC,1.85,2000000.0,2024-2025,laliga
rjan nyland,Goalkeeper,Sevilla FC,1.92,900000.0,2024-2025,laliga
alberto flores,Goalkeeper,Sevilla FC,1.87,300000.0,2024-2025,laliga
matias arbol,Goalkeeper,Sevilla FC,1.84,100000.0,2024-2025,laliga
rafael romero,Goalkeeper,Sevilla FC,1.9,,2024-2025,laliga
loic bade,Centre-Back,Sevilla FC,1.91,25000000.0,2024-2025,laliga
