Player,Pos,Squad,Height,Value,Season,Competition
pape diong,Defensive Midfield,RC Strasbourg Alsace,1.93,800000.0,2024-2025,ligue-1
andrey santos,Central Midfield,RC Strasbourg Alsace,1.8,35000000.0,2024-2025,ligue-1
habib diarra,Central Midfield,RC Strasbourg Alsace,1.78,20000000.0,2024-2025,ligue-1
valentin barco,Central Midfield,RC Strasbourg Alsace,1.7,12000000.0,2024-2025,ligue-1
samir el mourabet,Central Midfield,RC Strasbourg Alsace,1.86,50000.0,2024-2025,ligue-1
diego moreira,Left Midfield,RC Strasbourg Alsace,1.79,18000000.0,2024-2025,ligue-1
sebastian nanasi,Left Midfield,RC Strasbourg Alsace,1.78,18000000.0,2024-2025,ligue-1
felix lemarechal,Attacking Midfield,RC Strasbourg Alsace,1.8,10000000.0,2024-2025,ligue-1
tidiane diallo,Attacking Midfield,RC Strasbourg Alsace,1.76,,2024-2025,ligue-1
oscar perea,Left Winger,RC Strasbourg Alsace,1.74,2000000.0,2024-2025,ligue-1
nordine kandil,Left Winger,RC Strasbourg Alsace,1.67,1000000.0,2024-2025,ligue-1
rayane messi,Left Winger,RC Strasbourg Alsace,1.75,800000.0,2024-2025,ligue-1
jeremy sebas,Left Winger,RC Strasbourg Alsace,1.87,700000.0,2024-2025,ligue-1
dilane bakwa,Right Winger,RC Strasbourg Alsace,1.8,25000000.0,2024-2025,ligue-1
samuel amoameyaw,Right Winger,RC Strasbourg Alsace,1.74,4000000.0,2024-2025,ligue-1
abdoul ouattara,Right Winger,RC Strasbourg Alsace,1.8,1200000.0,2024-2025,ligue-1
ghianny kodia,Right Winger,RC Strasbourg Alsace,,,2024-2025,ligue-1
emanuel emegha,Centre-Forward,RC Strasbourg Alsace,1.96,25000000.0,2024-2025,ligue-1
milos lukovic,Centre-Forward,RC Strasbourg Alsace,1.84,5000000.0,2024-2025,ligue-1
sekou mara,Centre-Forward,RC Strasbourg Alsace,1.83,5000000.0,2024-2025,ligue-1
moise sahi dion,Centre-Forward,RC Strasbourg Alsace,1.75,1000000.0,2024-2025,ligue-1
zoumana diallo,Centre-Forward,RC Strasbourg Alsace,1.85,,2024-2025,ligue-1
brice samba,Goalkeeper,RC Lens,1.87,12000000.0,2024-2025,ligue-1
mathew ryan,Goalkeeper,RC Lens,1.84,2500000.0,2024-2025,ligue-1
herve koffi,Goalkeeper,RC Lens,1.86,1200000.0,2024-2025,ligue-1
denis petric,Goalkeeper,RC Lens,1.86,100000.0,2024-2025,ligue-1
roman karolewicz,Goalkeeper,RC Lens,,,2024-2025,ligue-1
adam delplace,Goalkeeper,RC Lens,,,2024-2025,ligue-1
ilan jourdren,Goalkeeper,RC Lens,1.88,,2024-2025,ligue-1
abdukodir khusanov,Centre-Back,RC Lens,1.86,35000000.0,2024-2025,ligue-1
kevin danso,Centre-Back,RC Lens,1.9,25000000.0,2024-2025,ligue-1
facundo medina,Centre-Back,RC Lens,1.84,25000000.0,2024-2025,ligue-1
juma bah,Centre-Back,RC Lens,1.95,6000000.0,2024-2025,ligue-1
malang sarr,Centre-Back,RC Lens,1.83,5000000.0,2024-2025,ligue-1
jonathan gradit,Centre-Back,RC Lens,1.8,4000000.0,2024-2025,ligue-1
nidal celik,Centre-Back,RC Lens,1.92,1800000.0,2024-2025,ligue-1
ismaelo ganiou,Centre-Back,RC Lens,1.85,1000000.0,2024-2025,ligue-1
kyllian antonio,Centre-Back,RC Lens,1.83,300000.0,2024-2025,ligue-1
souleymane sagnan,Centre-Back,RC Lens,1.87,,2024-2025,ligue-1
jhoanner chavez,Left-Back,RC Lens,1.82,3500000.0,2024-2025,ligue-1
deiver machado,Left-Back,RC Lens,1.8,3000000.0,2024-2025,ligue-1
massadio haidara,Left-Back,RC Lens,1.79,1500000.0,2024-2025,ligue-1
oscar lenne,Left-Back,RC Lens,,,2024-2025,ligue-1
przemyslaw frankowski,Right-Back,RC Lens,1.75,7000000.0,2024-2025,ligue-1
ruben aguilar,Right-Back,RC Lens,1.72,3500000.0,2024-2025,ligue-1
tom pouilly,Right-Back,RC Lens,1.8,800000.0,2024-2025,ligue-1
hamzat ojediran,Defensive Midfield,RC Lens,1.8,1800000.0,2024-2025,ligue-1
nampalys mendy,Defensive Midfield,RC Lens,1.68,1800000.0,2024-2025,ligue-1
andy diouf,Central Midfield,RC Lens,1.87,15000000.0,2024-2025,ligue-1
neil el aynaoui,Central Midfield,RC Lens,1.85,15000000.0,2024-2025,ligue-1
david da costa,Attacking Midfield,RC Lens,1.68,6000000.0,2024-2025,ligue-1
angelo fulgini,Attacking Midfield,RC Lens,1.82,5000000.0,2024-2025,ligue-1
adrien thomasson,Attacking Midfield,RC Lens,1.75,5000000.0,2024-2025,ligue-1
anass zaroury,Left Winger,RC Lens,1.76,8000000.0,2024-2025,ligue-1
kembo diliwidi,Left Winger,RC Lens,1.8,50000.0,2024-2025,ligue-1
jeremy agbonifo,Right Winger,RC Lens,1.78,5000000.0,2024-2025,ligue-1
herve boua die,Right Winger,RC Lens,,,2024-2025,ligue-1
mbala nzola,Centre-Forward,RC Lens,1.85,6000000.0,2024-2025,ligue-1
martin satriano,Centre-Forward,RC Lens,1.87,5000000.0,2024-2025,ligue-1
wesley said,Centre-Forward,RC Lens,1.71,3000000.0,2024-2025,ligue-1
goduine koyalipou,Centre-Forward,RC Lens,1.84,2500000.0,2024-2025,ligue-1
florian sotoca,Centre-Forward,RC Lens,1.87,2000000.0,2024-2025,ligue-1
remy labeau lascary,Centre-Forward,RC Lens,1.84,2000000.0,2024-2025,ligue-1
rayan fofana,Centre-Forward,RC Lens,,50000.0,2024-2025,ligue-1
gabin capuano,Centre-Forward,RC Lens,,50000.0,2024-2025,ligue-1
guillaume restes,Goalkeeper,FC Toulouse,1.88,20000000.0,2024-2025,ligue-1
kjetil haug,Goalkeeper,FC Toulouse,1.87,600000.0,2024-2025,ligue-1
alex dominguez,Goalkeeper,FC Toulouse,1.87,300000.0,2024-2025,ligue-1
justin lacombe,Goalkeeper,FC Toulouse,1.92,,2024-2025,ligue-1
mathys niflore,Goalkeeper,FC Toulouse,1.92,,2024-2025,ligue-1
logan costa,Centre-Back,FC Toulouse,1.9,18000000.0,2024-2025,ligue-1
charlie cresswell,Centre-Back,FC Toulouse,1.9,10000000.0,2024-2025,ligue-1
mark mckenzie,Centre-Back,FC Toulouse,1.84,6000000.0,2024-2025,ligue-1
rasmus nicolaisen,Centre-Back,FC Toulouse,1.91,4500000.0,2024-2025,ligue-1
jaydee canvot,Centre-Back,FC Toulouse,1.88,4000000.0,2024-2025,ligue-1
umit akdag,Centre-Back,FC Toulouse,1.92,600000.0,2024-2025,ligue-1
dayann methalie,Centre-Back,FC Toulouse,,,2024-2025,ligue-1
gabriel suazo,Left-Back,FC Toulouse,1.78,4000000.0,2024-2025,ligue-1
ylies aradj,Left-Back,FC Toulouse,1.79,,2024-2025,ligue-1
warren kamanzi,Right-Back,FC Toulouse,1.77,2000000.0,2024-2025,ligue-1
djibril sidibe,Right-Back,FC Toulouse,1.83,1000000.0,2024-2025,ligue-1
cristian casseres jr,Central Midfield,FC Toulouse,1.76,6000000.0,2024-2025,ligue-1
vincent sierro,Central Midfield,FC Toulouse,1.85,4000000.0,2024-2025,ligue-1
niklas schmidt,Central Midfield,FC Toulouse,1.84,1800000.0,2024-2025,ligue-1
miha zajc,Central Midfield,FC Toulouse,1.78,1500000.0,2024-2025,ligue-1
rafik messali,Right Midfield,FC Toulouse,1.77,800000.0,2024-2025,ligue-1
aron dnnum,Left Midfield,FC Toulouse,1.78,4000000.0,2024-2025,ligue-1
naatan skytta,Attacking Midfield,FC Toulouse,1.74,3000000.0,2024-2025,ligue-1
denis genreau,Attacking Midfield,FC Toulouse,1.75,800000.0,2024-2025,ligue-1
edhy zuliani,Attacking Midfield,FC Toulouse,,50000.0,2024-2025,ligue-1
mathis saka,Attacking Midfield,FC Toulouse,1.72,50000.0,2024-2025,ligue-1
yann gboho,Left Winger,FC Toulouse,1.78,8000000.0,2024-2025,ligue-1
ilyas azizi,Left Winger,FC Toulouse,,,2024-2025,ligue-1
zakaria aboukhlal,Right Winger,FC Toulouse,1.79,12000000.0,2024-2025,ligue-1
shavy babicka,Right Winger,FC Toulouse,1.79,2500000.0,2024-2025,ligue-1
noah edjouma,Right Winger,FC Toulouse,1.82,800000.0,2024-2025,ligue-1
mamady bangre,Right Winger,FC Toulouse,1.71,500000.0,2024-2025,ligue-1
frank magri,Centre-Forward,FC Toulouse,1.78,3000000.0,2024-2025,ligue-1
joshua king,Centre-Forward,FC Toulouse,1.8,1800000.0,2024-2025,ligue-1
alban lafont,Goalkeeper,FC Nantes,1.96,3000000.0,2024-2025,ligue-1
anthony lopes,Goalkeeper,FC Nantes,1.84,1200000.0,2024-2025,ligue-1
patrik carlgren,Goalkeeper,FC Nantes,1.89,600000.0,2024-2025,ligue-1
hugo barbet,Goalkeeper,FC Nantes,1.89,50000.0,2024-2025,ligue-1
nathan zeze,Centre-Back,FC Nantes,1.9,15000000.0,2024-2025,ligue-1
