Player,Squad,Season,Competition,Pos,Min,MP,Starts,Value,performance_score,penalty_score,adjusted_score,Evaluated_Position
geronimo rulli,villarreal,2022-2023,laliga,Goalkeeper,1260.0,14.0,14.0,10000000.0,0.41879973510181073,0.0091,0.40969973510181074,Goalkeeper
samir handanovic,inter,2022-2023,serie-a,Goalkeeper,1234.0,14.0,14.0,500000.0,0.16560149840927124,0.0007000000000000001,0.16490149840927124,Goalkeeper
antonio mirante,milan,2023-2024,serie-a,Goalkeeper,177.0,2.0,2.0,100000.0,0.13434911881902328,0.0,0.13434911881902328,Goalkeeper
loris karius,newcastle utd,2023-2024,premier-league,Goalkeeper,90.0,1.0,1.0,1000000.0,0.11792036742963763,0.0,0.11792036742963763,Goalkeeper
daniel peretz,bayern munich,2023-2024,bundesliga,Goalkeeper,17.0,1.0,0.0,3000000.0,0.13887168345810702,0.0,0.13887168345810702,Goalkeeper
tommaso martinelli,fiorentina,2023-2024,serie-a,Goalkeeper,90.0,1.0,1.0,1000000.0,0.13532008902668902,0.0,0.13532008902668902,Goalkeeper
nicola leali,genoa,2023-2024,serie-a,Goalkeeper,176.0,3.0,2.0,600000.0,0.11781369830492444,0.0153,0.10251369830492445,Goalkeeper
noah atubolu,freiburg,2023-2024,bundesliga,Goalkeeper,3060.0,34.0,34.0,10000000.0,0.3694258849213599,0.0021,0.3673258849213599,Goalkeeper
pietro terracciano,fiorentina,2023-2024,serie-a,Goalkeeper,2970.0,33.0,33.0,2500000.0,0.1350420228273043,0.0042,0.13084202282730428,Goalkeeper
jiri pavlenka,werder bremen,2023-2024,bundesliga,Goalkeeper,630.0,7.0,7.0,1500000.0,0.3075895468304112,0.0014000000000000002,0.30618954683041116,Goalkeeper
ivan cuellar,mallorca,2023-2024,laliga,Goalkeeper,90.0,1.0,1.0,100000.0,0.2708439808334234,0.0,0.2708439808334234,Goalkeeper
maduka okoye,udinese,2023-2024,serie-a,Goalkeeper,1890.0,21.0,21.0,4000000.0,0.12242558896396769,0.009000000000000001,0.11342558896396768,Goalkeeper
odysseas vlachodimos,nott'ham forest,2023-2024,premier-league,Goalkeeper,450.0,5.0,5.0,7000000.0,0.1330183977233205,0.0,0.1330183977233205,Goalkeeper
nikita contini baranovsky,napoli,2023-2024,serie-a,Goalkeeper,17.0,1.0,0.0,400000.0,0.17186546167819375,0.0,0.17186546167819375,Goalkeeper
ukasz fabianski,west ham,2023-2024,premier-league,Goalkeeper,721.0,10.0,7.0,700000.0,0.1243134347752041,0.0,0.1243134347752041,Goalkeeper
sven ulreich,bayern munich,2024-2025,bundesliga,Goalkeeper,90.0,1.0,1.0,500000.0,0.17319823239892573,0.0,0.17319823239892573,Goalkeeper
oliver baumann,hoffenheim,2024-2025,bundesliga,Goalkeeper,2520.0,28.0,28.0,3000000.0,0.4180634516023303,0.0047,0.41336345160233035,Goalkeeper
dani cardenas,rayo vallecano,2024-2025,laliga,Goalkeeper,540.0,6.0,6.0,1800000.0,0.28254943735290355,0.0,0.28254943735290355,Goalkeeper
maarten vandevoordt,rb leipzig,2024-2025,bundesliga,Goalkeeper,429.0,6.0,4.0,8000000.0,0.3661338440560112,0.0,0.3661338440560112,Goalkeeper
ivan provedel,lazio,2024-2025,serie-a,Goalkeeper,2610.0,29.0,29.0,3000000.0,0.11326126864164804,0.005000000000000001,0.10826126864164803,Goalkeeper
hakon rafn valdimarsson,brentford,2024-2025,premier-league,Goalkeeper,145.0,2.0,1.0,2500000.0,0.10203491071597441,0.0,0.10203491071597441,Goalkeeper
diego conde,villarreal,2024-2025,laliga,Goalkeeper,1962.0,22.0,22.0,7500000.0,0.3392367596228833,0.0077,0.3315367596228833,Goalkeeper
guglielmo vicario,tottenham,2024-2025,premier-league,Goalkeeper,2160.0,24.0,24.0,32000000.0,0.1202641566558202,0.0137,0.1065641566558202,Goalkeeper
giuseppe ciocci,cagliari,2024-2025,serie-a,Goalkeeper,9.0,1.0,0.0,100000.0,0.10546153846153847,0.0,0.10546153846153847,Goalkeeper
kamil grabara,wolfsburg,2024-2025,bundesliga,Goalkeeper,2585.0,29.0,29.0,14000000.0,0.37893437636915567,0.005600000000000001,0.3733343763691557,Goalkeeper
daniel peretz,bayern munich,2024-2025,bundesliga,Goalkeeper,270.0,3.0,3.0,3000000.0,0.3175511324482098,0.0099,0.3076511324482098,Goalkeeper
federico ravaglia,bologna,2024-2025,serie-a,Goalkeeper,1056.0,12.0,11.0,1500000.0,0.11604411735169372,0.0,0.11604411735169372,Goalkeeper
enzo ebosse,udinese,2022-2023,serie-a,Centre-Back,930.0,20.0,9.0,4500000.0,0.21514898011989592,0.030899999999999997,0.18424898011989593,Centre-Back
jesus vallejo,real madrid,2022-2023,laliga,Centre-Back,22.0,1.0,0.0,2000000.0,0.018195191690536527,0.0,0.018195191690536527,Centre-Back
dan burn,newcastle utd,2022-2023,premier-league,Centre-Back,3111.0,38.0,35.0,10000000.0,0.32240803110358635,0.032299999999999995,0.29010803110358635,Centre-Back
milos veljkovic,werder bremen,2022-2023,bundesliga,Centre-Back,2266.0,29.0,25.0,5500000.0,0.2703384153227638,0.0127,0.2576384153227638,Centre-Back
ohis felix uduokhai,augsburg,2022-2023,bundesliga,Centre-Back,1450.0,19.0,16.0,400000.0,0.22866529685355003,0.0401,0.18856529685355003,Centre-Back
jorge herrando,osasuna,2022-2023,laliga,Centre-Back,25.0,1.0,1.0,400000.0,0.2635442393010021,0.396,-0.1324557606989979,Centre-Back
kaan ayhan,sassuolo,2022-2023,serie-a,Centre-Back,545.0,10.0,5.0,3700000.0,0.1595516334479629,0.023600000000000003,0.13595163344796288,Centre-Back
soumaila coulibaly,dortmund,2022-2023,bundesliga,Centre-Back,45.0,1.0,0.0,1000000.0,0.18385999815644755,0.12000000000000001,0.06385999815644754,Centre-Back
liam cooper,leeds united,2022-2023,premier-league,Centre-Back,1426.0,18.0,16.0,3000000.0,0.2519134783502131,0.0336,0.2183134783502131,Centre-Back
john brooks,hoffenheim,2022-2023,bundesliga,Centre-Back,1350.0,15.0,15.0,2000000.0,0.26354694338199103,0.0242,0.23934694338199103,Centre-Back
nikola milenkovic,fiorentina,2022-2023,serie-a,Centre-Back,2137.0,27.0,23.0,18000000.0,0.2642982528306049,0.024399999999999998,0.23989825283060487,Centre-Back
leonardo bonucci,juventus,2022-2023,serie-a,Centre-Back,879.0,16.0,9.0,1500000.0,0.17369953055011675,0.022399999999999996,0.15129953055011675,Centre-Back
jose luis palomino,atalanta,2022-2023,serie-a,Centre-Back,759.0,15.0,8.0,2500000.0,0.2269503211405205,0.0356,0.1913503211405205,Centre-Back
ruben dias,manchester city,2022-2023,premier-league,Centre-Back,1998.0,26.0,22.0,80000000.0,0.2700647328110023,0.0194,0.2506647328110023,Centre-Back
federico gatti,juventus,2022-2023,serie-a,Centre-Back,1448.0,18.0,16.0,12000000.0,0.22879862311346968,0.0358,0.1929986231134697,Centre-Back
filippo romagna,sassuolo,2022-2023,serie-a,Centre-Back,46.0,2.0,0.0,400000.0,0.23960975050876412,0.0,0.23960975050876412,Centre-Back
berat djimsiti,atalanta,2022-2023,serie-a,Centre-Back,1797.0,24.0,20.0,10000000.0,0.24127366569920136,0.0245,0.21677366569920137,Centre-Back
abdou diallo,rb leipzig,2022-2023,bundesliga,Centre-Back,478.0,8.0,5.0,10000000.0,0.20624982942834225,0.0452,0.16104982942834226,Centre-Back
odilon kossounou,leverkusen,2022-2023,bundesliga,Centre-Back,1523.0,24.0,17.0,18000000.0,0.2368067358853561,0.0433,0.1935067358853561,Centre-Back
lucas martinez quarta,fiorentina,2022-2023,serie-a,Centre-Back,2171.0,27.0,25.0,10000000.0,0.36338310606841934,0.027800000000000002,0.33558310606841935,Centre-Back
juanpe,girona,2022-2023,laliga,Centre-Back,1426.0,19.0,17.0,1500000.0,0.22592908511435347,0.0182,0.20772908511435348,Centre-Back
kalidou koulibaly,chelsea,2022-2023,premier-league,Centre-Back,1800.0,23.0,20.0,15000000.0,0.2921389488143043,0.0335,0.25863894881430427,Centre-Back
clement lenglet,tottenham,2022-2023,premier-league,Centre-Back,2019.0,26.0,24.0,10000000.0,0.25988879515133556,0.0327,0.22718879515133555,Centre-Back
igor zubeldia,real sociedad,2022-2023,laliga,Centre-Back,2542.0,31.0,29.0,15000000.0,0.27279366114819303,0.0302,0.24259366114819303,Centre-Back
james abankwah,udinese,2022-2023,serie-a,Centre-Back,63.0,2.0,1.0,300000.0,0.29916171061390573,0.07150000000000001,0.22766171061390572,Centre-Back
francesco acerbi,inter,2022-2023,serie-a,Centre-Back,2425.0,31.0,25.0,4000000.0,0.297135900786139,0.0243,0.272835900786139,Centre-Back
daley blind,bayern munich,2022-2023,bundesliga,Centre-Back,134.0,4.0,1.0,3000000.0,0.22454321792859352,0.0134,0.21114321792859353,Centre-Back
alex ferrari,cremonese,2022-2023,serie-a,Centre-Back,1007.0,16.0,13.0,1000000.0,0.28719836794652076,0.028599999999999997,0.25859836794652075,Centre-Back
david lopez,girona,2022-2023,laliga,Centre-Back,1652.0,20.0,19.0,2000000.0,0.25340144760540245,0.0247,0.22870144760540245,Centre-Back
andreas christensen,barcelona,2022-2023,laliga,Centre-Back,1760.0,23.0,22.0,40000000.0,0.2664036712713249,0.0183,0.2481036712713249,Centre-Back
antal yaakobishvili,girona,2023-2024,laliga,Centre-Back,61.0,1.0,0.0,,0.1422717990069306,0.0444,0.0978717990069306,Centre-Back
jonathan norbye,rb leipzig,2023-2024,bundesliga,Centre-Back,1.0,1.0,0.0,,0.004976396760176677,0.0,0.004976396760176677,Centre-Back
mohamed simakan,rb leipzig,2023-2024,bundesliga,Centre-Back,2138.0,32.0,23.0,35000000.0,0.2900255160802166,0.0439,0.2461255160802166,Centre-Back
joe gomez,liverpool,2023-2024,premier-league,Centre-Back,1786.0,32.0,17.0,28000000.0,0.27856861395433063,0.0502,0.22836861395433064,Centre-Back
jaka bijol,udinese,2023-2024,serie-a,Centre-Back,2084.0,24.0,23.0,10000000.0,0.23002281144851436,0.0239,0.20612281144851435,Centre-Back
stefan savic,atlético madrid,2023-2024,laliga,Centre-Back,1630.0,23.0,19.0,2500000.0,0.19233085858008217,0.0323,0.16003085858008217,Centre-Back
jhon lucumi,bologna,2023-2024,serie-a,Centre-Back,2217.0,29.0,23.0,17000000.0,0.2669809326787599,0.0202,0.2467809326787599,Centre-Back
el chadaille bitshiabu,rb leipzig,2023-2024,bundesliga,Centre-Back,34.0,6.0,0.0,12000000.0,0.08206655629499923,0.0,0.08206655629499923,Centre-Back
calum chambers,aston villa,2023-2024,premier-league,Centre-Back,152.0,5.0,1.0,4000000.0,0.10986484848878608,0.047299999999999995,0.06256484848878609,Centre-Back
tim siersleben,heidenheim,2023-2024,bundesliga,Centre-Back,910.0,14.0,10.0,1500000.0,0.19198525805593059,0.0347,0.15728525805593058,Centre-Back
mattia viti,sassuolo,2023-2024,serie-a,Centre-Back,979.0,15.0,12.0,5000000.0,0.16462070737727097,0.0378,0.12682070737727097,Centre-Back
dara oshea,burnley,2023-2024,premier-league,Centre-Back,2892.0,33.0,32.0,7000000.0,0.2300856590851087,0.026000000000000002,0.2040856590851087,Centre-Back
gaston alvarez,getafe,2023-2024,laliga,Centre-Back,2537.0,34.0,29.0,15000000.0,0.28773020960216555,0.0394,0.24833020960216556,Centre-Back
jancarlo simic,milan,2023-2024,serie-a,Centre-Back,146.0,4.0,0.0,5000000.0,0.1273142166167055,0.0123,0.1150142166167055,Centre-Back
martin valjent,mallorca,2023-2024,laliga,Centre-Back,2349.0,28.0,28.0,6000000.0,0.21178399436573833,0.025800000000000003,0.18598399436573831,Centre-Back
ameen aldakhil,burnley,2023-2024,premier-league,Centre-Back,1056.0,13.0,12.0,12000000.0,0.1205102576877285,0.0333,0.0872102576877285,Centre-Back
nico schlotterbeck,dortmund,2023-2024,bundesliga,Centre-Back,2859.0,33.0,32.0,40000000.0,0.3774217068609931,0.0216,0.35582170686099307,Centre-Back
tanguy nianzou,sevilla,2023-2024,laliga,Centre-Back,318.0,8.0,3.0,3000000.0,0.11130763214873389,0.0764,0.034907632148733894,Centre-Back
stefan mitrovic,getafe,2023-2024,laliga,Centre-Back,699.0,11.0,9.0,1300000.0,0.09398583246755084,0.0323,0.061685832467550834,Centre-Back
yerry mina,cagliari,2023-2024,serie-a,Centre-Back,1215.0,14.0,14.0,3000000.0,0.1943912192331232,0.029,0.1653912192331232,Centre-Back
patrick mainka,heidenheim,2023-2024,bundesliga,Centre-Back,3060.0,34.0,34.0,2500000.0,0.29025774775415064,0.016300000000000002,0.27395774775415066,Centre-Back
koffi djidji,torino,2023-2024,serie-a,Centre-Back,759.0,13.0,8.0,2500000.0,0.14809971099771188,0.0309,0.11719971099771188,Centre-Back
nehuen perez,udinese,2023-2024,serie-a,Centre-Back,3238.0,36.0,36.0,13000000.0,0.3186210110133872,0.0299,0.2887210110133872,Centre-Back
joachim andersen,crystal palace,2023-2024,premier-league,Centre-Back,3415.0,38.0,38.0,35000000.0,0.3196677860390449,0.024300000000000002,0.2953677860390449,Centre-Back
jeffrey gouweleeuw,augsburg,2023-2024,bundesliga,Centre-Back,2593.0,30.0,29.0,2000000.0,0.2525860322971752,0.024499999999999997,0.2280860322971752,Centre-Back
ben mee,brentford,2023-2024,premier-league,Centre-Back,1272.0,16.0,15.0,1000000.0,0.19570162144945097,0.034,0.16170162144945097,Centre-Back
gleison bremer,juventus,2023-2024,serie-a,Centre-Back,3233.0,36.0,36.0,60000000.0,0.28273520176309125,0.0336,0.24913520176309126,Centre-Back
pau torres,aston villa,2023-2024,premier-league,Centre-Back,2464.0,29.0,27.0,45000000.0,0.2306758457973575,0.0205,0.2101758457973575,Centre-Back
marcao,sevilla,2023-2024,laliga,Centre-Back,355.0,7.0,3.0,4000000.0,0.16302434453001968,0.048100000000000004,0.11492434453001968,Centre-Back
cenk ozkacar,valencia,2023-2024,laliga,Centre-Back,1598.0,23.0,18.0,4000000.0,0.18768346514767761,0.0211,0.1665834651476776,Centre-Back
jorge herrando,osasuna,2023-2024,laliga,Centre-Back,1644.0,19.0,18.0,6000000.0,0.15428178128110276,0.027700000000000002,0.12658178128110276,Centre-Back
maximiliano caufriez,valencia,2024-2025,laliga,Centre-Back,90.0,1.0,1.0,1000000.0,0.0685262467742484,0.03,0.0385262467742484,Centre-Back
fellipe jack,como,2024-2025,serie-a,Centre-Back,171.0,7.0,1.0,1400000.0,0.15056248099556507,0.08410000000000001,0.06646248099556507,Centre-Back
pablo mari,fiorentina,2024-2025,serie-a,Centre-Back,1098.0,13.0,12.0,3500000.0,0.18649047091152168,0.0195,0.1669904709115217,Centre-Back
alessio romagnoli,lazio,2024-2025,serie-a,Centre-Back,2672.0,32.0,31.0,7000000.0,0.2564329589641657,0.024800000000000003,0.2316329589641657,Centre-Back
dominik kohr,mainz 05,2024-2025,bundesliga,Centre-Back,2295.0,28.0,28.0,3500000.0,0.26737675963669866,0.048100000000000004,0.21927675963669865,Centre-Back
copete,mallorca,2024-2025,laliga,Centre-Back,1528.0,25.0,16.0,3000000.0,0.19180908814342226,0.0389,0.15290908814342227,Centre-Back
issa diop,fulham,2024-2025,premier-league,Centre-Back,1339.0,21.0,15.0,14000000.0,0.1779553078815936,0.0257,0.1522553078815936,Centre-Back
kim jisoo,brentford,2024-2025,premier-league,Centre-Back,30.0,3.0,0.0,600000.0,0.028533039276298026,0.09,-0.061466960723701974,Centre-Back
morato,nott'ham forest,2024-2025,premier-league,Centre-Back,907.0,26.0,6.0,14000000.0,0.11363589716568331,0.0479,0.06573589716568332,Centre-Back
saba sazonov,torino,2024-2025,serie-a,Centre-Back,3.0,1.0,0.0,2000000.0,0.13473333333333332,0.0,0.13473333333333332,Centre-Back
mouctar diakhaby,valencia,2024-2025,laliga,Centre-Back,653.0,13.0,7.0,2000000.0,0.17671338481996757,0.015300000000000001,0.16141338481996756,Centre-Back
jorge cuenca,fulham,2024-2025,premier-league,Centre-Back,351.0,8.0,4.0,5000000.0,0.12738185544747474,0.0102,0.11718185544747474,Centre-Back
kaelan casey,west ham,2024-2025,premier-league,Centre-Back,1.0,1.0,0.0,1000000.0,0.2554,0.0,0.2554,Centre-Back
berat djimsiti,atalanta,2024-2025,serie-a,Centre-Back,2640.0,34.0,32.0,6000000.0,0.2671828089372222,0.0213,0.2458828089372222,Centre-Back
tim drexler,hoffenheim,2024-2025,bundesliga,Centre-Back,357.0,8.0,5.0,3000000.0,0.07888943357272123,0.08049999999999999,-0.0016105664272787618,Centre-Back
tyler fredricson,manchester utd,2024-2025,premier-league,Centre-Back,165.0,2.0,2.0,3000000.0,0.11886818787258034,0.010900000000000002,0.10796818787258033,Centre-Back
patrick mainka,heidenheim,2024-2025,bundesliga,Centre-Back,3060.0,34.0,34.0,3000000.0,0.2919879814968621,0.0172,0.2747879814968621,Centre-Back
maxim leitsch,mainz 05,2024-2025,bundesliga,Centre-Back,674.0,14.0,6.0,1500000.0,0.12291291169569413,0.0467,0.07621291169569414,Centre-Back
stefan posch,atalanta,2024-2025,serie-a,Centre-Back,387.0,5.0,4.0,8000000.0,0.13137188253633542,0.055799999999999995,0.07557188253633543,Centre-Back
lewis dunk,brighton,2024-2025,premier-league,Centre-Back,2083.0,25.0,23.0,6000000.0,0.23540506467936873,0.020600000000000004,0.21480506467936872,Centre-Back
david nemeth,st. pauli,2024-2025,bundesliga,Centre-Back,2137.0,24.0,24.0,4000000.0,0.21678051667901654,0.0244,0.19238051667901654,Centre-Back
juan berrocal,getafe,2024-2025,laliga,Centre-Back,1063.0,19.0,11.0,1500000.0,0.15268331278222622,0.04530000000000001,0.10738331278222621,Centre-Back
axel witsel,atlético madrid,2024-2025,laliga,Centre-Back,852.0,14.0,9.0,2000000.0,0.17585043370165623,0.0225,0.15335043370165624,Centre-Back
manuel akanji,manchester city,2024-2025,premier-league,Centre-Back,2014.0,26.0,23.0,28000000.0,0.19771485303800088,0.024600000000000004,0.17311485303800087,Centre-Back
kevin bonifazi,lecce,2024-2025,serie-a,Centre-Back,65.0,3.0,0.0,750000.0,0.1284823431059708,0.027700000000000002,0.10078234310597078,Centre-Back
castello lukeba,rb leipzig,2024-2025,bundesliga,Centre-Back,1577.0,23.0,18.0,40000000.0,0.22843524292595568,0.0341,0.1943352429259557,Centre-Back
eder militao,real madrid,2024-2025,laliga,Centre-Back,938.0,12.0,11.0,30000000.0,0.18297451686712396,0.0346,0.14837451686712397,Centre-Back
mats hummels,roma,2024-2025,serie-a,Centre-Back,915.0,14.0,11.0,2000000.0,0.17260159194415337,0.013900000000000001,0.15870159194415337,Centre-Back
stefan posch,bologna,2024-2025,serie-a,Centre-Back,714.0,14.0,7.0,8000000.0,0.21088611904674104,0.0656,0.14528611904674105,Centre-Back
nicolas valentini,hellas verona,2024-2025,serie-a,Centre-Back,1129.0,14.0,13.0,6000000.0,0.20776960898857114,0.044700000000000004,0.16306960898857115,Centre-Back
isak hien,atalanta,2024-2025,serie-a,Centre-Back,2327.0,30.0,27.0,30000000.0,0.22622827243327523,0.04549999999999999,0.18072827243327524,Centre-Back
diogo leite,union berlin,2024-2025,bundesliga,Centre-Back,2546.0,30.0,29.0,17000000.0,0.26719703201344525,0.0255,0.24169703201344525,Centre-Back
keane lewispotter,brentford,2022-2023,premier-league,Left-Back,321.0,10.0,3.0,12000000.0,0.11245265800058865,0.0784,0.034052658000588654,Left-Back
matt targett,newcastle utd,2022-2023,premier-league,Left-Back,610.0,17.0,6.0,13000000.0,0.16130282289990136,0.0445,0.11680282289990136,Left-Back
lucas hernandez,bayern munich,2022-2023,bundesliga,Left-Back,476.0,7.0,6.0,45000000.0,0.11288536311510845,0.0152,0.09768536311510845,Left-Back
paulo otavio,wolfsburg,2022-2023,bundesliga,Left-Back,2041.0,25.0,25.0,4000000.0,0.2684045214554881,0.0408,0.2276045214554881,Left-Back
jordi alba,barcelona,2022-2023,laliga,Left-Back,1419.0,24.0,14.0,5000000.0,0.22856049336881465,0.0376,0.19096049336881465,Left-Back
ryan sessegnon,tottenham,2022-2023,premier-league,Left-Back,813.0,17.0,9.0,18000000.0,0.13598311821100204,0.0697,0.06628311821100204,Left-Back
iago,augsburg,2022-2023,bundesliga,Left-Back,1600.0,22.0,19.0,5500000.0,0.18419224065114526,0.049300000000000004,0.13489224065114525,Left-Back
fernando medrano,celta vigo,2022-2023,laliga,Left-Back,13.0,1.0,0.0,200000.0,0.2386159564439037,0.0692,0.16941595644390373,Left-Back
mario rui,napoli,2022-2023,serie-a,Left-Back,1749.0,22.0,21.0,8000000.0,0.2445697014022061,0.0326,0.2119697014022061,Left-Back
marc cucurella,chelsea,2022-2023,premier-league,Left-Back,1671.0,24.0,21.0,35000000.0,0.2156867495305172,0.0316,0.18408674953051718,Left-Back
alberto moreno,villarreal,2022-2023,laliga,Left-Back,1296.0,24.0,14.0,3000000.0,0.16674622090838417,0.053,0.11374622090838418,Left-Back
jesus vazquez,valencia,2023-2024,laliga,Left-Back,716.0,20.0,6.0,3000000.0,0.23391887115935833,0.0705,0.16341887115935833,Left-Back
borna sosa,stuttgart,2023-2024,bundesliga,Left-Back,46.0,2.0,0.0,7500000.0,0.23780132705374046,0.0196,0.21820132705374046,Left-Back
mads pedersen,augsburg,2023-2024,bundesliga,Left-Back,1786.0,27.0,19.0,2500000.0,0.24924737318895876,0.0534,0.19584737318895876,Left-Back
ricardo rodriguez,torino,2023-2024,serie-a,Left-Back,2772.0,35.0,34.0,3500000.0,0.2638459812911323,0.020800000000000003,0.24304598129113228,Left-Back
olivier deman,werder bremen,2023-2024,bundesliga,Left-Back,1365.0,29.0,14.0,5000000.0,0.24546820527506072,0.055,0.19046820527506073,Left-Back
luke shaw,manchester utd,2023-2024,premier-league,Left-Back,959.0,12.0,12.0,32000000.0,0.24305017946708862,0.054200000000000005,0.18885017946708862,Left-Back
jordan zemura,udinese,2023-2024,serie-a,Left-Back,1038.0,27.0,10.0,5000000.0,0.17398478783970958,0.06330000000000001,0.11068478783970957,Left-Back
aaron martin,genoa,2023-2024,serie-a,Left-Back,1376.0,22.0,17.0,5000000.0,0.19644612281135623,0.042800000000000005,0.15364612281135623,Left-Back
toni lato,mallorca,2023-2024,laliga,Left-Back,1544.0,28.0,16.0,3500000.0,0.2125493373974931,0.0343,0.1782493373974931,Left-Back
jordy makengo,freiburg,2023-2024,bundesliga,Left-Back,1026.0,20.0,10.0,3500000.0,0.22611641839679236,0.0361,0.19001641839679237,Left-Back
aihen munoz,real sociedad,2023-2024,laliga,Left-Back,1127.0,21.0,11.0,8000000.0,0.27313845867107633,0.0424,0.23073845867107634,Left-Back
christian gunter,freiburg,2024-2025,bundesliga,Left-Back,2314.0,29.0,27.0,3500000.0,0.1876651047576881,0.016399999999999998,0.1712651047576881,Left-Back
hassane kamara,udinese,2024-2025,serie-a,Left-Back,2001.0,30.0,25.0,3500000.0,0.25050850434686284,0.04780000000000001,0.20270850434686283,Left-Back
oliver scarles,west ham,2024-2025,premier-league,Left-Back,665.0,15.0,7.0,8000000.0,0.21250343352211543,0.0354,0.17710343352211544,Left-Back
tom rothe,union berlin,2024-2025,bundesliga,Left-Back,1670.0,26.0,19.0,10000000.0,0.23581451091372957,0.0734,0.16241451091372955,Left-Back
sergio reguilon,tottenham,2024-2025,premier-league,Left-Back,196.0,4.0,1.0,6000000.0,0.2444948275933818,0.0552,0.18929482759338181,Left-Back
mathias olivera,napoli,2024-2025,serie-a,Left-Back,2370.0,32.0,26.0,20000000.0,0.2546420120247769,0.0372,0.21744201202477687,Left-Back
hannes behrens,hoffenheim,2024-2025,bundesliga,Left-Back,29.0,1.0,0.0,350000.0,0.20426327709656208,0.0621,0.14216327709656207,Left-Back
alphonso davies,bayern munich,2024-2025,bundesliga,Left-Back,1560.0,19.0,17.0,50000000.0,0.30597895271573344,0.05160000000000001,0.2543789527157334,Left-Back
tyrick mitchell,crystal palace,2024-2025,premier-league,Left-Back,3092.0,37.0,37.0,25000000.0,0.23822111304999233,0.04,0.19822111304999232,Left-Back
diego rico,getafe,2024-2025,laliga,Left-Back,2819.0,33.0,32.0,1200000.0,0.2685402368971021,0.050499999999999996,0.2180402368971021,Left-Back
derrick kohn,werder bremen,2024-2025,bundesliga,Left-Back,1343.0,27.0,14.0,5000000.0,0.22688951595958526,0.044700000000000004,0.18218951595958527,Left-Back
alfonso pedraza,villarreal,2024-2025,laliga,Left-Back,460.0,12.0,4.0,2500000.0,0.23193233073794883,0.0254,0.20653233073794883,Left-Back
gerard martin,barcelona,2024-2025,laliga,Left-Back,1038.0,28.0,11.0,12000000.0,0.2251458548796124,0.0303,0.1948458548796124,Left-Back
dani carvajal,real madrid,2022-2023,laliga,Right-Back,1784.0,27.0,20.0,12000000.0,0.28459343449089725,0.0467,0.23789343449089725,Right-Back
cedric soares,fulham,2022-2023,premier-league,Right-Back,198.0,6.0,2.0,3000000.0,0.31228508126332005,0.0318,0.28048508126332006,Right-Back
yan couto,girona,2022-2023,laliga,Right-Back,1158.0,25.0,12.0,4000000.0,0.2932347222453858,0.0566,0.23663472224538584,Right-Back
aitor ruibal,betis,2022-2023,laliga,Right-Back,1454.0,26.0,15.0,5000000.0,0.3292756369147057,0.057999999999999996,0.2712756369147057,Right-Back
diego moreno,osasuna,2022-2023,laliga,Right-Back,638.0,11.0,7.0,800000.0,0.20536685426025086,0.0281,0.17726685426025085,Right-Back
trent alexanderarnold,liverpool,2022-2023,premier-league,Right-Back,2923.0,37.0,34.0,65000000.0,0.4256886302743711,0.0381,0.38758863027437107,Right-Back
denso kasius,bologna,2022-2023,serie-a,Right-Back,342.0,7.0,4.0,1700000.0,0.28719196660847196,0.0814,0.20579196660847196,Right-Back
kiliann sildillia,freiburg,2022-2023,bundesliga,Right-Back,1977.0,27.0,23.0,12000000.0,0.250981735082809,0.053399999999999996,0.19758173508280902,Right-Back
davide faraoni,hellas verona,2022-2023,serie-a,Right-Back,1485.0,23.0,19.0,3000000.0,0.23543867523975234,0.037399999999999996,0.19803867523975235,Right-Back
adam smith,bournemouth,2022-2023,premier-league,Right-Back,2943.0,37.0,34.0,1200000.0,0.2521683372984137,0.0294,0.2227683372984137,Right-Back
jeanmanuel mbom,werder bremen,2022-2023,bundesliga,Right-Back,6.0,2.0,0.0,800000.0,0.05669585655575562,0.15,-0.09330414344424437,Right-Back
nacho vidal,osasuna,2022-2023,laliga,Right-Back,1247.0,20.0,15.0,5000000.0,0.24686222777506162,0.0642,0.18266222777506164,Right-Back
giovanni di lorenzo,napoli,2022-2023,serie-a,Right-Back,3257.0,37.0,36.0,25000000.0,0.3457113108349189,0.025599999999999998,0.3201113108349189,Right-Back
elseid hysaj,lazio,2023-2024,serie-a,Right-Back,1199.0,22.0,11.0,2500000.0,0.3079840824034623,0.036000000000000004,0.2719840824034623,Right-Back
anthony caci,mainz 05,2023-2024,bundesliga,Right-Back,2486.0,31.0,29.0,7000000.0,0.3516609815167229,0.0365,0.31516098151672295,Right-Back
iglesias,getafe,2023-2024,laliga,Right-Back,1412.0,23.0,16.0,2500000.0,0.3092461498107702,0.0317,0.2775461498107702,Right-Back
jon aramburu,real sociedad,2023-2024,laliga,Right-Back,543.0,11.0,5.0,2500000.0,0.28541893301396454,0.06290000000000001,0.22251893301396453,Right-Back
julian ryerson,dortmund,2023-2024,bundesliga,Right-Back,1767.0,21.0,20.0,20000000.0,0.34675696698189223,0.062400000000000004,0.2843569669818922,Right-Back
hector fort,barcelona,2023-2024,laliga,Right-Back,318.0,7.0,4.0,10000000.0,0.22794081882185274,0.0368,0.19114081882185274,Right-Back
christopher trimmel,union berlin,2023-2024,bundesliga,Right-Back,1646.0,26.0,19.0,600000.0,0.3250597638396068,0.026799999999999997,0.2982597638396068,Right-Back
