Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
fran beltran,Celta Vigo,1313,88.6,589,92.2,684,92.8,149,74.5,1.8,1.8,-0.8,132,14,1,2024-2025,laliga
carlos benavidez,Alavés,161,69.4,83,83.1,83,77.1,51,49.0,0.6,0.6,0.4,23,4,0,2024-2025,laliga
iker benito,Osasuna,9,69.2,6,66.7,4,75.0,2,50.0,0.0,0.0,0.0,0,0,0,2024-2025,laliga
yuri berchiche,Athletic Club,1174,84.0,582,90.4,617,85.9,159,66.7,2.2,2.2,-0.2,129,15,8,2024-2025,laliga
alex berenguer,Athletic Club,628,65.8,401,83.5,292,73.3,186,30.6,5.0,4.4,2.0,49,28,11,2024-2025,laliga
marc bernal,Barcelona,148,92.5,71,93.0,77,93.5,11,90.9,0.0,0.1,0.0,12,0,0,2024-2025,laliga
juan bernat,Villarreal,101,77.7,61,88.5,53,84.9,6,16.7,0.4,0.4,0.6,4,1,1,2024-2025,laliga
juan bernat,Getafe,142,71.7,111,83.8,48,72.9,9,44.4,0.7,0.4,0.3,10,7,3,2024-2025,laliga
juan berrocal,Getafe,287,76.1,87,90.8,203,84.2,78,42.3,0.0,0.1,0.0,21,2,0,2024-2025,laliga
antonio blanco,Alavés,1013,79.3,502,85.3,537,85.8,180,58.3,1.6,1.8,-0.6,142,19,9,2024-2025,laliga
daley blind,Girona,2318,88.8,1055,93.8,1165,92.3,330,72.1,1.6,2.5,0.4,310,26,8,2024-2025,laliga
adama boiro,Athletic Club,401,79.9,239,90.4,216,78.7,29,37.9,0.5,0.6,-0.5,44,8,4,2024-2025,laliga
enzo boyomo,Osasuna,1220,87.0,443,91.9,739,93.1,194,59.3,0.9,0.7,-0.9,86,6,0,2024-2025,laliga
enzo boyomo,Valladolid,174,91.6,77,97.4,93,93.5,19,57.9,0.0,0.0,0.0,2,0,0,2024-2025,laliga
darko brasanac,Leganés,380,75.7,255,87.1,168,74.4,32,43.8,0.4,0.5,1.6,28,2,0,2024-2025,laliga
tajon buchanan,Villarreal,106,73.6,86,81.4,31,71.0,12,58.3,0.5,0.5,1.5,2,4,1,2024-2025,laliga
ante budimir,Osasuna,239,56.1,249,65.1,114,51.8,11,45.5,1.7,1.2,2.3,12,7,0,2024-2025,laliga
manu bueno,Sevilla,67,90.5,38,92.1,25,92.0,6,83.3,0.0,0.1,0.0,4,1,0,2024-2025,laliga
endika bujan,Athletic Club,4,80.0,4,100.0,0,,1,0.0,0.0,0.0,0.0,0,0,0,2024-2025,laliga
pau cabanes,Villarreal,60,71.4,45,82.2,29,72.4,3,33.3,0.4,0.2,-0.4,1,3,0,2024-2025,laliga
pau cabanes,Alavés,59,70.2,42,81.0,30,70.0,4,0.0,0.0,0.1,0.0,3,1,0,2024-2025,laliga
leandro cabrera,Espanyol,1084,75.2,419,86.4,647,87.0,334,44.6,0.9,0.7,1.1,90,15,3,2024-2025,laliga
fernando calero,Espanyol,325,85.3,115,92.2,185,92.4,67,64.2,0.0,0.1,0.0,17,1,1,2024-2025,laliga
eduardo camavinga,Real Madrid,700,88.3,367,93.7,319,92.8,66,65.2,0.8,0.7,1.2,61,5,0,2024-2025,laliga
