Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
florian dietz,Köln,13,68.4,14,85.7,2,50.0,0,,0.1,0.0,-0.1,0,0,0,2023-2024,bundesliga
junior dina ebimbe,Eint Frankfurt,715,76.5,451,84.0,343,80.2,65,58.5,2.9,3.7,0.1,62,19,3,2023-2024,bundesliga
eren dinkci,Heidenheim,508,62.0,360,71.4,266,68.0,86,53.5,3.7,3.7,1.3,65,33,15,2023-2024,bundesliga
ritsu doan,Freiburg,504,70.7,367,84.5,210,71.9,79,34.2,3.1,4.2,-1.1,49,22,4,2023-2024,bundesliga
danilho doekhi,Union Berlin,738,80.3,311,87.8,434,87.3,146,49.3,0.2,1.0,-0.2,67,9,1,2023-2024,bundesliga
niklas dorsch,Augsburg,545,86.8,248,92.7,288,91.7,75,60.0,0.1,0.3,-0.1,41,2,1,2023-2024,bundesliga
nikola dovedan,Heidenheim,125,61.3,84,71.4,69,72.5,27,37.0,0.6,0.8,0.4,12,3,0,2023-2024,bundesliga
damion downs,Köln,24,66.7,18,77.8,5,60.0,4,75.0,0.0,0.1,0.0,0,1,1,2023-2024,bundesliga
dion drena beljo,Augsburg,115,71.9,77,71.4,59,79.7,6,66.7,0.5,0.8,-0.5,5,8,1,2023-2024,bundesliga
tim drexler,Hoffenheim,315,90.3,168,94.0,148,95.3,22,50.0,0.0,0.0,0.0,14,0,0,2023-2024,bundesliga
marvin ducksch,Werder Bremen,566,59.6,360,75.8,300,61.3,203,41.4,7.8,6.5,1.2,41,30,2,2023-2024,bundesliga
julien duranville,Dortmund,0,0.0,0,,3,0.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,bundesliga
maximilian eggestein,Freiburg,1080,81.2,611,86.4,523,88.5,82,67.1,2.8,2.4,-0.8,103,20,1,2023-2024,bundesliga
lilian egloff,Stuttgart,32,78.0,17,94.1,15,73.3,4,50.0,0.0,0.0,0.0,2,0,0,2023-2024,bundesliga
hugo ekitike,Eint Frankfurt,131,67.9,110,70.0,49,77.6,13,84.6,1.7,1.5,0.3,13,3,1,2023-2024,bundesliga
elif elmas,RB Leipzig,100,83.3,73,90.4,31,93.5,5,20.0,0.1,0.4,-0.1,6,2,0,2023-2024,bundesliga
nico elvedi,Gladbach,1500,88.8,646,90.6,874,93.9,124,58.1,0.1,0.4,0.9,74,4,1,2023-2024,bundesliga
arne engels,Augsburg,394,67.1,213,80.3,210,76.2,113,44.2,1.2,1.8,0.8,35,17,6,2023-2024,bundesliga
ohis felix uduokhai,Augsburg,1349,81.4,549,86.9,815,89.0,261,50.6,0.8,1.3,-0.8,93,5,0,2023-2024,bundesliga
edimilson fernandes,Mainz 05,615,76.8,242,88.4,335,88.1,200,49.0,0.7,1.9,1.3,54,11,3,2023-2024,bundesliga
nacho ferri,Eint Frankfurt,13,50.0,14,78.6,8,25.0,1,0.0,0.0,0.0,0.0,2,0,0,2023-2024,bundesliga
max finkgrafe,Köln,598,69.6,339,81.7,355,76.1,118,38.1,1.6,1.6,-1.6,46,12,7,2023-2024,bundesliga
kilian fischer,Wolfsburg,104,70.3,65,86.2,59,71.2,16,37.5,0.1,0.3,-0.1,5,3,1,2023-2024,bundesliga
jonas fohrenbach,Heidenheim,1046,71.5,457,83.6,652,77.9,288,50.7,0.8,1.4,-0.8,74,24,13,2023-2024,bundesliga
emil forsberg,RB Leipzig,163,81.9,107,88.8,60,90.0,17,70.6,0.9,0.4,0.1,14,3,0,2023-2024,bundesliga
philipp forster,Bochum,156,75.0,101,83.2,80,67.5,19,73.7,0.5,0.8,-0.5,9,8,3,2023-2024,bundesliga
bartol franjic,Darmstadt 98,462,83.1,240,84.6,234,90.2,56,71.4,0.2,0.3,0.8,39,2,1,2023-2024,bundesliga
marco friedl,Werder Bremen,930,86.0,275,90.9,572,93.7,215,65.6,0.1,0.3,-0.1,49,4,1,2023-2024,bundesliga
marvin friedrich,Gladbach,755,83.4,334,94.3,429,90.9,111,35.1,0.2,0.1,-0.2,29,1,0,2023-2024,bundesliga
jeremie frimpong,Leverkusen,797,77.7,622,87.0,279,73.8,49,59.2,5.9,5.4,1.1,20,36,15,2023-2024,bundesliga
chris fuhrich,Stuttgart,1112,81.2,737,90.4,391,83.1,121,43.0,8.0,9.2,-1.0,59,61,9,2023-2024,bundesliga
shio fukuda,Gladbach,3,50.0,2,100.0,4,25.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,bundesliga
niclas fullkrug,Werder Bremen,48,72.7,33,81.8,22,68.2,7,85.7,0.3,0.4,-0.3,7,2,0,2023-2024,bundesliga
