Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
cyle larin,Mallorca,184,62.6,149,71.8,79,64.6,16,62.5,1.4,0.5,0.6,8,1,0,2023-2024,laliga
juanmi latasa,Getafe,192,52.2,209,57.9,97,47.4,18,38.9,1.5,1.4,-1.5,13,8,0,2023-2024,laliga
toni lato,Mallorca,595,75.5,352,87.8,306,76.1,87,48.3,1.3,1.3,-0.3,26,14,9,2023-2024,laliga
lazaro,Almería,69,69.0,47,74.5,29,82.8,13,46.2,0.5,0.3,-0.5,4,1,0,2023-2024,laliga
robin le normand,Real Sociedad,1562,88.5,524,91.4,955,92.8,249,74.7,0.1,0.8,-0.1,94,0,0,2023-2024,laliga
jeremias ledesma,Cádiz,689,58.1,79,97.5,248,98.8,850,43.2,0.1,0.2,-0.1,58,0,0,2023-2024,laliga
florian lejeune,Rayo Vallecano,1636,80.6,489,87.9,997,93.0,494,53.0,0.7,0.8,0.3,137,5,1,2023-2024,laliga
stefan lekovic,Villarreal,12,85.7,8,87.5,4,75.0,2,100.0,0.0,0.0,0.0,0,0,0,2023-2024,laliga
inigo lekue,Athletic Club,1012,79.5,499,88.2,577,84.7,143,48.3,1.1,0.9,0.9,86,16,7,2023-2024,laliga
thomas lemar,Atlético Madrid,71,84.5,46,89.1,29,86.2,6,33.3,0.0,0.1,0.0,10,1,0,2023-2024,laliga
alvaro lemos,Las Palmas,145,78.4,95,93.7,60,76.7,23,39.1,0.0,0.1,0.0,12,2,0,2023-2024,laliga
ruben lendinez,Valencia,6,100.0,3,100.0,3,100.0,0,,0.0,0.0,0.0,0,0,0,2023-2024,laliga
robert lewandowski,Barcelona,416,70.3,311,79.7,168,71.4,35,60.0,4.9,3.6,3.1,27,25,4,2023-2024,laliga
samuel lino,Atlético Madrid,816,80.4,582,88.7,279,82.4,66,59.1,4.7,3.5,0.3,36,38,3,2023-2024,laliga
javier llabres,Mallorca,64,66.0,35,82.9,37,67.6,15,46.7,0.3,0.3,-0.3,2,2,1,2023-2024,laliga
marcos llorente,Atlético Madrid,974,79.9,654,90.5,371,80.6,73,50.7,5.6,4.5,-1.6,60,36,11,2023-2024,laliga
enzo loiodice,Las Palmas,935,82.8,635,89.6,323,85.8,74,54.1,1.3,1.8,-0.3,81,7,0,2023-2024,laliga
david lopez,Girona,1468,92.8,551,94.4,882,96.3,115,66.1,0.2,0.4,-0.2,48,1,0,2023-2024,laliga
diego lopez,Valencia,512,64.7,412,73.8,223,66.4,59,49.2,5.4,2.4,0.6,35,21,7,2023-2024,laliga
fermin lopez,Barcelona,522,82.7,349,92.0,172,80.2,54,70.4,1.1,1.3,-1.1,53,16,2,2023-2024,laliga
javi lopez,Alavés,775,68.6,458,85.4,395,71.4,204,41.2,3.0,2.5,0.0,63,21,16,2023-2024,laliga
unai lopez,Rayo Vallecano,1184,81.0,585,93.5,552,85.7,254,52.4,2.5,2.7,-0.5,113,26,7,2023-2024,laliga
dion lopy,Almería,745,84.5,316,87.3,384,88.5,137,80.3,1.2,0.7,-1.2,81,8,1,2023-2024,laliga
anthony lozano,Getafe,10,62.5,8,75.0,4,50.0,1,100.0,0.3,0.2,-0.3,1,1,1,2023-2024,laliga
anthony lozano,Almería,98,72.1,61,78.7,43,83.7,7,57.1,0.7,0.2,-0.7,12,1,0,2023-2024,laliga
lucas,Cádiz,595,73.7,351,88.6,298,74.2,115,42.6,1.9,2.0,-1.9,33,21,14,2023-2024,laliga
jose luis gaya,Valencia,801,75.4,425,88.5,434,79.0,153,46.4,2.6,2.5,-0.6,50,22,12,2023-2024,laliga
jose luis morales,Villarreal,154,72.0,111,83.8,69,68.1,17,70.6,0.6,0.8,-0.6,10,3,1,2023-2024,laliga
