Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
gedeon kalulu,Lorient,1101,80.1,623,90.0,510,81.4,153,50.3,1.5,1.2,2.5,82,17,5,2022-2023,ligue1
justinnoel kalumba,Angers,131,79.9,87,90.8,58,77.6,6,50.0,0.1,0.9,-0.1,8,3,2,2022-2023,ligue1
warren kamanzi,Toulouse,306,85.5,208,89.9,123,79.7,10,70.0,0.3,0.2,-0.3,17,2,0,2022-2023,ligue1
bingourou kamara,Montpellier,87,66.4,17,94.1,44,97.7,69,40.6,0.0,0.0,0.0,2,0,0,2022-2023,ligue1
nordine kandil,Strasbourg,44,72.1,31,87.1,21,61.9,3,33.3,0.8,0.8,0.2,4,2,0,2022-2023,ligue1
ayman kari,Lorient,67,90.5,40,95.0,22,90.9,4,100.0,0.0,0.1,0.0,2,2,0,2022-2023,ligue1
kevin keben biakolo,Toulouse,117,79.1,66,87.9,62,80.6,11,45.5,0.2,0.1,-0.2,3,1,0,2022-2023,ligue1
check keita,Reims,264,86.6,100,90.0,154,94.8,35,62.9,0.0,0.0,0.0,14,0,0,2022-2023,ligue1
saifeddine khaoui,Clermont Foot,486,68.2,314,79.3,224,73.7,106,34.0,3.8,1.9,-0.8,50,14,2,2022-2023,ligue1
wahbi khazri,Montpellier,344,71.2,199,79.9,143,76.9,90,58.9,1.6,1.6,-0.6,41,12,2,2022-2023,ligue1
anthony khelifa,Ajaccio,11,91.7,3,100.0,8,87.5,1,100.0,0.0,0.0,0.0,1,0,0,2022-2023,ligue1
presnel kimpembe,Paris S-G,471,93.6,251,96.8,202,96.0,26,84.6,0.2,0.3,-0.2,36,1,0,2022-2023,ligue1
samuel koeberle,Reims,5,83.3,4,100.0,0,,1,0.0,0.0,0.0,0.0,0,0,0,2022-2023,ligue1
rudy kohon,Troyes,24,85.7,9,88.9,15,93.3,3,66.7,0.0,0.0,0.0,0,0,0,2022-2023,ligue1
sead kolasinac,Marseille,1135,85.1,628,91.1,549,87.1,84,57.1,0.9,1.7,0.1,93,11,2,2022-2023,ligue1
cheick konate,Clermont Foot,228,72.6,118,81.4,136,78.7,43,46.5,0.2,0.2,-0.2,14,3,1,2022-2023,ligue1
ibrahima kone,Lorient,240,66.9,205,73.7,100,59.0,7,42.9,1.0,1.0,0.0,17,3,0,2022-2023,ligue1
youssouf kone,Ajaccio,322,75.6,177,88.7,142,82.4,93,46.2,0.1,0.1,-0.1,22,3,2,2022-2023,ligue1
rominigue kouame,Troyes,1244,88.7,558,91.9,636,90.3,144,82.6,2.1,1.5,-1.1,145,13,2,2022-2023,ligue1
boubakar kouyate,Montpellier,499,81.7,169,81.7,320,89.4,100,63.0,0.1,0.3,-0.1,24,0,0,2022-2023,ligue1
sael kumbedi,Lyon,653,82.2,403,90.6,290,81.4,58,53.4,1.2,1.5,0.8,30,9,3,2022-2023,ligue1
