Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
jacopo seghetti,Empoli,14,63.6,1,100.0,10,90.0,10,40.0,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
stefano sensi,Monza,257,86.0,103,94.2,143,90.9,46,58.7,0.2,0.3,-0.2,36,4,1,2024-2025,serie-a
suat serdar,Hellas Verona,357,74.8,210,83.3,169,80.5,52,61.5,1.0,0.5,0.0,47,5,1,2024-2025,serie-a
stephan el shaarawy,Roma,399,79.2,269,88.5,169,78.7,30,53.3,1.2,2.0,2.8,19,21,3,2024-2025,serie-a
alen sherri,Cagliari,163,72.4,40,100.0,80,98.8,104,41.3,0.0,0.0,0.0,2,0,0,2024-2025,serie-a
eldor shomurodov,Roma,215,75.2,166,81.3,72,83.3,9,77.8,1.3,1.4,2.7,10,6,0,2024-2025,serie-a
benjamin siegrist,Genoa,48,65.8,5,100.0,24,100.0,44,43.2,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
marco silvestri,Empoli,94,63.5,19,100.0,34,97.1,95,44.2,0.0,0.0,0.0,8,0,0,2024-2025,serie-a
giovanni simeone,Napoli,79,69.9,63,76.2,35,77.1,2,0.0,0.8,0.3,0.2,5,2,0,2024-2025,serie-a
ukasz skorupski,Bologna,862,78.0,116,100.0,517,98.3,464,50.6,0.0,0.0,0.0,17,0,0,2024-2025,serie-a
ivan smolcic,Como,327,83.0,166,91.0,152,86.2,69,59.4,0.1,0.1,-0.1,18,3,0,2024-2025,serie-a
simon sohm,Parma,1050,85.2,575,89.2,499,87.2,100,67.0,2.1,2.1,-2.1,122,24,3,2024-2025,serie-a
ola solbakken,Empoli,141,70.9,100,77.0,60,73.3,21,66.7,0.4,0.3,-0.4,14,5,1,2024-2025,serie-a
oumar solet,Udinese,982,88.5,398,94.2,474,92.4,211,76.8,1.2,0.8,0.8,54,9,2,2024-2025,serie-a
daniele sommariva,Genoa,5,33.3,1,100.0,3,100.0,11,9.1,0.0,0.0,0.0,1,0,0,2024-2025,serie-a
yann sommer,Inter,1167,87.6,242,100.0,678,99.3,403,62.0,0.0,0.0,0.0,7,0,0,2024-2025,serie-a
borna sosa,Torino,546,79.6,275,88.7,283,83.7,94,54.3,0.7,0.9,-0.7,43,22,12,2024-2025,serie-a
riccardo sottil,Fiorentina,196,70.5,132,81.1,108,74.1,22,31.8,0.9,1.0,0.1,5,12,4,2024-2025,serie-a
riccardo sottil,Milan,41,74.5,26,96.2,20,70.0,7,28.6,0.3,0.5,-0.3,2,3,2,2024-2025,serie-a
matias soule,Roma,785,82.2,493,91.7,300,81.0,102,57.8,5.2,3.4,-0.2,53,34,12,2024-2025,serie-a
leonardo spinazzola,Napoli,710,79.3,346,91.0,376,82.7,121,57.0,3.5,3.4,-2.5,62,34,8,2024-2025,serie-a
marco sportiello,Milan,51,83.6,9,100.0,32,96.9,19,57.9,0.0,0.0,0.0,1,0,0,2024-2025,serie-a
filip stankovic,Venezia,372,72.5,66,100.0,217,96.8,229,41.9,0.0,0.0,0.0,2,0,0,2024-2025,serie-a
petar stojanovic,Empoli,1,33.3,1,100.0,1,0.0,1,0.0,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
gabriel strefezza,Como,875,75.6,545,89.4,338,76.6,146,48.6,3.9,4.1,0.1,67,29,9,2024-2025,serie-a
