Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
thomas delaine,Strasbourg,15,0,66,53,50.0,2022-2023,ligue-1
sacha delaye,Montpellier,1,0,0,3,50.0,2022-2023,ligue-1
andy delort,Nice,8,7,15,12,52.8,2022-2023,ligue-1
andy delort,Nantes,9,4,17,9,36.4,2022-2023,ligue-1
karamoko dembele,Brest,5,0,14,13,0.0,2022-2023,ligue-1
moussa dembele,Lyon,17,8,2,22,56.9,2022-2023,ligue-1
siriki dembele,Auxerre,8,0,6,24,20.0,2022-2023,ligue-1
branco van den boomen,Toulouse,33,2,282,182,33.3,2022-2023,ligue-1
remy descamps,Nantes,0,0,0,0,,2022-2023,ligue-1
mikkel desler,Toulouse,28,6,42,165,71.9,2022-2023,ligue-1
mamadou diakhon,Reims,0,0,0,1,,2022-2023,ligue-1
bafode diakite,Lille,45,0,19,159,50.0,2022-2023,ligue-1
ibrahim diakite,Reims,3,0,7,10,33.3,2022-2023,ligue-1
baila diallo,Clermont Foot,3,0,5,3,50.0,2022-2023,ligue-1
habib diallo,Strasbourg,37,19,7,76,46.1,2022-2023,ligue-1
ismael diallo,Ajaccio,41,1,35,166,52.0,2022-2023,ligue-1
habib diarra,Strasbourg,23,0,48,99,32.4,2022-2023,ligue-1
moussa diarra,Toulouse,19,1,13,69,55.2,2022-2023,ligue-1
stephane diarra,Lorient,7,4,15,94,38.5,2022-2023,ligue-1
krepin diatta,Monaco,20,10,54,94,50.6,2022-2023,ligue-1
mory diaw,Clermont Foot,0,0,0,31,100.0,2022-2023,ligue-1
bamba dieng,Marseille,8,1,1,7,47.4,2022-2023,ligue-1
bamba dieng,Lorient,21,5,5,18,36.0,2022-2023,ligue-1
tristan dingome,Troyes,1,0,5,10,25.0,2022-2023,ligue-1
sinaly diomande,Lyon,23,1,2,109,69.1,2022-2023,ligue-1
lois diony,Angers,10,3,3,9,47.5,2022-2023,ligue-1
edan diop,Monaco,7,0,7,16,40.0,2022-2023,ligue-1
