Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
lukas kubler,Freiburg,19,3,21,113,58.3,2023-2024,bundesliga
mahmut kucuksahin,Augsburg,0,0,0,0,,2023-2024,bundesliga
christian kuhlwetter,Heidenheim,0,0,0,1,0.0,2023-2024,bundesliga
moritzbroni kwarteng,Bochum,5,2,5,18,0.0,2023-2024,bundesliga
maxence lacroix,Wolfsburg,27,0,5,126,56.1,2023-2024,bundesliga
aissa laidouni,Union Berlin,20,0,22,80,46.2,2023-2024,bundesliga
konrad laimer,Bayern Munich,28,2,31,114,38.7,2023-2024,bundesliga
stefan lainer,Gladbach,8,1,19,33,36.8,2023-2024,bundesliga
hugo larsson,Eint Frankfurt,16,1,8,116,32.1,2023-2024,bundesliga
diogo leite,Union Berlin,40,1,4,145,61.7,2023-2024,bundesliga
maxim leitsch,Mainz 05,2,0,0,28,68.4,2023-2024,bundesliga
christopher lenz,RB Leipzig,2,0,5,3,66.7,2023-2024,bundesliga
christopher lenz,Eint Frankfurt,0,0,0,1,,2023-2024,bundesliga
jamie leweling,Stuttgart,22,8,46,74,23.5,2023-2024,bundesliga
philipp lienhart,Freiburg,12,1,4,77,70.2,2023-2024,bundesliga
matthijs de ligt,Bayern Munich,12,0,2,73,59.4,2023-2024,bundesliga
jesper lindstrm,Eint Frankfurt,1,0,1,2,0.0,2023-2024,bundesliga
dejan ljubicic,Köln,32,1,31,112,42.1,2023-2024,bundesliga
noah loosli,Bochum,4,0,2,27,41.7,2023-2024,bundesliga
anthony losilla,Bochum,38,5,6,136,60.3,2023-2024,bundesliga
castello lukeba,RB Leipzig,8,1,5,158,54.2,2023-2024,bundesliga
andreas luthe,Bochum,0,0,0,2,,2023-2024,bundesliga
senne lynen,Werder Bremen,35,0,4,118,29.3,2023-2024,bundesliga
ian maatsen,Dortmund,19,0,26,79,18.2,2023-2024,bundesliga
matej maglica,Darmstadt 98,31,1,7,85,68.0,2023-2024,bundesliga
arne maier,Augsburg,4,0,85,58,60.0,2023-2024,bundesliga
linton maina,Köln,10,5,74,92,0.0,2023-2024,bundesliga
patrick mainka,Heidenheim,24,2,0,183,58.6,2023-2024,bundesliga
lovro majer,Wolfsburg,37,1,89,143,37.9,2023-2024,bundesliga
jordy makengo,Freiburg,14,1,23,46,53.1,2023-2024,bundesliga
julian malatini,Werder Bremen,10,0,6,31,47.4,2023-2024,bundesliga
donyell malen,Dortmund,11,3,39,71,26.9,2023-2024,bundesliga
lennard maloney,Heidenheim,44,0,4,132,57.8,2023-2024,bundesliga
david mamutovic,Mainz 05,0,0,1,2,0.0,2023-2024,bundesliga
braydon manu,Darmstadt 98,4,0,4,7,0.0,2023-2024,bundesliga
omar marmoush,Eint Frankfurt,28,12,33,90,48.2,2023-2024,bundesliga
eric martel,Köln,52,2,19,152,56.5,2023-2024,bundesliga
erhan masovic,Bochum,22,0,5,117,39.8,2023-2024,bundesliga
roberto massimo,Stuttgart,2,0,0,8,25.0,2023-2024,bundesliga
jean matteo bahoya,Eint Frankfurt,1,1,6,15,20.0,2023-2024,bundesliga
philipp max,Eint Frankfurt,7,2,59,65,42.9,2023-2024,bundesliga
eric maxim choupomoting,Bayern Munich,10,2,11,41,62.5,2023-2024,bundesliga
noussair mazraoui,Bayern Munich,10,0,19,63,47.5,2023-2024,bundesliga
kevin mbabu,Augsburg,45,2,101,119,63.4,2023-2024,bundesliga
noah mbamba,Leverkusen,1,0,1,1,,2023-2024,bundesliga
nathanael mbuku,Augsburg,0,0,0,0,,2023-2024,bundesliga
marvin mehlem,Darmstadt 98,20,8,18,82,50.0,2023-2024,bundesliga
thomas meunier,Dortmund,10,0,17,43,53.8,2023-2024,bundesliga
alexander meyer,Dortmund,0,0,0,12,,2023-2024,bundesliga
sven michel,Augsburg,12,4,10,22,37.5,2023-2024,bundesliga
enzo millot,Stuttgart,36,4,38,135,18.9,2023-2024,bundesliga
jovan milosevic,Stuttgart,1,0,0,1,0.0,2023-2024,bundesliga
kim minjae,Bayern Munich,19,1,2,143,72.1,2023-2024,bundesliga
maximilian mittelstadt,Stuttgart,28,1,105,140,60.0,2023-2024,bundesliga
marko mladenovic,Eint Frankfurt,0,0,0,2,,2023-2024,bundesliga
max moerstedt,Hoffenheim,0,0,0,1,,2023-2024,bundesliga
mateu morey,Dortmund,3,1,1,7,50.0,2023-2024,bundesliga
youssoufa moukoko,Dortmund,8,7,4,21,37.5,2023-2024,bundesliga
andreas muller,Darmstadt 98,5,0,2,20,75.0,2023-2024,bundesliga
jannik muller,Darmstadt 98,19,0,7,66,55.3,2023-2024,bundesliga
kevin muller,Heidenheim,1,0,0,33,80.0,2023-2024,bundesliga
marcus muller,Mainz 05,1,0,0,0,75.0,2023-2024,bundesliga
thomas muller,Bayern Munich,12,15,55,55,54.5,2023-2024,bundesliga
jamal musiala,Bayern Munich,26,2,11,91,38.9,2023-2024,bundesliga
florent muslija,Freiburg,1,0,9,7,50.0,2023-2024,bundesliga
phillipp mwene,Mainz 05,34,3,86,88,50.0,2023-2024,bundesliga
joakim mhle,Wolfsburg,19,2,60,134,47.8,2023-2024,bundesliga
nathan ngoumou,Gladbach,13,6,28,62,20.9,2023-2024,bundesliga
stanley nsoki,Hoffenheim,12,0,7,46,57.1,2023-2024,bundesliga
luca netz,Gladbach,26,1,74,130,56.1,2023-2024,bundesliga
manuel neuer,Bayern Munich,1,0,0,31,66.7,2023-2024,bundesliga
florian neuhaus,Gladbach,9,0,10,70,50.0,2023-2024,bundesliga
jessic ngankam,Mainz 05,8,1,1,7,22.2,2023-2024,bundesliga
jessic ngankam,Eint Frankfurt,11,2,0,11,17.6,2023-2024,bundesliga
moritz nicolas,Gladbach,1,0,0,35,100.0,2023-2024,bundesliga
justin njinmah,Werder Bremen,6,9,10,34,34.8,2023-2024,bundesliga
niels nkounkou,Eint Frankfurt,27,0,53,102,38.6,2023-2024,bundesliga
felix nmecha,Dortmund,9,1,3,47,71.4,2023-2024,bundesliga
lukas nmecha,Wolfsburg,1,0,0,0,50.0,2023-2024,bundesliga
jonathan norbye,RB Leipzig,0,0,0,0,,2023-2024,bundesliga
alexander nubel,Stuttgart,0,0,0,65,88.9,2023-2024,bundesliga
kasim nuhu,Hoffenheim,1,0,0,0,,2023-2024,bundesliga
fabian nurnberger,Darmstadt 98,18,0,64,78,59.1,2023-2024,bundesliga
tim oermann,Bochum,8,0,8,27,36.8,2023-2024,bundesliga
masaya okugawa,Augsburg,0,0,0,1,100.0,2023-2024,bundesliga
finn ole becker,Hoffenheim,6,0,7,49,35.7,2023-2024,bundesliga
mathias olesen,Köln,3,0,1,14,25.0,2023-2024,bundesliga
dani olmo,RB Leipzig,15,1,21,75,36.7,2023-2024,bundesliga
jonas omlin,Gladbach,0,0,0,16,100.0,2023-2024,bundesliga
karim onisiwo,Mainz 05,31,15,21,40,33.7,2023-2024,bundesliga
lois openda,RB Leipzig,38,33,32,59,41.5,2023-2024,bundesliga
leon opitz,Werder Bremen,0,0,2,2,,2023-2024,bundesliga
willi orban,RB Leipzig,16,0,1,87,65.9,2023-2024,bundesliga
ivan ordets,Bochum,29,3,1,89,70.7,2023-2024,bundesliga
patrick osterhage,Bochum,21,3,20,142,46.4,2023-2024,bundesliga
salih ozcan,Dortmund,22,2,1,86,51.6,2023-2024,bundesliga
willian pacho,Eint Frankfurt,22,1,7,216,52.9,2023-2024,bundesliga
goncalo paciencia,Bochum,9,2,10,29,37.0,2023-2024,bundesliga
exequiel palacios,Leverkusen,16,0,6,163,50.0,2023-2024,bundesliga
milos pantovic,Union Berlin,0,0,0,1,,2023-2024,bundesliga
antonios papadopoulos,Dortmund,1,0,0,7,55.6,2023-2024,bundesliga
merveille papela,Mainz 05,6,0,2,16,36.4,2023-2024,bundesliga
leart paqarada,Köln,7,1,92,56,30.0,2023-2024,bundesliga
kevin paredes,Wolfsburg,11,5,33,62,41.7,2023-2024,bundesliga
felix passlack,Bochum,14,2,40,51,42.9,2023-2024,bundesliga
jiri pavlenka,Werder Bremen,0,0,0,9,100.0,2023-2024,bundesliga
aleksandar pavlovic,Bayern Munich,20,0,18,75,43.5,2023-2024,bundesliga
mads pedersen,Augsburg,34,2,53,100,30.3,2023-2024,bundesliga
jordan pefok,Gladbach,35,7,0,35,51.1,2023-2024,bundesliga
jordan pefok,Union Berlin,2,0,0,0,0.0,2023-2024,bundesliga
dzenan pejcinovic,Wolfsburg,2,0,0,2,33.3,2023-2024,bundesliga
daniel peretz,Bayern Munich,0,0,0,0,,2023-2024,bundesliga
