id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
12981,Manolis Saliakas,8,447,0,0.2057064939290285,1,0.19414734654128551,7,4,1,0,D M S,St. Pauli,0,0.2057064939290285,0.9543847739696503,0.7467405796051025
12982,Oladapo Afolayan,7,135,0,0.526158856227994,0,0.08374877460300922,4,2,1,0,M S,St. Pauli,0,0.526158856227994,0.7736875526607037,0.16377991437911987
12987,Luca Kerber,6,325,0,0.20898379758000374,0,0.15216649509966373,3,2,2,0,M S,FC Heidenheim,0,0.20898379758000374,0.7591478768736124,0.510344386100769
13012,Robin Hranác,10,874,0,0.1792520433664322,0,0.024163702502846718,2,1,1,0,D,Hoffenheim,0,0.1792520433664322,2.4494695961475372,2.4494695961475372
13017,Filippo Mané,2,90,0,0,0,0,0,0,0,1,D S,Borussia Dortmund,0,0,0.4038507342338562,0.4038507342338562
13063,Konstantinos Koulierakis,9,810,0,1.4046839978545904,0,0.17545190546661615,11,3,1,0,D,Wolfsburg,0,1.4046839978545904,2.9142611883580685,2.750794207677245
13093,Derrick Köhn,10,520,0,0.6028274595737457,0,0.06861056387424469,9,1,2,0,D S,Union Berlin,0,0.6028274595737457,0.8418307453393936,0.3236500918865204
13101,Arthur Chaves,4,235,0,0.013305079191923141,0,0.06275458633899689,1,1,1,0,D S,Hoffenheim,0,0.013305079191923141,0.484260618686676,0.4082009568810463
13102,Johan Manzambi,8,644,0,0.6608833316713572,1,1.0928007513284683,13,6,2,1,M S,Freiburg,0,0.6608833316713572,2.73115180619061,1.739743359386921
13131,Cole Campbell,1,10,0,0.1280488818883896,0,0.14615820348262787,1,1,0,0,S,Borussia Dortmund,0,0.1280488818883896,0.3452533185482025,0.07104624062776566
13215,Axel Tape,4,166,0,0.12020363658666611,0,0,2,0,0,0,D S,Bayer Leverkusen,0,0.12020363658666611,0.692778505384922,0.5725748687982559
13262,Jonah Kusi-Asare,1,1,0,0,0,0,0,0,0,0,S,Bayern Munich,0,0,0,0
13291,Patrice Covic,7,200,0,0.43208274245262146,0,0.3388959523290396,1,2,1,0,M S,Werder Bremen,0,0.43208274245262146,1.0619226451963186,0.3114176597446203
13325,James Sands,9,741,0,0.21043385192751884,0,0.3874146640300751,5,3,2,0,M,St. Pauli,0,0.21043385192751884,1.2103345766663551,0.6326763443648815
13326,Abdoulie Ceesay,7,114,0,0.3181265462189913,0,0,3,0,2,0,S,St. Pauli,0,0.3181265462189913,0.4670190531760454,0.1685231849551201
13421,Wisdom Mike,1,3,0,0.10484713315963745,0,0,2,0,0,0,S,Bayern Munich,0,0.10484713315963745,0.10484713315963745,0
13425,Luca Jaquez,5,417,0,0.11304950062185526,1,0.42458663135766983,2,4,1,0,D,VfB Stuttgart,0,0.11304950062185526,1.9514128863811493,1.513208296149969
13426,Finn Jeltsch,5,450,0,0.19509844854474068,0,0.033214693889021873,3,2,1,0,D,VfB Stuttgart,0,0.19509844854474068,1.1934484243392944,1.1047833114862442
13429,Julian Niehues,7,344,0,0.06012770161032677,0,0.05620823800563812,2,1,0,0,M S,FC Heidenheim,0,0.06012770161032677,0.8942602127790451,0.8341325148940086
13442,Tidiam Gomis,2,26,0,0.12830227613449097,0,0.03323284909129143,1,1,0,0,S,RasenBallsport Leipzig,0,0.12830227613449097,0.12830227613449097,0.12830227613449097
13460,Aaron Anselmino,3,171,0,0,0,0,0,0,0,0,D S,Borussia Dortmund,0,0,1.0744179040193558,1.0744179040193558
13505,Alejo Sarco,1,31,0,0.05067843571305275,0,0.01954268477857113,1,1,0,0,S,Bayer Leverkusen,0,0.05067843571305275,0.01954268477857113,0
13621,Charles Herrmann,1,1,0,0,1,0.37863999605178833,0,1,0,0,S,Borussia M.Gladbach,0,0,0,0
13649,Claudio Echeverri,4,93,0,0,0,0.04052872955799103,0,1,0,0,M S,Bayer Leverkusen,0,0,0.15704596042633057,0.15704596042633057
13714,Jenson Seelt,4,273,0,0.030273381620645523,0,0,1,0,0,0,D S,Wolfsburg,0,0.030273381620645523,0.5190424947068095,0.5190424947068095
13851,Ezechiel Banzuzi,9,266,0,0.4706059843301773,1,0.20922600850462914,6,4,2,0,M S,RasenBallsport Leipzig,0,0.4706059843301773,1.2514886781573296,0.8751085735857487
13859,Koki Machida,1,45,0,0,0,0,0,0,1,0,D,Hoffenheim,0,0,0.045069705694913864,0.045069705694913864
13861,Leon Avdullahu,10,867,0,0.17454051971435547,1,0.4577546790242195,5,6,2,0,M,Hoffenheim,0,0.17454051971435547,3.9426154606044292,3.4535537622869015
13863,Yannik Wagner,2,18,0,0.024279415607452393,0,0.2785300724208355,1,3,0,0,S,FC Heidenheim,0,0.024279415607452393,0.265305258333683,0.07995288819074631
13864,Cyriaque Irié,1,23,0,0.014301061630249023,0,0,1,0,1,0,S,Freiburg,0,0.014301061630249023,0.07774309813976288,0.06344203650951385
13868,Lazar Jovanovic,2,22,0,0.0999414473772049,0,0.0430651493370533,1,1,0,0,S,VfB Stuttgart,0,0.0999414473772049,0.1430065929889679,0
13882,Arkadiusz Pyrka,7,451,0,0.2530173398554325,0,0.17583478894084692,4,4,2,0,D M S,St. Pauli,0,0.2530173398554325,1.0176791325211525,0.6134156491607428
13883,Joel Chima Fujita,10,889,0,0.231620698235929,1,1.9032511468976736,7,14,2,0,M,St. Pauli,0,0.231620698235929,3.6124525666236877,1.890763983130455
