Player,Squad,Liga,Season,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,Touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle
sergio akieme,reims,Ligue-1,2024-2025,524,548,377,34,1436,31,0.419,17,0.5479999999999999,2357,36,5,31,19
maghnes akliouche,monaco,Ligue-1,2024-2025,150,644,794,156,1565,103,0.485,50,0.485,3653,98,47,78,47
paul akouokou,lyon,Ligue-1,2024-2025,5,13,0,0,18,0,,0,,10,0,0,1,0
clement akpa,auxerre,Ligue-1,2024-2025,797,636,117,10,1532,23,0.348,11,0.478,2340,20,1,9,4
chuba akpom,lille,Ligue-1,2024-2025,13,76,79,30,163,9,0.444,4,0.444,192,4,2,12,5
mohamed ali cho,nice,Ligue-1,2024-2025,75,308,356,74,720,70,0.28600000000000003,41,0.586,1943,39,30,68,26
jim allevinah,angers,Ligue-1,2024-2025,134,311,253,65,682,48,0.313,33,0.688,1395,34,8,38,32
thiago almada,lyon,Ligue-1,2024-2025,136,382,318,31,831,14,0.5710000000000001,5,0.35700000000000004,1483,34,10,17,9
jordan amavi,brest,Ligue-1,2024-2025,186,304,131,4,615,13,0.5379999999999999,6,0.462,936,18,1,9,5
kelvin amian,nantes,Ligue-1,2024-2025,374,523,267,21,1153,22,0.591,8,0.364,1208,27,1,20,12
michael amir murillo,marseille,Ligue-1,2024-2025,601,1205,339,33,2135,27,0.519,13,0.48100000000000004,2430,33,8,28,10
samuel amoameyaw,strasbourg,Ligue-1,2024-2025,29,72,68,10,165,12,0.41700000000000004,4,0.33299999999999996,300,10,4,7,2
mathis amougou,saintetienne,Ligue-1,2024-2025,104,218,90,9,407,16,0.313,9,0.563,585,11,2,22,8
benjamin andre,lille,Ligue-1,2024-2025,392,1462,430,45,2267,22,0.409,11,0.5,2593,33,1,45,33
kyllian antonio,lens,Ligue-1,2024-2025,47,54,13,1,114,2,0.5,0,0.0,132,0,1,2,2
dennis appiah,saintetienne,Ligue-1,2024-2025,514,610,371,27,1486,43,0.465,22,0.512,1650,32,6,34,18
carlens arcus,angers,Ligue-1,2024-2025,433,556,271,11,1249,18,0.444,9,0.5,1284,22,2,18,14
hakon arnar haraldsson,lille,Ligue-1,2024-2025,111,502,533,77,1136,49,0.551,21,0.429,2002,45,11,42,13
marco asensio,paris sg,Ligue-1,2024-2025,20,180,182,40,377,8,0.5,3,0.375,596,13,9,3,5
lorenz assignon,rennes,Ligue-1,2024-2025,347,706,596,80,1638,77,0.364,47,0.61,3034,72,26,56,34
dehmaine assoumani,nantes,Ligue-1,2024-2025,12,39,27,7,77,6,0.5,3,0.5,154,2,2,7,3
valentin atangana edoa,reims,Ligue-1,2024-2025,457,760,234,54,1433,48,0.292,29,0.604,2212,35,8,57,23
florian aye,auxerre,Ligue-1,2024-2025,18,93,76,20,187,2,1.0,0,0.0,147,6,3,19,6
andre ayew,le havre,Ligue-1,2024-2025,44,207,134,40,378,13,0.385,7,0.5379999999999999,164,3,3,26,26
neil el aynaoui,lens,Ligue-1,2024-2025,272,653,281,25,1193,21,0.23800000000000002,11,0.524,1014,13,2,25,21
shavy babicka,toulouse,Ligue-1,2024-2025,46,145,252,53,428,37,0.297,21,0.568,871,17,14,28,18
theo bair,auxerre,Ligue-1,2024-2025,27,133,147,50,306,8,0.25,6,0.75,288,4,9,18,7
mitchel bakker,lille,Ligue-1,2024-2025,101,328,334,32,758,21,0.524,9,0.429,1132,20,7,18,11
darryl bakola,marseille,Ligue-1,2024-2025,4,6,5,0,15,1,0.0,1,1.0,23,1,0,0,1
dilane bakwa,strasbourg,Ligue-1,2024-2025,170,588,685,79,1420,127,0.39399999999999996,65,0.512,2934,70,42,60,34
leonardo balerdi,marseille,Ligue-1,2024-2025,1085,1623,78,21,2767,32,0.688,10,0.313,4916,15,2,20,13
fode ballotoure,le havre,Ligue-1,2024-2025,138,186,59,1,377,14,0.35700000000000004,7,0.5,547,8,0,8,10
folarin balogun,monaco,Ligue-1,2024-2025,6,91,126,51,220,18,0.222,12,0.667,408,12,12,33,13
abdoulaye bamba,angers,Ligue-1,2024-2025,411,308,26,3,743,2,1.0,0,0.0,641,2,0,3,4
mohamed bamba,reims,Ligue-1,2024-2025,8,12,2,0,22,0,,0,,18,1,0,0,0
valentin barco,strasbourg,Ligue-1,2024-2025,302,443,193,15,928,20,0.45,10,0.5,1117,28,2,22,10
bradley barcola,paris sg,Ligue-1,2024-2025,84,393,814,214,1278,137,0.248,94,0.6859999999999999,3505,65,95,64,20
melvin bard,nice,Ligue-1,2024-2025,470,684,302,36,1436,49,0.449,26,0.531,2686,36,10,28,15
gabriel bares,montpellier,Ligue-1,2024-2025,10,32,8,2,49,2,0.5,1,0.5,31,0,0,0,1
teo barisic,lyon,Ligue-1,2024-2025,2,0,0,0,2,0,,0,,0,0,0,0,0
dylan batubinsika,saintetienne,Ligue-1,2024-2025,784,672,24,9,1476,9,0.667,2,0.222,2345,2,0,6,2
haris belkebla,angers,Ligue-1,2024-2025,332,630,115,6,1064,22,0.409,10,0.455,1056,15,1,27,10
yassin belkhdim,angers,Ligue-1,2024-2025,236,347,130,18,702,15,0.133,12,0.8,728,7,2,31,14
eliesse ben seghir,monaco,Ligue-1,2024-2025,96,542,624,63,1242,96,0.365,55,0.573,3024,83,25,59,35
ismael bennacer,marseille,Ligue-1,2024-2025,105,578,195,1,870,11,0.636,4,0.364,1141,24,1,7,14
said benrahma,lyon,Ligue-1,2024-2025,44,169,240,34,447,29,0.276,20,0.69,956,20,15,15,11
nabil bentaleb,lille,Ligue-1,2024-2025,83,149,46,2,277,0,,0,,252,3,1,2,4
lucas beraldo,paris sg,Ligue-1,2024-2025,870,1372,78,15,2314,1,1.0,0,0.0,3292,15,0,10,2
maxime bernauer,saintetienne,Ligue-1,2024-2025,263,260,21,3,541,3,0.667,1,0.33299999999999996,1096,5,0,2,2
dimitry bertaud,montpellier,Ligue-1,2024-2025,122,0,0,0,122,0,,0,,194,0,0,0,0
mika biereth,monaco,Ligue-1,2024-2025,15,125,243,98,380,11,0.091,9,0.818,354,8,5,39,16
emmanuel biumla,angers,Ligue-1,2024-2025,402,240,16,8,654,12,0.583,4,0.33299999999999996,1290,2,0,10,4
